카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2020년10월_계_총인구수,"274,620","33,873","53,924","16,124","27,476","17,435","19,360","22,282","16,925","21,187","20,542","25,492"
2020년10월_계_연령구간인구수,"274,620","33,873","53,924","16,124","27,476","17,435","19,360","22,282","16,925","21,187","20,542","25,492"
2020년10월_계_0~9세,"21,013","2,026","4,805",688,"2,317",854,"1,243","1,990","1,092","1,910","2,286","1,802"
2020년10월_계_10~19세,"26,811","2,684","6,230",875,"2,804","1,193","1,473","2,193","1,639","3,178","1,747","2,795"
2020년10월_계_20~29세,"38,404","5,459","7,311","2,492","3,813","2,729","2,804","2,842","2,130","2,550","2,619","3,655"
2020년10월_계_30~39세,"38,521","4,700","7,277","2,197","3,587","2,335","3,239","3,798","2,152","2,247","3,734","3,255"
2020년10월_계_40~49세,"44,774","5,089","9,311","2,095","4,444","2,527","2,849","3,863","2,756","4,206","3,288","4,346"
2020년10월_계_50~59세,"48,415","6,641","9,378","3,100","4,843","3,566","3,208","3,460","2,970","3,567","3,279","4,403"
2020년10월_계_60~69세,"32,889","4,481","5,876","2,654","3,496","2,650","2,476","2,269","2,089","1,911","2,223","2,764"
2020년10월_계_70~79세,"15,046","1,886","2,480","1,332","1,371","1,097","1,285","1,131","1,215",939,920,"1,390"
2020년10월_계_80~89세,"7,488",767,"1,064",589,673,416,677,649,778,599,373,903
2020년10월_계_90~99세,"1,181",129,176,94,124,59,101,87,99,77,67,168
2020년10월_계_100세 이상,78,11,16,8,4,9,5,0,5,3,6,11
2020년10월_남_총인구수,"136,329","17,856","26,814","8,060","13,332","9,080","9,205","10,875","8,077","10,331","10,310","12,389"
2020년10월_남_연령구간인구수,"136,329","17,856","26,814","8,060","13,332","9,080","9,205","10,875","8,077","10,331","10,310","12,389"
2020년10월_남_0~9세,"10,743","1,030","2,480",361,"1,170",462,641,"1,010",512,"1,014","1,128",935
2020년10월_남_10~19세,"13,787","1,397","3,192",445,"1,452",624,743,"1,144",849,"1,601",903,"1,437"
2020년10월_남_20~29세,"20,085","2,993","3,800","1,343","1,976","1,460","1,403","1,502","1,092","1,351","1,320","1,845"
2020년10월_남_30~39세,"20,012","2,701","3,708","1,269","1,739","1,317","1,679","1,892","1,094","1,057","1,924","1,632"
2020년10월_남_40~49세,"22,035","2,718","4,535","1,105","2,094","1,361","1,356","1,855","1,336","1,928","1,707","2,040"
2020년10월_남_50~59세,"23,666","3,453","4,554","1,463","2,251","1,830","1,486","1,651","1,404","1,776","1,572","2,226"
2020년10월_남_60~69세,"16,264","2,332","2,961","1,263","1,742","1,333","1,140","1,066",970,959,"1,148","1,350"
2020년10월_남_70~79세,"6,748",892,"1,176",598,628,530,506,477,485,403,458,595
2020년10월_남_80~89세,"2,644",300,358,190,246,147,225,254,297,212,132,283
2020년10월_남_90~99세,321,36,45,22,33,13,25,24,35,30,15,43
2020년10월_남_100세 이상,24,4,5,1,1,3,1,0,3,0,3,3
2020년10월_여_총인구수,"138,291","16,017","27,110","8,064","14,144","8,355","10,155","11,407","8,848","10,856","10,232","13,103"
2020년10월_여_연령구간인구수,"138,291","16,017","27,110","8,064","14,144","8,355","10,155","11,407","8,848","10,856","10,232","13,103"
2020년10월_여_0~9세,"10,270",996,"2,325",327,"1,147",392,602,980,580,896,"1,158",867
2020년10월_여_10~19세,"13,024","1,287","3,038",430,"1,352",569,730,"1,049",790,"1,577",844,"1,358"
2020년10월_여_20~29세,"18,319","2,466","3,511","1,149","1,837","1,269","1,401","1,340","1,038","1,199","1,299","1,810"
2020년10월_여_30~39세,"18,509","1,999","3,569",928,"1,848","1,018","1,560","1,906","1,058","1,190","1,810","1,623"
2020년10월_여_40~49세,"22,739","2,371","4,776",990,"2,350","1,166","1,493","2,008","1,420","2,278","1,581","2,306"
2020년10월_여_50~59세,"24,749","3,188","4,824","1,637","2,592","1,736","1,722","1,809","1,566","1,791","1,707","2,177"
2020년10월_여_60~69세,"16,625","2,149","2,915","1,391","1,754","1,317","1,336","1,203","1,119",952,"1,075","1,414"
2020년10월_여_70~79세,"8,298",994,"1,304",734,743,567,779,654,730,536,462,795
2020년10월_여_80~89세,"4,844",467,706,399,427,269,452,395,481,387,241,620
2020년10월_여_90~99세,860,93,131,72,91,46,76,63,64,47,52,125
2020년10월_여_100세 이상,54,7,11,7,3,6,4,0,2,3,3,8
