카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년04월_계_총인구수,"81,170","3,867","2,608","1,178","2,100","1,862","2,338","1,654","1,666","1,565",961,"1,590","1,918","2,299","1,942","2,094","2,768","3,581","3,453","6,130","6,821","4,226","7,367","17,182"
2020년04월_계_연령구간인구수,"81,170","3,867","2,608","1,178","2,100","1,862","2,338","1,654","1,666","1,565",961,"1,590","1,918","2,299","1,942","2,094","2,768","3,581","3,453","6,130","6,821","4,226","7,367","17,182"
2020년04월_계_0~9세,"5,214",164,98,51,72,66,88,53,65,52,29,72,71,96,103,86,123,191,177,593,624,233,433,"1,674"
2020년04월_계_10~19세,"7,533",206,175,61,123,102,131,78,95,66,37,79,100,173,122,180,205,375,274,623,799,341,665,"2,523"
2020년04월_계_20~29세,"7,613",283,211,82,145,127,121,74,102,125,64,107,133,175,114,143,180,380,381,683,615,490,814,"2,064"
2020년04월_계_30~39세,"6,674",219,156,66,134,82,121,75,94,80,58,69,104,133,103,99,158,303,268,708,698,425,648,"1,873"
2020년04월_계_40~49세,"11,007",359,314,116,185,181,240,145,151,124,65,160,175,230,177,281,313,486,479,930,"1,108",536,"1,040","3,212"
2020년04월_계_50~59세,"13,901",702,490,180,391,301,360,251,309,277,161,255,347,434,333,484,550,629,561,"1,001","1,048",698,"1,371","2,768"
2020년04월_계_60~69세,"12,555",790,508,227,395,366,478,344,338,280,212,251,343,396,384,343,576,534,590,751,922,687,"1,122","1,718"
2020년04월_계_70~79세,"9,685",614,390,188,333,344,446,305,265,304,185,311,344,339,348,275,412,438,471,552,665,521,767,868
2020년04월_계_80~89세,"6,040",452,223,175,279,255,311,279,204,225,132,250,266,274,219,185,214,220,215,256,297,249,442,418
2020년04월_계_90~99세,910,75,39,32,41,37,41,48,42,30,18,32,33,47,37,18,35,25,36,31,43,45,63,62
2020년04월_계_100세 이상,38,3,4,0,2,1,1,2,1,2,0,4,2,2,2,0,2,0,1,2,2,1,2,2
2020년04월_남_총인구수,"39,786","1,859","1,324",577,"1,027",919,"1,120",788,834,797,478,802,960,"1,144",954,"1,015","1,360","1,692","1,636","2,961","3,288","2,054","3,730","8,467"
2020년04월_남_연령구간인구수,"39,786","1,859","1,324",577,"1,027",919,"1,120",788,834,797,478,802,960,"1,144",954,"1,015","1,360","1,692","1,636","2,961","3,288","2,054","3,730","8,467"
2020년04월_남_0~9세,"2,757",88,57,26,34,38,35,33,33,31,22,36,40,53,59,45,63,104,93,308,318,128,223,890
2020년04월_남_10~19세,"3,900",100,78,35,63,58,75,37,49,39,20,40,57,96,65,87,119,187,130,293,390,200,345,"1,337"
2020년04월_남_20~29세,"4,229",148,132,44,82,81,71,40,57,70,37,56,80,93,64,75,115,209,214,379,348,275,450,"1,109"
2020년04월_남_30~39세,"3,388",118,81,35,75,48,69,47,62,40,32,41,53,72,61,56,73,145,132,353,324,221,348,902
2020년04월_남_40~49세,"5,682",198,176,75,108,115,155,94,95,76,42,106,112,125,106,136,172,233,245,448,567,272,532,"1,494"
2020년04월_남_50~59세,"7,367",369,277,96,224,173,196,140,174,174,91,158,206,250,186,274,285,313,284,513,526,325,749,"1,384"
2020년04월_남_60~69세,"6,257",422,259,118,212,190,242,178,182,143,109,120,173,222,197,179,284,234,259,358,445,328,567,836
2020년04월_남_70~79세,"4,037",246,177,87,135,125,171,124,115,132,79,146,155,131,142,110,168,178,193,220,260,217,357,369
2020년04월_남_80~89세,"1,948",160,71,52,85,83,99,83,58,81,40,88,77,91,61,51,75,79,74,82,100,79,143,136
2020년04월_남_90~99세,211,9,16,9,9,8,7,11,8,11,6,8,6,11,13,2,6,10,12,6,9,8,16,10
2020년04월_남_100세 이상,10,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,1,1,0,0
2020년04월_여_총인구수,"41,384","2,008","1,284",601,"1,073",943,"1,218",866,832,768,483,788,958,"1,155",988,"1,079","1,408","1,889","1,817","3,169","3,533","2,172","3,637","8,715"
2020년04월_여_연령구간인구수,"41,384","2,008","1,284",601,"1,073",943,"1,218",866,832,768,483,788,958,"1,155",988,"1,079","1,408","1,889","1,817","3,169","3,533","2,172","3,637","8,715"
2020년04월_여_0~9세,"2,457",76,41,25,38,28,53,20,32,21,7,36,31,43,44,41,60,87,84,285,306,105,210,784
2020년04월_여_10~19세,"3,633",106,97,26,60,44,56,41,46,27,17,39,43,77,57,93,86,188,144,330,409,141,320,"1,186"
