,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년04월_계_총인구수,"151,751","49,161","2,172","3,122","2,875","2,895","2,824","1,789","1,704","58,387","12,451","12,526","1,845"
2020년04월_계_연령구간인구수,"151,751","49,161","2,172","3,122","2,875","2,895","2,824","1,789","1,704","58,387","12,451","12,526","1,845"
2020년04월_계_0~9세,"13,977","4,627",73,98,67,77,65,55,42,"6,883",991,939,60
2020년04월_계_10~19세,"16,263","5,234",148,145,118,132,94,95,67,"7,464","1,208","1,435",123
2020년04월_계_20~29세,"20,379","6,325",189,271,256,215,212,107,139,"8,404","1,724","2,329",208
2020년04월_계_30~39세,"19,033","6,252",138,165,184,175,170,102,130,"8,917","1,328","1,342",130
2020년04월_계_40~49세,"24,183","8,056",225,299,288,230,268,170,181,"10,755","2,002","1,503",206
2020년04월_계_50~59세,"28,799","8,538",452,683,590,563,517,352,328,"10,566","2,857","2,930",423
2020년04월_계_60~69세,"15,867","5,522",365,574,563,580,570,389,297,"3,542","1,517","1,622",326
2020년04월_계_70~79세,"7,909","2,817",309,490,459,496,534,288,281,"1,216",524,292,203
2020년04월_계_80~89세,"4,596","1,525",228,339,306,370,324,205,211,563,260,115,150
2020년04월_계_90~99세,722,254,44,57,43,56,68,24,27,74,40,19,16
2020년04월_계_100세 이상,23,11,1,1,1,1,2,2,1,3,0,0,0
2020년04월_남_총인구수,"79,031","25,148","1,124","1,543","1,468","1,445","1,393",901,934,"30,625","6,605","6,834","1,011"
2020년04월_남_연령구간인구수,"79,031","25,148","1,124","1,543","1,468","1,445","1,393",901,934,"30,625","6,605","6,834","1,011"
2020년04월_남_0~9세,"7,107","2,337",46,47,34,34,28,25,20,"3,494",517,491,34
2020년04월_남_10~19세,"8,421","2,724",87,74,58,77,52,56,37,"3,866",602,721,67
2020년04월_남_20~29세,"11,842","3,487",110,165,157,141,124,61,88,"4,793","1,028","1,553",135
2020년04월_남_30~39세,"10,186","3,223",82,83,105,94,102,59,81,"4,745",746,778,88
2020년04월_남_40~49세,"12,254","4,230",136,164,169,144,164,110,125,"5,240","1,058",578,136
2020년04월_남_50~59세,"15,813","4,520",265,395,329,313,305,195,215,"5,884","1,539","1,608",245
2020년04월_남_60~69세,"8,362","2,865",185,291,298,296,274,201,158,"1,905",802,909,178
2020년04월_남_70~79세,"3,475","1,235",127,209,204,210,232,110,129,519,247,165,88
2020년04월_남_80~89세,"1,430",477,71,101,106,126,102,79,75,166,61,28,38
2020년04월_남_90~99세,135,48,14,13,8,10,10,5,6,11,5,3,2
2020년04월_남_100세 이상,6,2,1,1,0,0,0,0,0,2,0,0,0
2020년04월_여_총인구수,"72,720","24,013","1,048","1,579","1,407","1,450","1,431",888,770,"27,762","5,846","5,692",834
2020년04월_여_연령구간인구수,"72,720","24,013","1,048","1,579","1,407","1,450","1,431",888,770,"27,762","5,846","5,692",834
2020년04월_여_0~9세,"6,870","2,290",27,51,33,43,37,30,22,"3,389",474,448,26
2020년04월_여_10~19세,"7,842","2,510",61,71,60,55,42,39,30,"3,598",606,714,56
2020년04월_여_20~29세,"8,537","2,838",79,106,99,74,88,46,51,"3,611",696,776,73
2020년04월_여_30~39세,"8,847","3,029",56,82,79,81,68,43,49,"4,172",582,564,42
2020년04월_여_40~49세,"11,929","3,826",89,135,119,86,104,60,56,"5,515",944,925,70
2020년04월_여_50~59세,"12,986","4,018",187,288,261,250,212,157,113,"4,682","1,318","1,322",178
2020년04월_여_60~69세,"7,505","2,657",180,283,265,284,296,188,139,"1,637",715,713,148
2020년04월_여_70~79세,"4,434","1,582",182,281,255,286,302,178,152,697,277,127,115
2020년04월_여_80~89세,"3,166","1,048",157,238,200,244,222,126,136,397,199,87,112
2020년04월_여_90~99세,587,206,30,44,35,46,58,19,21,63,35,16,14
2020년04월_여_100세 이상,17,9,0,0,1,1,2,2,1,1,0,0,0
