카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동
2020년03월_남_10~19세,"23,601",107,259,179,68,307,370,"2,106","1,188",529,854,"1,280",404,273,843,"1,060",843,358,792,484,"1,019","2,705","1,001",611,499,83,"3,293","2,086"
2020년03월_남_20~29세,"32,998",450,690,458,226,506,"1,098","3,669","1,365",978,"1,181","1,622",744,387,"1,278","1,342","1,340",606,"1,271",899,"1,317","2,599","1,122","1,056","1,076",159,"3,016","2,543"
2020년03월_남_30~39세,"29,542",531,467,432,261,611,955,"2,526","1,177",822,905,"1,866",580,450,"1,412",894,"1,097",461,"1,052",777,943,"1,446",899,698,822,137,"4,451","2,870"
2020년03월_남_40~49세,"34,338",374,501,401,268,617,935,"2,826","1,433",950,972,"1,905",755,504,"1,444","1,208","1,232",584,"1,193",933,"1,219","2,646","1,102",911,849,164,"5,193","3,219"
2020년03월_남_50~59세,"35,448",399,512,419,332,636,"1,001","3,197","1,521","1,147","1,206","1,759",961,499,"1,552","1,470","1,212",680,"1,461","1,349","1,353","2,805","1,144","1,162","1,217",320,"3,388","2,746"
2020년03월_남_60~69세,"24,279",358,484,313,313,532,769,"2,013","1,193",946,909,"1,157",940,336,"1,217","1,017",875,581,"1,215","1,287",699,"1,063",724,752,"1,002",275,"1,709","1,600"
2020년03월_남_70~79세,"12,683",196,318,210,181,407,486,"1,052",587,580,389,603,585,228,707,461,464,436,670,623,310,443,326,339,476,166,715,725
2020년03월_남_80~89세,"4,037",67,155,78,63,107,165,308,157,196,121,144,185,70,217,152,182,130,187,213,86,198,114,88,137,66,215,236
2020년03월_남_90~99세,335,7,15,4,10,12,9,24,11,12,12,17,13,4,16,13,16,11,11,15,7,24,9,7,8,8,20,20
2020년03월_남_100세 이상,13,2,1,0,1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
2020년03월_여_총인구수,"217,967","2,459","3,410","2,378","1,545","4,142","5,476","19,241","10,310","6,312","7,490","11,829","5,659","3,093","9,765","8,579","8,648","4,087","8,487","7,359","7,110","15,854","7,329","5,835","6,624","1,311","25,936","17,699"
2020년03월_여_연령구간인구수,"217,967","2,459","3,410","2,378","1,545","4,142","5,476","19,241","10,310","6,312","7,490","11,829","5,659","3,093","9,765","8,579","8,648","4,087","8,487","7,359","7,110","15,854","7,329","5,835","6,624","1,311","25,936","17,699"
2020년03월_여_0~9세,"17,042",118,144,139,43,302,211,"1,326",926,337,491,"1,111",217,279,755,608,631,163,517,265,531,"1,234",627,371,287,40,"3,657","1,712"
2020년03월_여_10~19세,"20,925",93,252,141,60,265,360,"1,867","1,130",498,722,"1,098",331,265,711,979,763,354,706,438,767,"2,264",817,535,395,59,"3,038","2,017"
2020년03월_여_20~29세,"29,644",566,630,400,272,451,"1,003","3,321","1,318",868,"1,032","1,475",682,370,"1,156","1,166","1,244",521,"1,139",828,"1,076","2,213",924,878,949,107,"2,737","2,318"
2020년03월_여_30~39세,"27,443",433,335,300,156,607,709,"2,227","1,287",644,843,"1,799",471,414,"1,307",882,"1,029",398,895,623,883,"1,653",895,650,665,95,"4,702","2,541"
2020년03월_여_40~49세,"34,298",242,431,298,155,557,638,"2,899","1,704",849,"1,128","1,894",625,478,"1,288","1,381","1,319",523,"1,133",836,"1,302","3,456","1,292",872,827,108,"4,983","3,080"
2020년03월_여_50~59세,"37,195",328,489,345,257,661,880,"3,532","1,687","1,104","1,482","2,024",979,438,"1,699","1,677","1,481",734,"1,612","1,414","1,301","2,764","1,351","1,139","1,380",248,"3,375","2,814"
2020년03월_여_60~69세,"26,621",315,514,354,271,646,801,"2,250","1,374","1,057","1,005","1,384","1,129",406,"1,439","1,036","1,099",722,"1,341","1,361",684,"1,079",735,738,"1,043",271,"1,830","1,737"
2020년03월_여_70~79세,"15,851",239,420,283,202,463,566,"1,220",599,652,477,684,789,286,887,546,731,445,755,967,362,714,401,417,622,218,969,937
2020년03월_여_80~89세,"7,554",106,167,102,99,153,253,515,228,261,259,301,361,128,445,256,305,192,327,550,168,415,241,193,394,131,538,466
2020년03월_여_90~99세,"1,291",15,24,11,27,33,49,79,54,39,47,57,65,27,69,45,45,32,58,73,36,62,43,37,60,31,99,74
2020년03월_여_100세 이상,103,4,4,5,3,4,6,5,3,3,4,2,10,2,9,3,1,3,4,4,0,0,3,5,2,3,8,3
