카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년08월_계_총인구수,"174,851","14,525","7,065","12,456","16,382","27,515","19,595","10,972","16,423","13,957","6,568","13,237","16,156"
2021년08월_계_연령구간인구수,"174,851","14,525","7,065","12,456","16,382","27,515","19,595","10,972","16,423","13,957","6,568","13,237","16,156"
2021년08월_계_0~9세,"10,679",605,280,643,904,"1,969",910,467,"1,973",752,427,850,899
2021년08월_계_10~19세,"16,078",982,470,969,"1,637","3,725","1,577",885,"1,504","1,204",601,"1,016","1,508"
2021년08월_계_20~29세,"24,204","2,276",809,"1,426","2,211","4,048","3,010","1,443","1,936","2,165",982,"1,728","2,170"
2021년08월_계_30~39세,"19,706","1,544",796,"1,214","1,590","2,624","2,212","1,089","2,846","1,680","1,004","1,602","1,505"
2021년08월_계_40~49세,"26,429","1,895","1,046","1,717","2,483","4,878","2,994","1,480","2,688","2,101","1,169","1,732","2,246"
2021년08월_계_50~59세,"33,211","2,680","1,336","2,324","3,175","5,580","3,727","2,134","2,589","2,661","1,153","2,604","3,248"
2021년08월_계_60~69세,"26,003","2,665","1,346","2,318","2,560","2,849","3,075","1,904","1,828","1,860",762,"2,096","2,740"
2021년08월_계_70~79세,"12,214","1,319",678,"1,170","1,229","1,147","1,434","1,028",664,"1,003",313,"1,046","1,183"
2021년08월_계_80~89세,"5,573",476,255,601,525,618,592,481,346,469,135,504,571
2021년08월_계_90~99세,727,78,47,72,66,75,63,53,48,60,21,58,86
2021년08월_계_100세 이상,27,5,2,2,2,2,1,8,1,2,1,1,0
2021년08월_남_총인구수,"88,993","7,761","3,737","6,330","8,164","13,601","10,185","5,624","8,421","7,405","3,575","6,278","7,912"
2021년08월_남_연령구간인구수,"88,993","7,761","3,737","6,330","8,164","13,601","10,185","5,624","8,421","7,405","3,575","6,278","7,912"
2021년08월_남_0~9세,"5,391",316,150,318,455,973,457,215,"1,027",390,215,419,456
2021년08월_남_10~19세,"8,403",551,259,509,860,"1,897",850,474,779,624,300,513,787
2021년08월_남_20~29세,"13,419","1,268",463,786,"1,198","2,192","1,657",810,"1,055","1,256",569,925,"1,240"
2021년08월_남_30~39세,"10,800",892,423,674,884,"1,327","1,270",624,"1,451",988,629,847,791
2021년08월_남_40~49세,"13,554","1,089",605,905,"1,228","2,191","1,612",799,"1,435","1,141",661,849,"1,039"
2021년08월_남_50~59세,"16,877","1,426",730,"1,223","1,554","2,815","1,931","1,104","1,285","1,457",614,"1,208","1,530"
2021년08월_남_60~69세,"12,860","1,369",704,"1,138","1,195","1,457","1,503",933,943,911,393,961,"1,353"
2021년08월_남_70~79세,"5,577",650,308,550,563,506,667,486,310,448,149,415,525
2021년08월_남_80~89세,"1,962",184,88,208,211,225,226,171,125,175,43,129,177
2021년08월_남_90~99세,148,15,7,19,15,18,12,8,11,15,2,12,14
2021년08월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"85,858","6,764","3,328","6,126","8,218","13,914","9,410","5,348","8,002","6,552","2,993","6,959","8,244"
2021년08월_여_연령구간인구수,"85,858","6,764","3,328","6,126","8,218","13,914","9,410","5,348","8,002","6,552","2,993","6,959","8,244"
2021년08월_여_0~9세,"5,288",289,130,325,449,996,453,252,946,362,212,431,443
2021년08월_여_10~19세,"7,675",431,211,460,777,"1,828",727,411,725,580,301,503,721
2021년08월_여_20~29세,"10,785","1,008",346,640,"1,013","1,856","1,353",633,881,909,413,803,930
2021년08월_여_30~39세,"8,906",652,373,540,706,"1,297",942,465,"1,395",692,375,755,714
2021년08월_여_40~49세,"12,875",806,441,812,"1,255","2,687","1,382",681,"1,253",960,508,883,"1,207"
2021년08월_여_50~59세,"16,334","1,254",606,"1,101","1,621","2,765","1,796","1,030","1,304","1,204",539,"1,396","1,718"
2021년08월_여_60~69세,"13,143","1,296",642,"1,180","1,365","1,392","1,572",971,885,949,369,"1,135","1,387"
2021년08월_여_70~79세,"6,637",669,370,620,666,641,767,542,354,555,164,631,658
2021년08월_여_80~89세,"3,611",292,167,393,314,393,366,310,221,294,92,375,394
2021년08월_여_90~99세,579,63,40,53,51,57,51,45,37,45,19,46,72
2021년08월_여_100세 이상,25,4,2,2,1,2,1,8,1,2,1,1,0
