카테고리,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2021년06월_계_총인구수,"103,146","4,422","3,881","10,669","9,441","8,659","10,364","4,264","4,647","3,063","7,820","11,627","7,866","16,423"
2021년06월_계_연령구간인구수,"103,146","4,422","3,881","10,669","9,441","8,659","10,364","4,264","4,647","3,063","7,820","11,627","7,866","16,423"
2021년06월_계_0~9세,"7,279",64,87,905,984,533,605,174,192,84,722,591,526,"1,812"
2021년06월_계_10~19세,"7,319",137,203,618,822,633,794,322,362,141,545,928,632,"1,182"
2021년06월_계_20~29세,"14,807","1,083",785,"1,381","1,036","1,177","1,321",878,939,847,"1,083","1,349",921,"2,007"
2021년06월_계_30~39세,"13,501",611,443,"1,803","1,341","1,102","1,067",448,411,363,"1,064","1,056",991,"2,801"
2021년06월_계_40~49세,"14,028",481,494,"1,483","1,446","1,219","1,368",551,584,323,"1,099","1,430","1,074","2,476"
2021년06월_계_50~59세,"15,484",627,494,"1,664","1,251","1,413","1,717",602,725,389,"1,167","1,805","1,249","2,381"
2021년06월_계_60~69세,"14,945",734,583,"1,484","1,155","1,229","1,703",592,630,428,"1,025","2,024","1,282","2,076"
2021년06월_계_70~79세,"10,267",464,502,914,901,882,"1,181",444,486,316,751,"1,493",816,"1,117"
2021년06월_계_80~89세,"4,816",191,253,354,452,414,546,218,273,152,327,822,324,490
2021년06월_계_90~99세,667,29,35,58,51,55,59,29,43,18,37,125,50,78
2021년06월_계_100세 이상,33,1,2,5,2,2,3,6,2,2,0,4,1,3
2021년06월_남_총인구수,"50,926","2,276","1,946","5,555","4,592","4,338","5,041","2,144","2,367","1,629","3,739","5,500","3,822","7,977"
2021년06월_남_연령구간인구수,"50,926","2,276","1,946","5,555","4,592","4,338","5,041","2,144","2,367","1,629","3,739","5,500","3,822","7,977"
2021년06월_남_0~9세,"3,755",36,37,463,516,278,304,105,112,41,378,297,282,906
2021년06월_남_10~19세,"3,766",61,110,318,443,330,407,161,198,59,270,487,328,594
2021년06월_남_20~29세,"7,581",423,393,722,555,638,676,466,515,445,522,720,473,"1,033"
2021년06월_남_30~39세,"6,996",345,256,974,669,582,544,259,220,210,510,535,506,"1,386"
2021년06월_남_40~49세,"7,335",304,261,823,706,658,716,291,305,201,577,680,561,"1,252"
2021년06월_남_50~59세,"7,669",361,260,923,611,715,833,295,370,227,562,835,580,"1,097"
2021년06월_남_60~69세,"7,060",395,280,745,520,589,778,275,308,220,463,901,590,996
2021년06월_남_70~79세,"4,548",255,210,434,367,373,520,192,199,147,316,649,371,515
2021년06월_남_80~89세,"2,019",86,131,139,188,159,243,92,123,71,130,354,120,183
2021년06월_남_90~99세,188,10,8,14,16,16,20,5,16,7,11,40,11,14
2021년06월_남_100세 이상,9,0,0,0,1,0,0,3,1,1,0,2,0,1
2021년06월_여_총인구수,"52,220","2,146","1,935","5,114","4,849","4,321","5,323","2,120","2,280","1,434","4,081","6,127","4,044","8,446"
2021년06월_여_연령구간인구수,"52,220","2,146","1,935","5,114","4,849","4,321","5,323","2,120","2,280","1,434","4,081","6,127","4,044","8,446"
2021년06월_여_0~9세,"3,524",28,50,442,468,255,301,69,80,43,344,294,244,906
2021년06월_여_10~19세,"3,553",76,93,300,379,303,387,161,164,82,275,441,304,588
2021년06월_여_20~29세,"7,226",660,392,659,481,539,645,412,424,402,561,629,448,974
2021년06월_여_30~39세,"6,505",266,187,829,672,520,523,189,191,153,554,521,485,"1,415"
2021년06월_여_40~49세,"6,693",177,233,660,740,561,652,260,279,122,522,750,513,"1,224"
2021년06월_여_50~59세,"7,815",266,234,741,640,698,884,307,355,162,605,970,669,"1,284"
2021년06월_여_60~69세,"7,885",339,303,739,635,640,925,317,322,208,562,"1,123",692,"1,080"
2021년06월_여_70~79세,"5,719",209,292,480,534,509,661,252,287,169,435,844,445,602
2021년06월_여_80~89세,"2,797",105,122,215,264,255,303,126,150,81,197,468,204,307
2021년06월_여_90~99세,479,19,27,44,35,39,39,24,27,11,26,85,39,64
2021년06월_여_100세 이상,24,1,2,5,1,2,3,3,1,1,0,2,1,2
