,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년05월_계_총인구수,"233,067","15,854","14,552","13,080","13,903","4,706","15,788","5,487","6,649","9,531","10,595","13,492","26,078","6,587","13,782","22,630","12,785","27,568"
2021년05월_계_연령구간인구수,"233,067","15,854","14,552","13,080","13,903","4,706","15,788","5,487","6,649","9,531","10,595","13,492","26,078","6,587","13,782","22,630","12,785","27,568"
2021년05월_계_0~9세,"14,571",869,"1,450",663,883,174,689,162,294,499,632,"1,139","1,906",326,899,"1,881",624,"1,481"
2021년05월_계_10~19세,"21,506","1,000","2,450","1,178","1,121",299,"1,122",254,424,732,784,"1,607","3,069",331,958,"2,819","1,066","2,292"
2021년05월_계_20~29세,"30,543","2,772","1,589","1,581","2,402",491,"1,785","1,038",790,"1,744","1,515","1,500","3,054",865,"1,785","2,871","1,537","3,224"
2021년05월_계_30~39세,"25,555","2,337","1,478","1,304","1,908",445,"1,591",625,635,"1,278","1,338","1,523","2,318",883,"1,594","2,401","1,253","2,644"
2021년05월_계_40~49세,"36,063","2,462","3,250","2,026","2,146",590,"2,045",586,865,"1,373","1,468","2,411","4,347",939,"1,892","3,903","1,811","3,949"
2021년05월_계_50~59세,"39,097","2,580","2,063","2,327","1,986",824,"2,787",893,"1,220","1,458","1,766","2,218","4,461","1,133","2,217","3,553","2,393","5,218"
2021년05월_계_60~69세,"34,385","2,180","1,232","2,111","1,829",908,"3,075",939,"1,235","1,175","1,474","1,578","3,541","1,192","2,263","2,620","2,103","4,930"
2021년05월_계_70~79세,"20,555","1,104",686,"1,226","1,064",626,"1,861",616,740,809,967,"1,022","2,216",625,"1,452","1,667","1,239","2,635"
2021년05월_계_80~89세,"9,436",470,310,578,468,311,732,330,377,402,558,447,"1,014",263,634,816,677,"1,049"
2021년05월_계_90~99세,"1,308",76,39,83,93,37,94,42,68,58,93,47,145,30,86,97,78,142
2021년05월_계_100세 이상,48,4,5,3,3,1,7,2,1,3,0,0,7,0,2,2,4,4
2021년05월_남_총인구수,"114,905","8,201","6,955","6,366","6,871","2,467","7,918","2,666","3,371","4,590","4,995","6,545","12,539","3,454","6,793","10,896","6,233","14,045"
