카테고리,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020년08월_계_총인구수,"176,937","14,046","12,378","15,057","27,971","11,710","26,313","18,821","10,130","11,751","28,760"
2020년08월_계_연령구간인구수,"176,937","14,046","12,378","15,057","27,971","11,710","26,313","18,821","10,130","11,751","28,760"
2020년08월_계_0~9세,"10,440",710,865,632,"1,736",729,"1,357","1,166",337,620,"2,288"
2020년08월_계_10~19세,"11,970","1,206","1,207",673,"1,970",878,"1,683","1,263",460,794,"1,836"
2020년08월_계_20~29세,"24,300","1,874","1,428","1,829","3,143","1,281","5,098","2,883","1,897","1,537","3,330"
2020년08월_계_30~39세,"24,114","1,662","1,259","1,860","3,525","1,485","4,115","2,715","1,539","1,697","4,257"
2020년08월_계_40~49세,"25,638","2,051","1,991","1,922","3,755","1,770","3,746","2,902","1,301","1,821","4,379"
2020년08월_계_50~59세,"27,717","2,423","2,187","2,362","4,468","1,898","3,596","2,771","1,440","1,842","4,730"
2020년08월_계_60~69세,"28,224","2,111","1,903","2,961","5,041","1,988","3,625","2,612","1,660","1,767","4,556"
2020년08월_계_70~79세,"17,006","1,300","1,046","1,953","2,938","1,228","2,184","1,767","1,053","1,108","2,429"
2020년08월_계_80~89세,"6,589",603,398,774,"1,223",399,790,671,393,506,832
2020년08월_계_90~99세,875,100,84,85,165,50,112,64,44,53,118
2020년08월_계_100세 이상,64,6,10,6,7,4,7,7,6,6,5
2020년08월_남_총인구수,"83,686","6,466","5,764","7,203","13,432","5,764","12,343","8,755","4,815","5,275","13,869"
2020년08월_남_연령구간인구수,"83,686","6,466","5,764","7,203","13,432","5,764","12,343","8,755","4,815","5,275","13,869"
2020년08월_남_0~9세,"5,365",338,433,326,911,378,730,593,179,323,"1,154"
2020년08월_남_10~19세,"6,153",610,610,340,"1,021",470,897,637,234,397,937
2020년08월_남_20~29세,"11,873",940,746,900,"1,627",714,"2,267","1,339",842,737,"1,761"
2020년08월_남_30~39세,"12,010",802,587,985,"1,793",762,"2,055","1,315",802,794,"2,115"
2020년08월_남_40~49세,"12,592",929,898,"1,011","1,890",920,"1,825","1,426",684,805,"2,204"
2020년08월_남_50~59세,"12,679","1,111",950,"1,107","2,045",901,"1,627","1,266",680,812,"2,180"
2020년08월_남_60~69세,"12,622",927,871,"1,321","2,252",901,"1,609","1,145",767,739,"2,090"
2020년08월_남_70~79세,"7,668",552,496,889,"1,381",550,"1,005",749,466,475,"1,105"
2020년08월_남_80~89세,"2,500",222,155,304,465,160,293,265,153,184,299
2020년08월_남_90~99세,211,35,15,20,44,8,32,18,8,9,22
2020년08월_남_100세 이상,13,0,3,0,3,0,3,2,0,0,2
2020년08월_여_총인구수,"93,251","7,580","6,614","7,854","14,539","5,946","13,970","10,066","5,315","6,476","14,891"
2020년08월_여_연령구간인구수,"93,251","7,580","6,614","7,854","14,539","5,946","13,970","10,066","5,315","6,476","14,891"
2020년08월_여_0~9세,"5,075",372,432,306,825,351,627,573,158,297,"1,134"
2020년08월_여_10~19세,"5,817",596,597,333,949,408,786,626,226,397,899
2020년08월_여_20~29세,"12,427",934,682,929,"1,516",567,"2,831","1,544","1,055",800,"1,569"
2020년08월_여_30~39세,"12,104",860,672,875,"1,732",723,"2,060","1,400",737,903,"2,142"
2020년08월_여_40~49세,"13,046","1,122","1,093",911,"1,865",850,"1,921","1,476",617,"1,016","2,175"
2020년08월_여_50~59세,"15,038","1,312","1,237","1,255","2,423",997,"1,969","1,505",760,"1,030","2,550"
2020년08월_여_60~69세,"15,602","1,184","1,032","1,640","2,789","1,087","2,016","1,467",893,"1,028","2,466"
2020년08월_여_70~79세,"9,338",748,550,"1,064","1,557",678,"1,179","1,018",587,633,"1,324"
2020년08월_여_80~89세,"4,089",381,243,470,758,239,497,406,240,322,533
2020년08월_여_90~99세,664,65,69,65,121,42,80,46,36,44,96
2020년08월_여_100세 이상,51,6,7,6,4,4,4,5,6,6,3
