카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년03월_계_총인구수,"81,257","3,877","2,610","1,183","2,107","1,874","2,356","1,663","1,668","1,566",967,"1,595","1,926","2,311","1,950","2,103","2,767","3,579","3,455","6,091","6,821","4,201","7,386","17,201"
2020년03월_계_연령구간인구수,"81,257","3,877","2,610","1,183","2,107","1,874","2,356","1,663","1,668","1,566",967,"1,595","1,926","2,311","1,950","2,103","2,767","3,579","3,455","6,091","6,821","4,201","7,386","17,201"
2020년03월_계_0~9세,"5,249",164,101,51,73,66,93,53,65,56,29,72,73,93,102,91,124,191,180,584,636,225,441,"1,686"
2020년03월_계_10~19세,"7,545",213,173,58,123,106,132,79,95,66,41,79,101,175,124,179,206,373,281,623,794,336,666,"2,522"
2020년03월_계_20~29세,"7,641",279,213,84,145,131,128,77,104,122,64,109,132,181,112,147,178,375,380,675,616,489,828,"2,072"
2020년03월_계_30~39세,"6,699",222,156,70,136,81,125,75,94,80,57,68,107,134,105,99,158,302,264,696,708,425,650,"1,887"
2020년03월_계_40~49세,"11,055",359,324,117,184,182,242,145,152,127,67,161,181,235,182,281,323,483,488,929,"1,117",534,"1,040","3,202"
2020년03월_계_50~59세,"13,896",711,482,180,394,303,362,256,309,277,165,256,343,432,333,490,544,639,560,"1,000","1,033",695,"1,362","2,770"
2020년03월_계_60~69세,"12,523",782,506,228,393,368,479,339,337,283,212,252,346,397,387,342,573,536,585,744,914,689,"1,121","1,710"
2020년03월_계_70~79세,"9,691",623,387,187,336,344,444,306,265,304,182,310,344,337,351,275,413,440,469,554,666,515,767,872
2020년03월_계_80~89세,"6,008",444,224,176,278,255,308,282,204,220,132,252,264,277,216,181,213,215,211,253,292,246,448,417
2020년03월_계_90~99세,908,76,39,32,43,37,41,49,42,29,18,32,33,47,36,18,34,25,36,31,43,46,61,60
2020년03월_계_100세 이상,42,4,5,0,2,1,2,2,1,2,0,4,2,3,2,0,1,0,1,2,2,1,2,3
2020년03월_남_총인구수,"39,814","1,861","1,327",581,"1,029",924,"1,130",792,836,797,482,809,960,"1,143",959,"1,019","1,359","1,689","1,637","2,945","3,283","2,032","3,738","8,482"
2020년03월_남_연령구간인구수,"39,814","1,861","1,327",581,"1,029",924,"1,130",792,836,797,482,809,960,"1,143",959,"1,019","1,359","1,689","1,637","2,945","3,283","2,032","3,738","8,482"
2020년03월_남_0~9세,"2,785",88,60,26,34,38,40,33,34,31,22,36,41,51,59,46,64,101,94,305,328,120,228,906
2020년03월_남_10~19세,"3,892",102,78,34,64,59,75,38,49,41,22,41,58,96,66,87,117,186,134,294,383,197,339,"1,332"
2020년03월_남_20~29세,"4,238",147,134,44,81,83,75,42,57,67,37,58,78,94,62,77,114,202,213,375,345,275,462,"1,116"
2020년03월_남_30~39세,"3,390",118,82,36,77,49,70,47,62,40,31,40,54,73,62,56,73,147,128,348,325,220,345,907
