,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년09월_계_총인구수,"114,719","33,529","23,567","31,259","4,271","5,359","3,464","10,012","3,258"
2020년09월_계_연령구간인구수,"114,719","33,529","23,567","31,259","4,271","5,359","3,464","10,012","3,258"
2020년09월_계_0~9세,"9,696","2,382","1,855","4,589",88,128,71,350,233
2020년09월_계_10~19세,"11,544","3,416","3,091","3,700",129,168,140,723,177
2020년09월_계_20~29세,"12,106","3,924","2,804","3,053",304,426,253,"1,115",227
2020년09월_계_30~39세,"15,319","3,528","2,388","7,469",283,354,218,745,334
2020년09월_계_40~49세,"20,525","5,534","5,070","6,792",374,510,361,"1,458",426
2020년09월_계_50~59세,"19,507","6,316","4,613","2,972",849,"1,165",751,"2,271",570
2020년09월_계_60~69세,"13,404","4,323","2,122","1,543","1,005","1,303",833,"1,672",603
2020년09월_계_70~79세,"7,626","2,424","1,040",746,704,767,519,"1,037",389
2020년09월_계_80~89세,"4,343","1,472",522,345,469,449,262,566,258
2020년09월_계_90~99세,609,190,61,45,62,89,53,71,38
2020년09월_계_100세 이상,40,20,1,5,4,0,3,4,3
2020년09월_남_총인구수,"59,823","16,798","12,324","16,840","2,290","2,757","1,908","5,196","1,710"
2020년09월_남_연령구간인구수,"59,823","16,798","12,324","16,840","2,290","2,757","1,908","5,196","1,710"
2020년09월_남_0~9세,"4,998","1,218",975,"2,361",43,66,36,170,129
2020년09월_남_10~19세,"6,102","1,780","1,632","1,963",68,93,71,390,105
2020년09월_남_20~29세,"6,837","2,241","1,634","1,529",184,268,173,669,139
2020년09월_남_30~39세,"8,386","1,880","1,227","4,139",176,212,139,441,172
2020년09월_남_40~49세,"11,082","2,809","2,543","3,901",252,318,227,780,252
2020년09월_남_50~59세,"10,591","3,213","2,556","1,752",517,590,440,"1,216",307
2020년09월_남_60~69세,"6,944","2,140","1,119",752,565,698,455,881,334
2020년09월_남_70~79세,"3,302",984,446,325,311,367,255,442,172
2020년09월_남_80~89세,"1,434",479,176,105,163,137,93,191,90
2020년09월_남_90~99세,140,51,16,12,11,8,18,15,9
2020년09월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년09월_여_총인구수,"54,896","16,731","11,243","14,419","1,981","2,602","1,556","4,816","1,548"
2020년09월_여_연령구간인구수,"54,896","16,731","11,243","14,419","1,981","2,602","1,556","4,816","1,548"
2020년09월_여_0~9세,"4,698","1,164",880,"2,228",45,62,35,180,104
2020년09월_여_10~19세,"5,442","1,636","1,459","1,737",61,75,69,333,72
2020년09월_여_20~29세,"5,269","1,683","1,170","1,524",120,158,80,446,88
2020년09월_여_30~39세,"6,933","1,648","1,161","3,330",107,142,79,304,162
2020년09월_여_40~49세,"9,443","2,725","2,527","2,891",122,192,134,678,174
2020년09월_여_50~59세,"8,916","3,103","2,057","1,220",332,575,311,"1,055",263
2020년09월_여_60~69세,"6,460","2,183","1,003",791,440,605,378,791,269
2020년09월_여_70~79세,"4,324","1,440",594,421,393,400,264,595,217
2020년09월_여_80~89세,"2,909",993,346,240,306,312,169,375,168
2020년09월_여_90~99세,469,139,45,33,51,81,35,56,29
2020년09월_여_100세 이상,33,17,1,4,4,0,2,3,2
