,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2021년11월_계_총인구수,"51,652,704","9,520,880","3,353,627","2,388,230","2,946,319","1,442,138","1,453,675","1,122,495","369,465","13,557,973","1,538,273","1,597,019","2,119,529","1,788,616","1,833,864","2,627,468","3,316,365","676,768"
2021년11월_계_연령구간인구수,"51,652,704","9,520,880","3,353,627","2,388,230","2,946,319","1,442,138","1,453,675","1,122,495","369,465","13,557,973","1,538,273","1,597,019","2,119,529","1,788,616","1,833,864","2,627,468","3,316,365","676,768"
2021년11월_계_0~9세,"3,775,503","586,559","220,636","168,602","218,194","114,343","107,912","92,477","46,913","1,103,092","101,330","117,375","163,587","120,244","124,403","179,383","252,126","58,327"
2021년11월_계_10~19세,"4,716,775","758,445","266,474","218,976","271,348","152,805","142,601","110,182","45,439","1,322,710","134,178","146,547","200,859","170,547","163,429","222,205","319,712","70,318"
2021년11월_계_20~29세,"6,674,970","1,426,394","417,317","310,800","391,498","207,080","210,148","138,053","38,251","1,802,051","175,632","194,924","238,690","207,328","194,193","276,881","364,578","81,152"
2021년11월_계_30~39세,"6,731,509","1,440,774","406,584","285,532","401,742","181,567","189,983","145,385","61,298","1,899,719","162,898","190,993","260,233","182,723","178,946","280,402","381,635","81,095"
2021년11월_계_40~49세,"8,165,990","1,483,164","502,425","372,803","480,658","236,306","231,153","183,960","72,186","2,293,799","219,290","236,989","325,143","260,016","252,438","377,057","527,310","111,293"
2021년11월_계_50~59세,"8,631,102","1,507,704","555,462","419,916","510,589","235,316","240,267","207,162","48,474","2,270,910","264,619","270,634","340,365","298,709","312,312","454,422","579,473","114,768"
2021년11월_계_60~69세,"7,147,578","1,285,127","548,572","341,719","397,525","171,663","190,076","155,227","33,344","1,663,383","259,431","240,966","299,047","267,848","284,327","432,158","492,612","84,553"
2021년11월_계_70~79세,"3,712,470","695,892","297,407","177,394","179,068","94,422","92,291","62,736","14,704","772,918","132,719","119,947","172,222","170,880","191,177","243,700","249,261","45,732"
2021년11월_계_80~89세,"1,825,295","293,290","122,945","82,243","82,331","42,416","42,957","23,987","7,533","372,378","76,160","68,819","103,601","95,174","115,039","140,516","130,753","25,153"
2021년11월_계_90~99세,"262,341","41,521","15,294","9,968","12,928","6,012","6,098","3,241","1,285","54,952","11,598","9,532","15,323","14,708","17,082","20,133","18,480","4,186"
2021년11월_계_100세 이상,"9,171","2,010",511,277,438,208,189,85,38,"2,061",418,293,459,439,518,611,425,191
