,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년07월_계_총인구수,"147,809","44,071","8,645","4,639","7,722","12,622","2,200","4,911","9,481","6,207","8,572","2,803","2,776","18,772","14,388"
2020년07월_계_연령구간인구수,"147,809","44,071","8,645","4,639","7,722","12,622","2,200","4,911","9,481","6,207","8,572","2,803","2,776","18,772","14,388"
2020년07월_계_0~9세,"8,879","2,971",612,132,236,713,49,200,517,519,655,63,208,"1,277",727
2020년07월_계_10~19세,"12,554","5,024",590,215,414,979,84,273,700,370,466,148,157,"1,912","1,222"
2020년07월_계_20~29세,"17,925","5,828",984,446,782,"1,512",198,428,965,842,987,229,288,"2,545","1,891"
2020년07월_계_30~39세,"14,782","4,410","1,111",352,618,"1,255",123,296,871,853,"1,030",118,344,"1,987","1,414"
2020년07월_계_40~49세,"20,844","7,330","1,137",564,914,"1,718",212,540,"1,205",626,885,275,281,"2,820","2,337"
2020년07월_계_50~59세,"29,420","8,971","1,644","1,106","1,960","2,562",400,"1,039","1,615",933,"1,360",549,476,"3,591","3,214"
2020년07월_계_60~69세,"23,577","5,556","1,408","1,017","1,587","2,186",551,"1,076","1,811",998,"1,467",653,529,"2,597","2,141"
2020년07월_계_70~79세,"12,483","2,561",722,498,714,"1,070",378,676,"1,085",691,"1,039",496,301,"1,331",921
2020년07월_계_80~89세,"6,301","1,208",380,281,423,536,186,331,593,335,555,240,169,605,459
2020년07월_계_90~99세,971,200,55,27,73,84,19,49,112,36,113,29,22,96,56
2020년07월_계_100세 이상,73,12,2,1,1,7,0,3,7,4,15,3,1,11,6
2020년07월_남_총인구수,"78,166","22,483","4,659","2,661","4,508","6,950","1,233","2,671","4,899","3,362","4,559","1,452","1,463","9,526","7,740"
2020년07월_남_연령구간인구수,"78,166","22,483","4,659","2,661","4,508","6,950","1,233","2,671","4,899","3,362","4,559","1,452","1,463","9,526","7,740"
2020년07월_남_0~9세,"4,610","1,518",318,78,112,390,28,100,269,278,338,28,104,647,402
2020년07월_남_10~19세,"6,582","2,617",301,122,218,538,52,140,380,175,237,71,75,"1,015",641
2020년07월_남_20~29세,"10,406","3,154",573,285,466,907,132,259,578,565,668,146,162,"1,427","1,084"
2020년07월_남_30~39세,"8,168","2,239",625,218,381,724,83,176,515,501,612,77,196,"1,041",780
2020년07월_남_40~49세,"11,222","3,636",639,355,594,948,123,336,667,375,512,160,165,"1,430","1,282"
2020년07월_남_50~59세,"16,157","4,768",906,648,"1,227","1,478",241,611,847,493,755,298,251,"1,830","1,804"
2020년07월_남_60~69세,"12,740","2,910",796,599,963,"1,235",307,600,919,522,757,342,302,"1,332","1,156"
2020년07월_남_70~79세,"5,750","1,179",345,233,372,510,177,305,488,331,437,228,145,575,425
2020년07월_남_80~89세,"2,281",418,142,119,165,199,82,125,206,111,210,92,57,206,149
2020년07월_남_90~99세,223,41,12,4,10,20,8,17,25,11,28,7,6,19,15
2020년07월_남_100세 이상,27,3,2,0,0,1,0,2,5,0,5,3,0,4,2
2020년07월_여_총인구수,"69,643","21,588","3,986","1,978","3,214","5,672",967,"2,240","4,582","2,845","4,013","1,351","1,313","9,246","6,648"
2020년07월_여_연령구간인구수,"69,643","21,588","3,986","1,978","3,214","5,672",967,"2,240","4,582","2,845","4,013","1,351","1,313","9,246","6,648"
2020년07월_여_0~9세,"4,269","1,453",294,54,124,323,21,100,248,241,317,35,104,630,325
2020년07월_여_10~19세,"5,972","2,407",289,93,196,441,32,133,320,195,229,77,82,897,581
2020년07월_여_20~29세,"7,519","2,674",411,161,316,605,66,169,387,277,319,83,126,"1,118",807
2020년07월_여_30~39세,"6,614","2,171",486,134,237,531,40,120,356,352,418,41,148,946,634
2020년07월_여_40~49세,"9,622","3,694",498,209,320,770,89,204,538,251,373,115,116,"1,390","1,055"
2020년07월_여_50~59세,"13,263","4,203",738,458,733,"1,084",159,428,768,440,605,251,225,"1,761","1,410"
2020년07월_여_60~69세,"10,837","2,646",612,418,624,951,244,476,892,476,710,311,227,"1,265",985
2020년07월_여_70~79세,"6,733","1,382",377,265,342,560,201,371,597,360,602,268,156,756,496
2020년07월_여_80~89세,"4,020",790,238,162,258,337,104,206,387,224,345,148,112,399,310
2020년07월_여_90~99세,748,159,43,23,63,64,11,32,87,25,85,22,16,77,41
2020년07월_여_100세 이상,46,9,0,1,1,6,0,1,2,4,10,0,1,7,4
