,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년03월_계_총인구수,"151,372","49,029","2,156","3,110","2,871","2,905","2,822","1,784","1,719","58,194","12,409","12,518","1,855"
2020년03월_계_연령구간인구수,"151,372","49,029","2,156","3,110","2,871","2,905","2,822","1,784","1,719","58,194","12,409","12,518","1,855"
2020년03월_계_0~9세,"14,012","4,633",73,97,70,78,65,56,42,"6,883",988,968,59
2020년03월_계_10~19세,"16,294","5,233",145,141,117,137,94,95,70,"7,480","1,212","1,447",123
2020년03월_계_20~29세,"20,300","6,322",192,269,254,218,215,107,145,"8,327","1,719","2,317",215
2020년03월_계_30~39세,"18,949","6,205",135,167,190,175,171,102,130,"8,890","1,318","1,335",131
2020년03월_계_40~49세,"24,153","8,026",218,299,284,232,268,172,183,"10,755","1,998","1,510",208
2020년03월_계_50~59세,"28,726","8,513",458,686,593,563,515,353,327,"10,521","2,854","2,921",422
2020년03월_계_60~69세,"15,733","5,502",355,568,559,581,568,383,297,"3,495","1,499","1,601",325
2020년03월_계_70~79세,"7,895","2,808",305,491,458,499,534,291,287,"1,207",524,287,204
2020년03월_계_80~89세,"4,581","1,525",230,335,302,368,324,199,213,562,258,113,152
2020년03월_계_90~99세,707,252,44,56,43,53,66,24,24,71,39,19,16
2020년03월_계_100세 이상,22,10,1,1,1,1,2,2,1,3,0,0,0
2020년03월_남_총인구수,"78,834","25,086","1,118","1,542","1,466","1,450","1,392",898,934,"30,531","6,579","6,829","1,009"
2020년03월_남_연령구간인구수,"78,834","25,086","1,118","1,542","1,466","1,450","1,392",898,934,"30,531","6,579","6,829","1,009"
2020년03월_남_0~9세,"7,141","2,348",47,45,36,35,28,25,21,"3,505",514,505,32
2020년03월_남_10~19세,"8,436","2,721",84,73,58,78,51,58,38,"3,873",604,730,68
2020년03월_남_20~29세,"11,799","3,478",113,166,156,143,125,59,90,"4,760","1,020","1,551",138
2020년03월_남_30~39세,"10,121","3,206",82,83,107,93,105,57,80,"4,713",743,763,89
2020년03월_남_40~49세,"12,241","4,217",134,168,167,144,166,113,124,"5,242","1,055",576,135
2020년03월_남_50~59세,"15,777","4,504",262,397,331,315,300,195,213,"5,867","1,538","1,614",241
2020년03월_남_60~69세,"8,292","2,852",182,288,297,298,272,197,157,"1,879",795,899,176
2020년03월_남_70~79세,"3,462","1,233",127,210,200,209,231,111,132,513,246,160,90
2020년03월_남_80~89세,"1,427",476,73,98,105,126,106,78,73,167,59,28,38
2020년03월_남_90~99세,132,49,13,13,9,9,8,5,6,10,5,3,2
2020년03월_남_100세 이상,6,2,1,1,0,0,0,0,0,2,0,0,0
2020년03월_여_총인구수,"72,538","23,943","1,038","1,568","1,405","1,455","1,430",886,785,"27,663","5,830","5,689",846
2020년03월_여_연령구간인구수,"72,538","23,943","1,038","1,568","1,405","1,455","1,430",886,785,"27,663","5,830","5,689",846
2020년03월_여_0~9세,"6,871","2,285",26,52,34,43,37,31,21,"3,378",474,463,27
2020년03월_여_10~19세,"7,858","2,512",61,68,59,59,43,37,32,"3,607",608,717,55
2020년03월_여_20~29세,"8,501","2,844",79,103,98,75,90,48,55,"3,567",699,766,77
2020년03월_여_30~39세,"8,828","2,999",53,84,83,82,66,45,50,"4,177",575,572,42
2020년03월_여_40~49세,"11,912","3,809",84,131,117,88,102,59,59,"5,513",943,934,73
2020년03월_여_50~59세,"12,949","4,009",196,289,262,248,215,158,114,"4,654","1,316","1,307",181
2020년03월_여_60~69세,"7,441","2,650",173,280,262,283,296,186,140,"1,616",704,702,149
2020년03월_여_70~79세,"4,433","1,575",178,281,258,290,303,180,155,694,278,127,114
2020년03월_여_80~89세,"3,154","1,049",157,237,197,242,218,121,140,395,199,85,114
2020년03월_여_90~99세,575,203,31,43,34,44,58,19,18,61,34,16,14
2020년03월_여_100세 이상,16,8,0,0,1,1,2,2,1,1,0,0,0
