,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년03월_계_총인구수,"227,112","36,075","19,795","59,258","31,630","16,226","64,128"
2020년03월_계_연령구간인구수,"227,112","36,075","19,795","59,258","31,630","16,226","64,128"
2020년03월_계_0~9세,"24,772","4,188",965,"7,392","4,146","1,503","6,578"
2020년03월_계_10~19세,"24,875","4,294","1,223","6,673","3,268","2,022","7,395"
2020년03월_계_20~29세,"30,648","4,476","3,655","6,826","4,073","2,187","9,431"
2020년03월_계_30~39세,"39,674","5,825","4,873","10,006","6,113","2,499","10,358"
2020년03월_계_40~49세,"42,365","6,730","3,576","11,011","5,914","3,116","12,018"
2020년03월_계_50~59세,"32,576","5,333","2,763","8,223","4,157","2,453","9,647"
2020년03월_계_60~69세,"18,511","2,933","1,626","5,221","2,437","1,353","4,941"
2020년03월_계_70~79세,"9,398","1,540",780,"2,664","1,052",723,"2,639"
2020년03월_계_80~89세,"3,788",663,295,"1,106",400,338,986
2020년03월_계_90~99세,459,85,33,123,64,27,127
2020년03월_계_100세 이상,46,8,6,13,6,5,8
2020년03월_남_총인구수,"117,359","18,076","11,604","29,873","16,275","8,369","33,162"
2020년03월_남_연령구간인구수,"117,359","18,076","11,604","29,873","16,275","8,369","33,162"
2020년03월_남_0~9세,"12,680","2,148",487,"3,765","2,124",792,"3,364"
2020년03월_남_10~19세,"12,748","2,120",635,"3,369","1,681","1,043","3,900"
2020년03월_남_20~29세,"16,517","2,346","2,081","3,611","2,166","1,193","5,120"
2020년03월_남_30~39세,"21,324","2,983","3,115","5,149","3,219","1,354","5,504"
2020년03월_남_40~49세,"22,434","3,423","2,206","5,806","3,100","1,608","6,291"
2020년03월_남_50~59세,"16,902","2,719","1,715","4,070","2,091","1,289","5,018"
2020년03월_남_60~69세,"9,131","1,436",872,"2,516","1,220",650,"2,437"
2020년03월_남_70~79세,"4,146",636,368,"1,182",517,316,"1,127"
2020년03월_남_80~89세,"1,366",247,117,374,145,116,367
2020년03월_남_90~99세,97,14,6,28,11,5,33
2020년03월_남_100세 이상,14,4,2,3,1,3,1
2020년03월_여_총인구수,"109,753","17,999","8,191","29,385","15,355","7,857","30,966"
2020년03월_여_연령구간인구수,"109,753","17,999","8,191","29,385","15,355","7,857","30,966"
2020년03월_여_0~9세,"12,092","2,040",478,"3,627","2,022",711,"3,214"
2020년03월_여_10~19세,"12,127","2,174",588,"3,304","1,587",979,"3,495"
2020년03월_여_20~29세,"14,131","2,130","1,574","3,215","1,907",994,"4,311"
2020년03월_여_30~39세,"18,350","2,842","1,758","4,857","2,894","1,145","4,854"
2020년03월_여_40~49세,"19,931","3,307","1,370","5,205","2,814","1,508","5,727"
2020년03월_여_50~59세,"15,674","2,614","1,048","4,153","2,066","1,164","4,629"
2020년03월_여_60~69세,"9,380","1,497",754,"2,705","1,217",703,"2,504"
2020년03월_여_70~79세,"5,252",904,412,"1,482",535,407,"1,512"
2020년03월_여_80~89세,"2,422",416,178,732,255,222,619
2020년03월_여_90~99세,362,71,27,95,53,22,94
2020년03월_여_100세 이상,32,4,4,10,5,2,7
