카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년02월_계_총인구수,"1,801,319","657,998","339,227","318,771","267,612","280,847","108,344","80,375","82,193","91,422","25,302","23,990","22,035","27,179","27,624","54,435","51,963"
2021년02월_계_연령구간인구수,"1,801,319","657,998","339,227","318,771","267,612","280,847","108,344","80,375","82,193","91,422","25,302","23,990","22,035","27,179","27,624","54,435","51,963"
2021년02월_계_0~9세,"126,814","53,634","24,439","29,195","20,672","18,791","6,244","4,916","4,235","6,760","1,248","1,177","1,130","1,341","1,479","2,656","2,531"
2021년02월_계_10~19세,"173,854","71,519","35,962","35,557","26,645","27,541","9,601","7,225","6,129","8,251","1,658","1,826","1,650","1,654","2,212","4,238","3,705"
2021년02월_계_20~29세,"210,027","92,825","49,301","43,524","29,647","35,665","10,536","7,536","7,137","8,895","1,913","1,744","1,633","2,031","2,043","4,204","4,218"
2021년02월_계_30~39세,"187,430","81,735","39,736","41,999","30,267","28,156","8,791","6,336","6,522","9,246","1,615","1,698","1,535","1,917","1,946","3,810","3,856"
2021년02월_계_40~49세,"267,394","106,958","53,225","53,733","43,375","41,636","14,737","10,655","9,977","13,544","2,716","2,855","2,552","2,811","3,277","6,188","6,113"
2021년02월_계_50~59세,"299,270","106,419","57,222","49,197","44,039","48,781","18,364","13,653","13,611","15,162","4,488","4,159","3,675","4,648","4,480","8,993","8,798"
2021년02월_계_60~69세,"258,628","77,735","42,816","34,919","38,025","40,896","17,144","13,071","14,673","14,069","4,934","4,458","4,253","5,027","4,864","9,795","9,684"
2021년02월_계_70~79세,"170,754","44,403","24,116","20,287","23,021","24,635","13,371","9,798","11,418","9,309","3,811","3,362","3,124","4,277","4,164","8,354","7,707"
2021년02월_계_80~89세,"92,346","19,780","10,727","9,053","10,195","12,584","8,257","6,192","7,200","5,316","2,525","2,352","2,159","3,017","2,753","5,328","4,688"
2021년02월_계_90~99세,"13,930","2,831","1,603","1,228","1,600","2,054","1,182",952,"1,217",824,367,336,301,433,378,830,625
2021년02월_계_100세 이상,872,159,80,79,126,108,117,41,74,46,27,23,23,23,28,39,38
2021년02월_남_총인구수,"895,485","323,761","165,112","158,649","135,263","139,818","53,690","39,409","40,756","46,951","12,773","11,968","10,987","13,910","13,437","26,924","25,838"
2021년02월_남_연령구간인구수,"895,485","323,761","165,112","158,649","135,263","139,818","53,690","39,409","40,756","46,951","12,773","11,968","10,987","13,910","13,437","26,924","25,838"
2021년02월_남_0~9세,"65,055","27,486","12,575","14,911","10,505","9,630","3,203","2,602","2,204","3,384",614,630,592,716,755,"1,406","1,328"
2021년02월_남_10~19세,"90,066","36,991","18,707","18,284","13,779","14,070","5,095","3,732","3,153","4,314",878,933,844,875,"1,145","2,312","1,945"
2021년02월_남_20~29세,"113,441","48,632","25,455","23,177","16,296","19,415","5,813","4,208","3,992","4,949","1,099",977,925,"1,200","1,139","2,413","2,383"
2021년02월_남_30~39세,"96,734","41,331","20,157","21,174","15,824","14,763","4,665","3,241","3,476","4,777",782,931,804,"1,065",943,"2,043","2,089"
2021년02월_남_40~49세,"137,729","52,381","25,469","26,912","22,766","21,243","7,742","5,438","5,582","7,481","1,573","1,590","1,438","1,705","1,854","3,506","3,430"
2021년02월_남_50~59세,"154,871","52,280","27,633","24,647","23,083","24,785","9,892","7,300","7,419","8,438","2,523","2,296","2,067","2,643","2,427","4,916","4,802"
2021년02월_남_60~69세,"127,800","37,081","20,195","16,886","18,719","20,284","8,509","6,509","7,386","7,305","2,621","2,306","2,168","2,711","2,478","4,867","4,856"
2021년02월_남_70~79세,"75,515","19,741","10,751","8,990","10,422","11,030","5,769","4,152","4,983","4,319","1,763","1,407","1,368","1,877","1,711","3,617","3,356"
2021년02월_남_80~89세,"31,000","7,162","3,797","3,365","3,490","4,103","2,723","1,997","2,283","1,798",824,815,706,"1,008",885,"1,701","1,505"
2021년02월_남_90~99세,"3,092",646,357,289,342,470,257,219,263,178,87,78,70,104,100,140,138
2021년02월_남_100세 이상,182,30,16,14,37,25,22,11,15,8,9,5,5,6,0,3,6
2021년02월_여_총인구수,"905,834","334,237","174,115","160,122","132,349","141,029","54,654","40,966","41,437","44,471","12,529","12,022","11,048","13,269","14,187","27,511","26,125"
2021년02월_여_연령구간인구수,"905,834","334,237","174,115","160,122","132,349","141,029","54,654","40,966","41,437","44,471","12,529","12,022","11,048","13,269","14,187","27,511","26,125"
2021년02월_여_0~9세,"61,759","26,148","11,864","14,284","10,167","9,161","3,041","2,314","2,031","3,376",634,547,538,625,724,"1,250","1,203"
2021년02월_여_10~19세,"83,788","34,528","17,255","17,273","12,866","13,471","4,506","3,493","2,976","3,937",780,893,806,779,"1,067","1,926","1,760"
2021년02월_여_20~29세,"96,586","44,193","23,846","20,347","13,351","16,250","4,723","3,328","3,145","3,946",814,767,708,831,904,"1,791","1,835"
2021년02월_여_30~39세,"90,696","40,404","19,579","20,825","14,443","13,393","4,126","3,095","3,046","4,469",833,767,731,852,"1,003","1,767","1,767"
2021년02월_여_40~49세,"129,665","54,577","27,756","26,821","20,609","20,393","6,995","5,217","4,395","6,063","1,143","1,265","1,114","1,106","1,423","2,682","2,683"
2021년02월_여_50~59세,"144,399","54,139","29,589","24,550","20,956","23,996","8,472","6,353","6,192","6,724","1,965","1,863","1,608","2,005","2,053","4,077","3,996"
2021년02월_여_60~69세,"130,828","40,654","22,621","18,033","19,306","20,612","8,635","6,562","7,287","6,764","2,313","2,152","2,085","2,316","2,386","4,928","4,828"
2021년02월_여_70~79세,"95,239","24,662","13,365","11,297","12,599","13,605","7,602","5,646","6,435","4,990","2,048","1,955","1,756","2,400","2,453","4,737","4,351"
2021년02월_여_80~89세,"61,346","12,618","6,930","5,688","6,705","8,481","5,534","4,195","4,917","3,518","1,701","1,537","1,453","2,009","1,868","3,627","3,183"
