카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020년11월_계_총인구수,"125,505","2,063","5,166","2,926","4,049","4,681","5,193","1,834","7,671","14,326","17,199","14,063","10,553","10,667","12,582","12,532"
2020년11월_계_연령구간인구수,"125,505","2,063","5,166","2,926","4,049","4,681","5,193","1,834","7,671","14,326","17,199","14,063","10,553","10,667","12,582","12,532"
2020년11월_계_0~9세,"6,886",167,202,88,189,184,135,50,275,586,"1,134",779,584,745,734,"1,034"
2020년11월_계_10~19세,"6,854",114,201,129,171,297,198,36,289,835,966,891,557,866,525,779
2020년11월_계_20~29세,"18,634",219,507,352,743,"1,252",868,193,"1,355","2,401","2,042","2,025","1,666","1,443","2,103","1,465"
2020년11월_계_30~39세,"20,117",420,548,392,628,663,805,308,"1,303","2,267","2,437","2,198","1,742","1,342","2,802","2,262"
2020년11월_계_40~49세,"18,119",443,674,434,483,573,641,198,"1,055","2,085","2,486","1,969","1,570","1,606","1,830","2,072"
2020년11월_계_50~59세,"20,744",306,972,496,619,597,875,328,"1,389","2,339","2,857","2,367","1,882","1,947","1,776","1,994"
2020년11월_계_60~69세,"17,512",232,"1,040",530,624,511,860,400,"1,026","1,968","2,666","1,956","1,318","1,420","1,510","1,451"
2020년11월_계_70~79세,"10,728",105,598,325,352,385,547,208,670,"1,237","1,643","1,176",844,791,902,945
2020년11월_계_80~89세,"4,809",43,292,144,180,185,209,81,243,512,805,602,327,425,337,424
2020년11월_계_90~99세,900,9,89,27,50,31,40,21,58,82,154,91,50,69,55,74
2020년11월_계_100세 이상,202,5,43,9,10,3,15,11,8,14,9,9,13,13,8,32
2020년11월_남_총인구수,"61,363","1,016","2,739","1,255","2,087","2,366","2,709","1,100","3,838","6,950","8,099","6,665","5,143","5,138","6,003","6,255"
2020년11월_남_연령구간인구수,"61,363","1,016","2,739","1,255","2,087","2,366","2,709","1,100","3,838","6,950","8,099","6,665","5,143","5,138","6,003","6,255"
2020년11월_남_0~9세,"3,532",91,110,54,100,99,72,25,120,305,546,386,293,408,381,542
2020년11월_남_10~19세,"3,452",34,87,57,93,146,102,13,154,450,497,449,283,430,257,400
2020년11월_남_20~29세,"8,877",91,226,158,374,667,380,83,641,"1,167","1,020",982,769,716,890,713
2020년11월_남_30~39세,"10,037",202,258,202,349,347,452,179,667,"1,177","1,149","1,098",886,618,"1,374","1,079"
2020년11월_남_40~49세,"9,252",236,370,191,272,307,359,131,572,"1,054","1,232",955,797,784,899,"1,093"
2020년11월_남_50~59세,"10,553",158,571,207,351,303,497,229,737,"1,121","1,362","1,149",989,938,906,"1,035"
2020년11월_남_60~69세,"8,690",129,615,219,299,246,455,271,516,913,"1,230",940,636,719,734,768
2020년11월_남_70~79세,"4,832",54,304,120,167,170,288,118,315,556,721,452,359,352,429,427
2020년11월_남_80~89세,"1,793",17,141,37,63,71,79,39,98,186,294,226,115,147,115,165
2020년11월_남_90~99세,280,3,37,7,16,10,19,8,15,18,44,25,16,22,18,22
2020년11월_남_100세 이상,65,1,20,3,3,0,6,4,3,3,4,3,0,4,0,11
2020년11월_여_총인구수,"64,142","1,047","2,427","1,671","1,962","2,315","2,484",734,"3,833","7,376","9,100","7,398","5,410","5,529","6,579","6,277"
2020년11월_여_연령구간인구수,"64,142","1,047","2,427","1,671","1,962","2,315","2,484",734,"3,833","7,376","9,100","7,398","5,410","5,529","6,579","6,277"
2020년11월_여_0~9세,"3,354",76,92,34,89,85,63,25,155,281,588,393,291,337,353,492
2020년11월_여_10~19세,"3,402",80,114,72,78,151,96,23,135,385,469,442,274,436,268,379
2020년11월_여_20~29세,"9,757",128,281,194,369,585,488,110,714,"1,234","1,022","1,043",897,727,"1,213",752
2020년11월_여_30~39세,"10,080",218,290,190,279,316,353,129,636,"1,090","1,288","1,100",856,724,"1,428","1,183"
2020년11월_여_40~49세,"8,867",207,304,243,211,266,282,67,483,"1,031","1,254","1,014",773,822,931,979
2020년11월_여_50~59세,"10,191",148,401,289,268,294,378,99,652,"1,218","1,495","1,218",893,"1,009",870,959
2020년11월_여_60~69세,"8,822",103,425,311,325,265,405,129,510,"1,055","1,436","1,016",682,701,776,683
2020년11월_여_70~79세,"5,896",51,294,205,185,215,259,90,355,681,922,724,485,439,473,518
2020년11월_여_80~89세,"3,016",26,151,107,117,114,130,42,145,326,511,376,212,278,222,259
2020년11월_여_90~99세,620,6,52,20,34,21,21,13,43,64,110,66,34,47,37,52
2020년11월_여_100세 이상,137,4,23,6,7,3,9,7,5,11,5,6,13,9,8,21
