카테고리,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년07월_계_총인구수,"9,558,153","145,692","122,951","225,977","288,703","342,111","337,946","389,428","433,361","302,113","319,893","515,198","475,008","306,839","370,185","450,431","577,058","398,744","230,665","377,408","387,810","488,525","418,294","530,529","658,093","465,191"
2021년07월_계_연령구간인구수,"9,558,153","145,692","122,951","225,977","288,703","342,111","337,946","389,428","433,361","302,113","319,893","515,198","475,008","306,839","370,185","450,431","577,058","398,744","230,665","377,408","387,810","488,525","418,294","530,529","658,093","465,191"
2021년07월_계_0~9세,"599,600","7,230","6,470","13,087","19,749","18,440","19,912","21,951","28,228","14,788","17,715","31,615","28,433","19,383","24,195","30,497","38,065","26,666","12,016","25,350","23,753","20,855","32,536","35,139","48,256","35,271"
2021년07월_계_10~19세,"764,952","10,622","6,642","15,077","19,311","25,210","23,134","25,836","36,578","21,241","24,717","51,323","37,693","23,006","28,041","49,862","43,876","29,524","14,235","23,880","27,263","27,800","44,898","58,289","57,819","39,075"
2021년07월_계_20~29세,"1,440,484","23,039","18,305","33,488","44,243","62,278","56,185","55,309","66,130","41,811","42,444","71,349","66,261","49,433","61,919","58,537","86,744","54,509","37,200","59,104","65,475","108,602","53,490","71,294","91,991","61,344"
2021년07월_계_30~39세,"1,449,434","19,584","19,941","38,113","47,543","55,017","49,206","56,942","59,120","37,619","39,652","63,559","67,237","44,456","63,793","56,504","98,242","61,546","35,930","69,179","61,478","85,760","61,001","78,553","107,055","72,404"
2021년07월_계_40~49세,"1,497,354","21,341","17,624","34,558","43,836","51,196","49,362","56,286","68,524","45,038","46,952","83,385","74,873","46,017","60,498","77,531","89,980","61,866","32,045","55,875","57,896","66,636","76,130","97,459","107,369","75,077"
2021년07월_계_50~59세,"1,505,745","24,890","20,191","36,430","46,498","53,799","52,264","68,060","69,040","51,628","56,084","87,041","76,832","48,625","54,568","76,101","84,557","62,236","39,507","56,096","57,829","67,075","62,960","80,360","101,179","71,895"
2021년07월_계_60~69세,"1,274,190","20,221","17,792","28,973","37,297","43,682","47,136","59,980","56,267","46,982","50,944","69,974","66,141","39,291","40,576","59,684","78,726","57,114","34,222","47,844","50,273","59,785","48,264","60,603","86,453","65,966"
2021년07월_계_70~79세,"696,452","11,774","10,333","16,299","20,204","22,043","27,478","31,174","32,722","29,455","27,481","37,282","38,723","23,519","23,649","28,890","39,061","31,822","17,906","26,877","29,627","36,641","27,121","34,287","40,817","31,267"
