,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020년11월_계_총인구수,"819,990","64,347","90,195","42,003","131,829","86,830","82,023","57,354","96,453","84,184","84,772"
2020년11월_계_연령구간인구수,"819,990","64,347","90,195","42,003","131,829","86,830","82,023","57,354","96,453","84,184","84,772"
2020년11월_계_0~9세,"57,742","3,050","5,664","2,806","10,021","8,103","4,725","3,823","9,870","4,582","5,098"
2020년11월_계_10~19세,"70,914","3,944","7,302","3,910","11,461","9,975","6,392","4,429","9,219","7,213","7,069"
2020년11월_계_20~29세,"117,625","10,172","12,960","6,153","19,648","12,243","11,620","7,942","11,520","12,625","12,742"
2020년11월_계_30~39세,"116,551","9,541","12,059","5,504","21,757","12,732","11,299","8,301","14,690","9,782","10,886"
2020년11월_계_40~49세,"129,697","9,695","13,929","6,415","20,761","15,411","12,428","7,996","17,258","12,842","12,962"
2020년11월_계_50~59세,"147,914","11,706","16,633","7,802","22,901","15,294","14,789","10,307","14,477","16,964","17,041"
2020년11월_계_60~69세,"109,934","9,675","13,007","5,823","16,381","8,672","12,365","8,909","11,505","11,853","11,744"
2020년11월_계_70~79세,"46,561","4,552","5,859","2,391","5,792","2,910","5,708","3,880","5,205","5,443","4,821"
2020년11월_계_80~89세,"19,748","1,732","2,426",999,"2,603","1,251","2,323","1,519","2,304","2,502","2,089"
2020년11월_계_90~99세,"3,054",246,322,186,483,234,343,226,366,353,295
2020년11월_계_100세 이상,250,34,34,14,21,5,31,22,39,25,25
2020년11월_남_총인구수,"406,839","32,609","45,178","20,724","63,830","42,660","40,632","28,311","47,337","42,208","43,350"
2020년11월_남_연령구간인구수,"406,839","32,609","45,178","20,724","63,830","42,660","40,632","28,311","47,337","42,208","43,350"
2020년11월_남_0~9세,"29,630","1,618","2,910","1,438","5,179","4,111","2,452","1,955","5,042","2,307","2,618"
2020년11월_남_10~19세,"36,408","2,009","3,808","2,066","5,794","5,104","3,298","2,221","4,619","3,740","3,749"
2020년11월_남_20~29세,"60,688","5,146","6,794","3,120","9,630","6,254","6,129","4,150","5,948","6,697","6,820"
2020년11월_남_30~39세,"59,876","5,238","6,269","2,790","10,782","6,114","6,007","4,387","7,164","5,255","5,870"
2020년11월_남_40~49세,"65,275","5,266","7,273","3,153","9,886","7,265","6,298","3,972","8,804","6,506","6,852"
2020년11월_남_50~59세,"71,850","5,873","8,212","3,767","10,623","7,435","7,057","4,844","6,936","8,505","8,598"
2020년11월_남_60~69세,"54,290","4,648","6,293","2,884","8,309","4,560","5,878","4,309","5,500","5,938","5,971"
2020년11월_남_70~79세,"21,443","2,151","2,677","1,134","2,703","1,370","2,579","1,874","2,438","2,373","2,144"
2020년11월_남_80~89세,"6,622",614,843,319,814,395,859,538,785,798,657
2020년11월_남_90~99세,695,39,89,49,105,50,67,57,89,84,66
2020년11월_남_100세 이상,62,7,10,4,5,2,8,4,12,5,5
2020년11월_여_총인구수,"413,151","31,738","45,017","21,279","67,999","44,170","41,391","29,043","49,116","41,976","41,422"
2020년11월_여_연령구간인구수,"413,151","31,738","45,017","21,279","67,999","44,170","41,391","29,043","49,116","41,976","41,422"
2020년11월_여_0~9세,"28,112","1,432","2,754","1,368","4,842","3,992","2,273","1,868","4,828","2,275","2,480"
2020년11월_여_10~19세,"34,506","1,935","3,494","1,844","5,667","4,871","3,094","2,208","4,600","3,473","3,320"
2020년11월_여_20~29세,"56,937","5,026","6,166","3,033","10,018","5,989","5,491","3,792","5,572","5,928","5,922"
2020년11월_여_30~39세,"56,675","4,303","5,790","2,714","10,975","6,618","5,292","3,914","7,526","4,527","5,016"
2020년11월_여_40~49세,"64,422","4,429","6,656","3,262","10,875","8,146","6,130","4,024","8,454","6,336","6,110"
2020년11월_여_50~59세,"76,064","5,833","8,421","4,035","12,278","7,859","7,732","5,463","7,541","8,459","8,443"
2020년11월_여_60~69세,"55,644","5,027","6,714","2,939","8,072","4,112","6,487","4,600","6,005","5,915","5,773"
2020년11월_여_70~79세,"25,118","2,401","3,182","1,257","3,089","1,540","3,129","2,006","2,767","3,070","2,677"
2020년11월_여_80~89세,"13,126","1,118","1,583",680,"1,789",856,"1,464",981,"1,519","1,704","1,432"
2020년11월_여_90~99세,"2,359",207,233,137,378,184,276,169,277,269,229
2020년11월_여_100세 이상,188,27,24,10,16,3,23,18,27,20,20
