,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년02월_계_총인구수,"2,413,191","76,159","341,661","170,005","146,255","439,218","423,937","555,948","260,008"
2021년02월_계_연령구간인구수,"2,413,191","76,159","341,661","170,005","146,255","439,218","423,937","555,948","260,008"
2021년02월_계_0~9세,"175,992","5,033","24,865","7,401","6,720","33,476","29,770","39,466","29,261"
2021년02월_계_10~19세,"224,223","5,028","26,456","10,744","9,305","42,942","51,060","54,706","23,982"
2021년02월_계_20~29세,"319,256","11,794","41,464","21,415","20,398","61,951","54,950","78,411","28,873"
2021년02월_계_30~39세,"291,854","10,697","43,500","17,279","17,016","53,519","42,641","65,730","41,472"
2021년02월_계_40~49세,"381,902","10,658","51,283","22,663","20,202","72,048","72,638","88,715","43,695"
2021년02월_계_50~59세,"424,457","11,264","56,876","33,937","24,856","78,209","75,167","103,239","40,909"
2021년02월_계_60~69세,"330,162","10,297","52,015","31,451","24,213","54,707","52,654","74,345","30,480"
2021년02월_계_70~79세,"175,891","7,317","30,279","17,229","15,125","28,383","28,920","34,527","14,111"
2021년02월_계_80~89세,"79,011","3,468","13,272","7,031","7,360","12,429","14,143","14,925","6,383"
2021년02월_계_90~99세,"9,696",499,"1,522",751,971,"1,457","1,896","1,790",810
2021년02월_계_100세 이상,747,104,129,104,89,97,98,94,32
2021년02월_남_총인구수,"1,190,244","36,586","168,276","85,148","70,279","218,625","205,155","274,175","132,000"
2021년02월_남_연령구간인구수,"1,190,244","36,586","168,276","85,148","70,279","218,625","205,155","274,175","132,000"
2021년02월_남_0~9세,"90,171","2,592","12,732","3,818","3,482","17,125","15,337","20,167","14,918"
2021년02월_남_10~19세,"117,111","2,586","13,847","5,577","4,910","22,305","26,966","28,386","12,534"
2021년02월_남_20~29세,"170,285","5,641","22,182","11,778","10,183","33,480","29,488","41,703","15,830"
2021년02월_남_30~39세,"152,032","5,544","22,970","9,793","8,965","28,070","20,780","34,242","21,668"
2021년02월_남_40~49세,"188,481","5,394","26,381","12,183","10,193","35,358","33,142","43,048","22,782"
2021년02월_남_50~59세,"207,880","5,561","27,672","17,114","12,138","38,774","36,359","49,919","20,343"
2021년02월_남_60~69세,"157,160","4,763","24,173","14,733","11,071","26,618","24,863","35,792","15,147"
2021년02월_남_70~79세,"76,952","3,082","13,180","7,542","6,433","12,209","12,591","15,415","6,500"
2021년02월_남_80~89세,"27,861","1,280","4,761","2,450","2,659","4,363","5,156","5,097","2,095"
2021년02월_남_90~99세,"2,135",123,339,135,227,303,448,386,174
2021년02월_남_100세 이상,176,20,39,25,18,20,25,20,9
2021년02월_여_총인구수,"1,222,947","39,573","173,385","84,857","75,976","220,593","218,782","281,773","128,008"
2021년02월_여_연령구간인구수,"1,222,947","39,573","173,385","84,857","75,976","220,593","218,782","281,773","128,008"
2021년02월_여_0~9세,"85,821","2,441","12,133","3,583","3,238","16,351","14,433","19,299","14,343"
2021년02월_여_10~19세,"107,112","2,442","12,609","5,167","4,395","20,637","24,094","26,320","11,448"
2021년02월_여_20~29세,"148,971","6,153","19,282","9,637","10,215","28,471","25,462","36,708","13,043"
2021년02월_여_30~39세,"139,822","5,153","20,530","7,486","8,051","25,449","21,861","31,488","19,804"
2021년02월_여_40~49세,"193,421","5,264","24,902","10,480","10,009","36,690","39,496","45,667","20,913"
2021년02월_여_50~59세,"216,577","5,703","29,204","16,823","12,718","39,435","38,808","53,320","20,566"
2021년02월_여_60~69세,"173,002","5,534","27,842","16,718","13,142","28,089","27,791","38,553","15,333"
2021년02월_여_70~79세,"98,939","4,235","17,099","9,687","8,692","16,174","16,329","19,112","7,611"
2021년02월_여_80~89세,"51,150","2,188","8,511","4,581","4,701","8,066","8,987","9,828","4,288"
2021년02월_여_90~99세,"7,561",376,"1,183",616,744,"1,154","1,448","1,404",636
2021년02월_여_100세 이상,571,84,90,79,71,77,73,74,23
