카테고리,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2021년10월_계_총인구수,"175,583","13,859","12,119","14,749","27,496","10,900","25,930","18,724","9,500","13,725","28,581"
2021년10월_계_연령구간인구수,"175,583","13,859","12,119","14,749","27,496","10,900","25,930","18,724","9,500","13,725","28,581"
2021년10월_계_0~9세,"9,983",701,848,579,"1,622",625,"1,166","1,039",260,932,"2,211"
2021년10월_계_10~19세,"11,464","1,149","1,151",658,"1,918",770,"1,523","1,219",392,908,"1,776"
2021년10월_계_20~29세,"23,918","1,798","1,281","1,736","2,964","1,178","5,136","2,903","1,939","1,703","3,280"
2021년10월_계_30~39세,"23,595","1,598","1,206","1,703","3,262","1,308","4,142","2,784","1,425","2,044","4,123"
2021년10월_계_40~49세,"25,036","1,971","1,921","1,873","3,776","1,598","3,508","2,807","1,172","2,103","4,307"
2021년10월_계_50~59세,"27,177","2,469","2,143","2,268","4,217","1,813","3,532","2,736","1,284","2,085","4,630"
2021년10월_계_60~69세,"29,071","2,146","1,966","2,980","5,209","1,960","3,702","2,686","1,591","2,081","4,750"
2021년10월_계_70~79세,"17,246","1,279","1,093","1,972","3,046","1,176","2,221","1,754","1,017","1,225","2,463"
2021년10월_계_80~89세,"7,152",638,429,878,"1,311",424,869,713,383,591,916
2021년10월_계_90~99세,906,107,74,97,170,47,125,74,36,52,124
2021년10월_계_100세 이상,35,3,7,5,1,1,6,9,1,1,1
2021년10월_남_총인구수,"82,913","6,384","5,663","7,060","13,151","5,373","12,062","8,712","4,509","6,219","13,780"
2021년10월_남_연령구간인구수,"82,913","6,384","5,663","7,060","13,151","5,373","12,062","8,712","4,509","6,219","13,780"
2021년10월_남_0~9세,"5,131",335,431,299,853,329,610,522,130,491,"1,131"
2021년10월_남_10~19세,"5,911",588,597,344,979,418,819,617,199,447,903
2021년10월_남_20~29세,"11,547",873,654,865,"1,557",650,"2,226","1,339",853,785,"1,745"
2021년10월_남_30~39세,"11,752",782,577,888,"1,619",699,"2,059","1,377",750,979,"2,022"
2021년10월_남_40~49세,"12,353",919,858,"1,008","1,882",826,"1,736","1,367",600,950,"2,207"
2021년10월_남_50~59세,"12,637","1,141",955,"1,089","1,954",874,"1,615","1,274",648,934,"2,153"
2021년10월_남_60~69세,"12,867",940,899,"1,305","2,313",884,"1,622","1,177",738,864,"2,125"
2021년10월_남_70~79세,"7,719",532,510,895,"1,426",514,"1,004",737,434,541,"1,126"
2021년10월_남_80~89세,"2,750",239,170,343,511,174,333,277,147,215,341
2021년10월_남_90~99세,239,34,11,24,57,5,36,22,10,13,27
2021년10월_남_100세 이상,7,1,1,0,0,0,2,3,0,0,0
2021년10월_여_총인구수,"92,670","7,475","6,456","7,689","14,345","5,527","13,868","10,012","4,991","7,506","14,801"
2021년10월_여_연령구간인구수,"92,670","7,475","6,456","7,689","14,345","5,527","13,868","10,012","4,991","7,506","14,801"
2021년10월_여_0~9세,"4,852",366,417,280,769,296,556,517,130,441,"1,080"
2021년10월_여_10~19세,"5,553",561,554,314,939,352,704,602,193,461,873
2021년10월_여_20~29세,"12,371",925,627,871,"1,407",528,"2,910","1,564","1,086",918,"1,535"
2021년10월_여_30~39세,"11,843",816,629,815,"1,643",609,"2,083","1,407",675,"1,065","2,101"
2021년10월_여_40~49세,"12,683","1,052","1,063",865,"1,894",772,"1,772","1,440",572,"1,153","2,100"
2021년10월_여_50~59세,"14,540","1,328","1,188","1,179","2,263",939,"1,917","1,462",636,"1,151","2,477"
2021년10월_여_60~69세,"16,204","1,206","1,067","1,675","2,896","1,076","2,080","1,509",853,"1,217","2,625"
2021년10월_여_70~79세,"9,527",747,583,"1,077","1,620",662,"1,217","1,017",583,684,"1,337"
2021년10월_여_80~89세,"4,402",399,259,535,800,250,536,436,236,376,575
2021년10월_여_90~99세,667,73,63,73,113,42,89,52,26,39,97
2021년10월_여_100세 이상,28,2,6,5,1,1,4,6,1,1,1
