카테고리,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021년10월_계_총인구수,"808,047","63,553","89,063","41,062","129,241","85,583","81,845","56,276","95,090","82,836","83,498"
2021년10월_계_연령구간인구수,"808,047","63,553","89,063","41,062","129,241","85,583","81,845","56,276","95,090","82,836","83,498"
2021년10월_계_0~9세,"53,573","2,883","5,176","2,577","9,230","7,535","4,503","3,669","9,148","4,150","4,702"
2021년10월_계_10~19세,"68,280","3,766","6,972","3,809","10,909","9,663","6,255","4,162","9,357","6,721","6,666"
2021년10월_계_20~29세,"113,267","9,933","12,631","5,858","18,669","11,813","11,324","7,509","10,937","12,250","12,343"
2021년10월_계_30~39세,"112,769","9,270","11,802","5,262","20,966","12,283","11,251","8,015","13,587","9,698","10,635"
2021년10월_계_40~49세,"125,670","9,381","13,434","6,192","20,293","14,887","12,119","7,713","17,338","11,906","12,407"
2021년10월_계_50~59세,"145,106","11,527","16,400","7,456","22,190","15,294","14,623","9,878","14,349","16,752","16,637"
2021년10월_계_60~69세,"117,870","10,127","13,803","6,235","17,757","9,540","13,089","9,440","12,273","12,927","12,679"
2021년10월_계_70~79세,"47,392","4,624","5,957","2,386","6,023","2,970","5,823","3,999","5,318","5,417","4,875"
2021년10월_계_80~89세,"20,761","1,768","2,537","1,081","2,699","1,342","2,466","1,636","2,379","2,641","2,212"
2021년10월_계_90~99세,"3,206",261,326,193,483,251,373,243,382,366,328
2021년10월_계_100세 이상,153,13,25,13,22,5,19,12,22,8,14
2021년10월_남_총인구수,"400,375","32,363","44,486","20,284","62,367","42,023","40,468","27,752","46,538","41,431","42,663"
2021년10월_남_연령구간인구수,"400,375","32,363","44,486","20,284","62,367","42,023","40,468","27,752","46,538","41,431","42,663"
2021년10월_남_0~9세,"27,556","1,548","2,656","1,333","4,724","3,875","2,295","1,897","4,721","2,107","2,400"
2021년10월_남_10~19세,"34,984","1,916","3,617","1,963","5,520","4,924","3,245","2,073","4,677","3,515","3,534"
2021년10월_남_20~29세,"58,447","5,105","6,586","3,012","9,141","6,052","5,952","3,927","5,614","6,458","6,600"
2021년10월_남_30~39세,"58,037","5,100","6,128","2,685","10,379","5,902","6,007","4,228","6,617","5,192","5,799"
2021년10월_남_40~49세,"63,359","5,139","6,975","3,054","9,718","7,000","6,180","3,877","8,792","6,055","6,569"
2021년10월_남_50~59세,"70,332","5,852","8,128","3,576","10,211","7,374","6,967","4,627","6,866","8,321","8,410"
2021년10월_남_60~69세,"57,811","4,854","6,652","3,081","8,861","4,974","6,139","4,569","5,840","6,459","6,382"
2021년10월_남_70~79세,"22,043","2,178","2,756","1,169","2,846","1,435","2,680","1,907","2,490","2,381","2,201"
2021년10월_남_80~89세,"7,030",620,894,354,864,428,917,582,824,857,690
2021년10월_남_90~99세,740,49,88,53,99,57,81,62,90,86,75
2021년10월_남_100세 이상,36,2,6,4,4,2,5,3,7,0,3
2021년10월_여_총인구수,"407,672","31,190","44,577","20,778","66,874","43,560","41,377","28,524","48,552","41,405","40,835"
2021년10월_여_연령구간인구수,"407,672","31,190","44,577","20,778","66,874","43,560","41,377","28,524","48,552","41,405","40,835"
2021년10월_여_0~9세,"26,017","1,335","2,520","1,244","4,506","3,660","2,208","1,772","4,427","2,043","2,302"
2021년10월_여_10~19세,"33,296","1,850","3,355","1,846","5,389","4,739","3,010","2,089","4,680","3,206","3,132"
2021년10월_여_20~29세,"54,820","4,828","6,045","2,846","9,528","5,761","5,372","3,582","5,323","5,792","5,743"
2021년10월_여_30~39세,"54,732","4,170","5,674","2,577","10,587","6,381","5,244","3,787","6,970","4,506","4,836"
2021년10월_여_40~49세,"62,311","4,242","6,459","3,138","10,575","7,887","5,939","3,836","8,546","5,851","5,838"
2021년10월_여_50~59세,"74,774","5,675","8,272","3,880","11,979","7,920","7,656","5,251","7,483","8,431","8,227"
2021년10월_여_60~69세,"60,059","5,273","7,151","3,154","8,896","4,566","6,950","4,871","6,433","6,468","6,297"
2021년10월_여_70~79세,"25,349","2,446","3,201","1,217","3,177","1,535","3,143","2,092","2,828","3,036","2,674"
2021년10월_여_80~89세,"13,731","1,148","1,643",727,"1,835",914,"1,549","1,054","1,555","1,784","1,522"
2021년10월_여_90~99세,"2,466",212,238,140,384,194,292,181,292,280,253
2021년10월_여_100세 이상,117,11,19,9,18,3,14,9,15,8,11
