,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년04월_계_총인구수,"307,825","17,281","16,274","20,566","19,326","35,601","23,931","15,536","13,972","22,823","26,731","15,635","29,706","18,277","32,166"
2021년04월_계_연령구간인구수,"307,825","17,281","16,274","20,566","19,326","35,601","23,931","15,536","13,972","22,823","26,731","15,635","29,706","18,277","32,166"
2021년04월_계_0~9세,"19,629","1,204","1,400","1,214",703,"1,617","1,498",756,769,"1,476","1,231","2,106","2,633","1,408","1,614"
2021년04월_계_10~19세,"23,293","1,440","1,068","1,359",931,"2,395","1,852","1,082","1,058","1,767","2,160","1,461","2,408","1,934","2,378"
2021년04월_계_20~29세,"49,676","2,137","2,309","3,446","7,524","7,644","3,128","2,080","1,811","2,857","4,139","1,497","4,225","2,132","4,747"
2021년04월_계_30~39세,"44,594","2,364","2,845","3,306","3,344","5,603","3,356","1,954","1,882","3,006","3,477","2,389","4,482","2,388","4,198"
2021년04월_계_40~49세,"46,526","2,750","2,647","3,008","1,962","4,858","3,702","2,131","2,012","3,417","3,913","3,075","4,880","3,220","4,951"
2021년04월_계_50~59세,"48,770","2,981","2,737","3,303","1,960","5,191","4,046","2,642","2,518","3,927","4,569","2,141","4,395","3,011","5,349"
2021년04월_계_60~69세,"38,799","2,192","1,799","2,680","1,410","4,089","3,304","2,315","2,050","3,334","3,754","1,562","3,408","2,215","4,687"
2021년04월_계_70~79세,"23,641","1,369",973,"1,418",914,"2,699","1,973","1,612","1,229","1,924","2,204",929,"2,169","1,313","2,915"
2021년04월_계_80~89세,"11,259",751,430,701,499,"1,299",953,854,562,975,"1,111",414,965,576,"1,169"
2021년04월_계_90~99세,"1,528",88,61,121,75,196,116,88,76,134,144,57,139,78,155
2021년04월_계_100세 이상,110,5,5,10,4,10,3,22,5,6,29,4,2,2,3
2021년04월_남_총인구수,"147,264","8,207","7,802","9,875","8,565","17,145","11,252","7,530","6,609","11,009","12,911","7,528","14,325","8,826","15,680"
2021년04월_남_연령구간인구수,"147,264","8,207","7,802","9,875","8,565","17,145","11,252","7,530","6,609","11,009","12,911","7,528","14,325","8,826","15,680"
2021년04월_남_0~9세,"9,980",605,720,602,378,822,754,378,411,739,618,"1,061","1,319",722,851
2021년04월_남_10~19세,"11,626",714,518,656,421,"1,197",913,580,537,870,"1,104",701,"1,191","1,021","1,203"
2021년04월_남_20~29세,"23,721","1,036","1,050","1,639","2,902","3,860","1,531","1,043",887,"1,438","2,084",727,"2,071","1,041","2,412"
2021년04월_남_30~39세,"22,028","1,152","1,390","1,624","1,664","2,817","1,621","1,018",915,"1,522","1,826","1,048","2,155","1,115","2,161"
2021년04월_남_40~49세,"22,996","1,333","1,355","1,513",947,"2,323","1,782","1,071",964,"1,675","1,919","1,621","2,460","1,603","2,430"
2021년04월_남_50~59세,"23,782","1,489","1,351","1,628",983,"2,484","1,893","1,332","1,199","1,930","2,203","1,050","2,188","1,458","2,594"
2021년04월_남_60~69세,"18,258","1,049",842,"1,291",653,"1,906","1,512","1,069",972,"1,611","1,720",734,"1,608","1,048","2,243"
2021년04월_남_70~79세,"10,093",547,409,625,399,"1,126",841,675,491,826,972,393,934,565,"1,290"
2021년04월_남_80~89세,"4,340",259,149,264,197,535,372,323,210,363,432,177,368,233,458
2021년04월_남_90~99세,408,21,17,30,20,72,33,31,20,35,27,15,30,19,38
2021년04월_남_100세 이상,32,2,1,3,1,3,0,10,3,0,6,1,1,1,0
2021년04월_여_총인구수,"160,561","9,074","8,472","10,691","10,761","18,456","12,679","8,006","7,363","11,814","13,820","8,107","15,381","9,451","16,486"
2021년04월_여_연령구간인구수,"160,561","9,074","8,472","10,691","10,761","18,456","12,679","8,006","7,363","11,814","13,820","8,107","15,381","9,451","16,486"
2021년04월_여_0~9세,"9,649",599,680,612,325,795,744,378,358,737,613,"1,045","1,314",686,763
2021년04월_여_10~19세,"11,667",726,550,703,510,"1,198",939,502,521,897,"1,056",760,"1,217",913,"1,175"
2021년04월_여_20~29세,"25,955","1,101","1,259","1,807","4,622","3,784","1,597","1,037",924,"1,419","2,055",770,"2,154","1,091","2,335"
2021년04월_여_30~39세,"22,566","1,212","1,455","1,682","1,680","2,786","1,735",936,967,"1,484","1,651","1,341","2,327","1,273","2,037"
2021년04월_여_40~49세,"23,530","1,417","1,292","1,495","1,015","2,535","1,920","1,060","1,048","1,742","1,994","1,454","2,420","1,617","2,521"
2021년04월_여_50~59세,"24,988","1,492","1,386","1,675",977,"2,707","2,153","1,310","1,319","1,997","2,366","1,091","2,207","1,553","2,755"
2021년04월_여_60~69세,"20,541","1,143",957,"1,389",757,"2,183","1,792","1,246","1,078","1,723","2,034",828,"1,800","1,167","2,444"
2021년04월_여_70~79세,"13,548",822,564,793,515,"1,573","1,132",937,738,"1,098","1,232",536,"1,235",748,"1,625"
2021년04월_여_80~89세,"6,919",492,281,437,302,764,581,531,352,612,679,237,597,343,711
2021년04월_여_90~99세,"1,120",67,44,91,55,124,83,57,56,99,117,42,109,59,117
2021년04월_여_100세 이상,78,3,4,7,3,7,3,12,2,6,23,3,1,1,3
