,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2021년10월_계_총인구수,"236,205","26,374","5,847","6,957","11,892","10,797","5,267","50,052","9,710","27,264","27,338","54,707"
2021년10월_계_연령구간인구수,"236,205","26,374","5,847","6,957","11,892","10,797","5,267","50,052","9,710","27,264","27,338","54,707"
2021년10월_계_0~9세,"19,840","1,265",147,390,600,505,205,"4,463",656,"1,876","2,159","7,574"
2021년10월_계_10~19세,"24,269","2,447",294,388,842,494,261,"6,925",697,"2,616","3,344","5,961"
2021년10월_계_20~29세,"27,747","3,235",652,791,"1,248","1,135",545,"5,510","1,494","3,395","3,892","5,850"
2021년10월_계_30~39세,"28,244","2,280",448,771,"1,121","1,104",428,"5,048","1,229","2,896","2,960","9,959"
2021년10월_계_40~49세,"39,925","3,815",640,807,"1,614","1,165",602,"10,001","1,306","4,245","4,841","10,889"
2021년10월_계_50~59세,"39,391","5,168","1,214","1,202","2,470","1,856","1,006","7,751","1,756","5,427","4,782","6,759"
2021년10월_계_60~69세,"31,292","4,536","1,404","1,461","2,306","2,330","1,138","5,420","1,438","3,990","2,676","4,593"
2021년10월_계_70~79세,"16,573","2,288",664,694,"1,049","1,330",676,"3,376",738,"1,899","1,619","2,240"
2021년10월_계_80~89세,"7,767","1,165",333,374,561,710,355,"1,379",342,828,947,773
2021년10월_계_90~99세,"1,117",170,51,77,80,164,50,172,47,92,111,103
2021년10월_계_100세 이상,40,5,0,2,1,4,1,7,7,0,7,6
2021년10월_남_총인구수,"119,761","13,336","3,335","3,883","6,439","5,540","2,767","24,485","5,124","13,798","13,554","27,500"
2021년10월_남_연령구간인구수,"119,761","13,336","3,335","3,883","6,439","5,540","2,767","24,485","5,124","13,798","13,554","27,500"
2021년10월_남_0~9세,"10,137",610,73,190,307,270,105,"2,247",337,974,"1,118","3,906"
2021년10월_남_10~19세,"12,358","1,274",164,188,460,273,146,"3,518",371,"1,340","1,706","2,918"
2021년10월_남_20~29세,"14,887","1,758",388,521,730,695,315,"2,786",850,"1,796","2,047","3,001"
2021년10월_남_30~39세,"14,571","1,236",294,458,635,601,240,"2,472",689,"1,522","1,492","4,932"
2021년10월_남_40~49세,"20,561","1,946",404,499,926,634,336,"4,901",694,"2,192","2,373","5,656"
2021년10월_남_50~59세,"20,647","2,698",743,702,"1,373",948,530,"4,032",945,"2,784","2,456","3,436"
2021년10월_남_60~69세,"15,691","2,300",791,822,"1,260","1,137",643,"2,423",747,"2,028","1,309","2,231"
2021년10월_남_70~79세,"7,716","1,070",345,347,515,664,303,"1,520",345,837,647,"1,123"
2021년10월_남_80~89세,"2,952",416,122,139,216,285,140,544,134,307,371,278
2021년10월_남_90~99세,232,28,11,17,17,31,9,42,10,18,30,19
2021년10월_남_100세 이상,9,0,0,0,0,2,0,0,2,0,5,0
2021년10월_여_총인구수,"116,444","13,038","2,512","3,074","5,453","5,257","2,500","25,567","4,586","13,466","13,784","27,207"
2021년10월_여_연령구간인구수,"116,444","13,038","2,512","3,074","5,453","5,257","2,500","25,567","4,586","13,466","13,784","27,207"
2021년10월_여_0~9세,"9,703",655,74,200,293,235,100,"2,216",319,902,"1,041","3,668"
2021년10월_여_10~19세,"11,911","1,173",130,200,382,221,115,"3,407",326,"1,276","1,638","3,043"
2021년10월_여_20~29세,"12,860","1,477",264,270,518,440,230,"2,724",644,"1,599","1,845","2,849"
2021년10월_여_30~39세,"13,673","1,044",154,313,486,503,188,"2,576",540,"1,374","1,468","5,027"
2021년10월_여_40~49세,"19,364","1,869",236,308,688,531,266,"5,100",612,"2,053","2,468","5,233"
2021년10월_여_50~59세,"18,744","2,470",471,500,"1,097",908,476,"3,719",811,"2,643","2,326","3,323"
2021년10월_여_60~69세,"15,601","2,236",613,639,"1,046","1,193",495,"2,997",691,"1,962","1,367","2,362"
2021년10월_여_70~79세,"8,857","1,218",319,347,534,666,373,"1,856",393,"1,062",972,"1,117"
2021년10월_여_80~89세,"4,815",749,211,235,345,425,215,835,208,521,576,495
2021년10월_여_90~99세,885,142,40,60,63,133,41,130,37,74,81,84
2021년10월_여_100세 이상,31,5,0,2,1,2,1,7,5,0,2,6
