,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년12월_계_총인구수,"79,431","3,848","2,609","1,082","2,000","1,802","2,273","1,570","1,647","1,491",928,"1,446","1,811","2,261","1,885","2,108","2,706","3,373","3,289","6,127","6,598","4,206","6,984","17,387"
2021년12월_계_연령구간인구수,"79,431","3,848","2,609","1,082","2,000","1,802","2,273","1,570","1,647","1,491",928,"1,446","1,811","2,261","1,885","2,108","2,706","3,373","3,289","6,127","6,598","4,206","6,984","17,387"
2021년12월_계_0~9세,"4,595",163,93,39,57,63,53,35,61,43,31,47,48,85,90,78,106,165,177,552,516,209,377,"1,507"
2021년12월_계_10~19세,"7,093",201,164,46,101,99,116,63,84,62,30,60,78,147,111,179,187,325,229,640,759,324,577,"2,511"
2021년12월_계_20~29세,"7,320",268,224,57,143,100,118,73,91,99,48,82,119,164,94,136,164,360,331,648,625,475,726,"2,175"
2021년12월_계_30~39세,"6,020",227,147,53,101,70,102,57,84,68,53,49,72,126,100,91,131,261,270,666,572,381,573,"1,766"
2021년12월_계_40~49세,"10,118",330,241,96,144,154,216,124,144,111,64,115,163,203,170,228,291,413,420,919,"1,041",498,937,"3,096"
2021년12월_계_50~59세,"13,595",670,495,169,363,309,344,224,260,244,153,223,317,396,306,521,501,597,525,"1,002","1,040",710,"1,287","2,939"
2021년12월_계_60~69세,"13,508",813,568,234,440,379,504,370,392,292,219,279,371,468,394,372,626,556,579,831,987,746,"1,170","1,918"
2021년12월_계_70~79세,"9,676",613,384,186,326,328,448,285,267,291,185,290,339,330,346,275,416,423,476,551,678,534,779,926
2021년12월_계_80~89세,"6,425",482,240,165,276,259,321,273,222,248,127,268,269,280,234,205,241,240,236,283,329,280,480,467
2021년12월_계_90~99세,"1,052",81,49,37,47,40,51,64,42,33,18,30,35,58,37,23,42,33,45,35,51,45,76,80
2021년12월_계_100세 이상,29,0,4,0,2,1,0,2,0,0,0,3,0,4,3,0,1,0,1,0,0,4,2,2
2021년12월_남_총인구수,"38,965","1,871","1,334",536,999,885,"1,091",749,834,782,478,728,910,"1,106",925,"1,040","1,322","1,596","1,548","2,951","3,181","2,058","3,547","8,494"
2021년12월_남_연령구간인구수,"38,965","1,871","1,334",536,999,885,"1,091",749,834,782,478,728,910,"1,106",925,"1,040","1,322","1,596","1,548","2,951","3,181","2,058","3,547","8,494"
2021년12월_남_0~9세,"2,438",86,55,19,26,35,22,21,32,26,23,26,27,47,55,39,57,87,96,291,264,113,195,796
2021년12월_남_10~19세,"3,669",113,77,26,51,53,60,35,49,40,17,30,45,83,57,98,106,167,111,312,366,178,302,"1,293"
2021년12월_남_20~29세,"4,073",141,133,36,87,60,73,41,55,62,29,48,73,87,51,69,106,203,173,342,360,278,391,"1,175"
2021년12월_남_30~39세,"3,094",127,74,27,59,39,59,29,53,37,27,29,41,71,54,54,59,125,144,330,273,218,319,846
2021년12월_남_40~49세,"5,134",180,133,64,84,92,133,80,89,58,45,75,99,104,106,107,159,199,203,446,524,246,479,"1,429"
2021년12월_남_50~59세,"7,274",358,276,96,207,183,192,133,147,167,92,135,191,223,178,288,270,302,278,511,535,340,710,"1,462"
2021년12월_남_60~69세,"6,775",436,301,123,250,201,260,186,210,157,117,143,195,254,197,207,298,251,252,406,464,351,597,919
2021년12월_남_70~79세,"4,137",251,187,93,140,125,184,126,122,136,81,134,150,136,149,118,175,163,198,214,270,229,360,396
2021년12월_남_80~89세,"2,119",166,81,44,83,87,99,84,68,91,39,98,82,89,69,57,84,89,80,92,115,90,171,161
2021년12월_남_90~99세,248,13,17,8,11,10,9,13,9,8,8,10,7,12,8,3,8,10,12,7,10,15,23,17
2021년12월_남_100세 이상,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2021년12월_여_총인구수,"40,466","1,977","1,275",546,"1,001",917,"1,182",821,813,709,450,718,901,"1,155",960,"1,068","1,384","1,777","1,741","3,176","3,417","2,148","3,437","8,893"
2021년12월_여_연령구간인구수,"40,466","1,977","1,275",546,"1,001",917,"1,182",821,813,709,450,718,901,"1,155",960,"1,068","1,384","1,777","1,741","3,176","3,417","2,148","3,437","8,893"
2021년12월_여_0~9세,"2,157",77,38,20,31,28,31,14,29,17,8,21,21,38,35,39,49,78,81,261,252,96,182,711
2021년12월_여_10~19세,"3,424",88,87,20,50,46,56,28,35,22,13,30,33,64,54,81,81,158,118,328,393,146,275,"1,218"
2021년12월_여_20~29세,"3,247",127,91,21,56,40,45,32,36,37,19,34,46,77,43,67,58,157,158,306,265,197,335,"1,000"
2021년12월_여_30~39세,"2,926",100,73,26,42,31,43,28,31,31,26,20,31,55,46,37,72,136,126,336,299,163,254,920
2021년12월_여_40~49세,"4,984",150,108,32,60,62,83,44,55,53,19,40,64,99,64,121,132,214,217,473,517,252,458,"1,667"
2021년12월_여_50~59세,"6,321",312,219,73,156,126,152,91,113,77,61,88,126,173,128,233,231,295,247,491,505,370,577,"1,477"
2021년12월_여_60~69세,"6,733",377,267,111,190,178,244,184,182,135,102,136,176,214,197,165,328,305,327,425,523,395,573,999
2021년12월_여_70~79세,"5,539",362,197,93,186,203,264,159,145,155,104,156,189,194,197,157,241,260,278,337,408,305,419,530
2021년12월_여_80~89세,"4,306",316,159,121,193,172,222,189,154,157,88,170,187,191,165,148,157,151,156,191,214,190,309,306
2021년12월_여_90~99세,804,68,32,29,36,30,42,51,33,25,10,20,28,46,29,20,34,23,33,28,41,30,53,63
2021년12월_여_100세 이상,25,0,4,0,1,1,0,1,0,0,0,3,0,4,2,0,1,0,0,0,0,4,2,2
