카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년07월_계_총인구수,"306,839","17,207","16,173","20,568","19,496","35,275","23,892","15,458","13,864","22,747","26,660","15,586","29,778","18,178","31,957"
2021년07월_계_연령구간인구수,"306,839","17,207","16,173","20,568","19,496","35,275","23,892","15,458","13,864","22,747","26,660","15,586","29,778","18,178","31,957"
2021년07월_계_0~9세,"19,383","1,176","1,395","1,204",697,"1,593","1,484",735,771,"1,467","1,215","2,097","2,642","1,360","1,547"
2021년07월_계_10~19세,"23,006","1,413","1,038","1,340",921,"2,362","1,849","1,067","1,022","1,735","2,103","1,465","2,387","1,928","2,376"
2021년07월_계_20~29세,"49,433","2,142","2,289","3,431","7,660","7,527","3,108","2,052","1,770","2,828","4,145","1,478","4,218","2,125","4,660"
2021년07월_계_30~39세,"44,456","2,323","2,837","3,320","3,427","5,533","3,343","1,947","1,851","3,020","3,509","2,341","4,479","2,344","4,182"
2021년07월_계_40~49세,"46,017","2,713","2,594","2,991","1,950","4,816","3,634","2,095","1,972","3,350","3,839","3,079","4,888","3,200","4,896"
2021년07월_계_50~59세,"48,625","2,983","2,723","3,284","1,947","5,142","4,054","2,647","2,514","3,908","4,548","2,143","4,422","2,974","5,336"
2021년07월_계_60~69세,"39,291","2,241","1,815","2,740","1,410","4,135","3,347","2,315","2,100","3,386","3,795","1,571","3,449","2,265","4,722"
2021년07월_계_70~79세,"23,519","1,355",971,"1,414",902,"2,645","1,970","1,632","1,213","1,925","2,204",916,"2,163","1,319","2,890"
2021년07월_계_80~89세,"11,457",767,443,708,508,"1,314",977,855,566,989,"1,122",437,992,584,"1,195"
2021년07월_계_90~99세,"1,537",89,63,126,69,197,123,89,80,132,150,55,136,77,151
2021년07월_계_100세 이상,115,5,5,10,5,11,3,24,5,7,30,4,2,2,2
2021년07월_남_총인구수,"146,724","8,154","7,748","9,896","8,654","16,952","11,224","7,476","6,555","10,978","12,850","7,507","14,384","8,774","15,572"
2021년07월_남_연령구간인구수,"146,724","8,154","7,748","9,896","8,654","16,952","11,224","7,476","6,555","10,978","12,850","7,507","14,384","8,774","15,572"
2021년07월_남_0~9세,"9,836",583,706,600,370,795,743,367,414,742,606,"1,067","1,332",693,818
2021년07월_남_10~19세,"11,494",712,509,643,416,"1,187",904,574,522,850,"1,080",707,"1,174","1,016","1,200"
2021년07월_남_20~29세,"23,594","1,017","1,042","1,655","2,963","3,804","1,530","1,022",873,"1,441","2,081",715,"2,075","1,035","2,341"
2021년07월_남_30~39세,"21,933","1,133","1,375","1,624","1,714","2,764","1,618","1,018",895,"1,511","1,840","1,027","2,163","1,096","2,155"
2021년07월_남_40~49세,"22,726","1,311","1,333","1,494",938,"2,304","1,741","1,056",955,"1,654","1,879","1,601","2,450","1,590","2,420"
2021년07월_남_50~59세,"23,737","1,490","1,344","1,628",982,"2,466","1,897","1,323","1,189","1,905","2,202","1,066","2,214","1,438","2,593"
2021년07월_남_60~69세,"18,495","1,073",852,"1,325",661,"1,917","1,526","1,075",983,"1,641","1,727",741,"1,638","1,079","2,257"
2021년07월_남_70~79세,"10,040",545,417,628,389,"1,099",848,681,486,829,969,378,927,568,"1,276"
2021년07월_남_80~89세,"4,421",266,152,265,199,542,385,318,214,370,430,188,377,240,475
2021년07월_남_90~99세,413,22,17,31,20,71,32,30,22,35,29,16,33,18,37
2021년07월_남_100세 이상,35,2,1,3,2,3,0,12,2,0,7,1,1,1,0
2021년07월_여_총인구수,"160,115","9,053","8,425","10,672","10,842","18,323","12,668","7,982","7,309","11,769","13,810","8,079","15,394","9,404","16,385"
2021년07월_여_연령구간인구수,"160,115","9,053","8,425","10,672","10,842","18,323","12,668","7,982","7,309","11,769","13,810","8,079","15,394","9,404","16,385"
2021년07월_여_0~9세,"9,547",593,689,604,327,798,741,368,357,725,609,"1,030","1,310",667,729
2021년07월_여_10~19세,"11,512",701,529,697,505,"1,175",945,493,500,885,"1,023",758,"1,213",912,"1,176"
2021년07월_여_20~29세,"25,839","1,125","1,247","1,776","4,697","3,723","1,578","1,030",897,"1,387","2,064",763,"2,143","1,090","2,319"
2021년07월_여_30~39세,"22,523","1,190","1,462","1,696","1,713","2,769","1,725",929,956,"1,509","1,669","1,314","2,316","1,248","2,027"
2021년07월_여_40~49세,"23,291","1,402","1,261","1,497","1,012","2,512","1,893","1,039","1,017","1,696","1,960","1,478","2,438","1,610","2,476"
2021년07월_여_50~59세,"24,888","1,493","1,379","1,656",965,"2,676","2,157","1,324","1,325","2,003","2,346","1,077","2,208","1,536","2,743"
2021년07월_여_60~69세,"20,796","1,168",963,"1,415",749,"2,218","1,821","1,240","1,117","1,745","2,068",830,"1,811","1,186","2,465"
2021년07월_여_70~79세,"13,479",810,554,786,513,"1,546","1,122",951,727,"1,096","1,235",538,"1,236",751,"1,614"
2021년07월_여_80~89세,"7,036",501,291,443,309,772,592,537,352,619,692,249,615,344,720
2021년07월_여_90~99세,"1,124",67,46,95,49,126,91,59,58,97,121,39,103,59,114
2021년07월_여_100세 이상,80,3,4,7,3,8,3,12,3,7,23,3,1,1,2
