카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년01월_계_총인구수,"235,164","16,107","14,691","13,323","14,100","4,752","15,877","5,478","6,735","9,670","10,446","13,608","26,240","6,688","13,922","22,810","12,872","27,845"
2021년01월_계_연령구간인구수,"235,164","16,107","14,691","13,323","14,100","4,752","15,877","5,478","6,735","9,670","10,446","13,608","26,240","6,688","13,922","22,810","12,872","27,845"
2021년01월_계_0~9세,"15,033",887,"1,514",716,935,173,713,161,295,520,629,"1,185","1,948",336,902,"1,943",637,"1,539"
2021년01월_계_10~19세,"21,876","1,013","2,445","1,225","1,111",299,"1,137",261,461,738,778,"1,637","3,134",364,990,"2,869","1,099","2,315"
2021년01월_계_20~29세,"30,828","2,788","1,612","1,605","2,478",487,"1,830",995,750,"1,804","1,491","1,526","3,043",870,"1,806","2,854","1,558","3,331"
2021년01월_계_30~39세,"25,984","2,373","1,534","1,344","1,953",470,"1,616",598,651,"1,250","1,290","1,539","2,399",886,"1,631","2,449","1,271","2,730"
2021년01월_계_40~49세,"36,730","2,496","3,277","2,120","2,161",597,"2,076",605,890,"1,403","1,473","2,486","4,398",960,"1,928","3,985","1,866","4,009"
2021년01월_계_50~59세,"39,557","2,683","2,080","2,375","2,004",841,"2,835",916,"1,251","1,497","1,726","2,196","4,488","1,164","2,228","3,548","2,412","5,313"
2021년01월_계_60~69세,"33,859","2,174","1,182","2,080","1,819",883,"2,999",927,"1,227","1,177","1,448","1,540","3,474","1,188","2,266","2,581","2,059","4,835"
2021년01월_계_70~79세,"20,639","1,125",692,"1,203","1,071",649,"1,869",636,759,825,971,"1,020","2,214",626,"1,467","1,687","1,236","2,589"
2021년01월_계_80~89세,"9,276",479,308,570,471,311,709,329,376,395,550,432,993,258,608,789,658,"1,040"
2021년01월_계_90~99세,"1,296",81,42,79,89,38,86,44,70,55,89,47,142,34,89,100,73,138
2021년01월_계_100세 이상,86,8,5,6,8,4,7,6,5,6,1,0,7,2,7,5,3,6
2021년01월_남_총인구수,"116,032","8,324","7,026","6,503","6,962","2,492","7,965","2,700","3,384","4,638","4,929","6,600","12,625","3,533","6,854","11,005","6,275","14,217"
