,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2020년03월_계_총인구수,"111,083","15,505","4,633","5,009","2,973","6,432","7,121","4,929","4,154","2,563","22,050","18,534","17,180"
2020년03월_계_연령구간인구수,"111,083","15,505","4,633","5,009","2,973","6,432","7,121","4,929","4,154","2,563","22,050","18,534","17,180"
2020년03월_계_0~9세,"7,666","1,073",183,182,92,301,237,151,145,119,"1,682","1,442","2,059"
2020년03월_계_10~19세,"9,823","1,319",287,279,142,449,456,391,261,148,"2,069","2,312","1,710"
2020년03월_계_20~29세,"12,060","1,625",462,430,243,565,598,422,360,222,"2,829","2,341","1,963"
2020년03월_계_30~39세,"11,801","1,858",298,362,191,523,470,301,318,198,"2,633","2,020","2,629"
2020년03월_계_40~49세,"16,144","2,260",428,507,287,707,745,607,492,279,"3,587","3,223","3,022"
2020년03월_계_50~59세,"20,118","2,818",882,995,594,"1,224","1,389","1,003",844,446,"3,889","3,283","2,751"
2020년03월_계_60~69세,"17,438","2,412",997,"1,110",725,"1,265","1,540",963,841,573,"3,058","2,221","1,733"
2020년03월_계_70~79세,"10,115","1,327",662,697,445,845,"1,011",651,542,366,"1,538","1,154",877
2020년03월_계_80~89세,"5,112",702,385,382,215,468,586,386,291,186,658,471,382
2020년03월_계_90~99세,765,102,48,64,38,85,85,49,58,25,99,64,48
2020년03월_계_100세 이상,41,9,1,1,1,0,4,5,2,1,8,3,6
2020년03월_남_총인구수,"56,415","8,041","2,414","2,612","1,537","3,307","3,687","2,559","2,153","1,265","11,024","9,276","8,540"
2020년03월_남_연령구간인구수,"56,415","8,041","2,414","2,612","1,537","3,307","3,687","2,559","2,153","1,265","11,024","9,276","8,540"
2020년03월_남_0~9세,"3,956",528,108,100,50,126,128,79,70,51,878,753,"1,085"
2020년03월_남_10~19세,"5,092",688,157,154,71,242,249,226,140,71,"1,050","1,205",839
2020년03월_남_20~29세,"6,567",908,265,242,146,321,360,235,212,119,"1,487","1,227","1,045"
2020년03월_남_30~39세,"6,161","1,037",169,213,108,279,267,164,172,105,"1,334","1,034","1,279"
2020년03월_남_40~49세,"8,400","1,216",242,286,161,418,396,334,276,153,"1,825","1,566","1,527"
2020년03월_남_50~59세,"10,549","1,505",476,530,318,668,751,569,475,220,"1,961","1,712","1,364"
2020년03월_남_60~69세,"8,870","1,236",509,581,375,659,819,505,414,288,"1,517","1,099",868
2020년03월_남_70~79세,"4,751",637,340,341,219,419,461,290,272,174,705,501,392
2020년03월_남_80~89세,"1,895",258,134,151,84,158,230,140,113,76,245,170,136
2020년03월_남_90~99세,159,23,13,14,5,17,24,16,8,8,18,9,4
2020년03월_남_100세 이상,15,5,1,0,0,0,2,1,1,0,4,0,1
2020년03월_여_총인구수,"54,668","7,464","2,219","2,397","1,436","3,125","3,434","2,370","2,001","1,298","11,026","9,258","8,640"
2020년03월_여_연령구간인구수,"54,668","7,464","2,219","2,397","1,436","3,125","3,434","2,370","2,001","1,298","11,026","9,258","8,640"
2020년03월_여_0~9세,"3,710",545,75,82,42,175,109,72,75,68,804,689,974
2020년03월_여_10~19세,"4,731",631,130,125,71,207,207,165,121,77,"1,019","1,107",871
2020년03월_여_20~29세,"5,493",717,197,188,97,244,238,187,148,103,"1,342","1,114",918
2020년03월_여_30~39세,"5,640",821,129,149,83,244,203,137,146,93,"1,299",986,"1,350"
2020년03월_여_40~49세,"7,744","1,044",186,221,126,289,349,273,216,126,"1,762","1,657","1,495"
2020년03월_여_50~59세,"9,569","1,313",406,465,276,556,638,434,369,226,"1,928","1,571","1,387"
2020년03월_여_60~69세,"8,568","1,176",488,529,350,606,721,458,427,285,"1,541","1,122",865
2020년03월_여_70~79세,"5,364",690,322,356,226,426,550,361,270,192,833,653,485
2020년03월_여_80~89세,"3,217",444,251,231,131,310,356,246,178,110,413,301,246
2020년03월_여_90~99세,606,79,35,50,33,68,61,33,50,17,81,55,44
2020년03월_여_100세 이상,26,4,0,1,1,0,2,4,1,1,4,3,5
