카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년01월_계_총인구수,"42,014","8,623","1,693",842,"1,628","5,387","5,757","3,129","8,958","5,997"
2020년01월_계_연령구간인구수,"42,014","8,623","1,693",842,"1,628","5,387","5,757","3,129","8,958","5,997"
2020년01월_계_0~9세,"2,020",454,40,28,50,247,292,135,462,312
2020년01월_계_10~19세,"3,095",765,95,38,83,366,455,215,694,384
2020년01월_계_20~29세,"3,448",778,98,52,85,404,447,232,765,587
2020년01월_계_30~39세,"3,376",739,79,46,88,360,524,198,687,655
2020년01월_계_40~49세,"5,511","1,146",197,70,151,666,801,399,"1,175",906
2020년01월_계_50~59세,"8,342","1,640",378,181,372,"1,009","1,178",693,"1,755","1,136"
2020년01월_계_60~69세,"8,290","1,563",407,212,439,"1,155","1,132",646,"1,703","1,033"
2020년01월_계_70~79세,"5,052",918,266,135,236,718,610,362,"1,138",669
2020년01월_계_80~89세,"2,495",545,109,71,107,396,287,221,483,276
2020년01월_계_90~99세,346,69,24,9,16,62,31,27,76,32
2020년01월_계_100세 이상,39,6,0,0,1,4,0,1,20,7
2020년01월_남_총인구수,"21,541","4,394",896,433,857,"2,730","3,020","1,581","4,497","3,133"
2020년01월_남_연령구간인구수,"21,541","4,394",896,433,857,"2,730","3,020","1,581","4,497","3,133"
2020년01월_남_0~9세,"1,032",233,18,20,23,125,140,68,245,160
2020년01월_남_10~19세,"1,627",393,52,20,39,186,250,110,354,223
2020년01월_남_20~29세,"1,983",445,55,32,52,238,256,130,427,348
2020년01월_남_30~39세,"1,831",391,51,21,45,197,287,96,359,384
2020년01월_남_40~49세,"3,043",604,127,37,88,380,435,227,636,509
2020년01월_남_50~59세,"4,434",875,206,94,200,536,627,372,915,609
2020년01월_남_60~69세,"4,290",824,228,118,254,590,597,330,865,484
2020년01월_남_70~79세,"2,331",429,118,58,115,325,315,161,520,290
2020년01월_남_80~89세,874,185,38,32,39,133,104,77,155,111
2020년01월_남_90~99세,85,13,3,1,2,19,9,9,16,13
2020년01월_남_100세 이상,11,2,0,0,0,1,0,1,5,2
2020년01월_여_총인구수,"20,473","4,229",797,409,771,"2,657","2,737","1,548","4,461","2,864"
2020년01월_여_연령구간인구수,"20,473","4,229",797,409,771,"2,657","2,737","1,548","4,461","2,864"
2020년01월_여_0~9세,988,221,22,8,27,122,152,67,217,152
