카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년03월_계_총인구수,"1,144,563","221,702","323,320","158,477","218,353","222,711"
2020년03월_계_연령구간인구수,"1,144,563","221,702","323,320","158,477","218,353","222,711"
2020년03월_계_0~9세,"102,979","17,657","24,737","15,796","26,077","18,712"
2020년03월_계_10~19세,"115,019","20,782","31,820","15,687","23,675","23,055"
2020년03월_계_20~29세,"147,434","27,991","46,577","18,158","28,150","26,558"
2020년03월_계_30~39세,"157,548","27,795","43,227","24,498","35,242","26,786"
2020년03월_계_40~49세,"190,195","35,235","52,945","25,730","38,301","37,984"
2020년03월_계_50~59세,"211,169","42,247","62,530","26,563","38,372","41,457"
2020년03월_계_60~69세,"137,496","30,557","39,515","21,512","18,074","27,838"
2020년03월_계_70~79세,"57,704","13,802","15,874","7,782","7,075","13,171"
2020년03월_계_80~89세,"21,847","4,966","5,408","2,367","2,929","6,177"
2020년03월_계_90~99세,"3,013",616,655,360,442,940
2020년03월_계_100세 이상,159,54,32,24,16,33
2020년03월_남_총인구수,"588,127","112,512","164,896","82,841","112,967","114,911"
2020년03월_남_연령구간인구수,"588,127","112,512","164,896","82,841","112,967","114,911"
2020년03월_남_0~9세,"52,987","9,129","12,742","8,115","13,410","9,591"
2020년03월_남_10~19세,"60,699","11,143","16,794","8,258","12,401","12,103"
2020년03월_남_20~29세,"82,604","15,593","26,012","10,211","15,762","15,026"
2020년03월_남_30~39세,"83,321","14,560","22,872","13,514","18,221","14,154"
2020년03월_남_40~49세,"96,603","17,882","25,791","13,902","19,548","19,480"
2020년03월_남_50~59세,"107,694","21,099","31,517","13,088","20,034","21,956"
2020년03월_남_60~69세,"69,465","14,961","19,669","11,004","9,449","14,382"
2020년03월_남_70~79세,"27,172","6,320","7,570","3,952","3,229","6,101"
2020년03월_남_80~89세,"7,063","1,712","1,810",747,843,"1,951"
2020년03월_남_90~99세,488,103,109,46,67,163
2020년03월_남_100세 이상,31,10,10,4,3,4
2020년03월_여_총인구수,"556,436","109,190","158,424","75,636","105,386","107,800"
2020년03월_여_연령구간인구수,"556,436","109,190","158,424","75,636","105,386","107,800"
2020년03월_여_0~9세,"49,992","8,528","11,995","7,681","12,667","9,121"
2020년03월_여_10~19세,"54,320","9,639","15,026","7,429","11,274","10,952"
2020년03월_여_20~29세,"64,830","12,398","20,565","7,947","12,388","11,532"
2020년03월_여_30~39세,"74,227","13,235","20,355","10,984","17,021","12,632"
2020년03월_여_40~49세,"93,592","17,353","27,154","11,828","18,753","18,504"
2020년03월_여_50~59세,"103,475","21,148","31,013","13,475","18,338","19,501"
2020년03월_여_60~69세,"68,031","15,596","19,846","10,508","8,625","13,456"
2020년03월_여_70~79세,"30,532","7,482","8,304","3,830","3,846","7,070"
2020년03월_여_80~89세,"14,784","3,254","3,598","1,620","2,086","4,226"
2020년03월_여_90~99세,"2,525",513,546,314,375,777
2020년03월_여_100세 이상,128,44,22,20,13,29
2020년04월_계_총인구수,"1,144,098","221,125","323,230","158,323","218,364","223,056"
2020년04월_계_연령구간인구수,"1,144,098","221,125","323,230","158,323","218,364","223,056"
2020년04월_계_0~9세,"102,596","17,519","24,683","15,710","26,012","18,672"
2020년04월_계_10~19세,"114,667","20,655","31,650","15,702","23,659","23,001"
2020년04월_계_20~29세,"147,252","27,868","46,521","18,116","28,065","26,682"
2020년04월_계_30~39세,"157,147","27,621","43,270","24,357","35,145","26,754"
2020년04월_계_40~49세,"189,852","35,113","52,748","25,727","38,367","37,897"
2020년04월_계_50~59세,"211,109","42,150","62,508","26,512","38,354","41,585"
2020년04월_계_60~69세,"138,280","30,641","39,758","21,594","18,257","28,030"
2020년04월_계_70~79세,"58,029","13,877","15,962","7,843","7,108","13,239"
2020년04월_계_80~89세,"21,970","5,004","5,438","2,381","2,930","6,217"
2020년04월_계_90~99세,"3,035",621,660,357,450,947
2020년04월_계_100세 이상,161,56,32,24,17,32
2020년04월_남_총인구수,"587,902","112,157","164,885","82,795","112,960","115,105"
2020년04월_남_연령구간인구수,"587,902","112,157","164,885","82,795","112,960","115,105"
2020년04월_남_0~9세,"52,778","9,052","12,705","8,081","13,378","9,562"
2020년04월_남_10~19세,"60,493","11,066","16,708","8,281","12,379","12,059"
2020년04월_남_20~29세,"82,510","15,505","25,956","10,199","15,736","15,114"
2020년04월_남_30~39세,"83,171","14,482","22,941","13,440","18,168","14,140"
2020년04월_남_40~49세,"96,509","17,828","25,726","13,917","19,584","19,454"
2020년04월_남_50~59세,"107,601","21,033","31,502","13,059","20,003","22,004"
2020년04월_남_60~69세,"69,833","14,976","19,792","11,037","9,536","14,492"
2020년04월_남_70~79세,"27,354","6,365","7,608","3,979","3,257","6,145"
2020년04월_남_80~89세,"7,124","1,737","1,825",753,845,"1,964"
2020년04월_남_90~99세,498,103,112,45,71,167
2020년04월_남_100세 이상,31,10,10,4,3,4
2020년04월_여_총인구수,"556,196","108,968","158,345","75,528","105,404","107,951"
2020년04월_여_연령구간인구수,"556,196","108,968","158,345","75,528","105,404","107,951"
2020년04월_여_0~9세,"49,818","8,467","11,978","7,629","12,634","9,110"
2020년04월_여_10~19세,"54,174","9,589","14,942","7,421","11,280","10,942"
2020년04월_여_20~29세,"64,742","12,363","20,565","7,917","12,329","11,568"
2020년04월_여_30~39세,"73,976","13,139","20,329","10,917","16,977","12,614"
2020년04월_여_40~49세,"93,343","17,285","27,022","11,810","18,783","18,443"
2020년04월_여_50~59세,"103,508","21,117","31,006","13,453","18,351","19,581"
2020년04월_여_60~69세,"68,447","15,665","19,966","10,557","8,721","13,538"
2020년04월_여_70~79세,"30,675","7,512","8,354","3,864","3,851","7,094"
2020년04월_여_80~89세,"14,846","3,267","3,613","1,628","2,085","4,253"
2020년04월_여_90~99세,"2,537",518,548,312,379,780
2020년04월_여_100세 이상,130,46,22,20,14,28
2020년05월_계_총인구수,"1,143,148","220,604","323,192","158,154","218,396","222,802"
2020년05월_계_연령구간인구수,"1,143,148","220,604","323,192","158,154","218,396","222,802"
2020년05월_계_0~9세,"102,217","17,393","24,670","15,640","25,933","18,581"
2020년05월_계_10~19세,"114,140","20,533","31,447","15,660","23,629","22,871"
