카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020년01월_계_총인구수,"176,723","15,248","7,512","14,067","17,037","28,706","20,149","11,360","14,404","14,176","6,887","9,994","17,183"
2020년01월_계_연령구간인구수,"176,723","15,248","7,512","14,067","17,037","28,706","20,149","11,360","14,404","14,176","6,887","9,994","17,183"
2020년01월_계_0~9세,"11,783",764,339,847,"1,073","2,239","1,135",600,"1,789",881,559,491,"1,066"
2020년01월_계_10~19세,"17,709","1,083",553,"1,161","1,810","4,199","1,753",970,"1,323","1,405",679,919,"1,854"
2020년01월_계_20~29세,"24,863","2,405",863,"1,707","2,391","4,227","3,083","1,538","1,787","2,059","1,087","1,325","2,391"
2020년01월_계_30~39세,"20,176","1,658",887,"1,417","1,826","2,946","2,362","1,194","2,467","1,696","1,089",952,"1,682"
2020년01월_계_40~49세,"28,424","2,108","1,200","2,051","2,726","5,483","3,315","1,654","2,340","2,327","1,214","1,409","2,597"
2020년01월_계_50~59세,"33,604","2,976","1,420","2,765","3,224","5,502","3,813","2,225","2,337","2,691","1,171","1,956","3,524"
2020년01월_계_60~69세,"22,821","2,484","1,276","2,271","2,293","2,369","2,769","1,712","1,416","1,680",646,"1,531","2,374"
2020년01월_계_70~79세,"11,640","1,249",675,"1,210","1,160","1,121","1,374",973,609,953,286,920,"1,110"
2020년01월_계_80~89세,"5,052",446,260,567,483,554,488,432,303,429,133,448,509
2020년01월_계_90~99세,620,70,37,65,47,62,56,57,32,53,23,42,76
2020년01월_계_100세 이상,31,5,2,6,4,4,1,5,1,2,0,1,0
2020년01월_남_총인구수,"89,872","8,058","3,978","7,174","8,484","14,207","10,469","5,801","7,371","7,495","3,763","4,725","8,347"
2020년01월_남_연령구간인구수,"89,872","8,058","3,978","7,174","8,484","14,207","10,469","5,801","7,371","7,495","3,763","4,725","8,347"
2020년01월_남_0~9세,"5,975",388,184,409,531,"1,128",588,283,923,464,293,254,530
2020년01월_남_10~19세,"9,244",583,303,612,950,"2,146",913,530,689,735,342,465,976
2020년01월_남_20~29세,"13,801","1,323",500,965,"1,302","2,270","1,723",853,993,"1,206",640,733,"1,293"
2020년01월_남_30~39세,"10,869",931,476,750,976,"1,452","1,365",668,"1,272",961,655,491,872
