카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년01월_계_총인구수,"153,335","49,746","2,216","3,156","2,948","2,978","2,901","1,824","1,774","58,659","12,526","12,723","1,884"
2020년01월_계_연령구간인구수,"153,335","49,746","2,216","3,156","2,948","2,978","2,901","1,824","1,774","58,659","12,526","12,723","1,884"
2020년01월_계_0~9세,"14,203","4,670",77,102,76,79,72,56,47,"6,969","1,011",982,62
2020년01월_계_10~19세,"16,748","5,369",160,142,124,149,104,97,75,"7,584","1,268","1,550",126
2020년01월_계_20~29세,"20,913","6,565",210,289,279,230,239,121,152,"8,503","1,737","2,371",217
2020년01월_계_30~39세,"19,258","6,328",135,174,196,195,181,112,140,"8,957","1,352","1,347",141
2020년01월_계_40~49세,"24,596","8,156",224,314,303,237,276,180,196,"10,881","2,050","1,558",221
2020년01월_계_50~59세,"28,857","8,591",474,699,613,593,539,373,336,"10,467","2,830","2,914",428
2020년01월_계_60~69세,"15,609","5,465",357,555,558,579,571,374,306,"3,469","1,472","1,587",316
2020년01월_계_70~79세,"7,929","2,827",306,493,459,501,537,289,289,"1,213",520,284,211
2020년01월_계_80~89세,"4,524","1,513",229,334,301,367,319,196,210,546,251,109,149
2020년01월_계_90~99세,676,252,43,53,38,47,61,24,22,67,35,21,13
2020년01월_계_100세 이상,22,10,1,1,1,1,2,2,1,3,0,0,0
2020년01월_남_총인구수,"79,710","25,379","1,153","1,562","1,500","1,499","1,433",919,966,"30,723","6,630","6,920","1,026"
2020년01월_남_연령구간인구수,"79,710","25,379","1,153","1,562","1,500","1,499","1,433",919,966,"30,723","6,630","6,920","1,026"
2020년01월_남_0~9세,"7,228","2,369",50,48,39,36,32,25,25,"3,544",519,509,32
2020년01월_남_10~19세,"8,641","2,770",93,75,63,82,57,59,42,"3,924",641,765,70
2020년01월_남_20~29세,"12,067","3,570",125,166,172,151,134,68,94,"4,827","1,026","1,593",141
2020년01월_남_30~39세,"10,296","3,275",80,88,106,107,112,64,88,"4,751",763,767,95
2020년01월_남_40~49세,"12,440","4,288",138,180,177,149,170,118,133,"5,276","1,082",585,144
2020년01월_남_50~59세,"15,811","4,528",274,410,338,332,311,200,214,"5,841","1,509","1,612",242
2020년01월_남_60~69세,"8,222","2,823",180,273,291,295,278,191,158,"1,874",787,901,171
2020년01월_남_70~79세,"3,464","1,238",125,212,201,212,229,111,135,511,241,156,93
2020년01월_남_80~89세,"1,412",470,75,97,105,128,102,78,72,164,57,28,36
2020년01월_남_90~99세,124,46,13,12,8,7,8,5,5,9,5,4,2
2020년01월_남_100세 이상,5,2,0,1,0,0,0,0,0,2,0,0,0
2020년01월_여_총인구수,"73,625","24,367","1,063","1,594","1,448","1,479","1,468",905,808,"27,936","5,896","5,803",858
2020년01월_여_연령구간인구수,"73,625","24,367","1,063","1,594","1,448","1,479","1,468",905,808,"27,936","5,896","5,803",858
2020년01월_여_0~9세,"6,975","2,301",27,54,37,43,40,31,22,"3,425",492,473,30
2020년01월_여_10~19세,"8,107","2,599",67,67,61,67,47,38,33,"3,660",627,785,56
2020년01월_여_20~29세,"8,846","2,995",85,123,107,79,105,53,58,"3,676",711,778,76
2020년01월_여_30~39세,"8,962","3,053",55,86,90,88,69,48,52,"4,206",589,580,46
2020년01월_여_40~49세,"12,156","3,868",86,134,126,88,106,62,63,"5,605",968,973,77
2020년01월_여_50~59세,"13,046","4,063",200,289,275,261,228,173,122,"4,626","1,321","1,302",186
2020년01월_여_60~69세,"7,387","2,642",177,282,267,284,293,183,148,"1,595",685,686,145
2020년01월_여_70~79세,"4,465","1,589",181,281,258,289,308,178,154,702,279,128,118
2020년01월_여_80~89세,"3,112","1,043",154,237,196,239,217,118,138,382,194,81,113
2020년01월_여_90~99세,552,206,30,41,30,40,53,19,17,58,30,17,11
2020년01월_여_100세 이상,17,8,1,0,1,1,2,2,1,1,0,0,0
2020년02월_계_총인구수,"152,304","49,415","2,197","3,132","2,909","2,933","2,861","1,794","1,739","58,390","12,461","12,599","1,874"
2020년02월_계_연령구간인구수,"152,304","49,415","2,197","3,132","2,909","2,933","2,861","1,794","1,739","58,390","12,461","12,599","1,874"
2020년02월_계_0~9세,"14,112","4,641",80,98,75,78,72,56,43,"6,937",998,972,62
2020년02월_계_10~19세,"16,478","5,302",155,139,120,141,97,93,74,"7,515","1,236","1,484",122
2020년02월_계_20~29세,"20,552","6,449",201,280,266,223,225,112,151,"8,378","1,716","2,332",219
2020년02월_계_30~39세,"19,129","6,286",137,170,196,181,176,108,135,"8,920","1,335","1,351",134
2020년02월_계_40~49세,"24,394","8,107",225,304,296,236,271,173,188,"10,813","2,039","1,529",213
2020년02월_계_50~59세,"28,787","8,540",463,698,600,573,525,356,325,"10,512","2,835","2,930",430
2020년02월_계_60~69세,"15,649","5,482",357,556,557,581,570,383,296,"3,477","1,480","1,588",322
2020년02월_계_70~79세,"7,926","2,814",307,496,458,501,537,290,290,"1,212",533,283,205
2020년02월_계_80~89세,"4,559","1,527",227,337,299,366,325,197,212,553,253,111,152
2020년02월_계_90~99세,696,257,44,53,41,52,61,24,24,70,36,19,15
2020년02월_계_100세 이상,22,10,1,1,1,1,2,2,1,3,0,0,0
2020년02월_남_총인구수,"79,213","25,237","1,143","1,543","1,485","1,463","1,408",905,946,"30,580","6,605","6,877","1,021"
2020년02월_남_연령구간인구수,"79,213","25,237","1,143","1,543","1,485","1,463","1,408",905,946,"30,580","6,605","6,877","1,021"
2020년02월_남_0~9세,"7,175","2,353",51,45,39,35,31,25,22,"3,517",517,507,33
2020년02월_남_10~19세,"8,529","2,747",90,75,61,78,53,57,42,"3,893",621,745,67
2020년02월_남_20~29세,"11,893","3,528",119,164,163,144,130,63,93,"4,761","1,019","1,567",142
2020년02월_남_30~39세,"10,212","3,247",82,82,110,97,107,60,82,"4,728",754,771,92
2020년02월_남_40~49세,"12,331","4,251",139,174,172,146,169,114,128,"5,248","1,077",575,138
2020년02월_남_50~59세,"15,806","4,516",268,405,336,322,302,197,211,"5,862","1,522","1,622",243
2020년02월_남_60~69세,"8,233","2,832",181,276,290,294,273,195,155,"1,878",784,900,175
2020년02월_남_70~79세,"3,476","1,233",126,212,202,212,231,111,134,516,249,158,92
2020년02월_남_80~89세,"1,422",480,74,96,103,126,104,78,73,166,57,28,37
2020년02월_남_90~99세,131,48,13,13,9,9,8,5,6,9,5,4,2
2020년02월_남_100세 이상,5,2,0,1,0,0,0,0,0,2,0,0,0
2020년02월_여_총인구수,"73,091","24,178","1,054","1,589","1,424","1,470","1,453",889,793,"27,810","5,856","5,722",853
2020년02월_여_연령구간인구수,"73,091","24,178","1,054","1,589","1,424","1,470","1,453",889,793,"27,810","5,856","5,722",853
2020년02월_여_0~9세,"6,937","2,288",29,53,36,43,41,31,21,"3,420",481,465,29
2020년02월_여_10~19세,"7,949","2,555",65,64,59,63,44,36,32,"3,622",615,739,55
2020년02월_여_20~29세,"8,659","2,921",82,116,103,79,95,49,58,"3,617",697,765,77
2020년02월_여_30~39세,"8,917","3,039",55,88,86,84,69,48,53,"4,192",581,580,42
2020년02월_여_40~49세,"12,063","3,856",86,130,124,90,102,59,60,"5,565",962,954,75
2020년02월_여_50~59세,"12,981","4,024",195,293,264,251,223,159,114,"4,650","1,313","1,308",187
2020년02월_여_60~69세,"7,416","2,650",176,280,267,287,297,188,141,"1,599",696,688,147
2020년02월_여_70~79세,"4,450","1,581",181,284,256,289,306,179,156,696,284,125,113
2020년02월_여_80~89세,"3,137","1,047",153,241,196,240,221,119,139,387,196,83,115
2020년02월_여_90~99세,565,209,31,40,32,43,53,19,18,61,31,15,13
2020년02월_여_100세 이상,17,8,1,0,1,1,2,2,1,1,0,0,0
2020년03월_계_총인구수,"151,372","49,029","2,156","3,110","2,871","2,905","2,822","1,784","1,719","58,194","12,409","12,518","1,855"
2020년03월_계_연령구간인구수,"151,372","49,029","2,156","3,110","2,871","2,905","2,822","1,784","1,719","58,194","12,409","12,518","1,855"
2020년03월_계_0~9세,"14,012","4,633",73,97,70,78,65,56,42,"6,883",988,968,59
2020년03월_계_10~19세,"16,294","5,233",145,141,117,137,94,95,70,"7,480","1,212","1,447",123
2020년03월_계_20~29세,"20,300","6,322",192,269,254,218,215,107,145,"8,327","1,719","2,317",215
2020년03월_계_30~39세,"18,949","6,205",135,167,190,175,171,102,130,"8,890","1,318","1,335",131
2020년03월_계_40~49세,"24,153","8,026",218,299,284,232,268,172,183,"10,755","1,998","1,510",208
2020년03월_계_50~59세,"28,726","8,513",458,686,593,563,515,353,327,"10,521","2,854","2,921",422
2020년03월_계_60~69세,"15,733","5,502",355,568,559,581,568,383,297,"3,495","1,499","1,601",325
2020년03월_계_70~79세,"7,895","2,808",305,491,458,499,534,291,287,"1,207",524,287,204
2020년03월_계_80~89세,"4,581","1,525",230,335,302,368,324,199,213,562,258,113,152
2020년03월_계_90~99세,707,252,44,56,43,53,66,24,24,71,39,19,16
2020년03월_계_100세 이상,22,10,1,1,1,1,2,2,1,3,0,0,0
2020년03월_남_총인구수,"78,834","25,086","1,118","1,542","1,466","1,450","1,392",898,934,"30,531","6,579","6,829","1,009"
2020년03월_남_연령구간인구수,"78,834","25,086","1,118","1,542","1,466","1,450","1,392",898,934,"30,531","6,579","6,829","1,009"
2020년03월_남_0~9세,"7,141","2,348",47,45,36,35,28,25,21,"3,505",514,505,32
2020년03월_남_10~19세,"8,436","2,721",84,73,58,78,51,58,38,"3,873",604,730,68
2020년03월_남_20~29세,"11,799","3,478",113,166,156,143,125,59,90,"4,760","1,020","1,551",138
2020년03월_남_30~39세,"10,121","3,206",82,83,107,93,105,57,80,"4,713",743,763,89
2020년03월_남_40~49세,"12,241","4,217",134,168,167,144,166,113,124,"5,242","1,055",576,135
2020년03월_남_50~59세,"15,777","4,504",262,397,331,315,300,195,213,"5,867","1,538","1,614",241
