카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년03월_계_총인구수,"16,884","7,363","2,173","1,729","1,809","1,707","2,103"
2020년03월_계_연령구간인구수,"16,884","7,363","2,173","1,729","1,809","1,707","2,103"
2020년03월_계_0~9세,785,459,86,63,49,56,72
2020년03월_계_10~19세,991,581,88,55,87,98,82
2020년03월_계_20~29세,"1,183",687,100,74,114,84,124
2020년03월_계_30~39세,"1,087",652,115,66,73,75,106
2020년03월_계_40~49세,"1,817",976,194,141,153,172,181
2020년03월_계_50~59세,"3,029","1,245",403,291,346,326,418
2020년03월_계_60~69세,"3,315","1,234",482,402,375,364,458
2020년03월_계_70~79세,"2,739",918,413,379,323,298,408
2020년03월_계_80~89세,"1,685",515,253,229,263,196,229
2020년03월_계_90~99세,228,88,37,26,24,33,20
2020년03월_계_100세 이상,25,8,2,3,2,5,5
2020년03월_남_총인구수,"8,346","3,606","1,050",877,898,855,"1,060"
2020년03월_남_연령구간인구수,"8,346","3,606","1,050",877,898,855,"1,060"
2020년03월_남_0~9세,414,252,43,34,22,32,31
2020년03월_남_10~19세,509,289,52,29,45,50,44
2020년03월_남_20~29세,682,381,61,42,67,52,79
2020년03월_남_30~39세,586,334,62,43,43,45,59
2020년03월_남_40~49세,"1,081",547,131,95,86,108,114
2020년03월_남_50~59세,"1,641",643,208,179,196,180,235
2020년03월_남_60~69세,"1,638",590,232,193,197,181,245
2020년03월_남_70~79세,"1,188",391,175,188,142,120,172
2020년03월_남_80~89세,546,161,76,66,91,76,76
2020년03월_남_90~99세,55,16,8,7,9,10,5
2020년03월_남_100세 이상,6,2,2,1,0,1,0
2020년03월_여_총인구수,"8,538","3,757","1,123",852,911,852,"1,043"
2020년03월_여_연령구간인구수,"8,538","3,757","1,123",852,911,852,"1,043"
2020년03월_여_0~9세,371,207,43,29,27,24,41
2020년03월_여_10~19세,482,292,36,26,42,48,38
2020년03월_여_20~29세,501,306,39,32,47,32,45
2020년03월_여_30~39세,501,318,53,23,30,30,47
2020년03월_여_40~49세,736,429,63,46,67,64,67
2020년03월_여_50~59세,"1,388",602,195,112,150,146,183
2020년03월_여_60~69세,"1,677",644,250,209,178,183,213
2020년03월_여_70~79세,"1,551",527,238,191,181,178,236
2020년03월_여_80~89세,"1,139",354,177,163,172,120,153
2020년03월_여_90~99세,173,72,29,19,15,23,15
2020년03월_여_100세 이상,19,6,0,2,2,4,5
2020년04월_계_총인구수,"16,844","7,364","2,166","1,727","1,795","1,694","2,098"
2020년04월_계_연령구간인구수,"16,844","7,364","2,166","1,727","1,795","1,694","2,098"
2020년04월_계_0~9세,773,455,83,62,47,54,72
2020년04월_계_10~19세,988,582,85,57,88,94,82
2020년04월_계_20~29세,"1,165",674,104,72,111,86,118
2020년04월_계_30~39세,"1,078",651,114,65,68,72,108
2020년04월_계_40~49세,"1,806",980,190,140,148,171,177
2020년04월_계_50~59세,"3,028","1,249",395,291,348,326,419
2020년04월_계_60~69세,"3,326","1,241",490,400,375,361,459
2020년04월_계_70~79세,"2,722",914,413,377,321,293,404
2020년04월_계_80~89세,"1,702",521,253,234,263,199,232
2020년04월_계_90~99세,230,89,37,25,24,33,22
2020년04월_계_100세 이상,26,8,2,4,2,5,5
2020년04월_남_총인구수,"8,317","3,602","1,046",872,894,848,"1,055"
2020년04월_남_연령구간인구수,"8,317","3,602","1,046",872,894,848,"1,055"
2020년04월_남_0~9세,401,247,40,32,21,30,31
2020년04월_남_10~19세,512,291,52,30,47,48,44
2020년04월_남_20~29세,668,371,62,41,66,54,74
2020년04월_남_30~39세,583,334,62,42,41,43,61
2020년04월_남_40~49세,"1,073",550,128,94,83,108,110
2020년04월_남_50~59세,"1,639",643,205,178,196,180,237
2020년04월_남_60~69세,"1,646",595,235,191,198,181,246
2020년04월_남_70~79세,"1,177",385,175,190,142,117,168
2020년04월_남_80~89세,557,168,76,66,92,76,79
2020년04월_남_90~99세,55,16,9,7,8,10,5
2020년04월_남_100세 이상,6,2,2,1,0,1,0
2020년04월_여_총인구수,"8,527","3,762","1,120",855,901,846,"1,043"
2020년04월_여_연령구간인구수,"8,527","3,762","1,120",855,901,846,"1,043"
2020년04월_여_0~9세,372,208,43,30,26,24,41
2020년04월_여_10~19세,476,291,33,27,41,46,38
2020년04월_여_20~29세,497,303,42,31,45,32,44
2020년04월_여_30~39세,495,317,52,23,27,29,47
2020년04월_여_40~49세,733,430,62,46,65,63,67
2020년04월_여_50~59세,"1,389",606,190,113,152,146,182
2020년04월_여_60~69세,"1,680",646,255,209,177,180,213
2020년04월_여_70~79세,"1,545",529,238,187,179,176,236
2020년04월_여_80~89세,"1,145",353,177,168,171,123,153
2020년04월_여_90~99세,175,73,28,18,16,23,17
2020년04월_여_100세 이상,20,6,0,3,2,4,5
2020년05월_계_총인구수,"16,786","7,335","2,166","1,727","1,789","1,686","2,083"
2020년05월_계_연령구간인구수,"16,786","7,335","2,166","1,727","1,789","1,686","2,083"
2020년05월_계_0~9세,769,452,83,61,49,55,69
2020년05월_계_10~19세,981,577,86,57,87,92,82
2020년05월_계_20~29세,"1,158",669,104,74,109,88,114
2020년05월_계_30~39세,"1,065",643,114,66,67,71,104
2020년05월_계_40~49세,"1,792",979,188,135,146,168,176
2020년05월_계_50~59세,"3,012","1,244",391,294,346,321,416
2020년05월_계_60~69세,"3,331","1,244",495,400,376,362,454
2020년05월_계_70~79세,"2,720",911,414,375,319,295,406
2020년05월_계_80~89세,"1,701",518,252,237,263,195,236
2020년05월_계_90~99세,231,90,37,24,25,34,21
2020년05월_계_100세 이상,26,8,2,4,2,5,5
2020년05월_남_총인구수,"8,295","3,594","1,048",874,888,843,"1,048"
2020년05월_남_연령구간인구수,"8,295","3,594","1,048",874,888,843,"1,048"
2020년05월_남_0~9세,401,246,40,32,22,31,30
2020년05월_남_10~19세,510,291,52,30,46,47,44
2020년05월_남_20~29세,667,370,63,43,64,55,72
2020년05월_남_30~39세,570,327,61,43,40,42,57
2020년05월_남_40~49세,"1,068",552,127,89,82,107,111
2020년05월_남_50~59세,"1,636",640,206,181,196,177,236
2020년05월_남_60~69세,"1,649",599,236,192,198,182,242
2020년05월_남_70~79세,"1,180",384,177,189,141,119,170
2020년05월_남_80~89세,552,167,75,67,91,71,81
2020년05월_남_90~99세,56,16,9,7,8,11,5
2020년05월_남_100세 이상,6,2,2,1,0,1,0
2020년05월_여_총인구수,"8,491","3,741","1,118",853,901,843,"1,035"
2020년05월_여_연령구간인구수,"8,491","3,741","1,118",853,901,843,"1,035"
2020년05월_여_0~9세,368,206,43,29,27,24,39
2020년05월_여_10~19세,471,286,34,27,41,45,38
2020년05월_여_20~29세,491,299,41,31,45,33,42
2020년05월_여_30~39세,495,316,53,23,27,29,47
