카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년01월_계_총인구수,"54,484","8,430","14,839","6,734","1,925","2,101","3,880","3,679","2,331","3,222","1,973","3,029","2,341"
2020년01월_계_연령구간인구수,"54,484","8,430","14,839","6,734","1,925","2,101","3,880","3,679","2,331","3,222","1,973","3,029","2,341"
2020년01월_계_0~9세,"3,924",682,"1,690",720,75,54,126,113,72,113,71,129,79
2020년01월_계_10~19세,"4,666",836,"1,813",742,103,86,218,162,110,179,85,216,116
2020년01월_계_20~29세,"5,077",878,"1,499",852,135,128,295,274,194,249,132,268,173
2020년01월_계_30~39세,"5,241",797,"2,010","1,003",112,101,261,202,141,163,115,173,163
2020년01월_계_40~49세,"7,675","1,103","2,873","1,325",186,209,391,350,206,317,168,314,233
2020년01월_계_50~59세,"9,449","1,489","2,409","1,273",319,388,706,629,447,556,313,514,406
2020년01월_계_60~69세,"7,658","1,121","1,333",456,332,417,776,795,449,580,378,548,473
2020년01월_계_70~79세,"6,393",925,806,229,330,417,655,691,404,641,396,491,408
2020년01월_계_80~89세,"3,876",509,365,116,294,264,401,404,283,374,276,321,269
2020년01월_계_90~99세,493,86,38,17,35,37,44,57,23,48,36,52,20
2020년01월_계_100세 이상,32,4,3,1,4,0,7,2,2,2,3,3,1
2020년01월_남_총인구수,"27,993","4,175","7,886","3,869",939,"1,046","1,934","1,831","1,185","1,540",938,"1,479","1,171"
2020년01월_남_연령구간인구수,"27,993","4,175","7,886","3,869",939,"1,046","1,934","1,831","1,185","1,540",938,"1,479","1,171"
2020년01월_남_0~9세,"1,984",356,809,372,41,26,54,70,49,68,28,68,43
2020년01월_남_10~19세,"2,488",435,970,386,48,51,121,96,69,101,50,109,52
2020년01월_남_20~29세,"2,863",484,793,519,79,68,190,161,115,140,71,143,100
2020년01월_남_30~39세,"2,913",403,"1,052",613,73,57,154,125,84,94,68,94,96
2020년01월_남_40~49세,"4,558",586,"1,696",816,113,127,229,239,125,193,110,178,146
2020년01월_남_50~59세,"5,388",794,"1,413",786,201,231,375,353,252,299,176,288,220
2020년01월_남_60~69세,"3,859",538,698,253,151,231,391,388,246,273,182,263,245
2020년01월_남_70~79세,"2,636",402,350,94,124,172,271,290,155,253,152,203,170
2020년01월_남_80~89세,"1,199",157,98,26,96,75,138,101,85,111,97,117,98
2020년01월_남_90~99세,98,19,6,4,12,8,8,8,5,8,3,16,1
2020년01월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년01월_여_총인구수,"26,491","4,255","6,953","2,865",986,"1,055","1,946","1,848","1,146","1,682","1,035","1,550","1,170"
2020년01월_여_연령구간인구수,"26,491","4,255","6,953","2,865",986,"1,055","1,946","1,848","1,146","1,682","1,035","1,550","1,170"
2020년01월_여_0~9세,"1,940",326,881,348,34,28,72,43,23,45,43,61,36
2020년01월_여_10~19세,"2,178",401,843,356,55,35,97,66,41,78,35,107,64
2020년01월_여_20~29세,"2,214",394,706,333,56,60,105,113,79,109,61,125,73
2020년01월_여_30~39세,"2,328",394,958,390,39,44,107,77,57,69,47,79,67
2020년01월_여_40~49세,"3,117",517,"1,177",509,73,82,162,111,81,124,58,136,87
2020년01월_여_50~59세,"4,061",695,996,487,118,157,331,276,195,257,137,226,186
2020년01월_여_60~69세,"3,799",583,635,203,181,186,385,407,203,307,196,285,228
2020년01월_여_70~79세,"3,757",523,456,135,206,245,384,401,249,388,244,288,238
2020년01월_여_80~89세,"2,677",352,267,90,198,189,263,303,198,263,179,204,171
2020년01월_여_90~99세,395,67,32,13,23,29,36,49,18,40,33,36,19
2020년01월_여_100세 이상,25,3,2,1,3,0,4,2,2,2,2,3,1
2020년02월_계_총인구수,"54,383","8,378","14,891","6,706","1,923","2,081","3,868","3,668","2,323","3,223","1,975","3,016","2,331"
2020년02월_계_연령구간인구수,"54,383","8,378","14,891","6,706","1,923","2,081","3,868","3,668","2,323","3,223","1,975","3,016","2,331"
2020년02월_계_0~9세,"3,900",674,"1,695",709,73,51,123,111,72,112,72,126,82
2020년02월_계_10~19세,"4,644",820,"1,827",737,104,81,213,155,113,177,86,215,116
2020년02월_계_20~29세,"5,036",871,"1,507",840,136,126,289,266,185,251,129,268,168
2020년02월_계_30~39세,"5,195",785,"2,015",981,112,99,257,200,143,164,116,168,155
2020년02월_계_40~49세,"7,688","1,094","2,890","1,336",186,204,397,354,206,313,167,311,230
2020년02월_계_50~59세,"9,414","1,490","2,397","1,270",316,384,704,632,444,546,314,513,404
2020년02월_계_60~69세,"7,706","1,121","1,352",469,337,420,773,791,446,589,381,549,478
2020년02월_계_70~79세,"6,373",916,803,226,329,416,656,689,399,643,398,489,409
2020년02월_계_80~89세,"3,896",513,367,118,292,262,406,410,289,376,273,323,267
2020년02월_계_90~99세,498,90,35,19,34,38,44,58,23,50,35,51,21
2020년02월_계_100세 이상,33,4,3,1,4,0,6,2,3,2,4,3,1
2020년02월_남_총인구수,"27,926","4,141","7,905","3,851",940,"1,037","1,936","1,825","1,178","1,535",936,"1,475","1,167"
2020년02월_남_연령구간인구수,"27,926","4,141","7,905","3,851",940,"1,037","1,936","1,825","1,178","1,535",936,"1,475","1,167"
2020년02월_남_0~9세,"1,968",353,805,366,43,24,51,70,49,65,30,67,45
2020년02월_남_10~19세,"2,487",431,980,387,46,49,118,91,71,102,51,109,52
2020년02월_남_20~29세,"2,840",477,798,510,80,69,191,157,109,140,70,141,98
2020년02월_남_30~39세,"2,877",398,"1,044",600,73,56,151,122,86,93,67,91,96
2020년02월_남_40~49세,"4,560",576,"1,707",819,112,124,233,243,126,189,111,179,141
2020년02월_남_50~59세,"5,364",793,"1,403",785,201,227,378,353,247,296,172,289,220
2020년02월_남_60~69세,"3,885",535,710,258,154,234,389,388,243,276,185,265,248
2020년02월_남_70~79세,"2,635",400,350,95,124,171,273,290,154,254,152,203,169
2020년02월_남_80~89세,"1,205",157,101,27,94,74,141,104,88,113,94,116,96
2020년02월_남_90~99세,98,20,6,4,12,9,8,7,5,7,3,15,2
2020년02월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년02월_여_총인구수,"26,457","4,237","6,986","2,855",983,"1,044","1,932","1,843","1,145","1,688","1,039","1,541","1,164"
2020년02월_여_연령구간인구수,"26,457","4,237","6,986","2,855",983,"1,044","1,932","1,843","1,145","1,688","1,039","1,541","1,164"
2020년02월_여_0~9세,"1,932",321,890,343,30,27,72,41,23,47,42,59,37
2020년02월_여_10~19세,"2,157",389,847,350,58,32,95,64,42,75,35,106,64
2020년02월_여_20~29세,"2,196",394,709,330,56,57,98,109,76,111,59,127,70
2020년02월_여_30~39세,"2,318",387,971,381,39,43,106,78,57,71,49,77,59
2020년02월_여_40~49세,"3,128",518,"1,183",517,74,80,164,111,80,124,56,132,89
2020년02월_여_50~59세,"4,050",697,994,485,115,157,326,279,197,250,142,224,184
2020년02월_여_60~69세,"3,821",586,642,211,183,186,384,403,203,313,196,284,230
2020년02월_여_70~79세,"3,738",516,453,131,205,245,383,399,245,389,246,286,240
2020년02월_여_80~89세,"2,691",356,266,91,198,188,265,306,201,263,179,207,171
2020년02월_여_90~99세,400,70,29,15,22,29,36,51,18,43,32,36,19
2020년02월_여_100세 이상,26,3,2,1,3,0,3,2,3,2,3,3,1
2020년03월_계_총인구수,"54,335","8,384","14,882","6,719","1,907","2,068","3,856","3,663","2,318","3,235","1,961","3,018","2,324"
2020년03월_계_연령구간인구수,"54,335","8,384","14,882","6,719","1,907","2,068","3,856","3,663","2,318","3,235","1,961","3,018","2,324"
2020년03월_계_0~9세,"3,870",671,"1,677",701,72,53,122,111,72,108,72,130,81
2020년03월_계_10~19세,"4,623",817,"1,823",739,102,80,204,151,115,182,84,211,115
2020년03월_계_20~29세,"5,023",870,"1,510",852,130,122,292,261,183,246,127,263,167
2020년03월_계_30~39세,"5,165",796,"1,985",981,113,102,250,201,142,162,110,168,155
2020년03월_계_40~49세,"7,680","1,082","2,901","1,341",179,202,395,357,204,314,166,311,228
2020년03월_계_50~59세,"9,425","1,492","2,420","1,269",315,377,702,631,440,555,310,513,401
2020년03월_계_60~69세,"7,742","1,130","1,357",471,338,420,774,791,449,596,381,556,479
2020년03월_계_70~79세,"6,347",912,807,227,322,413,655,683,399,636,398,487,408
2020년03월_계_80~89세,"3,920",517,366,117,298,264,410,416,286,380,273,324,269
2020년03월_계_90~99세,506,93,33,20,34,35,46,59,25,54,36,52,19
2020년03월_계_100세 이상,34,4,3,1,4,0,6,2,3,2,4,3,2
2020년03월_남_총인구수,"27,900","4,145","7,893","3,857",932,"1,030","1,927","1,821","1,181","1,545",933,"1,472","1,164"
2020년03월_남_연령구간인구수,"27,900","4,145","7,893","3,857",932,"1,030","1,927","1,821","1,181","1,545",933,"1,472","1,164"
2020년03월_남_0~9세,"1,949",353,795,362,43,24,50,67,50,67,29,67,42
2020년03월_남_10~19세,"2,479",431,979,392,44,49,111,87,74,101,51,107,53
2020년03월_남_20~29세,"2,829",478,789,514,76,67,194,156,108,139,70,140,98
2020년03월_남_30~39세,"2,858",399,"1,034",596,74,59,147,123,86,92,63,91,94
2020년03월_남_40~49세,"4,557",572,"1,710",825,109,122,229,246,125,189,111,177,142
2020년03월_남_50~59세,"5,367",792,"1,413",784,200,222,378,351,244,302,173,290,218
2020년03월_남_60~69세,"3,903",541,711,259,155,233,391,388,246,280,184,267,248
2020년03월_남_70~79세,"2,635",398,353,95,125,169,275,290,155,247,154,203,171
2020년03월_남_80~89세,"1,211",159,101,26,93,76,140,106,87,118,94,115,96
2020년03월_남_90~99세,105,21,7,4,12,9,9,7,6,10,3,15,2
2020년03월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년03월_여_총인구수,"26,435","4,239","6,989","2,862",975,"1,038","1,929","1,842","1,137","1,690","1,028","1,546","1,160"
2020년03월_여_연령구간인구수,"26,435","4,239","6,989","2,862",975,"1,038","1,929","1,842","1,137","1,690","1,028","1,546","1,160"
2020년03월_여_0~9세,"1,921",318,882,339,29,29,72,44,22,41,43,63,39
2020년03월_여_10~19세,"2,144",386,844,347,58,31,93,64,41,81,33,104,62
2020년03월_여_20~29세,"2,194",392,721,338,54,55,98,105,75,107,57,123,69
2020년03월_여_30~39세,"2,307",397,951,385,39,43,103,78,56,70,47,77,61
2020년03월_여_40~49세,"3,123",510,"1,191",516,70,80,166,111,79,125,55,134,86
2020년03월_여_50~59세,"4,058",700,"1,007",485,115,155,324,280,196,253,137,223,183
2020년03월_여_60~69세,"3,839",589,646,212,183,187,383,403,203,316,197,289,231
2020년03월_여_70~79세,"3,712",514,454,132,197,244,380,393,244,389,244,284,237
2020년03월_여_80~89세,"2,709",358,265,91,205,188,270,310,199,262,179,209,173
2020년03월_여_90~99세,401,72,26,16,22,26,37,52,19,44,33,37,17
2020년03월_여_100세 이상,27,3,2,1,3,0,3,2,3,2,3,3,2
2020년04월_계_총인구수,"54,229","8,357","14,884","6,709","1,905","2,082","3,842","3,649","2,309","3,227","1,960","2,996","2,309"
2020년04월_계_연령구간인구수,"54,229","8,357","14,884","6,709","1,905","2,082","3,842","3,649","2,309","3,227","1,960","2,996","2,309"
2020년04월_계_0~9세,"3,856",667,"1,675",696,72,53,123,115,70,108,73,125,79
2020년04월_계_10~19세,"4,609",809,"1,821",736,101,86,204,154,115,180,85,206,112
2020년04월_계_20~29세,"5,001",868,"1,515",851,126,123,289,253,181,247,125,261,162
2020년04월_계_30~39세,"5,117",784,"1,975",972,112,103,250,201,138,159,110,163,150
2020년04월_계_40~49세,"7,650","1,078","2,896","1,338",182,199,390,350,205,313,165,306,228
2020년04월_계_50~59세,"9,420","1,490","2,420","1,281",318,383,697,623,437,553,311,510,397
2020년04월_계_60~69세,"7,763","1,131","1,368",470,336,421,776,794,448,596,381,559,483
2020년04월_계_70~79세,"6,324",909,813,231,323,409,650,683,397,637,389,483,400
2020년04월_계_80~89세,"3,941",522,361,113,299,270,410,416,290,377,281,327,275
2020년04월_계_90~99세,514,95,37,20,32,35,47,58,25,55,36,53,21
2020년04월_계_100세 이상,34,4,3,1,4,0,6,2,3,2,4,3,2
2020년04월_남_총인구수,"27,860","4,131","7,899","3,852",933,"1,041","1,920","1,810","1,176","1,546",936,"1,464","1,152"
2020년04월_남_연령구간인구수,"27,860","4,131","7,899","3,852",933,"1,041","1,920","1,810","1,176","1,546",936,"1,464","1,152"
2020년04월_남_0~9세,"1,940",354,794,357,45,23,50,69,47,68,30,64,39
2020년04월_남_10~19세,"2,469",425,977,389,45,53,111,90,73,99,51,104,52
2020년04월_남_20~29세,"2,824",475,789,520,71,67,192,152,109,142,70,142,95
2020년04월_남_30~39세,"2,836",397,"1,031",587,74,61,147,120,84,90,63,89,93
2020년04월_남_40~49세,"4,539",570,"1,714",820,110,121,226,239,125,190,111,173,140
2020년04월_남_50~59세,"5,372",786,"1,411",792,202,228,375,351,244,300,175,289,219
2020년04월_남_60~69세,"3,912",544,717,258,153,235,395,385,245,282,183,269,246
2020년04월_남_70~79세,"2,632",399,357,98,127,168,270,291,153,247,151,203,168
2020년04월_남_80~89세,"1,221",158,100,27,93,76,142,106,90,118,98,116,97
2020년04월_남_90~99세,108,22,8,4,12,9,9,7,6,10,3,15,3
2020년04월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년04월_여_총인구수,"26,369","4,226","6,985","2,857",972,"1,041","1,922","1,839","1,133","1,681","1,024","1,532","1,157"
2020년04월_여_연령구간인구수,"26,369","4,226","6,985","2,857",972,"1,041","1,922","1,839","1,133","1,681","1,024","1,532","1,157"
2020년04월_여_0~9세,"1,916",313,881,339,27,30,73,46,23,40,43,61,40
2020년04월_여_10~19세,"2,140",384,844,347,56,33,93,64,42,81,34,102,60
2020년04월_여_20~29세,"2,177",393,726,331,55,56,97,101,72,105,55,119,67
2020년04월_여_30~39세,"2,281",387,944,385,38,42,103,81,54,69,47,74,57
2020년04월_여_40~49세,"3,111",508,"1,182",518,72,78,164,111,80,123,54,133,88
2020년04월_여_50~59세,"4,048",704,"1,009",489,116,155,322,272,193,253,136,221,178
2020년04월_여_60~69세,"3,851",587,651,212,183,186,381,409,203,314,198,290,237
2020년04월_여_70~79세,"3,692",510,456,133,196,241,380,392,244,390,238,280,232
2020년04월_여_80~89세,"2,720",364,261,86,206,194,268,310,200,259,183,211,178
2020년04월_여_90~99세,406,73,29,16,20,26,38,51,19,45,33,38,18
2020년04월_여_100세 이상,27,3,2,1,3,0,3,2,3,2,3,3,2
2020년05월_계_총인구수,"54,224","8,348","14,899","6,744","1,903","2,062","3,835","3,644","2,305","3,215","1,958","3,005","2,306"
2020년05월_계_연령구간인구수,"54,224","8,348","14,899","6,744","1,903","2,062","3,835","3,644","2,305","3,215","1,958","3,005","2,306"
2020년05월_계_0~9세,"3,833",658,"1,658",696,72,51,121,115,69,108,74,132,79
2020년05월_계_10~19세,"4,592",813,"1,814",736,101,80,203,151,115,176,84,207,112
2020년05월_계_20~29세,"5,017",866,"1,531",884,125,114,283,252,180,244,122,258,158
2020년05월_계_30~39세,"5,107",779,"1,960",967,113,102,254,199,140,161,109,168,155
2020년05월_계_40~49세,"7,629","1,073","2,900","1,330",179,202,396,349,201,312,161,302,224
2020년05월_계_50~59세,"9,429","1,495","2,432","1,285",323,378,692,618,432,551,316,509,398
2020년05월_계_60~69세,"7,782","1,139","1,380",478,332,420,774,800,449,592,379,558,481
2020년05월_계_70~79세,"6,334",912,816,232,324,408,651,680,396,635,389,487,404
2020년05월_계_80~89세,"3,958",514,368,116,299,272,409,421,295,379,284,328,273
2020년05월_계_90~99세,510,95,37,19,31,35,46,57,25,55,36,53,21
2020년05월_계_100세 이상,33,4,3,1,4,0,6,2,3,2,4,3,1
2020년05월_남_총인구수,"27,886","4,124","7,916","3,889",930,"1,035","1,921","1,812","1,172","1,537",933,"1,461","1,156"
2020년05월_남_연령구간인구수,"27,886","4,124","7,916","3,889",930,"1,035","1,921","1,812","1,172","1,537",933,"1,461","1,156"
2020년05월_남_0~9세,"1,925",348,781,358,45,23,49,69,48,67,31,67,39
2020년05월_남_10~19세,"2,463",428,976,392,45,50,110,87,72,97,50,104,52
2020년05월_남_20~29세,"2,856",479,798,547,71,64,191,152,108,140,70,140,96
2020년05월_남_30~39세,"2,822",393,"1,023",587,74,60,148,119,85,88,61,90,94
2020년05월_남_40~49세,"4,531",562,"1,721",816,107,122,233,238,123,190,109,169,141
2020년05월_남_50~59세,"5,390",790,"1,420",797,205,227,373,353,242,299,177,289,218
2020년05월_남_60~69세,"3,920",548,723,263,150,237,395,388,244,280,181,265,246
2020년05월_남_70~79세,"2,639",398,363,97,129,167,268,290,154,246,151,206,170
2020년05월_남_80~89세,"1,225",155,102,28,92,76,142,109,89,120,99,116,97
2020년05월_남_90~99세,108,22,8,4,11,9,9,7,7,10,3,15,3
2020년05월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년05월_여_총인구수,"26,338","4,224","6,983","2,855",973,"1,027","1,914","1,832","1,133","1,678","1,025","1,544","1,150"
2020년05월_여_연령구간인구수,"26,338","4,224","6,983","2,855",973,"1,027","1,914","1,832","1,133","1,678","1,025","1,544","1,150"
2020년05월_여_0~9세,"1,908",310,877,338,27,28,72,46,21,41,43,65,40
2020년05월_여_10~19세,"2,129",385,838,344,56,30,93,64,43,79,34,103,60
2020년05월_여_20~29세,"2,161",387,733,337,54,50,92,100,72,104,52,118,62
2020년05월_여_30~39세,"2,285",386,937,380,39,42,106,80,55,73,48,78,61
2020년05월_여_40~49세,"3,098",511,"1,179",514,72,80,163,111,78,122,52,133,83
2020년05월_여_50~59세,"4,039",705,"1,012",488,118,151,319,265,190,252,139,220,180
2020년05월_여_60~69세,"3,862",591,657,215,182,183,379,412,205,312,198,293,235
2020년05월_여_70~79세,"3,695",514,453,135,195,241,383,390,242,389,238,281,234
2020년05월_여_80~89세,"2,733",359,266,88,207,196,267,312,206,259,185,212,176
2020년05월_여_90~99세,402,73,29,15,20,26,37,50,18,45,33,38,18
2020년05월_여_100세 이상,26,3,2,1,3,0,3,2,3,2,3,3,1
2020년06월_계_총인구수,"54,266","8,345","14,953","6,728","1,904","2,065","3,837","3,635","2,302","3,222","1,964","3,009","2,302"
2020년06월_계_연령구간인구수,"54,266","8,345","14,953","6,728","1,904","2,065","3,837","3,635","2,302","3,222","1,964","3,009","2,302"
2020년06월_계_0~9세,"3,828",658,"1,659",692,72,48,121,115,70,108,75,135,75
2020년06월_계_10~19세,"4,598",810,"1,831",729,104,80,200,153,110,173,88,207,113
2020년06월_계_20~29세,"5,008",862,"1,536",882,125,114,282,247,185,247,120,254,154
2020년06월_계_30~39세,"5,090",774,"1,951",964,113,102,254,193,141,163,112,169,154
2020년06월_계_40~49세,"7,637","1,074","2,919","1,318",178,204,398,352,197,312,161,301,223
2020년06월_계_50~59세,"9,388","1,489","2,420","1,287",320,374,687,614,427,551,311,511,397
2020년06월_계_60~69세,"7,856","1,145","1,406",486,335,425,781,799,457,593,383,562,484
2020년06월_계_70~79세,"6,348",920,824,233,325,409,652,679,392,640,390,483,401
2020년06월_계_80~89세,"3,971",512,367,117,296,274,410,424,297,381,284,331,278
2020년06월_계_90~99세,510,97,37,19,32,35,46,57,24,52,36,53,22
2020년06월_계_100세 이상,32,4,3,1,4,0,6,2,2,2,4,3,1
2020년06월_남_총인구수,"27,892","4,127","7,941","3,864",931,"1,036","1,923","1,803","1,172","1,541",939,"1,461","1,154"
2020년06월_남_연령구간인구수,"27,892","4,127","7,941","3,864",931,"1,036","1,923","1,803","1,172","1,541",939,"1,461","1,154"
2020년06월_남_0~9세,"1,919",349,781,353,44,20,49,69,48,68,32,70,36
2020년06월_남_10~19세,"2,464",428,983,387,47,49,110,87,71,93,53,103,53
2020년06월_남_20~29세,"2,848",476,806,543,70,64,187,151,110,141,68,137,95
2020년06월_남_30~39세,"2,809",389,"1,017",584,74,60,147,113,87,90,62,92,94
2020년06월_남_40~49세,"4,533",565,"1,728",802,109,125,236,238,121,192,109,167,141
2020년06월_남_50~59세,"5,364",782,"1,417",796,202,223,369,354,238,300,177,289,217
2020년06월_남_60~69세,"3,971",559,733,272,153,242,402,385,250,277,183,268,247
2020년06월_남_70~79세,"2,641",399,365,95,128,167,269,292,151,251,152,204,168
