카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년01월_계_총인구수,"58,334","6,749","10,910","10,798","11,863","9,878","8,136"
2020년01월_계_연령구간인구수,"58,334","6,749","10,910","10,798","11,863","9,878","8,136"
2020년01월_계_0~9세,"4,530",415,"1,206",637,942,690,640
2020년01월_계_10~19세,"6,326",662,"1,518","1,247","1,306",655,938
2020년01월_계_20~29세,"8,033","1,066","1,220","1,727","1,706","1,317",997
2020년01월_계_30~39세,"7,847",747,"1,354","1,154","1,740","1,792","1,060"
2020년01월_계_40~49세,"9,194",869,"2,126","1,533","1,788","1,499","1,379"
2020년01월_계_50~59세,"10,262","1,287","1,701","2,157","2,189","1,577","1,351"
2020년01월_계_60~69세,"6,509",891,938,"1,229","1,200","1,338",913
2020년01월_계_70~79세,"3,478",448,565,617,566,709,573
2020년01월_계_80~89세,"1,745",277,235,403,358,248,224
2020년01월_계_90~99세,360,72,43,84,64,50,47
2020년01월_계_100세 이상,50,15,4,10,4,3,14
2020년01월_남_총인구수,"28,650","3,247","5,308","5,126","5,844","5,138","3,987"
2020년01월_남_연령구간인구수,"28,650","3,247","5,308","5,126","5,844","5,138","3,987"
2020년01월_남_0~9세,"2,392",227,612,319,528,351,355
2020년01월_남_10~19세,"3,276",338,774,654,676,352,482
2020년01월_남_20~29세,"4,237",561,630,878,893,729,546
2020년01월_남_30~39세,"3,991",382,600,564,897,"1,007",541
2020년01월_남_40~49세,"4,348",378,"1,024",659,823,806,658
2020년01월_남_50~59세,"5,001",595,861,"1,045","1,042",777,681
2020년01월_남_60~69세,"3,191",449,474,591,614,658,405
2020년01월_남_70~79세,"1,503",195,234,250,240,351,233
2020년01월_남_80~89세,614,103,87,141,118,92,73
2020년01월_남_90~99세,89,17,12,22,13,15,10
2020년01월_남_100세 이상,8,2,0,3,0,0,3
2020년01월_여_총인구수,"29,684","3,502","5,602","5,672","6,019","4,740","4,149"
2020년01월_여_연령구간인구수,"29,684","3,502","5,602","5,672","6,019","4,740","4,149"
2020년01월_여_0~9세,"2,138",188,594,318,414,339,285
2020년01월_여_10~19세,"3,050",324,744,593,630,303,456
2020년01월_여_20~29세,"3,796",505,590,849,813,588,451
2020년01월_여_30~39세,"3,856",365,754,590,843,785,519
2020년01월_여_40~49세,"4,846",491,"1,102",874,965,693,721
2020년01월_여_50~59세,"5,261",692,840,"1,112","1,147",800,670
2020년01월_여_60~69세,"3,318",442,464,638,586,680,508
2020년01월_여_70~79세,"1,975",253,331,367,326,358,340
2020년01월_여_80~89세,"1,131",174,148,262,240,156,151
2020년01월_여_90~99세,271,55,31,62,51,35,37
2020년01월_여_100세 이상,42,13,4,7,4,3,11
2020년02월_계_총인구수,"58,253","6,758","10,929","10,763","11,842","9,856","8,105"
2020년02월_계_연령구간인구수,"58,253","6,758","10,929","10,763","11,842","9,856","8,105"
2020년02월_계_0~9세,"4,549",415,"1,243",643,938,674,636
