카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년01월_계_총인구수,"45,625","13,717","3,711","3,766","1,888","3,610","6,530","4,179","1,586","1,411","2,928","2,299"
2020년01월_계_연령구간인구수,"45,625","13,717","3,711","3,766","1,888","3,610","6,530","4,179","1,586","1,411","2,928","2,299"
2020년01월_계_0~9세,"3,054","1,071",306,176,57,162,831,197,61,34,89,70
2020년01월_계_10~19세,"3,432","1,232",318,182,80,195,689,282,109,63,184,98
2020년01월_계_20~29세,"4,675","1,351",337,396,165,586,794,436,127,117,212,154
2020년01월_계_30~39세,"4,008","1,299",276,331,139,224,923,300,110,90,149,167
2020년01월_계_40~49세,"5,782","1,953",482,421,183,418,949,559,187,109,297,224
2020년01월_계_50~59세,"7,680","2,225",626,741,377,596,838,796,282,245,494,460
2020년01월_계_60~69세,"6,909","1,948",583,650,345,570,595,701,285,267,510,455
2020년01월_계_70~79세,"6,008","1,633",454,512,293,491,576,536,257,298,556,402
2020년01월_계_80~89세,"3,570",887,284,309,216,334,303,314,142,164,397,220
2020년01월_계_90~99세,466,105,41,47,32,32,32,53,23,23,38,40
2020년01월_계_100세 이상,41,13,4,1,1,2,0,5,3,1,2,9
2020년01월_남_총인구수,"23,409","6,809","1,865","1,985","1,009","2,058","3,393","2,099",833,698,"1,473","1,187"
2020년01월_남_연령구간인구수,"23,409","6,809","1,865","1,985","1,009","2,058","3,393","2,099",833,698,"1,473","1,187"
2020년01월_남_0~9세,"1,550",562,161,88,31,84,405,89,29,14,50,37
2020년01월_남_10~19세,"1,817",631,176,100,44,108,358,142,59,38,106,55
2020년01월_남_20~29세,"2,797",731,173,220,109,508,478,246,69,67,115,81
2020년01월_남_30~39세,"2,119",653,128,197,86,120,495,158,73,44,76,89
2020년01월_남_40~49세,"3,343","1,067",263,270,121,272,528,333,116,61,176,136
2020년01월_남_50~59세,"4,353","1,215",374,414,219,332,486,450,163,142,290,268
2020년01월_남_60~69세,"3,544",940,282,357,198,291,305,359,152,138,273,249
2020년01월_남_70~79세,"2,626",716,209,227,121,219,231,224,120,127,238,194
2020년01월_남_80~89세,"1,150",273,89,99,70,115,98,87,44,61,143,71
2020년01월_남_90~99세,106,20,10,13,10,9,9,11,6,6,6,6
2020년01월_남_100세 이상,4,1,0,0,0,0,0,0,2,0,0,1
2020년01월_여_총인구수,"22,216","6,908","1,846","1,781",879,"1,552","3,137","2,080",753,713,"1,455","1,112"
2020년01월_여_연령구간인구수,"22,216","6,908","1,846","1,781",879,"1,552","3,137","2,080",753,713,"1,455","1,112"
2020년01월_여_0~9세,"1,504",509,145,88,26,78,426,108,32,20,39,33
2020년01월_여_10~19세,"1,615",601,142,82,36,87,331,140,50,25,78,43
2020년01월_여_20~29세,"1,878",620,164,176,56,78,316,190,58,50,97,73
2020년01월_여_30~39세,"1,889",646,148,134,53,104,428,142,37,46,73,78
2020년01월_여_40~49세,"2,439",886,219,151,62,146,421,226,71,48,121,88
2020년01월_여_50~59세,"3,327","1,010",252,327,158,264,352,346,119,103,204,192
2020년01월_여_60~69세,"3,365","1,008",301,293,147,279,290,342,133,129,237,206
2020년01월_여_70~79세,"3,382",917,245,285,172,272,345,312,137,171,318,208
2020년01월_여_80~89세,"2,420",614,195,210,146,219,205,227,98,103,254,149
2020년01월_여_90~99세,360,85,31,34,22,23,23,42,17,17,32,34
2020년01월_여_100세 이상,37,12,4,1,1,2,0,5,1,1,2,8
2020년02월_계_총인구수,"45,595","13,717","3,703","3,760","1,876","3,666","6,498","4,162","1,589","1,417","2,917","2,290"
2020년02월_계_연령구간인구수,"45,595","13,717","3,703","3,760","1,876","3,666","6,498","4,162","1,589","1,417","2,917","2,290"
2020년02월_계_0~9세,"3,024","1,071",314,174,52,158,810,197,58,34,88,68
2020년02월_계_10~19세,"3,432","1,231",310,185,80,192,698,279,111,62,185,99
2020년02월_계_20~29세,"4,696","1,342",330,399,155,648,793,426,130,115,206,152
2020년02월_계_30~39세,"3,957","1,291",277,330,139,221,896,293,108,90,149,163
2020년02월_계_40~49세,"5,809","1,976",484,417,184,415,958,554,191,111,293,226
2020년02월_계_50~59세,"7,676","2,222",622,737,382,592,844,797,282,248,495,455
2020년02월_계_60~69세,"6,924","1,936",586,654,346,580,595,704,286,271,509,457
2020년02월_계_70~79세,"5,963","1,636",450,506,286,482,565,535,254,295,551,403
2020년02월_계_80~89세,"3,609",892,289,307,219,346,307,319,143,167,402,218
2020년02월_계_90~99세,464,107,37,50,32,30,32,53,23,23,37,40
2020년02월_계_100세 이상,41,13,4,1,1,2,0,5,3,1,2,9
2020년02월_남_총인구수,"23,431","6,810","1,862","1,986",999,"2,122","3,371","2,092",835,701,"1,467","1,186"
2020년02월_남_연령구간인구수,"23,431","6,810","1,862","1,986",999,"2,122","3,371","2,092",835,701,"1,467","1,186"
2020년02월_남_0~9세,"1,514",554,162,84,27,81,388,91,28,14,49,36
2020년02월_남_10~19세,"1,814",630,171,102,43,105,361,142,61,37,107,55
2020년02월_남_20~29세,"2,850",727,171,226,103,571,481,244,71,67,110,79
2020년02월_남_30~39세,"2,100",648,128,196,86,123,484,153,72,45,77,88
2020년02월_남_40~49세,"3,364","1,087",267,267,121,267,531,332,116,62,176,138
2020년02월_남_50~59세,"4,345","1,213",372,412,222,334,486,449,164,140,287,266
2020년02월_남_60~69세,"3,567",939,283,360,198,298,309,359,155,141,275,250
2020년02월_남_70~79세,"2,601",716,206,225,117,215,224,223,116,127,237,195
2020년02월_남_80~89세,"1,162",274,91,99,72,120,98,88,44,61,143,72
2020년02월_남_90~99세,110,21,11,15,10,8,9,11,6,7,6,6
2020년02월_남_100세 이상,4,1,0,0,0,0,0,0,2,0,0,1
2020년02월_여_총인구수,"22,164","6,907","1,841","1,774",877,"1,544","3,127","2,070",754,716,"1,450","1,104"
2020년02월_여_연령구간인구수,"22,164","6,907","1,841","1,774",877,"1,544","3,127","2,070",754,716,"1,450","1,104"
2020년02월_여_0~9세,"1,510",517,152,90,25,77,422,106,30,20,39,32
2020년02월_여_10~19세,"1,618",601,139,83,37,87,337,137,50,25,78,44
2020년02월_여_20~29세,"1,846",615,159,173,52,77,312,182,59,48,96,73
2020년02월_여_30~39세,"1,857",643,149,134,53,98,412,140,36,45,72,75
2020년02월_여_40~49세,"2,445",889,217,150,63,148,427,222,75,49,117,88
2020년02월_여_50~59세,"3,331","1,009",250,325,160,258,358,348,118,108,208,189
2020년02월_여_60~69세,"3,357",997,303,294,148,282,286,345,131,130,234,207
2020년02월_여_70~79세,"3,362",920,244,281,169,267,341,312,138,168,314,208
2020년02월_여_80~89세,"2,447",618,198,208,147,226,209,231,99,106,259,146
2020년02월_여_90~99세,354,86,26,35,22,22,23,42,17,16,31,34
2020년02월_여_100세 이상,37,12,4,1,1,2,0,5,1,1,2,8
2020년03월_계_총인구수,"45,412","13,703","3,664","3,746","1,883","3,612","6,441","4,172","1,572","1,424","2,923","2,272"
2020년03월_계_연령구간인구수,"45,412","13,703","3,664","3,746","1,883","3,612","6,441","4,172","1,572","1,424","2,923","2,272"
2020년03월_계_0~9세,"2,970","1,059",302,164,52,153,795,198,57,37,85,68
2020년03월_계_10~19세,"3,406","1,224",305,187,81,193,687,280,105,62,185,97
2020년03월_계_20~29세,"4,632","1,347",322,390,156,612,781,423,130,115,209,147
2020년03월_계_30~39세,"3,916","1,272",272,328,130,221,882,293,109,92,153,164
2020년03월_계_40~49세,"5,772","1,971",484,417,191,406,951,550,184,111,289,218
2020년03월_계_50~59세,"7,639","2,221",619,728,383,585,846,793,277,251,494,442
2020년03월_계_60~69세,"6,989","1,950",586,664,353,582,596,724,289,269,511,465
2020년03월_계_70~79세,"5,947","1,640",447,506,283,481,557,530,254,296,555,398
2020년03월_계_80~89세,"3,627",897,286,312,221,348,310,321,141,168,401,222
2020년03월_계_90~99세,472,109,36,48,32,30,36,55,23,22,39,42
2020년03월_계_100세 이상,42,13,5,2,1,1,0,5,3,1,2,9
2020년03월_남_총인구수,"23,357","6,801","1,846","1,985","1,001","2,085","3,362","2,097",827,708,"1,467","1,178"
2020년03월_남_연령구간인구수,"23,357","6,801","1,846","1,985","1,001","2,085","3,362","2,097",827,708,"1,467","1,178"
2020년03월_남_0~9세,"1,489",545,157,79,24,79,385,93,28,15,47,37
