카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동,인천광역시 중구 개항동
2020년03월_계_총인구수,"137,587","6,506","5,220","13,448","4,140","3,508","6,050","2,964","4,601","15,381","42,149","29,435","4,185",
2020년03월_계_연령구간인구수,"137,587","6,506","5,220","13,448","4,140","3,508","6,050","2,964","4,601","15,381","42,149","29,435","4,185",
2020년03월_계_0~9세,"12,221",262,241,943,155,142,209,92,214,969,"7,100","1,800",94,
2020년03월_계_10~19세,"12,462",399,358,"1,147",310,219,314,168,350,"1,222","4,504","3,346",125,
2020년03월_계_20~29세,"19,210",667,546,"1,639",435,397,654,304,526,"2,160","3,967","7,631",284,
2020년03월_계_30~39세,"21,065",655,508,"1,697",421,330,700,268,457,"2,224","9,016","4,484",305,
2020년03월_계_40~49세,"24,289",925,838,"2,094",602,500,803,409,635,"2,540","8,926","5,491",526,
2020년03월_계_50~59세,"19,851","1,357",906,"2,292",748,660,"1,156",545,866,"2,671","4,235","3,457",958,
2020년03월_계_60~69세,"15,238","1,245",834,"1,923",725,628,"1,084",558,778,"2,143","2,649","1,624","1,047",
2020년03월_계_70~79세,"9,056",656,618,"1,168",517,430,721,413,526,961,"1,297","1,149",600,
2020년03월_계_80~89세,"3,524",279,304,462,189,163,330,170,202,404,405,412,204,
2020년03월_계_90~99세,596,57,61,78,35,33,68,28,35,76,48,39,38,
2020년03월_계_100세 이상,75,4,6,5,3,6,11,9,12,11,2,2,4,
2020년03월_남_총인구수,"71,205","3,535","2,636","6,813","2,108","1,802","3,202","1,523","2,282","8,543","21,113","15,303","2,345",
2020년03월_남_연령구간인구수,"71,205","3,535","2,636","6,813","2,108","1,802","3,202","1,523","2,282","8,543","21,113","15,303","2,345",
2020년03월_남_0~9세,"6,315",142,138,479,70,83,94,61,110,496,"3,673",930,39,
2020년03월_남_10~19세,"6,440",187,183,595,174,104,167,83,171,648,"2,285","1,778",65,
2020년03월_남_20~29세,"9,731",397,299,852,242,218,361,173,286,"1,251","1,909","3,558",185,
2020년03월_남_30~39세,"11,355",386,269,901,236,186,420,157,257,"1,325","4,366","2,660",192,
2020년03월_남_40~49세,"13,335",559,456,"1,099",337,274,482,220,353,"1,506","4,756","2,939",354,
2020년03월_남_50~59세,"10,859",783,489,"1,218",392,373,669,310,450,"1,508","2,154","1,956",557,
2020년03월_남_60~69세,"7,542",649,392,966,345,310,544,268,355,"1,167","1,186",802,558,
2020년03월_남_70~79세,"4,189",313,282,514,232,194,334,177,222,478,629,499,315,
2020년03월_남_80~89세,"1,262",102,108,171,67,54,111,60,62,144,143,168,72,
2020년03월_남_90~99세,150,16,17,16,13,5,17,12,9,15,11,11,8,
2020년03월_남_100세 이상,27,1,3,2,0,1,3,2,7,5,1,2,0,
2020년03월_여_총인구수,"66,382","2,971","2,584","6,635","2,032","1,706","2,848","1,441","2,319","6,838","21,036","14,132","1,840",
2020년03월_여_연령구간인구수,"66,382","2,971","2,584","6,635","2,032","1,706","2,848","1,441","2,319","6,838","21,036","14,132","1,840",
2020년03월_여_0~9세,"5,906",120,103,464,85,59,115,31,104,473,"3,427",870,55,
2020년03월_여_10~19세,"6,022",212,175,552,136,115,147,85,179,574,"2,219","1,568",60,
2020년03월_여_20~29세,"9,479",270,247,787,193,179,293,131,240,909,"2,058","4,073",99,
2020년03월_여_30~39세,"9,710",269,239,796,185,144,280,111,200,899,"4,650","1,824",113,
2020년03월_여_40~49세,"10,954",366,382,995,265,226,321,189,282,"1,034","4,170","2,552",172,
2020년03월_여_50~59세,"8,992",574,417,"1,074",356,287,487,235,416,"1,163","2,081","1,501",401,
2020년03월_여_60~69세,"7,696",596,442,957,380,318,540,290,423,976,"1,463",822,489,
2020년03월_여_70~79세,"4,867",343,336,654,285,236,387,236,304,483,668,650,285,
2020년03월_여_80~89세,"2,262",177,196,291,122,109,219,110,140,260,262,244,132,
2020년03월_여_90~99세,446,41,44,62,22,28,51,16,26,61,37,28,30,
2020년03월_여_100세 이상,48,3,3,3,3,5,8,7,5,6,1,0,4,
2020년04월_계_총인구수,"137,994","6,472","5,221","13,440","4,141","3,485","6,035","2,962","4,599","15,429","42,430","29,611","4,169",
2020년04월_계_연령구간인구수,"137,994","6,472","5,221","13,440","4,141","3,485","6,035","2,962","4,599","15,429","42,430","29,611","4,169",
2020년04월_계_0~9세,"12,193",262,237,933,151,134,206,95,215,957,"7,130","1,780",93,
2020년04월_계_10~19세,"12,504",391,365,"1,139",309,218,303,166,348,"1,243","4,525","3,372",125,
2020년04월_계_20~29세,"19,250",656,552,"1,638",431,386,657,304,523,"2,153","4,008","7,658",284,
2020년04월_계_30~39세,"21,157",650,499,"1,685",425,327,691,271,461,"2,216","9,087","4,539",306,
2020년04월_계_40~49세,"24,306",909,839,"2,090",601,499,802,408,629,"2,545","8,953","5,513",518,
2020년04월_계_50~59세,"19,917","1,357",908,"2,283",753,662,"1,145",538,861,"2,691","4,277","3,484",958,
2020년04월_계_60~69세,"15,321","1,252",822,"1,935",716,625,"1,094",557,782,"2,169","2,680","1,654","1,035",
2020년04월_계_70~79세,"9,112",649,627,"1,183",524,432,722,417,532,963,"1,305","1,153",605,
2020년04월_계_80~89세,"3,562",286,306,468,193,163,335,169,201,404,415,418,204,
2020년04월_계_90~99세,594,56,60,81,35,33,68,28,35,75,48,38,37,
2020년04월_계_100세 이상,78,4,6,5,3,6,12,9,12,13,2,2,4,
2020년04월_남_총인구수,"71,389","3,505","2,634","6,806","2,111","1,792","3,189","1,524","2,275","8,576","21,260","15,374","2,343",
2020년04월_남_연령구간인구수,"71,389","3,505","2,634","6,806","2,111","1,792","3,189","1,524","2,275","8,576","21,260","15,374","2,343",
2020년04월_남_0~9세,"6,281",140,137,470,68,78,92,63,111,494,"3,676",911,41,
2020년04월_남_10~19세,"6,480",185,187,586,175,103,160,82,170,664,"2,303","1,800",65,
2020년04월_남_20~29세,"9,727",391,301,860,238,214,362,172,278,"1,243","1,941","3,543",184,
2020년04월_남_30~39세,"11,402",385,265,894,238,186,411,159,262,"1,315","4,409","2,686",192,
2020년04월_남_40~49세,"13,334",544,454,"1,099",335,275,482,223,349,"1,515","4,764","2,947",347,
2020년04월_남_50~59세,"10,908",780,492,"1,213",397,370,665,306,444,"1,521","2,177","1,980",563,
2020년04월_남_60~69세,"7,585",649,388,972,341,310,553,266,355,"1,178","1,200",824,549,
2020년04월_남_70~79세,"4,217",309,283,520,235,197,333,178,228,481,631,501,321,
2020년04월_남_80~89세,"1,279",105,108,173,71,53,111,61,62,145,148,169,73,
2020년04월_남_90~99세,149,16,16,17,13,5,17,12,9,15,10,11,8,
2020년04월_남_100세 이상,27,1,3,2,0,1,3,2,7,5,1,2,0,
