카테고리,세종특별자치시,세종특별자치시 세종특별자치시
2020년01월_계_총인구수,"342,328","342,328"
2020년01월_계_연령구간인구수,"342,328","342,328"
2020년01월_계_0~9세,"47,342","47,342"
2020년01월_계_10~19세,"40,361","40,361"
2020년01월_계_20~29세,"36,452","36,452"
2020년01월_계_30~39세,"61,447","61,447"
2020년01월_계_40~49세,"65,109","65,109"
2020년01월_계_50~59세,"42,665","42,665"
2020년01월_계_60~69세,"27,467","27,467"
2020년01월_계_70~79세,"13,558","13,558"
2020년01월_계_80~89세,"6,804","6,804"
2020년01월_계_90~99세,"1,068","1,068"
2020년01월_계_100세 이상,55,55
2020년01월_남_총인구수,"170,729","170,729"
2020년01월_남_연령구간인구수,"170,729","170,729"
2020년01월_남_0~9세,"24,214","24,214"
2020년01월_남_10~19세,"20,258","20,258"
2020년01월_남_20~29세,"18,418","18,418"
2020년01월_남_30~39세,"29,982","29,982"
2020년01월_남_40~49세,"33,502","33,502"
2020년01월_남_50~59세,"22,062","22,062"
2020년01월_남_60~69세,"13,626","13,626"
2020년01월_남_70~79세,"6,151","6,151"
2020년01월_남_80~89세,"2,264","2,264"
2020년01월_남_90~99세,242,242
2020년01월_남_100세 이상,10,10
2020년01월_여_총인구수,"171,599","171,599"
2020년01월_여_연령구간인구수,"171,599","171,599"
2020년01월_여_0~9세,"23,128","23,128"
2020년01월_여_10~19세,"20,103","20,103"
2020년01월_여_20~29세,"18,034","18,034"
2020년01월_여_30~39세,"31,465","31,465"
2020년01월_여_40~49세,"31,607","31,607"
2020년01월_여_50~59세,"20,603","20,603"
2020년01월_여_60~69세,"13,841","13,841"
2020년01월_여_70~79세,"7,407","7,407"
2020년01월_여_80~89세,"4,540","4,540"
2020년01월_여_90~99세,826,826
2020년01월_여_100세 이상,45,45
2020년02월_계_총인구수,"343,788","343,788"
2020년02월_계_연령구간인구수,"343,788","343,788"
2020년02월_계_0~9세,"47,454","47,454"
2020년02월_계_10~19세,"40,574","40,574"
2020년02월_계_20~29세,"36,273","36,273"
2020년02월_계_30~39세,"61,442","61,442"
2020년02월_계_40~49세,"65,714","65,714"
2020년02월_계_50~59세,"42,907","42,907"
2020년02월_계_60~69세,"27,813","27,813"
2020년02월_계_70~79세,"13,609","13,609"
2020년02월_계_80~89세,"6,863","6,863"
2020년02월_계_90~99세,"1,084","1,084"
2020년02월_계_100세 이상,55,55
2020년02월_남_총인구수,"171,403","171,403"
2020년02월_남_연령구간인구수,"171,403","171,403"
2020년02월_남_0~9세,"24,284","24,284"
2020년02월_남_10~19세,"20,355","20,355"
2020년02월_남_20~29세,"18,347","18,347"
2020년02월_남_30~39세,"29,923","29,923"
2020년02월_남_40~49세,"33,778","33,778"
2020년02월_남_50~59세,"22,191","22,191"
2020년02월_남_60~69세,"13,798","13,798"
2020년02월_남_70~79세,"6,184","6,184"
2020년02월_남_80~89세,"2,287","2,287"
2020년02월_남_90~99세,246,246
2020년02월_남_100세 이상,10,10
2020년02월_여_총인구수,"172,385","172,385"
2020년02월_여_연령구간인구수,"172,385","172,385"
2020년02월_여_0~9세,"23,170","23,170"
2020년02월_여_10~19세,"20,219","20,219"
2020년02월_여_20~29세,"17,926","17,926"
2020년02월_여_30~39세,"31,519","31,519"
2020년02월_여_40~49세,"31,936","31,936"
2020년02월_여_50~59세,"20,716","20,716"
2020년02월_여_60~69세,"14,015","14,015"
2020년02월_여_70~79세,"7,425","7,425"
2020년02월_여_80~89세,"4,576","4,576"
2020년02월_여_90~99세,838,838
2020년02월_여_100세 이상,45,45
2020년03월_계_총인구수,"344,792","344,792"
2020년03월_계_연령구간인구수,"344,792","344,792"
2020년03월_계_0~9세,"47,449","47,449"
2020년03월_계_10~19세,"40,751","40,751"
2020년03월_계_20~29세,"36,373","36,373"
2020년03월_계_30~39세,"61,396","61,396"
2020년03월_계_40~49세,"65,983","65,983"
2020년03월_계_50~59세,"43,132","43,132"
2020년03월_계_60~69세,"28,002","28,002"
2020년03월_계_70~79세,"13,660","13,660"
2020년03월_계_80~89세,"6,894","6,894"
2020년03월_계_90~99세,"1,095","1,095"
2020년03월_계_100세 이상,57,57
2020년03월_남_총인구수,"171,951","171,951"
2020년03월_남_연령구간인구수,"171,951","171,951"
2020년03월_남_0~9세,"24,286","24,286"
2020년03월_남_10~19세,"20,459","20,459"
2020년03월_남_20~29세,"18,401","18,401"
2020년03월_남_30~39세,"29,894","29,894"
2020년03월_남_40~49세,"33,901","33,901"
2020년03월_남_50~59세,"22,328","22,328"
2020년03월_남_60~69세,"13,894","13,894"
2020년03월_남_70~79세,"6,216","6,216"
2020년03월_남_80~89세,"2,312","2,312"
2020년03월_남_90~99세,250,250
2020년03월_남_100세 이상,10,10
2020년03월_여_총인구수,"172,841","172,841"
2020년03월_여_연령구간인구수,"172,841","172,841"
2020년03월_여_0~9세,"23,163","23,163"
2020년03월_여_10~19세,"20,292","20,292"
2020년03월_여_20~29세,"17,972","17,972"
2020년03월_여_30~39세,"31,502","31,502"
2020년03월_여_40~49세,"32,082","32,082"
2020년03월_여_50~59세,"20,804","20,804"
2020년03월_여_60~69세,"14,108","14,108"
2020년03월_여_70~79세,"7,444","7,444"
2020년03월_여_80~89세,"4,582","4,582"
2020년03월_여_90~99세,845,845
2020년03월_여_100세 이상,47,47
2020년04월_계_총인구수,"345,216","345,216"
2020년04월_계_연령구간인구수,"345,216","345,216"
2020년04월_계_0~9세,"47,399","47,399"
2020년04월_계_10~19세,"40,875","40,875"
2020년04월_계_20~29세,"36,323","36,323"
2020년04월_계_30~39세,"61,266","61,266"
2020년04월_계_40~49세,"66,124","66,124"
2020년04월_계_50~59세,"43,283","43,283"
2020년04월_계_60~69세,"28,173","28,173"
2020년04월_계_70~79세,"13,673","13,673"
2020년04월_계_80~89세,"6,922","6,922"
2020년04월_계_90~99세,"1,121","1,121"
2020년04월_계_100세 이상,57,57
2020년04월_남_총인구수,"172,176","172,176"
2020년04월_남_연령구간인구수,"172,176","172,176"
2020년04월_남_0~9세,"24,291","24,291"
2020년04월_남_10~19세,"20,538","20,538"
2020년04월_남_20~29세,"18,359","18,359"
