카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년01월_계_총인구수,"131,089","4,874","13,007","2,995","31,208","2,075","2,088","1,522","9,230","3,123","4,238","9,305","10,838","11,773","10,690","14,123"
2020년01월_계_연령구간인구수,"131,089","4,874","13,007","2,995","31,208","2,075","2,088","1,522","9,230","3,123","4,238","9,305","10,838","11,773","10,690","14,123"
2020년01월_계_0~9세,"10,728",143,"1,401",80,"4,173",55,34,20,461,109,150,547,757,"1,050",569,"1,179"
2020년01월_계_10~19세,"13,067",219,"1,449",138,"3,921",99,70,46,862,202,246,693,974,"1,448","1,007","1,693"
2020년01월_계_20~29세,"11,848",357,"1,168",196,"2,714",126,89,75,964,232,343,765,"1,058","1,107","1,024","1,630"
2020년01월_계_30~39세,"15,415",356,"1,629",168,"5,177",129,104,86,836,213,318,"1,009","1,229","1,328","1,062","1,771"
2020년01월_계_40~49세,"21,715",588,"2,290",310,"6,349",283,197,131,"1,329",400,575,"1,390","1,617","2,059","1,588","2,609"
2020년01월_계_50~59세,"23,012","1,000","2,124",537,"4,392",429,359,328,"1,811",622,874,"1,890","1,915","2,077","2,129","2,525"
2020년01월_계_60~69세,"19,271","1,026","1,523",725,"2,687",464,450,346,"1,576",654,910,"1,722","1,920","1,702","1,826","1,740"
2020년01월_계_70~79세,"10,887",722,920,526,"1,223",312,474,285,979,492,570,941,985,710,"1,036",712
2020년01월_계_80~89세,"4,543",405,433,277,504,159,282,184,366,174,230,313,332,259,390,235
2020년01월_계_90~99세,578,56,69,38,68,19,28,19,43,24,21,32,46,32,55,28
2020년01월_계_100세 이상,25,2,1,0,0,0,1,2,3,1,1,3,5,1,4,1
