카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년03월_계_총인구수,"39,906","4,365",255,"5,944",254,227,"1,540",328,"3,249","2,281","3,602","2,600",221,"2,380",454,226,534,336,"1,793","1,593","1,612","2,755",291,"1,004","2,062"
2020년03월_계_연령구간인구수,"39,906","4,365",255,"5,944",254,227,"1,540",328,"3,249","2,281","3,602","2,600",221,"2,380",454,226,534,336,"1,793","1,593","1,612","2,755",291,"1,004","2,062"
2020년03월_계_0~9세,"1,686",164,5,241,9,9,52,5,188,95,146,131,9,73,11,10,33,13,81,77,78,122,9,21,104
2020년03월_계_10~19세,"2,095",237,8,300,4,6,58,14,225,101,221,218,5,122,21,15,33,22,106,103,64,101,8,31,72
2020년03월_계_20~29세,"3,082",332,16,552,11,9,131,19,254,149,220,193,6,231,74,14,52,29,124,137,100,213,18,61,137
2020년03월_계_30~39세,"2,976",289,13,481,22,17,104,23,240,140,252,190,13,201,48,14,71,28,122,142,124,199,34,65,144
2020년03월_계_40~49세,"4,503",490,23,669,21,20,194,35,418,212,422,280,31,320,83,32,89,48,209,211,163,227,32,88,186
2020년03월_계_50~59세,"7,292",808,57,"1,142",49,36,290,71,610,441,656,403,62,457,89,46,108,59,322,302,247,467,53,149,368
2020년03월_계_60~69세,"7,484",827,53,"1,205",63,47,239,71,556,439,679,429,45,394,62,46,76,70,337,272,323,550,63,221,417
2020년03월_계_70~79세,"6,479",744,38,807,54,59,301,67,505,436,624,435,31,330,44,24,45,43,289,212,306,476,47,219,343
2020년03월_계_80~89세,"3,840",421,39,475,20,23,157,22,235,246,333,294,16,209,22,22,27,19,189,124,185,341,24,134,263
2020년03월_계_90~99세,452,52,3,68,1,1,13,1,18,22,49,27,2,39,0,3,0,5,14,10,20,58,3,15,28
2020년03월_계_100세 이상,17,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,3,2,1,0,0,0
2020년03월_남_총인구수,"21,215","2,272",135,"3,199",137,131,825,190,"1,727","1,200","1,887","1,325",125,"1,330",296,126,304,197,957,859,846,"1,431",160,500,"1,056"
2020년03월_남_연령구간인구수,"21,215","2,272",135,"3,199",137,131,825,190,"1,727","1,200","1,887","1,325",125,"1,330",296,126,304,197,957,859,846,"1,431",160,500,"1,056"
2020년03월_남_0~9세,879,90,2,129,5,8,26,2,95,54,78,67,6,34,5,5,17,7,37,33,42,62,5,9,61
2020년03월_남_10~19세,"1,090",113,4,144,3,4,29,11,120,53,107,108,3,73,13,9,22,12,61,54,30,54,6,17,40
2020년03월_남_20~29세,"1,826",201,10,317,7,6,80,7,158,80,112,113,3,144,54,8,28,17,76,73,59,128,11,49,85
2020년03월_남_30~39세,"1,873",175,7,301,15,13,74,19,146,94,161,119,6,135,39,9,46,18,64,86,75,121,23,40,87
2020년03월_남_40~49세,"3,015",321,17,437,17,16,136,27,274,140,267,167,25,223,62,25,64,36,143,146,120,152,20,57,123
2020년03월_남_50~59세,"4,388",480,36,647,32,22,187,47,370,253,409,237,38,294,60,30,63,44,205,182,155,283,26,79,209
2020년03월_남_60~69세,"4,074",461,34,667,33,26,122,35,290,234,359,236,25,219,37,25,41,37,181,157,165,306,37,123,224
2020년03월_남_70~79세,"2,863",307,13,375,20,28,118,35,216,196,290,198,16,140,19,11,17,24,136,95,135,215,25,90,144
2020년03월_남_80~89세,"1,117",117,12,168,4,7,51,7,55,91,97,76,3,64,7,3,6,2,51,28,61,96,5,33,73
2020년03월_남_90~99세,85,7,0,13,1,1,2,0,3,5,7,4,0,3,0,1,0,0,3,4,3,13,2,3,10
2020년03월_남_100세 이상,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020년03월_여_총인구수,"18,691","2,093",120,"2,745",117,96,715,138,"1,522","1,081","1,715","1,275",96,"1,050",158,100,230,139,836,734,766,"1,324",131,504,"1,006"
2020년03월_여_연령구간인구수,"18,691","2,093",120,"2,745",117,96,715,138,"1,522","1,081","1,715","1,275",96,"1,050",158,100,230,139,836,734,766,"1,324",131,504,"1,006"
2020년03월_여_0~9세,807,74,3,112,4,1,26,3,93,41,68,64,3,39,6,5,16,6,44,44,36,60,4,12,43
2020년03월_여_10~19세,"1,005",124,4,156,1,2,29,3,105,48,114,110,2,49,8,6,11,10,45,49,34,47,2,14,32
2020년03월_여_20~29세,"1,256",131,6,235,4,3,51,12,96,69,108,80,3,87,20,6,24,12,48,64,41,85,7,12,52
2020년03월_여_30~39세,"1,103",114,6,180,7,4,30,4,94,46,91,71,7,66,9,5,25,10,58,56,49,78,11,25,57
2020년03월_여_40~49세,"1,488",169,6,232,4,4,58,8,144,72,155,113,6,97,21,7,25,12,66,65,43,75,12,31,63
2020년03월_여_50~59세,"2,904",328,21,495,17,14,103,24,240,188,247,166,24,163,29,16,45,15,117,120,92,184,27,70,159
2020년03월_여_60~69세,"3,410",366,19,538,30,21,117,36,266,205,320,193,20,175,25,21,35,33,156,115,158,244,26,98,193
2020년03월_여_70~79세,"3,616",437,25,432,34,31,183,32,289,240,334,237,15,190,25,13,28,19,153,117,171,261,22,129,199
2020년03월_여_80~89세,"2,723",304,27,307,16,16,106,15,180,155,236,218,13,145,15,19,21,17,138,96,124,245,19,101,190
2020년03월_여_90~99세,367,45,3,55,0,0,11,1,15,17,42,23,2,36,0,2,0,5,11,6,17,45,1,12,18
2020년03월_여_100세 이상,12,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0
2020년04월_계_총인구수,"39,745","4,351",253,"5,929",253,225,"1,522",328,"3,232","2,276","3,591","2,580",219,"2,383",459,224,526,333,"1,788","1,584","1,601","2,746",289,"1,003","2,050"
2020년04월_계_연령구간인구수,"39,745","4,351",253,"5,929",253,225,"1,522",328,"3,232","2,276","3,591","2,580",219,"2,383",459,224,526,333,"1,788","1,584","1,601","2,746",289,"1,003","2,050"
2020년04월_계_0~9세,"1,675",158,5,238,9,10,51,6,190,96,146,125,9,72,11,10,34,14,82,78,77,122,8,22,102
2020년04월_계_10~19세,"2,096",237,8,299,4,6,56,13,221,104,217,218,5,129,23,15,31,22,106,103,65,102,9,31,72
2020년04월_계_20~29세,"3,034",331,16,542,10,7,125,20,251,140,220,185,6,232,79,14,48,29,129,133,97,207,18,59,136
2020년04월_계_30~39세,"2,938",283,13,473,22,16,104,23,236,146,248,189,12,202,48,14,69,28,119,139,121,199,35,62,137
2020년04월_계_40~49세,"4,476",491,22,663,21,20,193,37,418,211,422,275,31,320,82,30,89,48,204,210,158,226,30,89,186
2020년04월_계_50~59세,"7,226",800,54,"1,140",48,36,281,69,602,433,649,404,60,453,89,47,106,57,323,304,248,465,50,147,361
2020년04월_계_60~69세,"7,508",828,54,"1,213",63,47,240,71,559,444,683,429,47,393,62,45,76,70,333,270,323,549,66,221,422
2020년04월_계_70~79세,"6,441",741,39,806,55,59,301,63,505,430,622,430,30,327,43,24,46,42,284,207,305,477,45,223,337
2020년04월_계_80~89세,"3,870",427,39,480,20,23,156,25,232,251,333,298,16,210,22,22,27,18,194,127,184,340,25,133,268
2020년04월_계_90~99세,464,54,3,71,1,1,14,1,18,21,51,27,2,41,0,3,0,5,14,10,21,58,3,16,29
