카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동,경기도 평택시 동삭동,경기도 평택시 고덕동
2020년01월_남_총인구수,"265,037","14,036","22,351","14,258","13,528","6,236","2,016","8,177","3,593","2,901","22,402","13,363","9,504","6,292","10,989","3,356","2,881","11,662","5,568","2,136","37,766","26,060","12,796","13,166",,
2020년01월_남_연령구간인구수,"265,037","14,036","22,351","14,258","13,528","6,236","2,016","8,177","3,593","2,901","22,402","13,363","9,504","6,292","10,989","3,356","2,881","11,662","5,568","2,136","37,766","26,060","12,796","13,166",,
2020년01월_남_0~9세,"24,754",834,"2,113","1,084","2,213",268,63,840,186,92,"1,645",777,"1,098",377,858,280,107,619,310,65,"5,022","2,892","1,855","1,156",,
2020년01월_남_10~19세,"27,408",901,"3,082","1,092","1,468",461,120,686,273,170,"2,761","1,318",887,477,"1,145",265,160,964,396,120,"4,343","3,350","1,566","1,403",,
2020년01월_남_20~29세,"37,723","1,709","3,010","1,877","1,213",919,202,"1,191",412,268,"3,820","2,096","1,285","1,233","1,637",499,371,"2,069",876,329,"5,121","3,736","1,666","2,184",,
2020년01월_남_30~39세,"41,543","1,710","3,168","2,653","2,533",875,237,"1,381",379,250,"2,951","1,783","1,583","1,224","1,360",596,376,"1,647",892,241,"7,324","4,045","2,444","1,891",,
2020년01월_남_40~49세,"47,835","2,200","4,462","3,022","2,816",999,302,"1,395",543,399,"3,925","2,320","1,808","1,090","1,936",588,477,"1,864",826,306,"7,298","4,475","2,640","2,144",,
2020년01월_남_50~59세,"43,847","2,820","3,624","2,400","1,567","1,175",412,"1,298",764,617,"4,045","2,516","1,583",963,"2,066",534,537,"2,181","1,036",448,"5,083","4,106","1,671","2,401",,
2020년01월_남_60~69세,"24,723","2,061","1,736","1,292",993,877,378,799,547,564,"1,991","1,471",793,552,"1,208",339,436,"1,337",692,344,"2,315","2,149",634,"1,215",,
2020년01월_남_70~79세,"12,019","1,178",808,614,536,492,205,410,333,373,911,749,333,265,517,161,273,690,387,208,913,891,236,536,,
2020년01월_남_80~89세,"4,620",561,311,206,163,157,91,161,134,155,313,285,116,100,225,77,118,261,134,67,320,377,76,212,,
2020년01월_남_90~99세,494,47,36,18,25,12,5,14,22,13,33,40,16,10,30,12,18,27,15,8,24,37,8,24,,
2020년01월_남_100세 이상,71,15,1,0,1,1,1,2,0,0,7,8,2,1,7,5,8,3,4,0,3,2,0,0,,
2020년01월_여_총인구수,"249,839","13,425","21,352","9,825","12,098","5,197","1,647","7,507","3,230","2,607","21,585","13,100","8,691","5,662","11,046","3,457","2,872","11,183","5,272","1,970","36,800","26,348","11,888","13,077",,
2020년01월_여_연령구간인구수,"249,839","13,425","21,352","9,825","12,098","5,197","1,647","7,507","3,230","2,607","21,585","13,100","8,691","5,662","11,046","3,457","2,872","11,183","5,272","1,970","36,800","26,348","11,888","13,077",,
2020년01월_여_0~9세,"23,573",746,"2,177","1,077","2,002",270,64,879,162,85,"1,527",764,"1,043",377,876,269,86,573,315,70,"4,663","2,745","1,708","1,095",,
2020년01월_여_10~19세,"25,715",834,"2,978",954,"1,417",400,91,650,244,143,"2,589","1,246",900,513,"1,116",220,156,889,359,106,"4,159","2,918","1,467","1,366",,
2020년01월_여_20~29세,"31,446","1,263","2,577","1,060",941,620,145,868,321,199,"3,039","1,727","1,060",926,"1,348",416,316,"1,783",706,248,"4,893","3,591","1,484","1,915",,
2020년01월_여_30~39세,"35,406","1,300","2,744","1,411","2,451",517,142,"1,200",263,172,"2,487","1,425","1,444",906,"1,331",506,239,"1,277",659,160,"6,859","3,960","2,296","1,657",,
2020년01월_여_40~49세,"42,713","1,766","4,306","1,673","2,061",735,165,"1,130",367,241,"4,007","2,105","1,506",899,"1,805",547,337,"1,702",797,250,"6,928","4,822","2,355","2,209",,
2020년01월_여_50~59세,"39,951","2,399","3,042","1,439","1,271",967,307,"1,211",610,460,"3,877","2,479","1,419",876,"2,044",492,499,"2,134",920,411,"4,989","4,224","1,444","2,437",,
2020년01월_여_60~69세,"25,271","2,352","1,711","1,087",980,817,314,760,533,540,"2,056","1,667",682,569,"1,249",483,513,"1,420",727,355,"2,381","2,193",660,"1,222",,
2020년01월_여_70~79세,"15,612","1,647","1,070",641,539,513,235,462,390,410,"1,218","1,071",371,391,811,338,446,901,478,241,"1,195","1,201",293,750,,
2020년01월_여_80~89세,"8,644",942,629,408,351,310,163,291,305,312,672,535,222,173,392,148,230,432,262,113,633,592,156,373,,
2020년01월_여_90~99세,"1,349",144,109,70,78,44,20,53,32,42,105,72,41,28,68,32,37,64,39,13,94,91,24,49,,
2020년01월_여_100세 이상,159,32,9,5,7,4,1,3,3,3,8,9,3,4,6,6,13,8,10,3,6,11,1,4,,
2020년02월_계_총인구수,"517,087","27,411","43,676","23,998","25,617","11,435","3,654","16,981","6,795","5,463","43,970","26,313","18,786","11,953","21,991","6,853","5,755","22,781","10,776","4,124","75,127","52,654","24,652","26,322",,
2020년02월_계_연령구간인구수,"517,087","27,411","43,676","23,998","25,617","11,435","3,654","16,981","6,795","5,463","43,970","26,313","18,786","11,953","21,991","6,853","5,755","22,781","10,776","4,124","75,127","52,654","24,652","26,322",,
2020년02월_계_0~9세,"48,587","1,574","4,272","2,113","4,180",532,124,"1,984",346,174,"3,187","1,510","2,252",752,"1,720",540,184,"1,178",614,134,"9,739","5,676","3,543","2,259",,
2020년02월_계_10~19세,"53,036","1,718","6,010","2,030","2,895",858,212,"1,457",513,312,"5,303","2,541","1,813",983,"2,245",479,316,"1,835",733,230,"8,507","6,265","2,995","2,786",,
2020년02월_계_20~29세,"69,285","2,955","5,610","2,920","2,154","1,527",351,"2,217",725,461,"6,825","3,787","2,429","2,148","2,964",924,688,"3,852","1,577",585,"10,064","7,303","3,172","4,047",,
2020년02월_계_30~39세,"77,367","2,997","5,863","4,036","4,940","1,396",379,"2,929",634,411,"5,440","3,177","3,170","2,135","2,667","1,114",610,"2,917","1,530",397,"14,320","8,057","4,689","3,559",,
2020년02월_계_40~49세,"91,046","3,968","8,756","4,683","4,928","1,737",454,"2,768",903,630,"7,903","4,384","3,431","2,000","3,744","1,134",821,"3,532","1,616",564,"14,364","9,333","5,011","4,382",,
2020년02월_계_50~59세,"84,074","5,194","6,706","3,822","2,843","2,134",715,"2,601","1,358","1,076","7,935","4,976","3,051","1,829","4,101","1,048","1,029","4,303","1,948",850,"10,145","8,400","3,139","4,871",,
2020년02월_계_60~69세,"50,530","4,437","3,466","2,409","1,974","1,718",694,"1,610","1,095","1,096","4,095","3,153","1,520","1,129","2,490",830,962,"2,776","1,428",707,"4,775","4,391","1,309","2,466",,
2020년02월_계_70~79세,"27,689","2,825","1,895","1,272","1,071","1,000",444,880,722,777,"2,132","1,823",713,660,"1,331",500,715,"1,594",862,451,"2,114","2,100",532,"1,276",,
2020년02월_계_80~89세,"13,394","1,505",942,616,524,472,254,460,440,465,"1,001",834,343,273,619,230,353,693,400,182,970,987,233,598,,
2020년02월_계_90~99세,"1,846",191,145,93,99,56,25,70,56,58,133,111,59,39,97,43,55,90,54,21,120,129,28,74,,
2020년02월_계_100세 이상,233,47,11,4,9,5,2,5,3,3,16,17,5,5,13,11,22,11,14,3,9,13,1,4,,
2020년02월_남_총인구수,"266,206","14,002","22,346","14,232","13,534","6,253","2,005","8,857","3,585","2,871","22,400","13,287","9,792","6,304","10,967","3,390","2,883","11,613","5,540","2,147","38,031","26,180","12,780","13,207",,
2020년02월_남_연령구간인구수,"266,206","14,002","22,346","14,232","13,534","6,253","2,005","8,857","3,585","2,871","22,400","13,287","9,792","6,304","10,967","3,390","2,883","11,613","5,540","2,147","38,031","26,180","12,780","13,207",,
2020년02월_남_0~9세,"24,859",827,"2,111","1,055","2,195",267,62,978,188,91,"1,648",761,"1,157",376,847,278,101,617,298,66,"5,033","2,903","1,841","1,159",,
2020년02월_남_10~19세,"27,408",895,"3,060","1,089","1,474",460,120,738,271,169,"2,756","1,305",893,478,"1,145",259,162,953,385,123,"4,376","3,339","1,544","1,414",,
2020년02월_남_20~29세,"37,723","1,702","3,010","1,871","1,216",916,205,"1,290",404,263,"3,779","2,067","1,314","1,222","1,621",511,371,"2,065",876,332,"5,128","3,731","1,678","2,151",,
2020년02월_남_30~39세,"41,768","1,694","3,150","2,631","2,513",880,235,"1,547",377,240,"2,947","1,780","1,667","1,236","1,345",602,370,"1,632",882,241,"7,395","4,083","2,429","1,892",,
2020년02월_남_40~49세,"48,150","2,208","4,465","3,033","2,842","1,005",289,"1,536",540,391,"3,931","2,301","1,870","1,099","1,940",594,486,"1,839",823,310,"7,349","4,490","2,632","2,177",,
2020년02월_남_50~59세,"44,010","2,807","3,641","2,394","1,566","1,169",410,"1,350",763,615,"4,049","2,505","1,603",963,"2,064",541,535,"2,175","1,036",449,"5,133","4,135","1,693","2,414",,
2020년02월_남_60~69세,"25,002","2,062","1,745","1,309","1,002",895,380,824,553,561,"2,017","1,482",822,550,"1,223",346,442,"1,352",696,340,"2,341","2,186",643,"1,231",,
2020년02월_남_70~79세,"12,053","1,182",818,624,534,486,207,413,331,373,916,748,333,269,521,163,272,690,388,210,926,882,238,529,,
2020년02월_남_80~89세,"4,673",564,308,206,168,162,91,165,136,155,316,291,115,101,226,79,118,261,137,68,322,392,76,216,,
2020년02월_남_90~99세,487,46,37,20,23,12,5,14,22,13,33,39,16,9,28,12,17,26,15,8,25,37,6,24,,
2020년02월_남_100세 이상,73,15,1,0,1,1,1,2,0,0,8,8,2,1,7,5,9,3,4,0,3,2,0,0,,
2020년02월_여_총인구수,"250,881","13,409","21,330","9,766","12,083","5,182","1,649","8,124","3,210","2,592","21,570","13,026","8,994","5,649","11,024","3,463","2,872","11,168","5,236","1,977","37,096","26,474","11,872","13,115",,
2020년02월_여_연령구간인구수,"250,881","13,409","21,330","9,766","12,083","5,182","1,649","8,124","3,210","2,592","21,570","13,026","8,994","5,649","11,024","3,463","2,872","11,168","5,236","1,977","37,096","26,474","11,872","13,115",,
2020년02월_여_0~9세,"23,728",747,"2,161","1,058","1,985",265,62,"1,006",158,83,"1,539",749,"1,095",376,873,262,83,561,316,68,"4,706","2,773","1,702","1,100",,
2020년02월_여_10~19세,"25,628",823,"2,950",941,"1,421",398,92,719,242,143,"2,547","1,236",920,505,"1,100",220,154,882,348,107,"4,131","2,926","1,451","1,372",,
2020년02월_여_20~29세,"31,562","1,253","2,600","1,049",938,611,146,927,321,198,"3,046","1,720","1,115",926,"1,343",413,317,"1,787",701,253,"4,936","3,572","1,494","1,896",,
2020년02월_여_30~39세,"35,599","1,303","2,713","1,405","2,427",516,144,"1,382",257,171,"2,493","1,397","1,503",899,"1,322",512,240,"1,285",648,156,"6,925","3,974","2,260","1,667",,
2020년02월_여_40~49세,"42,896","1,760","4,291","1,650","2,086",732,165,"1,232",363,239,"3,972","2,083","1,561",901,"1,804",540,335,"1,693",793,254,"7,015","4,843","2,379","2,205",,
2020년02월_여_50~59세,"40,064","2,387","3,065","1,428","1,277",965,305,"1,251",595,461,"3,886","2,471","1,448",866,"2,037",507,494,"2,128",912,401,"5,012","4,265","1,446","2,457",,
2020년02월_여_60~69세,"25,528","2,375","1,721","1,100",972,823,314,786,542,535,"2,078","1,671",698,579,"1,267",484,520,"1,424",732,367,"2,434","2,205",666,"1,235",,
2020년02월_여_70~79세,"15,636","1,643","1,077",648,537,514,237,467,391,404,"1,216","1,075",380,391,810,337,443,904,474,241,"1,188","1,218",294,747,,
2020년02월_여_80~89세,"8,721",941,634,410,356,310,163,295,304,310,685,543,228,172,393,151,235,432,263,114,648,595,157,382,,
2020년02월_여_90~99세,"1,359",145,108,73,76,44,20,56,34,45,100,72,43,30,69,31,38,64,39,13,95,92,22,50,,
2020년02월_여_100세 이상,160,32,10,4,8,4,1,3,3,3,8,9,3,4,6,6,13,8,10,3,6,11,1,4,,
2020년03월_계_총인구수,"519,124","27,439","43,709","23,947","25,736","11,425","3,651","17,821","6,774","5,431","43,942","26,285","19,141","11,974","21,956","6,992","5,763","22,768","10,794","4,139","75,587","52,830","24,743","26,277",,
2020년03월_계_연령구간인구수,"519,124","27,439","43,709","23,947","25,736","11,425","3,651","17,821","6,774","5,431","43,942","26,285","19,141","11,974","21,956","6,992","5,763","22,768","10,794","4,139","75,587","52,830","24,743","26,277",,
2020년03월_계_0~9세,"48,500","1,566","4,259","2,099","4,162",529,122,"2,066",340,168,"3,156","1,501","2,298",741,"1,698",546,186,"1,165",605,133,"9,727","5,669","3,527","2,237",,
2020년03월_계_10~19세,"52,939","1,719","5,981","2,011","2,911",859,217,"1,504",509,307,"5,247","2,502","1,837",966,"2,229",485,308,"1,819",733,228,"8,533","6,262","3,016","2,756",,
2020년03월_계_20~29세,"70,145","2,963","5,663","2,936","2,182","1,519",358,"2,426",723,460,"6,906","3,781","2,500","2,165","2,981",955,706,"3,892","1,596",599,"10,200","7,376","3,213","4,045",,
2020년03월_계_30~39세,"77,513","2,973","5,804","4,017","4,963","1,379",372,"3,147",640,391,"5,403","3,172","3,248","2,129","2,649","1,157",622,"2,891","1,527",395,"14,313","8,069","4,694","3,558",,
2020년03월_계_40~49세,"91,109","3,981","8,766","4,632","4,944","1,738",456,"2,853",896,632,"7,828","4,392","3,479","1,993","3,723","1,152",808,"3,511","1,614",565,"14,464","9,318","5,019","4,345",,
2020년03월_계_50~59세,"84,435","5,187","6,713","3,832","2,861","2,130",703,"2,705","1,352","1,069","7,979","4,974","3,105","1,849","4,091","1,068","1,025","4,302","1,944",849,"10,235","8,448","3,139","4,875",,
2020년03월_계_60~69세,"51,035","4,458","3,509","2,428","1,994","1,738",695,"1,665","1,090","1,093","4,133","3,155","1,554","1,138","2,514",840,967,"2,791","1,440",713,"4,863","4,425","1,334","2,498",,
2020년03월_계_70~79세,"27,850","2,838","1,904","1,279","1,077","1,000",450,900,725,781,"2,141","1,846",715,668,"1,341",504,712,"1,594",863,449,"2,129","2,115",537,"1,282",,
2020년03월_계_80~89세,"13,491","1,513",951,620,531,473,251,474,440,463,"1,001",836,342,281,621,231,352,701,404,183,989,"1,001",232,601,,
2020년03월_계_90~99세,"1,870",193,148,89,102,55,24,75,56,64,132,109,58,38,97,43,55,91,53,22,125,134,31,76,,
2020년03월_계_100세 이상,237,48,11,4,9,5,3,6,3,3,16,17,5,6,12,11,22,11,15,3,9,13,1,4,,
2020년03월_남_총인구수,"267,360","14,021","22,369","14,206","13,620","6,246","1,999","9,338","3,574","2,856","22,421","13,238","9,969","6,325","10,948","3,456","2,901","11,625","5,564","2,159","38,265","26,263","12,806","13,191",,
2020년03월_남_연령구간인구수,"267,360","14,021","22,369","14,206","13,620","6,246","1,999","9,338","3,574","2,856","22,421","13,238","9,969","6,325","10,948","3,456","2,901","11,625","5,564","2,159","38,265","26,263","12,806","13,191",,
2020년03월_남_0~9세,"24,795",814,"2,104","1,050","2,189",265,58,"1,034",185,89,"1,625",754,"1,178",368,838,278,102,614,297,65,"5,011","2,900","1,833","1,144",,
2020년03월_남_10~19세,"27,360",896,"3,037","1,076","1,484",463,124,760,266,165,"2,725","1,285",909,470,"1,142",259,159,944,383,126,"4,403","3,334","1,549","1,401",,
2020년03월_남_20~29세,"38,230","1,705","3,048","1,876","1,230",907,210,"1,415",405,260,"3,837","2,049","1,341","1,239","1,626",523,389,"2,098",886,341,"5,235","3,765","1,697","2,148",,
2020년03월_남_30~39세,"41,838","1,680","3,109","2,613","2,550",870,229,"1,671",378,234,"2,937","1,769","1,707","1,224","1,328",628,378,"1,621",882,238,"7,385","4,095","2,423","1,889",,
2020년03월_남_40~49세,"48,217","2,221","4,485","3,008","2,837","1,003",288,"1,588",537,392,"3,901","2,306","1,902","1,104","1,931",608,480,"1,830",824,310,"7,376","4,474","2,640","2,172",,
2020년03월_남_50~59세,"44,227","2,803","3,644","2,399","1,587","1,170",404,"1,400",763,610,"4,080","2,501","1,622",976,"2,064",547,534,"2,175","1,039",453,"5,179","4,168","1,689","2,420",,
2020년03월_남_60~69세,"25,267","2,079","1,773","1,324","1,006",907,380,860,549,559,"2,031","1,479",842,558,"1,237",351,445,"1,362",705,342,"2,386","2,191",656,"1,245",,
2020년03월_남_70~79세,"12,145","1,190",818,631,542,485,212,427,331,373,930,759,335,269,523,167,271,683,390,209,933,897,238,532,,
2020년03월_남_80~89세,"4,714",570,312,210,169,164,89,167,138,159,312,290,115,107,226,78,117,268,139,67,327,399,74,217,,
2020년03월_남_90~99세,494,48,38,19,25,11,4,13,22,15,35,38,16,9,27,12,17,27,15,8,27,38,7,23,,
2020년03월_남_100세 이상,73,15,1,0,1,1,1,3,0,0,8,8,2,1,6,5,9,3,4,0,3,2,0,0,,
2020년03월_여_총인구수,"251,764","13,418","21,340","9,741","12,116","5,179","1,652","8,483","3,200","2,575","21,521","13,047","9,172","5,649","11,008","3,536","2,862","11,143","5,230","1,980","37,322","26,567","11,937","13,086",,
2020년03월_여_연령구간인구수,"251,764","13,418","21,340","9,741","12,116","5,179","1,652","8,483","3,200","2,575","21,521","13,047","9,172","5,649","11,008","3,536","2,862","11,143","5,230","1,980","37,322","26,567","11,937","13,086",,
2020년03월_여_0~9세,"23,705",752,"2,155","1,049","1,973",264,64,"1,032",155,79,"1,531",747,"1,120",373,860,268,84,551,308,68,"4,716","2,769","1,694","1,093",,
2020년03월_여_10~19세,"25,579",823,"2,944",935,"1,427",396,93,744,243,142,"2,522","1,217",928,496,"1,087",226,149,875,350,102,"4,130","2,928","1,467","1,355",,
2020년03월_여_20~29세,"31,915","1,258","2,615","1,060",952,612,148,"1,011",318,200,"3,069","1,732","1,159",926,"1,355",432,317,"1,794",710,258,"4,965","3,611","1,516","1,897",,
2020년03월_여_30~39세,"35,675","1,293","2,695","1,404","2,413",509,143,"1,476",262,157,"2,466","1,403","1,541",905,"1,321",529,244,"1,270",645,157,"6,928","3,974","2,271","1,669",,
2020년03월_여_40~49세,"42,892","1,760","4,281","1,624","2,107",735,168,"1,265",359,240,"3,927","2,086","1,577",889,"1,792",544,328,"1,681",790,255,"7,088","4,844","2,379","2,173",,
2020년03월_여_50~59세,"40,208","2,384","3,069","1,433","1,274",960,299,"1,305",589,459,"3,899","2,473","1,483",873,"2,027",521,491,"2,127",905,396,"5,056","4,280","1,450","2,455",,
2020년03월_여_60~69세,"25,768","2,379","1,736","1,104",988,831,315,805,541,534,"2,102","1,676",712,580,"1,277",489,522,"1,429",735,371,"2,477","2,234",678,"1,253",,
2020년03월_여_70~79세,"15,705","1,648","1,086",648,535,515,238,473,394,408,"1,211","1,087",380,399,818,337,441,911,473,240,"1,196","1,218",299,750,,
2020년03월_여_80~89세,"8,777",943,639,410,362,309,162,307,302,304,689,546,227,174,395,153,235,433,265,116,662,602,158,384,,
2020년03월_여_90~99세,"1,376",145,110,70,77,44,20,62,34,49,97,71,42,29,70,31,38,64,38,14,98,96,24,53,,
2020년03월_여_100세 이상,164,33,10,4,8,4,2,3,3,3,8,9,3,5,6,6,13,8,11,3,6,11,1,4,,
2020년04월_계_총인구수,"520,649","27,495","43,796","23,979","25,787","11,409","3,645","18,374","6,757","5,420","43,997","26,185","19,271","12,020","21,985","7,104","5,772","22,814","10,759","4,163","75,790","52,977","24,820","26,330",,
2020년04월_계_연령구간인구수,"520,649","27,495","43,796","23,979","25,787","11,409","3,645","18,374","6,757","5,420","43,997","26,185","19,271","12,020","21,985","7,104","5,772","22,814","10,759","4,163","75,790","52,977","24,820","26,330",,
2020년04월_계_0~9세,"48,432","1,567","4,235","2,086","4,135",529,121,"2,120",338,165,"3,132","1,480","2,304",732,"1,693",553,183,"1,166",601,133,"9,704","5,693","3,528","2,234",,
2020년04월_계_10~19세,"52,932","1,731","5,965","2,007","2,936",856,218,"1,556",499,307,"5,197","2,493","1,842",963,"2,230",491,312,"1,817",718,228,"8,553","6,244","3,028","2,741",,
2020년04월_계_20~29세,"70,582","2,961","5,706","2,957","2,202","1,512",351,"2,543",730,459,"6,980","3,761","2,522","2,196","2,967",971,715,"3,911","1,586",614,"10,241","7,391","3,231","4,075",,
2020년04월_계_30~39세,"77,768","2,988","5,806","4,007","4,960","1,358",367,"3,287",632,389,"5,411","3,153","3,306","2,122","2,677","1,181",620,"2,901","1,521",395,"14,342","8,085","4,698","3,562",,
2020년04월_계_40~49세,"91,173","3,965","8,751","4,628","4,957","1,736",464,"2,941",887,633,"7,790","4,366","3,478","2,000","3,721","1,172",802,"3,494","1,607",555,"14,518","9,334","5,035","4,339",,
2020년04월_계_50~59세,"84,715","5,189","6,761","3,845","2,870","2,134",700,"2,766","1,349","1,065","8,016","4,953","3,119","1,868","4,074","1,092","1,029","4,296","1,940",858,"10,268","8,485","3,149","4,889",,
2020년04월_계_60~69세,"51,443","4,493","3,537","2,446","2,002","1,741",696,"1,699","1,097","1,090","4,170","3,164","1,574","1,144","2,539",851,969,"2,828","1,443",719,"4,907","4,470","1,351","2,513",,
2020년04월_계_70~79세,"27,931","2,841","1,917","1,288","1,086","1,004",449,908,723,785,"2,155","1,849",723,671,"1,348",506,713,"1,590",863,450,"2,139","2,103",533,"1,287",,
2020년04월_계_80~89세,"13,547","1,517",955,620,529,482,252,471,443,458,996,837,343,280,626,232,351,710,411,185,984,"1,022",234,609,,
2020년04월_계_90~99세,"1,887",195,152,91,100,53,24,77,57,66,132,112,54,39,98,44,56,90,54,23,125,137,32,76,,
2020년04월_계_100세 이상,239,48,11,4,10,4,3,6,2,3,18,17,6,5,12,11,22,11,15,3,9,13,1,5,,
2020년04월_남_총인구수,"268,331","14,046","22,410","14,263","13,649","6,251","1,992","9,647","3,575","2,856","22,483","13,195","10,034","6,359","10,958","3,516","2,913","11,664","5,547","2,182","38,384","26,331","12,862","13,214",,
2020년04월_남_연령구간인구수,"268,331","14,046","22,410","14,263","13,649","6,251","1,992","9,647","3,575","2,856","22,483","13,195","10,034","6,359","10,958","3,516","2,913","11,664","5,547","2,182","38,384","26,331","12,862","13,214",,
2020년04월_남_0~9세,"24,756",813,"2,090","1,046","2,176",268,57,"1,062",186,86,"1,616",744,"1,171",361,846,281,99,614,295,67,"4,982","2,915","1,832","1,149",,
2020년04월_남_10~19세,"27,367",905,"3,035","1,073","1,502",464,125,784,257,165,"2,696","1,282",917,469,"1,136",262,164,940,377,127,"4,428","3,317","1,553","1,389",,
2020년04월_남_20~29세,"38,520","1,709","3,075","1,900","1,232",898,206,"1,485",412,262,"3,888","2,039","1,343","1,248","1,611",533,396,"2,119",872,349,"5,273","3,794","1,714","2,162",,
2020년04월_남_30~39세,"42,042","1,685","3,096","2,617","2,552",865,226,"1,762",375,233,"2,948","1,768","1,746","1,226","1,345",643,382,"1,632",880,240,"7,406","4,097","2,432","1,886",,
2020년04월_남_40~49세,"48,250","2,208","4,474","3,012","2,843","1,005",293,"1,628",531,394,"3,889","2,294","1,905","1,114","1,928",617,475,"1,825",824,305,"7,394","4,471","2,647","2,174",,
2020년04월_남_50~59세,"44,399","2,804","3,675","2,412","1,595","1,172",399,"1,431",769,610,"4,094","2,494","1,632",992,"2,055",560,539,"2,172","1,035",460,"5,197","4,183","1,694","2,425",,
2020년04월_남_60~69세,"25,503","2,099","1,788","1,334","1,011",914,382,878,553,556,"2,057","1,475",850,562,"1,250",356,444,"1,381",713,348,"2,413","2,216",670,"1,253",,
2020년04월_남_70~79세,"12,192","1,192",823,641,547,486,211,433,331,377,938,759,339,270,530,169,271,678,388,210,938,893,237,531,,
2020년04월_남_80~89세,"4,730",568,313,209,165,167,88,167,139,158,314,293,115,107,223,78,116,272,144,68,324,404,76,222,,
2020년04월_남_90~99세,498,48,40,19,25,11,4,14,22,15,35,39,14,9,28,12,18,28,15,8,26,39,7,22,,
2020년04월_남_100세 이상,74,15,1,0,1,1,1,3,0,0,8,8,2,1,6,5,9,3,4,0,3,2,0,1,,
2020년04월_여_총인구수,"252,318","13,449","21,386","9,716","12,138","5,158","1,653","8,727","3,182","2,564","21,514","12,990","9,237","5,661","11,027","3,588","2,859","11,150","5,212","1,981","37,406","26,646","11,958","13,116",,
