카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년03월_계_총인구수,"50,791","29,157","3,232","1,433","1,945","2,339","3,092","4,248","2,294","3,051"
2020년03월_계_연령구간인구수,"50,791","29,157","3,232","1,433","1,945","2,339","3,092","4,248","2,294","3,051"
2020년03월_계_0~9세,"2,737","2,233",91,39,31,34,64,110,61,74
2020년03월_계_10~19세,"4,017","3,124",134,69,72,61,139,217,83,118
2020년03월_계_20~29세,"4,489","3,161",239,71,96,89,157,260,185,231
2020년03월_계_30~39세,"4,053","2,911",181,73,71,86,135,275,134,187
2020년03월_계_40~49세,"6,397","4,584",302,102,171,137,239,389,175,298
2020년03월_계_50~59세,"9,123","4,962",635,274,334,453,553,825,446,641
2020년03월_계_60~69세,"9,445","4,186",778,344,506,605,784,948,549,745
2020년03월_계_70~79세,"6,211","2,575",490,236,354,450,593,698,371,444
2020년03월_계_80~89세,"3,743","1,239",321,193,257,373,379,457,261,263
2020년03월_계_90~99세,549,175,60,31,48,48,45,66,29,47
2020년03월_계_100세 이상,27,7,1,1,5,3,4,3,0,3
2020년03월_남_총인구수,"25,596","14,622","1,668",720,977,"1,172","1,501","2,150","1,189","1,597"
2020년03월_남_연령구간인구수,"25,596","14,622","1,668",720,977,"1,172","1,501","2,150","1,189","1,597"
2020년03월_남_0~9세,"1,447","1,182",53,20,14,17,29,58,32,42
2020년03월_남_10~19세,"2,107","1,634",69,38,37,36,74,109,41,69
2020년03월_남_20~29세,"2,566","1,765",159,45,57,64,90,149,105,132
2020년03월_남_30~39세,"2,094","1,448",104,43,48,43,67,163,73,105
2020년03월_남_40~49세,"3,477","2,365",176,69,107,89,142,243,117,169
2020년03월_남_50~59세,"4,843","2,559",338,142,191,242,313,450,246,362
2020년03월_남_60~69세,"4,839","2,039",415,190,266,337,400,490,302,400
2020년03월_남_70~79세,"2,824","1,138",225,107,159,216,267,336,175,201
2020년03월_남_80~89세,"1,260",455,110,58,85,111,107,135,94,105
2020년03월_남_90~99세,132,36,19,8,10,17,11,15,4,12
2020년03월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년03월_여_총인구수,"25,195","14,535","1,564",713,968,"1,167","1,591","2,098","1,105","1,454"
2020년03월_여_연령구간인구수,"25,195","14,535","1,564",713,968,"1,167","1,591","2,098","1,105","1,454"
2020년03월_여_0~9세,"1,290","1,051",38,19,17,17,35,52,29,32
2020년03월_여_10~19세,"1,910","1,490",65,31,35,25,65,108,42,49
2020년03월_여_20~29세,"1,923","1,396",80,26,39,25,67,111,80,99
2020년03월_여_30~39세,"1,959","1,463",77,30,23,43,68,112,61,82
2020년03월_여_40~49세,"2,920","2,219",126,33,64,48,97,146,58,129
2020년03월_여_50~59세,"4,280","2,403",297,132,143,211,240,375,200,279
2020년03월_여_60~69세,"4,606","2,147",363,154,240,268,384,458,247,345
2020년03월_여_70~79세,"3,387","1,437",265,129,195,234,326,362,196,243
2020년03월_여_80~89세,"2,483",784,211,135,172,262,272,322,167,158
2020년03월_여_90~99세,417,139,41,23,38,31,34,51,25,35
2020년03월_여_100세 이상,20,6,1,1,2,3,3,1,0,3
2020년04월_계_총인구수,"50,778","29,137","3,235","1,431","1,943","2,345","3,070","4,252","2,300","3,065"
2020년04월_계_연령구간인구수,"50,778","29,137","3,235","1,431","1,943","2,345","3,070","4,252","2,300","3,065"
2020년04월_계_0~9세,"2,727","2,221",93,39,31,34,64,110,60,75
2020년04월_계_10~19세,"3,987","3,106",131,68,72,60,138,207,86,119
2020년04월_계_20~29세,"4,464","3,153",234,69,98,87,151,264,181,227
2020년04월_계_30~39세,"4,033","2,894",184,71,69,88,131,274,132,190
2020년04월_계_40~49세,"6,401","4,576",302,104,174,136,236,398,177,298
2020년04월_계_50~59세,"9,084","4,984",627,272,327,453,537,808,440,636
2020년04월_계_60~69세,"9,521","4,192",789,346,509,614,792,967,556,756
2020년04월_계_70~79세,"6,220","2,576",487,239,350,449,595,697,377,450
2020년04월_계_80~89세,"3,761","1,253",328,192,259,372,377,455,261,264
2020년04월_계_90~99세,551,175,59,30,47,49,45,69,30,47
2020년04월_계_100세 이상,29,7,1,1,7,3,4,3,0,3
2020년04월_남_총인구수,"25,608","14,613","1,667",719,976,"1,179","1,495","2,162","1,193","1,604"
2020년04월_남_연령구간인구수,"25,608","14,613","1,667",719,976,"1,179","1,495","2,162","1,193","1,604"
2020년04월_남_0~9세,"1,445","1,179",53,20,14,17,29,58,32,43
2020년04월_남_10~19세,"2,088","1,622",68,37,37,36,74,103,42,69
2020년04월_남_20~29세,"2,553","1,761",152,45,57,62,87,157,103,129
2020년04월_남_30~39세,"2,090","1,444",105,43,46,45,66,162,71,108
2020년04월_남_40~49세,"3,470","2,350",176,69,109,89,140,250,117,170
2020년04월_남_50~59세,"4,839","2,575",338,140,189,244,308,441,246,358
2020년04월_남_60~69세,"4,875","2,045",419,190,267,342,402,500,304,406
2020년04월_남_70~79세,"2,836","1,133",227,110,158,215,272,337,180,204
2020년04월_남_80~89세,"1,269",466,110,57,86,111,104,137,93,105
2020년04월_남_90~99세,136,37,19,8,10,18,12,15,5,12
2020년04월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년04월_여_총인구수,"25,170","14,524","1,568",712,967,"1,166","1,575","2,090","1,107","1,461"
2020년04월_여_연령구간인구수,"25,170","14,524","1,568",712,967,"1,166","1,575","2,090","1,107","1,461"
2020년04월_여_0~9세,"1,282","1,042",40,19,17,17,35,52,28,32
2020년04월_여_10~19세,"1,899","1,484",63,31,35,24,64,104,44,50
2020년04월_여_20~29세,"1,911","1,392",82,24,41,25,64,107,78,98
2020년04월_여_30~39세,"1,943","1,450",79,28,23,43,65,112,61,82
2020년04월_여_40~49세,"2,931","2,226",126,35,65,47,96,148,60,128
2020년04월_여_50~59세,"4,245","2,409",289,132,138,209,229,367,194,278
2020년04월_여_60~69세,"4,646","2,147",370,156,242,272,390,467,252,350
2020년04월_여_70~79세,"3,384","1,443",260,129,192,234,323,360,197,246
2020년04월_여_80~89세,"2,492",787,218,135,173,261,273,318,168,159
2020년04월_여_90~99세,415,138,40,22,37,31,33,54,25,35
2020년04월_여_100세 이상,22,6,1,1,4,3,3,1,0,3
2020년05월_계_총인구수,"50,802","29,139","3,238","1,431","1,950","2,339","3,063","4,267","2,316","3,059"
2020년05월_계_연령구간인구수,"50,802","29,139","3,238","1,431","1,950","2,339","3,063","4,267","2,316","3,059"
2020년05월_계_0~9세,"2,718","2,213",94,37,32,34,64,113,60,71
2020년05월_계_10~19세,"3,961","3,085",131,69,73,57,136,207,85,118
2020년05월_계_20~29세,"4,458","3,154",232,69,99,83,147,271,183,220
2020년05월_계_30~39세,"4,032","2,896",181,71,68,86,136,275,133,186
2020년05월_계_40~49세,"6,355","4,542",298,101,171,135,232,399,176,301
2020년05월_계_50~59세,"9,111","5,005",633,272,331,457,537,796,443,637
2020년05월_계_60~69세,"9,564","4,214",791,348,511,613,790,976,567,754
2020년05월_계_70~79세,"6,248","2,596",490,240,349,449,591,701,379,453
2020년05월_계_80~89세,"3,769","1,252",329,192,260,372,381,454,260,269
2020년05월_계_90~99세,557,175,58,31,49,50,45,72,30,47
2020년05월_계_100세 이상,29,7,1,1,7,3,4,3,0,3
2020년05월_남_총인구수,"25,618","14,608","1,670",718,980,"1,172","1,495","2,169","1,206","1,600"
2020년05월_남_연령구간인구수,"25,618","14,608","1,670",718,980,"1,172","1,495","2,169","1,206","1,600"
2020년05월_남_0~9세,"1,433","1,171",53,18,14,17,30,58,32,40
2020년05월_남_10~19세,"2,077","1,615",68,38,37,34,74,102,42,67
2020년05월_남_20~29세,"2,552","1,763",152,45,58,57,84,161,103,129
2020년05월_남_30~39세,"2,089","1,444",104,44,45,42,70,163,73,104
2020년05월_남_40~49세,"3,440","2,329",172,67,108,89,137,252,115,171
2020년05월_남_50~59세,"4,862","2,591",345,140,192,245,309,435,246,359
2020년05월_남_60~69세,"4,897","2,052",418,190,267,343,402,504,314,407
2020년05월_남_70~79세,"2,854","1,145",231,111,158,216,268,339,182,204
2020년05월_남_80~89세,"1,271",460,109,57,87,111,108,138,94,107
