카테고리,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년01월_계_총인구수,"1,474,152","226,216","240,215","481,174","349,824","176,723"
2020년01월_계_연령구간인구수,"1,474,152","226,216","240,215","481,174","349,824","176,723"
2020년01월_계_0~9세,"121,132","16,130","16,533","40,198","36,488","11,783"
2020년01월_계_10~19세,"152,558","20,737","23,194","51,779","39,139","17,709"
2020년01월_계_20~29세,"212,630","30,670","31,448","73,764","51,885","24,863"
2020년01월_계_30~39세,"199,709","27,188","27,808","67,776","56,761","20,176"
2020년01월_계_40~49세,"242,465","34,772","38,184","80,203","60,882","28,424"
2020년01월_계_50~59세,"243,752","37,794","40,454","78,394","53,506","33,604"
2020년01월_계_60~69세,"169,130","31,178","32,385","51,711","31,035","22,821"
2020년01월_계_70~79세,"88,002","18,622","20,089","24,760","12,891","11,640"
2020년01월_계_80~89세,"38,976","7,964","8,845","10,938","6,177","5,052"
2020년01월_계_90~99세,"5,464","1,075","1,198","1,567","1,004",620
2020년01월_계_100세 이상,334,86,77,84,56,31
2020년01월_남_총인구수,"736,259","114,174","118,757","236,839","176,617","89,872"
2020년01월_남_연령구간인구수,"736,259","114,174","118,757","236,839","176,617","89,872"
2020년01월_남_0~9세,"62,226","8,325","8,446","20,641","18,839","5,975"
2020년01월_남_10~19세,"79,118","10,731","11,987","26,787","20,369","9,244"
2020년01월_남_20~29세,"111,910","16,362","16,236","37,630","27,881","13,801"
2020년01월_남_30~39세,"103,379","14,534","14,267","34,408","29,301","10,869"
2020년01월_남_40~49세,"121,041","18,330","19,425","38,833","29,961","14,492"
2020년01월_남_50~59세,"121,251","19,289","20,308","37,944","26,593","17,117"
2020년01월_남_60~69세,"82,394","15,074","15,393","25,075","15,560","11,292"
2020년01월_남_70~79세,"39,775","8,367","9,055","11,300","5,878","5,175"
2020년01월_남_80~89세,"13,834","2,874","3,342","3,839","2,000","1,779"
2020년01월_남_90~99세,"1,250",263,279,364,223,121
2020년01월_남_100세 이상,81,25,19,18,12,7
2020년01월_여_총인구수,"737,893","112,042","121,458","244,335","173,207","86,851"
2020년01월_여_연령구간인구수,"737,893","112,042","121,458","244,335","173,207","86,851"
2020년01월_여_0~9세,"58,906","7,805","8,087","19,557","17,649","5,808"
2020년01월_여_10~19세,"73,440","10,006","11,207","24,992","18,770","8,465"
2020년01월_여_20~29세,"100,720","14,308","15,212","36,134","24,004","11,062"
2020년01월_여_30~39세,"96,330","12,654","13,541","33,368","27,460","9,307"
2020년01월_여_40~49세,"121,424","16,442","18,759","41,370","30,921","13,932"
2020년01월_여_50~59세,"122,501","18,505","20,146","40,450","26,913","16,487"
2020년01월_여_60~69세,"86,736","16,104","16,992","26,636","15,475","11,529"
2020년01월_여_70~79세,"48,227","10,255","11,034","13,460","7,013","6,465"
2020년01월_여_80~89세,"25,142","5,090","5,503","7,099","4,177","3,273"
2020년01월_여_90~99세,"4,214",812,919,"1,203",781,499
2020년01월_여_100세 이상,253,61,58,66,44,24
2020년02월_계_총인구수,"1,473,125","225,633","240,064","481,349","349,915","176,164"
2020년02월_계_연령구간인구수,"1,473,125","225,633","240,064","481,349","349,915","176,164"
2020년02월_계_0~9세,"120,476","15,972","16,424","40,115","36,313","11,652"
2020년02월_계_10~19세,"151,861","20,734","23,081","51,580","38,973","17,493"
2020년02월_계_20~29세,"212,143","30,433","31,424","73,603","51,960","24,723"
2020년02월_계_30~39세,"199,106","26,972","27,658","67,758","56,665","20,053"
2020년02월_계_40~49세,"242,381","34,716","38,162","80,333","60,895","28,275"
2020년02월_계_50~59세,"243,526","37,616","40,455","78,295","53,577","33,583"
2020년02월_계_60~69세,"170,291","31,344","32,561","52,090","31,335","22,961"
2020년02월_계_70~79세,"88,289","18,651","20,135","24,885","12,947","11,671"
2020년02월_계_80~89세,"39,190","8,024","8,877","11,009","6,191","5,089"
2020년02월_계_90~99세,"5,523","1,083","1,210","1,593","1,004",633
2020년02월_계_100세 이상,339,88,77,88,55,31
2020년02월_남_총인구수,"735,791","113,883","118,636","236,972","176,706","89,594"
2020년02월_남_연령구간인구수,"735,791","113,883","118,636","236,972","176,706","89,594"
2020년02월_남_0~9세,"61,932","8,251","8,395","20,616","18,753","5,917"
2020년02월_남_10~19세,"78,689","10,703","11,896","26,687","20,273","9,130"
2020년02월_남_20~29세,"111,597","16,287","16,185","37,525","27,899","13,701"
2020년02월_남_30~39세,"103,296","14,457","14,256","34,444","29,307","10,832"
2020년02월_남_40~49세,"120,944","18,262","19,367","38,937","29,965","14,413"
2020년02월_남_50~59세,"121,171","19,208","20,345","37,880","26,632","17,106"
2020년02월_남_60~69세,"82,946","15,144","15,461","25,263","15,710","11,368"
2020년02월_남_70~79세,"39,928","8,391","9,069","11,356","5,917","5,195"
2020년02월_남_80~89세,"13,951","2,890","3,364","3,879","2,015","1,803"
2020년02월_남_90~99세,"1,257",264,280,368,223,122
2020년02월_남_100세 이상,80,26,18,17,12,7
2020년02월_여_총인구수,"737,334","111,750","121,428","244,377","173,209","86,570"
2020년02월_여_연령구간인구수,"737,334","111,750","121,428","244,377","173,209","86,570"
2020년02월_여_0~9세,"58,544","7,721","8,029","19,499","17,560","5,735"
2020년02월_여_10~19세,"73,172","10,031","11,185","24,893","18,700","8,363"
2020년02월_여_20~29세,"100,546","14,146","15,239","36,078","24,061","11,022"
2020년02월_여_30~39세,"95,810","12,515","13,402","33,314","27,358","9,221"
2020년02월_여_40~49세,"121,437","16,454","18,795","41,396","30,930","13,862"
2020년02월_여_50~59세,"122,355","18,408","20,110","40,415","26,945","16,477"
2020년02월_여_60~69세,"87,345","16,200","17,100","26,827","15,625","11,593"
2020년02월_여_70~79세,"48,361","10,260","11,066","13,529","7,030","6,476"
2020년02월_여_80~89세,"25,239","5,134","5,513","7,130","4,176","3,286"
2020년02월_여_90~99세,"4,266",819,930,"1,225",781,511
2020년02월_여_100세 이상,259,62,59,71,43,24
2020년03월_계_총인구수,"1,471,858","225,302","239,635","481,135","350,055","175,731"
2020년03월_계_연령구간인구수,"1,471,858","225,302","239,635","481,135","350,055","175,731"
2020년03월_계_0~9세,"119,952","15,889","16,309","39,999","36,198","11,557"
2020년03월_계_10~19세,"151,192","20,681","22,902","51,351","38,877","17,381"
2020년03월_계_20~29세,"212,258","30,438","31,448","73,697","52,084","24,591"
2020년03월_계_30~39세,"198,404","26,789","27,484","67,637","56,577","19,917"
2020년03월_계_40~49세,"241,550","34,582","38,000","80,062","60,786","28,120"
2020년03월_계_50~59세,"242,974","37,416","40,307","78,103","53,626","33,522"
2020년03월_계_60~69세,"171,435","31,547","32,707","52,460","31,588","23,133"
2020년03월_계_70~79세,"88,762","18,713","20,223","25,081","13,035","11,710"
2020년03월_계_80~89세,"39,389","8,076","8,927","11,049","6,212","5,125"
2020년03월_계_90~99세,"5,603","1,083","1,251","1,609","1,017",643
2020년03월_계_100세 이상,339,88,77,87,55,32
2020년03월_남_총인구수,"735,179","113,690","118,361","236,924","176,785","89,419"
2020년03월_남_연령구간인구수,"735,179","113,690","118,361","236,924","176,785","89,419"
2020년03월_남_0~9세,"61,669","8,208","8,346","20,576","18,672","5,867"
2020년03월_남_10~19세,"78,321","10,669","11,806","26,563","20,214","9,069"
2020년03월_남_20~29세,"111,676","16,279","16,169","37,642","27,943","13,643"
2020년03월_남_30~39세,"103,050","14,382","14,149","34,429","29,293","10,797"
2020년03월_남_40~49세,"120,473","18,183","19,277","38,752","29,948","14,313"
2020년03월_남_50~59세,"120,926","19,094","20,278","37,775","26,655","17,124"
2020년03월_남_60~69세,"83,465","15,255","15,528","25,425","15,822","11,435"
2020년03월_남_70~79세,"40,192","8,420","9,113","11,464","5,972","5,223"
2020년03월_남_80~89세,"14,046","2,912","3,386","3,902","2,029","1,817"
2020년03월_남_90~99세,"1,281",263,291,379,224,124
2020년03월_남_100세 이상,80,25,18,17,13,7
2020년03월_여_총인구수,"736,679","111,612","121,274","244,211","173,270","86,312"
2020년03월_여_연령구간인구수,"736,679","111,612","121,274","244,211","173,270","86,312"
2020년03월_여_0~9세,"58,283","7,681","7,963","19,423","17,526","5,690"
2020년03월_여_10~19세,"72,871","10,012","11,096","24,788","18,663","8,312"
2020년03월_여_20~29세,"100,582","14,159","15,279","36,055","24,141","10,948"
2020년03월_여_30~39세,"95,354","12,407","13,335","33,208","27,284","9,120"
2020년03월_여_40~49세,"121,077","16,399","18,723","41,310","30,838","13,807"
2020년03월_여_50~59세,"122,048","18,322","20,029","40,328","26,971","16,398"
2020년03월_여_60~69세,"87,970","16,292","17,179","27,035","15,766","11,698"
2020년03월_여_70~79세,"48,570","10,293","11,110","13,617","7,063","6,487"
2020년03월_여_80~89세,"25,343","5,164","5,541","7,147","4,183","3,308"
2020년03월_여_90~99세,"4,322",820,960,"1,230",793,519
2020년03월_여_100세 이상,259,63,59,70,42,25
2020년04월_계_총인구수,"1,471,650","225,094","239,361","481,304","350,439","175,452"
2020년04월_계_연령구간인구수,"1,471,650","225,094","239,361","481,304","350,439","175,452"
2020년04월_계_0~9세,"119,414","15,810","16,161","39,847","36,106","11,490"
2020년04월_계_10~19세,"150,689","20,593","22,801","51,203","38,820","17,272"
2020년04월_계_20~29세,"212,490","30,455","31,463","73,810","52,212","24,550"
2020년04월_계_30~39세,"198,204","26,755","27,288","67,641","56,692","19,828"
2020년04월_계_40~49세,"241,035","34,438","37,928","79,964","60,730","27,975"
2020년04월_계_50~59세,"242,915","37,345","40,288","78,062","53,712","33,508"
2020년04월_계_60~69세,"172,219","31,636","32,823","52,735","31,780","23,245"
2020년04월_계_70~79세,"89,106","18,763","20,295","25,232","13,072","11,744"
2020년04월_계_80~89세,"39,602","8,119","8,985","11,108","6,239","5,151"
2020년04월_계_90~99세,"5,635","1,090","1,252","1,617","1,021",655
2020년04월_계_100세 이상,341,90,77,85,55,34
2020년04월_남_총인구수,"734,902","113,487","118,212","237,012","176,924","89,267"
2020년04월_남_연령구간인구수,"734,902","113,487","118,212","237,012","176,924","89,267"
2020년04월_남_0~9세,"61,364","8,163","8,263","20,516","18,597","5,825"
2020년04월_남_10~19세,"78,043","10,641","11,760","26,463","20,176","9,003"
2020년04월_남_20~29세,"111,701","16,208","16,155","37,671","28,028","13,639"
2020년04월_남_30~39세,"102,958","14,363","14,074","34,445","29,317","10,759"
2020년04월_남_40~49세,"120,240","18,087","19,258","38,732","29,924","14,239"
2020년04월_남_50~59세,"120,866","19,061","20,249","37,773","26,681","17,102"
2020년04월_남_60~69세,"83,844","15,303","15,583","25,532","15,931","11,495"
2020년04월_남_70~79세,"40,393","8,437","9,154","11,561","5,998","5,243"
2020년04월_남_80~89세,"14,118","2,928","3,402","3,925","2,037","1,826"
2020년04월_남_90~99세,"1,296",271,296,378,222,129
2020년04월_남_100세 이상,79,25,18,16,13,7
2020년04월_여_총인구수,"736,748","111,607","121,149","244,292","173,515","86,185"
2020년04월_여_연령구간인구수,"736,748","111,607","121,149","244,292","173,515","86,185"
2020년04월_여_0~9세,"58,050","7,647","7,898","19,331","17,509","5,665"
2020년04월_여_10~19세,"72,646","9,952","11,041","24,740","18,644","8,269"
2020년04월_여_20~29세,"100,789","14,247","15,308","36,139","24,184","10,911"
2020년04월_여_30~39세,"95,246","12,392","13,214","33,196","27,375","9,069"
2020년04월_여_40~49세,"120,795","16,351","18,670","41,232","30,806","13,736"
2020년04월_여_50~59세,"122,049","18,284","20,039","40,289","27,031","16,406"
2020년04월_여_60~69세,"88,375","16,333","17,240","27,203","15,849","11,750"
2020년04월_여_70~79세,"48,713","10,326","11,141","13,671","7,074","6,501"
2020년04월_여_80~89세,"25,484","5,191","5,583","7,183","4,202","3,325"
2020년04월_여_90~99세,"4,339",819,956,"1,239",799,526
2020년04월_여_100세 이상,262,65,59,69,42,27
2020년05월_계_총인구수,"1,471,915","224,729","238,955","481,449","351,532","175,250"
2020년05월_계_연령구간인구수,"1,471,915","224,729","238,955","481,449","351,532","175,250"
2020년05월_계_0~9세,"119,029","15,707","16,076","39,714","36,105","11,427"
2020년05월_계_10~19세,"150,093","20,495","22,684","51,038","38,705","17,171"
2020년05월_계_20~29세,"212,858","30,409","31,361","74,031","52,562","24,495"
2020년05월_계_30~39세,"198,147","26,639","27,213","67,592","56,933","19,770"
2020년05월_계_40~49세,"240,495","34,370","37,732","79,782","60,764","27,847"
2020년05월_계_50~59세,"243,088","37,278","40,297","78,090","53,914","33,509"
2020년05월_계_60~69세,"172,989","31,680","32,895","52,990","32,050","23,374"
2020년05월_계_70~79세,"89,481","18,822","20,342","25,363","13,163","11,791"
2020년05월_계_80~89세,"39,717","8,140","9,023","11,132","6,245","5,177"
2020년05월_계_90~99세,"5,671","1,094","1,256","1,630","1,035",656
2020년05월_계_100세 이상,347,95,76,87,56,33
2020년05월_남_총인구수,"734,940","113,288","117,992","237,046","177,460","89,154"
2020년05월_남_연령구간인구수,"734,940","113,288","117,992","237,046","177,460","89,154"
2020년05월_남_0~9세,"61,153","8,101","8,230","20,442","18,596","5,784"
2020년05월_남_10~19세,"77,688","10,571","11,691","26,367","20,115","8,944"
2020년05월_남_20~29세,"111,810","16,192","16,095","37,746","28,165","13,612"
2020년05월_남_30~39세,"102,975","14,295","14,019","34,426","29,489","10,746"
2020년05월_남_40~49세,"120,001","18,076","19,176","38,645","29,941","14,163"
2020년05월_남_50~59세,"121,014","19,035","20,268","37,818","26,793","17,100"
2020년05월_남_60~69세,"84,172","15,330","15,610","25,637","16,026","11,569"
2020년05월_남_70~79세,"40,588","8,458","9,179","11,636","6,053","5,262"
2020년05월_남_80~89세,"14,160","2,936","3,408","3,935","2,045","1,836"
2020년05월_남_90~99세,"1,297",267,298,377,224,131
2020년05월_남_100세 이상,82,27,18,17,13,7
2020년05월_여_총인구수,"736,975","111,441","120,963","244,403","174,072","86,096"
2020년05월_여_연령구간인구수,"736,975","111,441","120,963","244,403","174,072","86,096"
2020년05월_여_0~9세,"57,876","7,606","7,846","19,272","17,509","5,643"
2020년05월_여_10~19세,"72,405","9,924","10,993","24,671","18,590","8,227"
2020년05월_여_20~29세,"101,048","14,217","15,266","36,285","24,397","10,883"
2020년05월_여_30~39세,"95,172","12,344","13,194","33,166","27,444","9,024"
2020년05월_여_40~49세,"120,494","16,294","18,556","41,137","30,823","13,684"
2020년05월_여_50~59세,"122,074","18,243","20,029","40,272","27,121","16,409"
2020년05월_여_60~69세,"88,817","16,350","17,285","27,353","16,024","11,805"
2020년05월_여_70~79세,"48,893","10,364","11,163","13,727","7,110","6,529"
2020년05월_여_80~89세,"25,557","5,204","5,615","7,197","4,200","3,341"
2020년05월_여_90~99세,"4,374",827,958,"1,253",811,525
2020년05월_여_100세 이상,265,68,58,70,43,26
2020년06월_계_총인구수,"1,471,040","224,300","238,540","481,436","351,882","174,882"
2020년06월_계_연령구간인구수,"1,471,040","224,300","238,540","481,436","351,882","174,882"
2020년06월_계_0~9세,"118,539","15,620","15,970","39,613","35,998","11,338"
2020년06월_계_10~19세,"149,539","20,396","22,556","50,868","38,611","17,108"
2020년06월_계_20~29세,"212,938","30,402","31,394","74,125","52,652","24,365"
2020년06월_계_30~39세,"197,697","26,508","27,059","67,440","57,035","19,655"
2020년06월_계_40~49세,"240,090","34,293","37,605","79,699","60,773","27,720"
2020년06월_계_50~59세,"242,755","37,104","40,185","78,041","53,963","33,462"
2020년06월_계_60~69세,"173,812","31,766","33,006","53,252","32,293","23,495"
2020년06월_계_70~79세,"89,871","18,864","20,396","25,513","13,226","11,872"
2020년06월_계_80~89세,"39,740","8,150","9,037","11,147","6,237","5,169"
2020년06월_계_90~99세,"5,712","1,103","1,254","1,652","1,039",664
2020년06월_계_100세 이상,347,94,78,86,55,34
2020년06월_남_총인구수,"734,441","113,088","117,801","236,945","177,640","88,967"
2020년06월_남_연령구간인구수,"734,441","113,088","117,801","236,945","177,640","88,967"
2020년06월_남_0~9세,"60,891","8,031","8,180","20,383","18,554","5,743"
2020년06월_남_10~19세,"77,383","10,538","11,613","26,266","20,055","8,911"
2020년06월_남_20~29세,"111,813","16,177","16,134","37,760","28,181","13,561"
2020년06월_남_30~39세,"102,796","14,253","13,932","34,354","29,589","10,668"
2020년06월_남_40~49세,"119,772","18,033","19,105","38,594","29,935","14,105"
2020년06월_남_50~59세,"120,905","18,972","20,251","37,819","26,825","17,038"
2020년06월_남_60~69세,"84,574","15,397","15,660","25,723","16,141","11,653"
2020년06월_남_70~79세,"40,742","8,450","9,191","11,707","6,084","5,310"
2020년06월_남_80~89세,"14,169","2,940","3,415","3,947","2,032","1,835"
2020년06월_남_90~99세,"1,312",270,301,375,231,135
2020년06월_남_100세 이상,84,27,19,17,13,8
2020년06월_여_총인구수,"736,599","111,212","120,739","244,491","174,242","85,915"
2020년06월_여_연령구간인구수,"736,599","111,212","120,739","244,491","174,242","85,915"
2020년06월_여_0~9세,"57,648","7,589","7,790","19,230","17,444","5,595"
2020년06월_여_10~19세,"72,156","9,858","10,943","24,602","18,556","8,197"
2020년06월_여_20~29세,"101,125","14,225","15,260","36,365","24,471","10,804"
2020년06월_여_30~39세,"94,901","12,255","13,127","33,086","27,446","8,987"
2020년06월_여_40~49세,"120,318","16,260","18,500","41,105","30,838","13,615"
2020년06월_여_50~59세,"121,850","18,132","19,934","40,222","27,138","16,424"
2020년06월_여_60~69세,"89,238","16,369","17,346","27,529","16,152","11,842"
2020년06월_여_70~79세,"49,129","10,414","11,205","13,806","7,142","6,562"
2020년06월_여_80~89세,"25,571","5,210","5,622","7,200","4,205","3,334"
2020년06월_여_90~99세,"4,400",833,953,"1,277",808,529
2020년06월_여_100세 이상,263,67,59,69,42,26
2020년07월_계_총인구수,"1,470,225","224,060","238,149","481,209","352,316","174,491"
2020년07월_계_연령구간인구수,"1,470,225","224,060","238,149","481,209","352,316","174,491"
2020년07월_계_0~9세,"117,982","15,511","15,860","39,409","35,941","11,261"
2020년07월_계_10~19세,"149,054","20,320","22,479","50,667","38,567","17,021"
2020년07월_계_20~29세,"212,861","30,374","31,290","74,135","52,765","24,297"
2020년07월_계_30~39세,"197,250","26,365","26,920","67,397","57,009","19,559"
2020년07월_계_40~49세,"239,825","34,273","37,544","79,546","60,845","27,617"
2020년07월_계_50~59세,"242,797","37,085","40,150","78,087","54,086","33,389"
2020년07월_계_60~69세,"174,228","31,794","33,015","53,409","32,455","23,555"
2020년07월_계_70~79세,"90,359","18,972","20,503","25,655","13,294","11,935"
2020년07월_계_80~89세,"39,760","8,159","9,044","11,145","6,253","5,159"
2020년07월_계_90~99세,"5,748","1,110","1,261","1,669","1,045",663
2020년07월_계_100세 이상,361,97,83,90,56,35
2020년07월_남_총인구수,"734,008","112,971","117,592","236,814","177,867","88,764"
2020년07월_남_연령구간인구수,"734,008","112,971","117,592","236,814","177,867","88,764"
2020년07월_남_0~9세,"60,602","7,987","8,119","20,275","18,521","5,700"
2020년07월_남_10~19세,"77,107","10,505","11,565","26,171","20,008","8,858"
2020년07월_남_20~29세,"111,815","16,149","16,083","37,803","28,269","13,511"
2020년07월_남_30~39세,"102,600","14,176","13,868","34,330","29,576","10,650"
2020년07월_남_40~49세,"119,547","18,011","19,049","38,458","29,983","14,046"
2020년07월_남_50~59세,"121,015","18,993","20,242","37,870","26,902","17,008"
2020년07월_남_60~69세,"84,765","15,412","15,699","25,784","16,190","11,680"
2020년07월_남_70~79세,"40,978","8,500","9,223","11,785","6,128","5,342"
2020년07월_남_80~89세,"14,165","2,936","3,416","3,946","2,038","1,829"
2020년07월_남_90~99세,"1,326",273,308,374,239,132
2020년07월_남_100세 이상,88,29,20,18,13,8
2020년07월_여_총인구수,"736,217","111,089","120,557","244,395","174,449","85,727"
2020년07월_여_연령구간인구수,"736,217","111,089","120,557","244,395","174,449","85,727"
2020년07월_여_0~9세,"57,380","7,524","7,741","19,134","17,420","5,561"
2020년07월_여_10~19세,"71,947","9,815","10,914","24,496","18,559","8,163"
2020년07월_여_20~29세,"101,046","14,225","15,207","36,332","24,496","10,786"
2020년07월_여_30~39세,"94,650","12,189","13,052","33,067","27,433","8,909"
2020년07월_여_40~49세,"120,278","16,262","18,495","41,088","30,862","13,571"
2020년07월_여_50~59세,"121,782","18,092","19,908","40,217","27,184","16,381"
2020년07월_여_60~69세,"89,463","16,382","17,316","27,625","16,265","11,875"
2020년07월_여_70~79세,"49,381","10,472","11,280","13,870","7,166","6,593"
2020년07월_여_80~89세,"25,595","5,223","5,628","7,199","4,215","3,330"
2020년07월_여_90~99세,"4,422",837,953,"1,295",806,531
2020년07월_여_100세 이상,273,68,63,72,43,27
2020년08월_계_총인구수,"1,469,431","223,728","237,792","481,124","352,550","174,237"
2020년08월_계_연령구간인구수,"1,469,431","223,728","237,792","481,124","352,550","174,237"
2020년08월_계_0~9세,"117,415","15,370","15,783","39,250","35,828","11,184"
2020년08월_계_10~19세,"148,434","20,240","22,382","50,423","38,465","16,924"
2020년08월_계_20~29세,"212,919","30,298","31,235","74,259","52,865","24,262"
2020년08월_계_30~39세,"196,687","26,215","26,818","67,263","56,911","19,480"
2020년08월_계_40~49세,"239,441","34,216","37,456","79,459","60,866","27,444"
2020년08월_계_50~59세,"242,755","37,043","40,068","78,089","54,176","33,379"
2020년08월_계_60~69세,"175,168","31,924","33,100","53,723","32,688","23,733"
2020년08월_계_70~79세,"90,599","19,028","20,533","25,741","13,347","11,950"
2020년08월_계_80~89세,"39,872","8,179","9,078","11,161","6,280","5,174"
2020년08월_계_90~99세,"5,776","1,116","1,256","1,665","1,067",672
2020년08월_계_100세 이상,365,99,83,91,57,35
2020년08월_남_총인구수,"733,547","112,774","117,413","236,763","178,001","88,596"
2020년08월_남_연령구간인구수,"733,547","112,774","117,413","236,763","178,001","88,596"
2020년08월_남_0~9세,"60,287","7,921","8,082","20,202","18,451","5,631"
2020년08월_남_10~19세,"76,800","10,456","11,504","26,063","19,954","8,823"
2020년08월_남_20~29세,"111,753","16,082","16,050","37,809","28,337","13,475"
2020년08월_남_30~39세,"102,423","14,135","13,818","34,299","29,564","10,607"
2020년08월_남_40~49세,"119,299","17,980","18,999","38,421","29,950","13,949"
2020년08월_남_50~59세,"121,080","18,974","20,216","37,885","26,995","17,010"
2020년08월_남_60~69세,"85,171","15,446","15,762","25,914","16,291","11,758"
2020년08월_남_70~79세,"41,097","8,535","9,223","11,814","6,157","5,368"
2020년08월_남_80~89세,"14,219","2,944","3,434","3,963","2,045","1,833"
2020년08월_남_90~99세,"1,329",272,305,374,244,134
2020년08월_남_100세 이상,89,29,20,19,13,8
2020년08월_여_총인구수,"735,884","110,954","120,379","244,361","174,549","85,641"
2020년08월_여_연령구간인구수,"735,884","110,954","120,379","244,361","174,549","85,641"
2020년08월_여_0~9세,"57,128","7,449","7,701","19,048","17,377","5,553"
2020년08월_여_10~19세,"71,634","9,784","10,878","24,360","18,511","8,101"
2020년08월_여_20~29세,"101,166","14,216","15,185","36,450","24,528","10,787"
2020년08월_여_30~39세,"94,264","12,080","13,000","32,964","27,347","8,873"
2020년08월_여_40~49세,"120,142","16,236","18,457","41,038","30,916","13,495"
2020년08월_여_50~59세,"121,675","18,069","19,852","40,204","27,181","16,369"
2020년08월_여_60~69세,"89,997","16,478","17,338","27,809","16,397","11,975"
2020년08월_여_70~79세,"49,502","10,493","11,310","13,927","7,190","6,582"
2020년08월_여_80~89세,"25,653","5,235","5,644","7,198","4,235","3,341"
2020년08월_여_90~99세,"4,447",844,951,"1,291",823,538
2020년08월_여_100세 이상,276,70,63,72,44,27
2020년09월_계_총인구수,"1,469,099","223,368","237,425","480,780","352,604","174,922"
2020년09월_계_연령구간인구수,"1,469,099","223,368","237,425","480,780","352,604","174,922"
2020년09월_계_0~9세,"116,775","15,234","15,615","39,020","35,659","11,247"
2020년09월_계_10~19세,"148,077","20,165","22,312","50,265","38,445","16,890"
2020년09월_계_20~29세,"212,956","30,252","31,157","74,347","52,903","24,297"
2020년09월_계_30~39세,"196,294","26,058","26,694","66,985","56,858","19,699"
2020년09월_계_40~49세,"239,098","34,199","37,380","79,298","60,822","27,399"
2020년09월_계_50~59세,"242,735","36,919","40,015","78,112","54,171","33,518"
2020년09월_계_60~69세,"176,174","32,048","33,236","53,973","32,945","23,972"
2020년09월_계_70~79세,"90,737","19,058","20,549","25,792","13,354","11,984"
2020년09월_계_80~89세,"40,070","8,218","9,117","11,218","6,315","5,202"
2020년09월_계_90~99세,"5,819","1,121","1,265","1,679","1,076",678
2020년09월_계_100세 이상,364,96,85,91,56,36
2020년09월_남_총인구수,"733,356","112,589","117,205","236,605","178,003","88,954"
2020년09월_남_연령구간인구수,"733,356","112,589","117,205","236,605","178,003","88,954"
2020년09월_남_0~9세,"59,910","7,842","7,983","20,094","18,342","5,649"
2020년09월_남_10~19세,"76,647","10,430","11,492","25,988","19,917","8,820"
2020년09월_남_20~29세,"111,753","16,034","15,993","37,852","28,375","13,499"
2020년09월_남_30~39세,"102,270","14,075","13,730","34,196","29,527","10,742"
2020년09월_남_40~49세,"119,062","17,969","18,966","38,291","29,920","13,916"
2020년09월_남_50~59세,"121,133","18,922","20,212","37,897","27,024","17,078"
2020년09월_남_60~69세,"85,695","15,511","15,833","26,063","16,408","11,880"
