카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년03월_계_총인구수,"46,307","20,883","4,455","2,993","5,844","2,369","2,412","3,512","2,109","1,730"
2020년03월_계_연령구간인구수,"46,307","20,883","4,455","2,993","5,844","2,369","2,412","3,512","2,109","1,730"
2020년03월_계_0~9세,"2,232","1,522",129,64,250,42,35,83,69,38
2020년03월_계_10~19세,"3,541","2,071",220,438,382,90,68,131,69,72
2020년03월_계_20~29세,"3,944","2,319",367,143,415,128,138,221,127,86
2020년03월_계_30~39세,"3,608","2,151",253,133,447,125,90,198,135,76
2020년03월_계_40~49세,"5,194","3,010",427,188,650,178,172,274,151,144
2020년03월_계_50~59세,"8,926","3,648",920,588,"1,232",466,535,755,421,361
2020년03월_계_60~69세,"9,607","3,114","1,063",740,"1,304",684,695,910,598,499
2020년03월_계_70~79세,"5,624","1,830",657,426,726,400,404,552,309,320
2020년03월_계_80~89세,"3,105","1,026",362,229,382,220,232,331,198,125
2020년03월_계_90~99세,495,183,52,40,54,32,41,54,31,8
2020년03월_계_100세 이상,31,9,5,4,2,4,2,3,1,1
2020년03월_남_총인구수,"23,690","10,498","2,317","1,532","3,051","1,218","1,228","1,821","1,119",906
2020년03월_남_연령구간인구수,"23,690","10,498","2,317","1,532","3,051","1,218","1,228","1,821","1,119",906
2020년03월_남_0~9세,"1,167",794,69,34,129,23,15,41,41,21
2020년03월_남_10~19세,"1,847","1,070",112,227,208,43,42,69,33,43
2020년03월_남_20~29세,"2,216","1,250",233,85,236,65,79,133,74,61
2020년03월_남_30~39세,"1,925","1,094",138,66,261,70,51,119,82,44
2020년03월_남_40~49세,"2,860","1,613",242,103,357,102,101,171,88,83
2020년03월_남_50~59세,"4,727","1,907",500,309,664,237,280,407,231,192
2020년03월_남_60~69세,"5,001","1,566",560,400,675,372,375,479,328,246
2020년03월_남_70~79세,"2,707",791,328,218,363,207,206,279,156,159
