카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년01월_계_총인구수,"30,685","10,547","3,086","3,712","3,560","3,474","3,290","2,373",284,359
2020년01월_계_연령구간인구수,"30,685","10,547","3,086","3,712","3,560","3,474","3,290","2,373",284,359
2020년01월_계_0~9세,"1,800",894,131,220,142,119,120,124,20,30
2020년01월_계_10~19세,"2,303","1,158",183,252,178,199,150,132,15,36
2020년01월_계_20~29세,"2,488","1,162",205,280,233,235,218,120,17,18
2020년01월_계_30~39세,"2,348","1,084",190,295,223,186,173,152,20,25
2020년01월_계_40~49세,"3,625","1,519",328,410,394,335,268,300,31,40
2020년01월_계_50~59세,"5,183","1,759",534,606,637,632,542,372,44,57
2020년01월_계_60~69세,"5,054","1,358",573,694,677,646,609,399,40,58
2020년01월_계_70~79세,"4,825","1,057",570,553,639,676,753,463,52,62
2020년01월_계_80~89세,"2,712",493,334,356,385,383,404,288,40,29
2020년01월_계_90~99세,334,61,37,42,51,62,52,20,5,4
2020년01월_계_100세 이상,13,2,1,4,1,1,1,3,0,0
2020년01월_남_총인구수,"15,096","5,175","1,551","1,803","1,786","1,660","1,579","1,212",149,181
2020년01월_남_연령구간인구수,"15,096","5,175","1,551","1,803","1,786","1,660","1,579","1,212",149,181
2020년01월_남_0~9세,884,429,64,114,78,57,57,55,13,17
2020년01월_남_10~19세,"1,193",607,91,125,93,101,75,73,11,17
2020년01월_남_20~29세,"1,411",660,126,145,125,127,135,71,9,13
2020년01월_남_30~39세,"1,288",545,119,168,133,108,99,88,12,16
2020년01월_남_40~49세,"2,102",789,191,243,245,209,178,198,21,28
2020년01월_남_50~59세,"2,812",868,318,324,359,340,302,233,30,38
2020년01월_남_60~69세,"2,557",669,292,344,350,324,298,234,21,25
2020년01월_남_70~79세,"2,020",456,248,229,265,284,317,182,21,18
2020년01월_남_80~89세,761,141,94,100,127,100,105,77,10,7
2020년01월_남_90~99세,68,11,8,11,11,10,13,1,1,2
2020년01월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년01월_여_총인구수,"15,589","5,372","1,535","1,909","1,774","1,814","1,711","1,161",135,178
2020년01월_여_연령구간인구수,"15,589","5,372","1,535","1,909","1,774","1,814","1,711","1,161",135,178
2020년01월_여_0~9세,916,465,67,106,64,62,63,69,7,13
2020년01월_여_10~19세,"1,110",551,92,127,85,98,75,59,4,19
2020년01월_여_20~29세,"1,077",502,79,135,108,108,83,49,8,5
2020년01월_여_30~39세,"1,060",539,71,127,90,78,74,64,8,9
2020년01월_여_40~49세,"1,523",730,137,167,149,126,90,102,10,12
2020년01월_여_50~59세,"2,371",891,216,282,278,292,240,139,14,19
2020년01월_여_60~69세,"2,497",689,281,350,327,322,311,165,19,33
2020년01월_여_70~79세,"2,805",601,322,324,374,392,436,281,31,44
2020년01월_여_80~89세,"1,951",352,240,256,258,283,299,211,30,22
2020년01월_여_90~99세,266,50,29,31,40,52,39,19,4,2
2020년01월_여_100세 이상,13,2,1,4,1,1,1,3,0,0
2020년02월_계_총인구수,"30,601","10,579","3,074","3,689","3,541","3,466","3,260","2,359",280,353
2020년02월_계_연령구간인구수,"30,601","10,579","3,074","3,689","3,541","3,466","3,260","2,359",280,353
2020년02월_계_0~9세,"1,799",896,133,219,140,124,119,119,19,30
2020년02월_계_10~19세,"2,280","1,161",182,249,178,197,136,131,12,34
2020년02월_계_20~29세,"2,452","1,146",203,275,229,231,211,122,19,16
2020년02월_계_30~39세,"2,328","1,088",187,292,220,182,172,144,19,24
2020년02월_계_40~49세,"3,618","1,538",330,405,384,335,261,296,31,38
2020년02월_계_50~59세,"5,165","1,758",527,600,643,621,538,376,44,58
2020년02월_계_60~69세,"5,062","1,372",581,688,672,643,612,397,40,57
2020년02월_계_70~79세,"4,812","1,054",560,555,637,682,746,464,52,62
2020년02월_계_80~89세,"2,729",502,334,356,386,383,413,286,39,30
2020년02월_계_90~99세,340,62,36,45,51,67,50,20,5,4
2020년02월_계_100세 이상,16,2,1,5,1,1,2,4,0,0
2020년02월_남_총인구수,"15,047","5,200","1,550","1,791","1,779","1,648","1,555","1,203",145,176
2020년02월_남_연령구간인구수,"15,047","5,200","1,550","1,791","1,779","1,648","1,555","1,203",145,176
2020년02월_남_0~9세,883,432,66,113,79,55,58,51,12,17
2020년02월_남_10~19세,"1,177",610,91,122,93,103,63,70,9,16
2020년02월_남_20~29세,"1,399",654,123,142,125,124,134,75,10,12
2020년02월_남_30~39세,"1,278",552,119,166,132,103,96,85,11,14
2020년02월_남_40~49세,"2,094",793,192,243,242,209,173,194,21,27
2020년02월_남_50~59세,"2,804",874,316,319,358,333,299,236,30,39
2020년02월_남_60~69세,"2,562",675,298,341,348,323,299,233,21,24
2020년02월_남_70~79세,"2,012",453,242,234,265,287,311,181,21,18
2020년02월_남_80~89세,771,146,96,100,126,100,110,77,9,7
2020년02월_남_90~99세,67,11,7,11,11,11,12,1,1,2
2020년02월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년02월_여_총인구수,"15,554","5,379","1,524","1,898","1,762","1,818","1,705","1,156",135,177
2020년02월_여_연령구간인구수,"15,554","5,379","1,524","1,898","1,762","1,818","1,705","1,156",135,177
2020년02월_여_0~9세,916,464,67,106,61,69,61,68,7,13
2020년02월_여_10~19세,"1,103",551,91,127,85,94,73,61,3,18
2020년02월_여_20~29세,"1,053",492,80,133,104,107,77,47,9,4
2020년02월_여_30~39세,"1,050",536,68,126,88,79,76,59,8,10
2020년02월_여_40~49세,"1,524",745,138,162,142,126,88,102,10,11
2020년02월_여_50~59세,"2,361",884,211,281,285,288,239,140,14,19
2020년02월_여_60~69세,"2,500",697,283,347,324,320,313,164,19,33
2020년02월_여_70~79세,"2,800",601,318,321,372,395,435,283,31,44
2020년02월_여_80~89세,"1,958",356,238,256,260,283,303,209,30,23
2020년02월_여_90~99세,273,51,29,34,40,56,38,19,4,2
2020년02월_여_100세 이상,16,2,1,5,1,1,2,4,0,0
2020년03월_계_총인구수,"30,564","10,566","3,064","3,692","3,526","3,473","3,263","2,344",278,358
2020년03월_계_연령구간인구수,"30,564","10,566","3,064","3,692","3,526","3,473","3,263","2,344",278,358
2020년03월_계_0~9세,"1,792",889,130,222,137,128,119,116,19,32
2020년03월_계_10~19세,"2,268","1,162",180,245,175,198,132,130,12,34
2020년03월_계_20~29세,"2,446","1,143",198,277,225,232,211,126,19,15
2020년03월_계_30~39세,"2,307","1,080",188,288,216,180,175,138,18,24
2020년03월_계_40~49세,"3,597","1,533",327,406,375,334,262,288,31,41
2020년03월_계_50~59세,"5,124","1,745",532,590,640,611,532,371,44,59
2020년03월_계_60~69세,"5,108","1,393",579,700,675,641,622,403,40,55
2020년03월_계_70~79세,"4,802","1,050",550,553,644,690,740,458,52,65
2020년03월_계_80~89세,"2,755",508,342,357,384,388,417,291,39,29
2020년03월_계_90~99세,349,61,37,49,54,70,51,19,4,4
2020년03월_계_100세 이상,16,2,1,5,1,1,2,4,0,0
2020년03월_남_총인구수,"15,021","5,179","1,541","1,795","1,779","1,650","1,561","1,196",144,176
2020년03월_남_연령구간인구수,"15,021","5,179","1,541","1,795","1,779","1,650","1,561","1,196",144,176
2020년03월_남_0~9세,874,426,61,114,77,57,59,51,12,17
2020년03월_남_10~19세,"1,178",610,91,122,94,104,62,70,9,16
2020년03월_남_20~29세,"1,388",650,120,143,123,123,135,73,10,11
2020년03월_남_30~39세,"1,270",550,120,164,131,101,97,83,10,14
2020년03월_남_40~49세,"2,075",783,189,244,237,210,174,189,21,28
2020년03월_남_50~59세,"2,790",865,320,316,358,325,301,236,30,39
2020년03월_남_60~69세,"2,585",683,298,346,351,327,301,236,21,22
2020년03월_남_70~79세,"2,003",454,234,231,270,289,308,176,21,20
2020년03월_남_80~89세,791,148,101,104,127,102,112,81,9,7
2020년03월_남_90~99세,67,10,7,11,11,12,12,1,1,2
2020년03월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"15,543","5,387","1,523","1,897","1,747","1,823","1,702","1,148",134,182
2020년03월_여_연령구간인구수,"15,543","5,387","1,523","1,897","1,747","1,823","1,702","1,148",134,182
2020년03월_여_0~9세,918,463,69,108,60,71,60,65,7,15
2020년03월_여_10~19세,"1,090",552,89,123,81,94,70,60,3,18
2020년03월_여_20~29세,"1,058",493,78,134,102,109,76,53,9,4
2020년03월_여_30~39세,"1,037",530,68,124,85,79,78,55,8,10
2020년03월_여_40~49세,"1,522",750,138,162,138,124,88,99,10,13
2020년03월_여_50~59세,"2,334",880,212,274,282,286,231,135,14,20
2020년03월_여_60~69세,"2,523",710,281,354,324,314,321,167,19,33
2020년03월_여_70~79세,"2,799",596,316,322,374,401,432,282,31,45
2020년03월_여_80~89세,"1,964",360,241,253,257,286,305,210,30,22
2020년03월_여_90~99세,282,51,30,38,43,58,39,18,3,2
2020년03월_여_100세 이상,16,2,1,5,1,1,2,4,0,0
2020년04월_계_총인구수,"30,511","10,559","3,068","3,681","3,516","3,464","3,236","2,352",279,356
2020년04월_계_연령구간인구수,"30,511","10,559","3,068","3,681","3,516","3,464","3,236","2,352",279,356
2020년04월_계_0~9세,"1,780",889,131,220,130,132,114,114,18,32
2020년04월_계_10~19세,"2,260","1,156",174,247,175,200,130,132,12,34
2020년04월_계_20~29세,"2,444","1,139",206,272,227,223,212,131,19,15
2020년04월_계_30~39세,"2,313","1,090",192,288,214,178,173,135,19,24
2020년04월_계_40~49세,"3,589","1,533",327,404,371,338,255,288,31,42
2020년04월_계_50~59세,"5,083","1,737",525,586,641,604,522,365,45,58
2020년04월_계_60~69세,"5,136","1,400",582,703,675,646,625,409,41,55
2020년04월_계_70~79세,"4,762","1,042",550,551,639,677,727,460,52,64
2020년04월_계_80~89세,"2,779",509,341,358,391,393,426,294,39,28
2020년04월_계_90~99세,349,62,39,47,52,72,50,20,3,4
2020년04월_계_100세 이상,16,2,1,5,1,1,2,4,0,0
2020년04월_남_총인구수,"14,998","5,196","1,540","1,790","1,772","1,644","1,540","1,198",144,174
2020년04월_남_연령구간인구수,"14,998","5,196","1,540","1,790","1,772","1,644","1,540","1,198",144,174
2020년04월_남_0~9세,861,426,63,113,72,57,55,48,10,17
2020년04월_남_10~19세,"1,168",605,85,122,95,104,60,72,9,16
2020년04월_남_20~29세,"1,404",655,126,143,124,121,137,77,10,11
2020년04월_남_30~39세,"1,272",559,119,163,134,98,95,79,11,14
2020년04월_남_40~49세,"2,074",787,190,244,233,213,170,189,20,28
2020년04월_남_50~59세,"2,770",866,312,314,356,323,296,234,31,38
2020년04월_남_60~69세,"2,591",684,301,346,352,326,302,236,22,22
2020년04월_남_70~79세,"1,994",453,234,230,268,289,301,178,21,20
2020년04월_남_80~89세,798,150,102,105,128,101,113,83,9,7
2020년04월_남_90~99세,66,11,8,10,10,12,11,2,1,1
2020년04월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"15,513","5,363","1,528","1,891","1,744","1,820","1,696","1,154",135,182
2020년04월_여_연령구간인구수,"15,513","5,363","1,528","1,891","1,744","1,820","1,696","1,154",135,182
2020년04월_여_0~9세,919,463,68,107,58,75,59,66,8,15
2020년04월_여_10~19세,"1,092",551,89,125,80,96,70,60,3,18
2020년04월_여_20~29세,"1,040",484,80,129,103,102,75,54,9,4
2020년04월_여_30~39세,"1,041",531,73,125,80,80,78,56,8,10
2020년04월_여_40~49세,"1,515",746,137,160,138,125,85,99,11,14
2020년04월_여_50~59세,"2,313",871,213,272,285,281,226,131,14,20
2020년04월_여_60~69세,"2,545",716,281,357,323,320,323,173,19,33
2020년04월_여_70~79세,"2,768",589,316,321,371,388,426,282,31,44
2020년04월_여_80~89세,"1,981",359,239,253,263,292,313,211,30,21
2020년04월_여_90~99세,283,51,31,37,42,60,39,18,2,3
2020년04월_여_100세 이상,16,2,1,5,1,1,2,4,0,0
2020년05월_계_총인구수,"30,494","10,681","3,040","3,655","3,483","3,457","3,211","2,336",276,355
2020년05월_계_연령구간인구수,"30,494","10,681","3,040","3,655","3,483","3,457","3,211","2,336",276,355
2020년05월_계_0~9세,"1,768",905,121,211,126,129,114,111,18,33
2020년05월_계_10~19세,"2,259","1,171",176,246,166,197,129,129,11,34
2020년05월_계_20~29세,"2,428","1,157",195,264,223,218,205,131,20,15
2020년05월_계_30~39세,"2,292","1,109",188,282,205,176,163,128,18,23
2020년05월_계_40~49세,"3,585","1,558",325,394,365,331,252,288,29,43
2020년05월_계_50~59세,"5,086","1,742",520,590,636,610,523,362,46,57
2020년05월_계_60~69세,"5,147","1,416",582,703,673,649,622,406,41,55
2020년05월_계_70~79세,"4,762","1,049",547,550,642,676,721,462,51,64
2020년05월_계_80~89세,"2,793",509,344,362,391,397,430,294,39,27
2020년05월_계_90~99세,357,62,41,48,55,73,50,21,3,4
2020년05월_계_100세 이상,17,3,1,5,1,1,2,4,0,0
2020년05월_남_총인구수,"14,988","5,246","1,528","1,774","1,756","1,645","1,531","1,192",142,174
2020년05월_남_연령구간인구수,"14,988","5,246","1,528","1,774","1,756","1,645","1,531","1,192",142,174
2020년05월_남_0~9세,854,430,57,107,72,59,54,47,10,18
2020년05월_남_10~19세,"1,172",615,87,123,88,102,60,72,9,16
2020년05월_남_20~29세,"1,392",658,124,138,124,118,132,77,10,11
2020년05월_남_30~39세,"1,256",570,115,158,128,99,87,75,11,13
2020년05월_남_40~49세,"2,066",796,188,242,229,203,171,190,18,29
2020년05월_남_50~59세,"2,784",867,310,316,356,333,300,232,32,38
2020년05월_남_60~69세,"2,595",689,304,346,351,327,300,235,22,21
2020년05월_남_70~79세,"1,998",458,232,228,269,289,300,180,21,21
2020년05월_남_80~89세,805,152,103,106,129,103,116,82,8,6
2020년05월_남_90~99세,66,11,8,10,10,12,11,2,1,1
2020년05월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"15,506","5,435","1,512","1,881","1,727","1,812","1,680","1,144",134,181
2020년05월_여_연령구간인구수,"15,506","5,435","1,512","1,881","1,727","1,812","1,680","1,144",134,181
2020년05월_여_0~9세,914,475,64,104,54,70,60,64,8,15
2020년05월_여_10~19세,"1,087",556,89,123,78,95,69,57,2,18
2020년05월_여_20~29세,"1,036",499,71,126,99,100,73,54,10,4
2020년05월_여_30~39세,"1,036",539,73,124,77,77,76,53,7,10
2020년05월_여_40~49세,"1,519",762,137,152,136,128,81,98,11,14
2020년05월_여_50~59세,"2,302",875,210,274,280,277,223,130,14,19
2020년05월_여_60~69세,"2,552",727,278,357,322,322,322,171,19,34
2020년05월_여_70~79세,"2,764",591,315,322,373,387,421,282,30,43
2020년05월_여_80~89세,"1,988",357,241,256,262,294,314,212,31,21
2020년05월_여_90~99세,291,51,33,38,45,61,39,19,2,3
2020년05월_여_100세 이상,17,3,1,5,1,1,2,4,0,0
2020년06월_계_총인구수,"30,461","10,693","3,029","3,653","3,481","3,439","3,197","2,337",277,355
2020년06월_계_연령구간인구수,"30,461","10,693","3,029","3,653","3,481","3,439","3,197","2,337",277,355
2020년06월_계_0~9세,"1,757",900,119,210,124,128,113,111,19,33
2020년06월_계_10~19세,"2,257","1,172",177,247,168,191,130,128,10,34
2020년06월_계_20~29세,"2,420","1,162",190,262,220,217,200,131,22,16
2020년06월_계_30~39세,"2,286","1,111",188,281,202,175,160,129,18,22
2020년06월_계_40~49세,"3,569","1,561",321,386,364,329,247,288,29,44
2020년06월_계_50~59세,"5,043","1,738",512,589,628,601,513,363,44,55
2020년06월_계_60~69세,"5,166","1,425",587,705,670,649,628,405,42,55
2020년06월_계_70~79세,"4,776","1,052",547,553,649,674,725,460,51,65
2020년06월_계_80~89세,"2,816",510,346,368,399,402,429,297,39,26
2020년06월_계_90~99세,353,59,41,46,56,72,50,21,3,5
2020년06월_계_100세 이상,18,3,1,6,1,1,2,4,0,0
2020년06월_남_총인구수,"14,972","5,248","1,524","1,768","1,760","1,639","1,526","1,194",140,173
2020년06월_남_연령구간인구수,"14,972","5,248","1,524","1,768","1,760","1,639","1,526","1,194",140,173
2020년06월_남_0~9세,846,424,56,108,71,59,53,47,10,18
2020년06월_남_10~19세,"1,169",613,88,122,89,100,62,70,9,16
2020년06월_남_20~29세,"1,388",662,122,135,124,117,128,79,10,11
2020년06월_남_30~39세,"1,252",571,115,157,126,99,87,74,11,12
2020년06월_남_40~49세,"2,060",795,189,236,230,202,168,192,18,30
2020년06월_남_50~59세,"2,759",867,304,313,353,330,295,230,30,37
2020년06월_남_60~69세,"2,607",696,305,349,346,328,304,236,23,20
2020년06월_남_70~79세,"2,014",459,232,230,279,289,301,182,20,22
2020년06월_남_80~89세,811,150,105,108,131,104,117,82,8,6
2020년06월_남_90~99세,66,11,8,10,11,11,11,2,1,1
2020년06월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"15,489","5,445","1,505","1,885","1,721","1,800","1,671","1,143",137,182
2020년06월_여_연령구간인구수,"15,489","5,445","1,505","1,885","1,721","1,800","1,671","1,143",137,182
2020년06월_여_0~9세,911,476,63,102,53,69,60,64,9,15
2020년06월_여_10~19세,"1,088",559,89,125,79,91,68,58,1,18
2020년06월_여_20~29세,"1,032",500,68,127,96,100,72,52,12,5
2020년06월_여_30~39세,"1,034",540,73,124,76,76,73,55,7,10
2020년06월_여_40~49세,"1,509",766,132,150,134,127,79,96,11,14
