카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년01월_계_총인구수,"116,910","30,548","10,045","4,618","12,996","7,768","9,505","3,933","3,718","4,579","6,784","17,324","5,092"
2020년01월_계_연령구간인구수,"116,910","30,548","10,045","4,618","12,996","7,768","9,505","3,933","3,718","4,579","6,784","17,324","5,092"
2020년01월_계_0~9세,"7,590","2,366",938,163,734,501,660,137,120,150,240,"1,347",234
2020년01월_계_10~19세,"9,719","3,350",888,248,996,553,797,260,163,188,396,"1,546",334
2020년01월_계_20~29세,"10,447","3,494",789,342,"1,172",703,603,267,239,303,487,"1,643",405
2020년01월_계_30~39세,"11,151","3,359","1,239",385,"1,232",787,847,321,210,301,410,"1,672",388
2020년01월_계_40~49세,"16,357","4,880","1,600",493,"1,796","1,037","1,500",471,380,419,722,"2,451",608
2020년01월_계_50~59세,"20,984","5,367","1,708",915,"2,388","1,404","1,721",711,698,880,"1,317","2,912",963
2020년01월_계_60~69세,"21,062","4,089","1,560","1,132","2,435","1,543","1,939",888,897,"1,134","1,529","2,823","1,093"
2020년01월_계_70~79세,"12,679","2,392",873,675,"1,510",835,981,561,604,693,"1,001","1,863",691
2020년01월_계_80~89세,"5,948","1,103",393,214,627,350,375,280,356,432,569,913,336
2020년01월_계_90~99세,911,133,54,50,98,51,76,37,45,71,110,148,38
2020년01월_계_100세 이상,62,15,3,1,8,4,6,0,6,8,3,6,2
2020년01월_남_총인구수,"58,654","15,282","4,955","2,336","6,525","3,916","4,710","1,996","1,880","2,271","3,451","8,751","2,581"
2020년01월_남_연령구간인구수,"58,654","15,282","4,955","2,336","6,525","3,916","4,710","1,996","1,880","2,271","3,451","8,751","2,581"
2020년01월_남_0~9세,"3,894","1,221",467,93,378,248,317,67,60,82,147,696,118
2020년01월_남_10~19세,"5,159","1,753",453,147,520,290,435,140,94,99,219,825,184
2020년01월_남_20~29세,"5,688","1,863",413,193,624,423,325,148,125,168,280,902,224
2020년01월_남_30~39세,"5,622","1,665",595,199,640,393,406,194,112,166,218,829,205
2020년01월_남_40~49세,"8,448","2,412",810,260,935,560,746,262,227,231,392,"1,287",326
2020년01월_남_50~59세,"10,735","2,772",851,458,"1,205",701,846,341,370,467,686,"1,542",496
2020년01월_남_60~69세,"10,443","2,053",749,536,"1,183",743,952,467,449,554,816,"1,400",541
2020년01월_남_70~79세,"6,205","1,125",452,350,744,410,522,275,294,325,461,893,354
2020년01월_남_80~89세,"2,215",380,147,89,267,133,139,95,142,161,198,342,122
2020년01월_남_90~99세,232,35,18,10,25,15,20,7,7,17,34,34,10
2020년01월_남_100세 이상,13,3,0,1,4,0,2,0,0,1,0,1,1
2020년01월_여_총인구수,"58,256","15,266","5,090","2,282","6,471","3,852","4,795","1,937","1,838","2,308","3,333","8,573","2,511"
2020년01월_여_연령구간인구수,"58,256","15,266","5,090","2,282","6,471","3,852","4,795","1,937","1,838","2,308","3,333","8,573","2,511"
2020년01월_여_0~9세,"3,696","1,145",471,70,356,253,343,70,60,68,93,651,116
2020년01월_여_10~19세,"4,560","1,597",435,101,476,263,362,120,69,89,177,721,150
2020년01월_여_20~29세,"4,759","1,631",376,149,548,280,278,119,114,135,207,741,181
2020년01월_여_30~39세,"5,529","1,694",644,186,592,394,441,127,98,135,192,843,183
2020년01월_여_40~49세,"7,909","2,468",790,233,861,477,754,209,153,188,330,"1,164",282
2020년01월_여_50~59세,"10,249","2,595",857,457,"1,183",703,875,370,328,413,631,"1,370",467
2020년01월_여_60~69세,"10,619","2,036",811,596,"1,252",800,987,421,448,580,713,"1,423",552
2020년01월_여_70~79세,"6,474","1,267",421,325,766,425,459,286,310,368,540,970,337
2020년01월_여_80~89세,"3,733",723,246,125,360,217,236,185,214,271,371,571,214
2020년01월_여_90~99세,679,98,36,40,73,36,56,30,38,54,76,114,28
2020년01월_여_100세 이상,49,12,3,0,4,4,4,0,6,7,3,5,1
2020년02월_계_총인구수,"116,902","30,469","10,098","4,622","13,040","7,753","9,511","3,895","3,722","4,570","6,765","17,324","5,133"
2020년02월_계_연령구간인구수,"116,902","30,469","10,098","4,622","13,040","7,753","9,511","3,895","3,722","4,570","6,765","17,324","5,133"
2020년02월_계_0~9세,"7,549","2,335",942,167,741,494,654,137,119,148,231,"1,342",239
2020년02월_계_10~19세,"9,699","3,331",890,249,994,544,806,252,164,192,392,"1,534",351
2020년02월_계_20~29세,"10,355","3,463",789,331,"1,172",710,592,261,237,292,480,"1,622",406
2020년02월_계_30~39세,"11,086","3,323","1,240",386,"1,225",779,848,316,201,295,405,"1,668",400
2020년02월_계_40~49세,"16,403","4,873","1,612",501,"1,800","1,029","1,513",459,390,417,724,"2,468",617
2020년02월_계_50~59세,"20,936","5,371","1,714",911,"2,388","1,397","1,719",703,696,882,"1,302","2,902",951
2020년02월_계_60~69세,"21,209","4,128","1,579","1,139","2,461","1,557","1,934",888,897,"1,136","1,545","2,847","1,098"
2020년02월_계_70~79세,"12,711","2,382",882,676,"1,519",836,981,561,602,699,"1,002","1,876",695
2020년02월_계_80~89세,"5,979","1,112",390,212,634,353,385,283,364,425,572,913,336
2020년02월_계_90~99세,915,137,57,49,98,50,74,35,46,77,109,145,38
2020년02월_계_100세 이상,60,14,3,1,8,4,5,0,6,7,3,7,2
2020년02월_남_총인구수,"58,630","15,240","4,979","2,339","6,531","3,909","4,716","1,980","1,880","2,275","3,439","8,741","2,601"
2020년02월_남_연령구간인구수,"58,630","15,240","4,979","2,339","6,531","3,909","4,716","1,980","1,880","2,275","3,439","8,741","2,601"
2020년02월_남_0~9세,"3,865","1,204",467,96,381,245,311,69,61,83,140,691,117
2020년02월_남_10~19세,"5,139","1,739",453,147,521,284,438,133,94,99,218,813,200
2020년02월_남_20~29세,"5,658","1,853",421,188,623,423,320,145,124,166,277,894,224
2020년02월_남_30~39세,"5,597","1,656",591,200,635,395,409,191,107,164,215,822,212
2020년02월_남_40~49세,"8,444","2,403",812,265,930,552,748,254,229,231,399,"1,294",327
2020년02월_남_50~59세,"10,729","2,771",854,457,"1,215",702,848,342,372,469,672,"1,534",493
2020년02월_남_60~69세,"10,498","2,066",759,537,"1,184",748,952,467,449,557,823,"1,419",537
2020년02월_남_70~79세,"6,220","1,126",457,351,746,409,525,275,292,326,460,897,356
2020년02월_남_80~89세,"2,234",382,147,87,266,136,145,99,144,160,201,343,124
2020년02월_남_90~99세,234,37,18,10,26,15,19,5,8,19,34,33,10
2020년02월_남_100세 이상,12,3,0,1,4,0,1,0,0,1,0,1,1
2020년02월_여_총인구수,"58,272","15,229","5,119","2,283","6,509","3,844","4,795","1,915","1,842","2,295","3,326","8,583","2,532"
2020년02월_여_연령구간인구수,"58,272","15,229","5,119","2,283","6,509","3,844","4,795","1,915","1,842","2,295","3,326","8,583","2,532"
2020년02월_여_0~9세,"3,684","1,131",475,71,360,249,343,68,58,65,91,651,122
2020년02월_여_10~19세,"4,560","1,592",437,102,473,260,368,119,70,93,174,721,151
2020년02월_여_20~29세,"4,697","1,610",368,143,549,287,272,116,113,126,203,728,182
2020년02월_여_30~39세,"5,489","1,667",649,186,590,384,439,125,94,131,190,846,188
2020년02월_여_40~49세,"7,959","2,470",800,236,870,477,765,205,161,186,325,"1,174",290
2020년02월_여_50~59세,"10,207","2,600",860,454,"1,173",695,871,361,324,413,630,"1,368",458
2020년02월_여_60~69세,"10,711","2,062",820,602,"1,277",809,982,421,448,579,722,"1,428",561
2020년02월_여_70~79세,"6,491","1,256",425,325,773,427,456,286,310,373,542,979,339
2020년02월_여_80~89세,"3,745",730,243,125,368,217,240,184,220,265,371,570,212
2020년02월_여_90~99세,681,100,39,39,72,35,55,30,38,58,75,112,28
2020년02월_여_100세 이상,48,11,3,0,4,4,4,0,6,6,3,6,1
2020년03월_계_총인구수,"117,025","30,469","10,109","4,617","13,144","7,749","9,515","3,884","3,736","4,575","6,778","17,321","5,128"
2020년03월_계_연령구간인구수,"117,025","30,469","10,109","4,617","13,144","7,749","9,515","3,884","3,736","4,575","6,778","17,321","5,128"
2020년03월_계_0~9세,"7,550","2,341",937,165,748,496,653,137,122,146,233,"1,337",235
2020년03월_계_10~19세,"9,654","3,302",887,252,996,547,808,249,161,196,387,"1,519",350
2020년03월_계_20~29세,"10,384","3,491",791,324,"1,191",709,590,258,239,291,485,"1,609",406
2020년03월_계_30~39세,"11,053","3,304","1,237",384,"1,224",771,839,312,204,299,400,"1,675",404
2020년03월_계_40~49세,"16,382","4,852","1,610",507,"1,801","1,032","1,505",458,388,412,729,"2,475",613
2020년03월_계_50~59세,"20,899","5,381","1,702",913,"2,395","1,378","1,711",698,691,889,"1,297","2,899",945
2020년03월_계_60~69세,"21,389","4,156","1,601","1,139","2,509","1,564","1,959",887,907,"1,134","1,565","2,870","1,098"
2020년03월_계_70~79세,"12,726","2,376",890,675,"1,529",840,984,567,605,697,999,"1,865",699
2020년03월_계_80~89세,"6,009","1,115",393,211,641,353,391,284,367,427,572,918,337
2020년03월_계_90~99세,914,137,58,46,100,55,69,34,45,77,108,146,39
2020년03월_계_100세 이상,65,14,3,1,10,4,6,0,7,7,3,8,2
2020년03월_남_총인구수,"58,676","15,240","4,985","2,336","6,584","3,900","4,711","1,977","1,892","2,283","3,443","8,729","2,596"
2020년03월_남_연령구간인구수,"58,676","15,240","4,985","2,336","6,584","3,900","4,711","1,977","1,892","2,283","3,443","8,729","2,596"
2020년03월_남_0~9세,"3,865","1,208",469,92,385,245,313,70,62,83,140,687,111
