카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년03월_계_총인구수,"27,713","12,076","2,948","2,390","2,543","3,074","4,682"
2020년03월_계_연령구간인구수,"27,713","12,076","2,948","2,390","2,543","3,074","4,682"
2020년03월_계_0~9세,"1,379",857,90,80,70,87,195
2020년03월_계_10~19세,"1,928","1,137",183,117,103,131,257
2020년03월_계_20~29세,"2,392","1,194",228,202,159,171,438
2020년03월_계_30~39세,"2,368","1,246",188,157,181,239,357
2020년03월_계_40~49세,"3,563","1,868",336,264,244,317,534
2020년03월_계_50~59세,"5,083","2,060",551,467,507,541,957
2020년03월_계_60~69세,"5,241","1,840",630,473,602,703,993
2020년03월_계_70~79세,"3,687","1,210",484,393,439,527,634
2020년03월_계_80~89세,"1,743",552,223,208,203,292,265
2020년03월_계_90~99세,314,110,35,24,33,62,50
2020년03월_계_100세 이상,15,2,0,5,2,4,2
2020년03월_남_총인구수,"14,101","6,074","1,526","1,220","1,316","1,574","2,391"
2020년03월_남_연령구간인구수,"14,101","6,074","1,526","1,220","1,316","1,574","2,391"
2020년03월_남_0~9세,715,449,49,40,33,49,95
2020년03월_남_10~19세,"1,001",598,101,49,55,68,130
2020년03월_남_20~29세,"1,414",692,137,116,102,101,266
2020년03월_남_30~39세,"1,282",617,119,83,117,139,207
2020년03월_남_40~49세,"1,963",955,188,156,151,208,305
2020년03월_남_50~59세,"2,724","1,081",312,272,252,304,503
2020년03월_남_60~69세,"2,611",898,307,249,316,352,489
2020년03월_남_70~79세,"1,686",552,218,166,203,248,299
2020년03월_남_80~89세,639,203,90,82,81,99,84
2020년03월_남_90~99세,65,28,5,7,6,6,13
2020년03월_남_100세 이상,1,1,0,0,0,0,0
2020년03월_여_총인구수,"13,612","6,002","1,422","1,170","1,227","1,500","2,291"
2020년03월_여_연령구간인구수,"13,612","6,002","1,422","1,170","1,227","1,500","2,291"
2020년03월_여_0~9세,664,408,41,40,37,38,100
2020년03월_여_10~19세,927,539,82,68,48,63,127
2020년03월_여_20~29세,978,502,91,86,57,70,172
2020년03월_여_30~39세,"1,086",629,69,74,64,100,150
2020년03월_여_40~49세,"1,600",913,148,108,93,109,229
2020년03월_여_50~59세,"2,359",979,239,195,255,237,454
2020년03월_여_60~69세,"2,630",942,323,224,286,351,504
2020년03월_여_70~79세,"2,001",658,266,227,236,279,335
2020년03월_여_80~89세,"1,104",349,133,126,122,193,181
2020년03월_여_90~99세,249,82,30,17,27,56,37
2020년03월_여_100세 이상,14,1,0,5,2,4,2
2020년04월_계_총인구수,"27,710","12,109","2,943","2,374","2,550","3,064","4,670"
2020년04월_계_연령구간인구수,"27,710","12,109","2,943","2,374","2,550","3,064","4,670"
2020년04월_계_0~9세,"1,378",860,88,77,73,87,193
2020년04월_계_10~19세,"1,915","1,133",176,118,104,133,251
2020년04월_계_20~29세,"2,390","1,199",233,196,159,168,435
2020년04월_계_30~39세,"2,365","1,247",188,155,173,241,361
2020년04월_계_40~49세,"3,544","1,866",331,267,245,310,525
2020년04월_계_50~59세,"5,076","2,076",550,459,504,535,952
2020년04월_계_60~69세,"5,267","1,849",635,471,610,709,993
2020년04월_계_70~79세,"3,675","1,202",476,396,439,523,639
2020년04월_계_80~89세,"1,770",568,229,205,208,295,265
2020년04월_계_90~99세,315,107,37,25,33,59,54
2020년04월_계_100세 이상,15,2,0,5,2,4,2
2020년04월_남_총인구수,"14,107","6,102","1,520","1,210","1,321","1,571","2,383"
2020년04월_남_연령구간인구수,"14,107","6,102","1,520","1,210","1,321","1,571","2,383"
2020년04월_남_0~9세,712,445,47,40,36,49,95
2020년04월_남_10~19세,994,600,97,49,56,68,124
2020년04월_남_20~29세,"1,419",693,143,114,102,101,266
2020년04월_남_30~39세,"1,274",619,118,78,110,138,211
2020년04월_남_40~49세,"1,957",958,184,159,152,203,301
2020년04월_남_50~59세,"2,726","1,092",310,269,252,302,501
2020년04월_남_60~69세,"2,625",906,310,245,322,358,484
2020년04월_남_70~79세,"1,683",551,214,167,202,246,303
2020년04월_남_80~89세,652,210,92,82,83,100,85
2020년04월_남_90~99세,64,27,5,7,6,6,13
2020년04월_남_100세 이상,1,1,0,0,0,0,0
2020년04월_여_총인구수,"13,603","6,007","1,423","1,164","1,229","1,493","2,287"
2020년04월_여_연령구간인구수,"13,603","6,007","1,423","1,164","1,229","1,493","2,287"
2020년04월_여_0~9세,666,415,41,37,37,38,98
2020년04월_여_10~19세,921,533,79,69,48,65,127
2020년04월_여_20~29세,971,506,90,82,57,67,169
2020년04월_여_30~39세,"1,091",628,70,77,63,103,150
2020년04월_여_40~49세,"1,587",908,147,108,93,107,224
2020년04월_여_50~59세,"2,350",984,240,190,252,233,451
2020년04월_여_60~69세,"2,642",943,325,226,288,351,509
2020년04월_여_70~79세,"1,992",651,262,229,237,277,336
2020년04월_여_80~89세,"1,118",358,137,123,125,195,180
2020년04월_여_90~99세,251,80,32,18,27,53,41
2020년04월_여_100세 이상,14,1,0,5,2,4,2
2020년05월_계_총인구수,"27,787","12,242","2,905","2,368","2,532","3,071","4,669"
2020년05월_계_연령구간인구수,"27,787","12,242","2,905","2,368","2,532","3,071","4,669"
2020년05월_계_0~9세,"1,380",871,78,71,75,87,198
2020년05월_계_10~19세,"1,912","1,140",178,112,98,135,249
2020년05월_계_20~29세,"2,390","1,204",222,200,156,168,440
2020년05월_계_30~39세,"2,379","1,265",183,153,175,243,360
2020년05월_계_40~49세,"3,551","1,887",325,262,240,317,520
2020년05월_계_50~59세,"5,094","2,113",545,458,496,534,948
2020년05월_계_60~69세,"5,305","1,878",633,478,610,705,"1,001"
2020년05월_계_70~79세,"3,670","1,205",471,395,436,528,635
2020년05월_계_80~89세,"1,776",571,233,209,210,290,263
2020년05월_계_90~99세,314,106,37,25,33,60,53
2020년05월_계_100세 이상,16,2,0,5,3,4,2
2020년05월_남_총인구수,"14,140","6,182","1,494","1,203","1,307","1,575","2,379"
2020년05월_남_연령구간인구수,"14,140","6,182","1,494","1,203","1,307","1,575","2,379"
2020년05월_남_0~9세,713,449,43,38,36,48,99
2020년05월_남_10~19세,999,607,97,47,54,69,125
2020년05월_남_20~29세,"1,416",696,134,116,99,103,268
2020년05월_남_30~39세,"1,286",634,115,79,110,139,209
2020년05월_남_40~49세,"1,948",966,181,154,147,205,295
2020년05월_남_50~59세,"2,744","1,117",307,266,248,303,503
2020년05월_남_60~69세,"2,636",924,307,245,322,353,485
2020년05월_남_70~79세,"1,683",550,214,168,202,250,299
2020년05월_남_80~89세,648,211,91,83,81,99,83
2020년05월_남_90~99세,66,27,5,7,8,6,13
2020년05월_남_100세 이상,1,1,0,0,0,0,0
2020년05월_여_총인구수,"13,647","6,060","1,411","1,165","1,225","1,496","2,290"
2020년05월_여_연령구간인구수,"13,647","6,060","1,411","1,165","1,225","1,496","2,290"
2020년05월_여_0~9세,667,422,35,33,39,39,99
2020년05월_여_10~19세,913,533,81,65,44,66,124
2020년05월_여_20~29세,974,508,88,84,57,65,172
2020년05월_여_30~39세,"1,093",631,68,74,65,104,151
2020년05월_여_40~49세,"1,603",921,144,108,93,112,225
2020년05월_여_50~59세,"2,350",996,238,192,248,231,445
2020년05월_여_60~69세,"2,669",954,326,233,288,352,516
2020년05월_여_70~79세,"1,987",655,257,227,234,278,336
2020년05월_여_80~89세,"1,128",360,142,126,129,191,180
2020년05월_여_90~99세,248,79,32,18,25,54,40
2020년05월_여_100세 이상,15,1,0,5,3,4,2
2020년06월_계_총인구수,"27,808","12,282","2,895","2,362","2,547","3,079","4,643"
2020년06월_계_연령구간인구수,"27,808","12,282","2,895","2,362","2,547","3,079","4,643"
2020년06월_계_0~9세,"1,377",874,73,70,77,89,194
2020년06월_계_10~19세,"1,901","1,136",180,111,94,136,244
2020년06월_계_20~29세,"2,386","1,208",220,197,163,166,432
2020년06월_계_30~39세,"2,379","1,261",178,148,181,247,364
2020년06월_계_40~49세,"3,540","1,893",320,260,237,320,510
2020년06월_계_50~59세,"5,093","2,124",544,457,495,531,942
2020년06월_계_60~69세,"5,362","1,906",640,485,617,707,"1,007"
2020년06월_계_70~79세,"3,667","1,205",467,395,437,530,633
2020년06월_계_80~89세,"1,777",571,234,209,211,290,262
2020년06월_계_90~99세,310,102,39,25,32,59,53
2020년06월_계_100세 이상,16,2,0,5,3,4,2
2020년06월_남_총인구수,"14,136","6,200","1,484","1,196","1,315","1,584","2,357"
2020년06월_남_연령구간인구수,"14,136","6,200","1,484","1,196","1,315","1,584","2,357"
2020년06월_남_0~9세,713,454,38,36,39,50,96
2020년06월_남_10~19세,994,604,100,45,54,69,122
2020년06월_남_20~29세,"1,403",696,134,111,102,101,259
2020년06월_남_30~39세,"1,286",628,109,79,112,144,214
2020년06월_남_40~49세,"1,942",966,179,153,144,207,293
2020년06월_남_50~59세,"2,739","1,128",307,262,245,302,495
2020년06월_남_60~69세,"2,658",930,310,250,327,356,485
2020년06월_남_70~79세,"1,689",556,210,170,202,252,299
2020년06월_남_80~89세,648,210,92,83,82,99,82
2020년06월_남_90~99세,63,27,5,7,8,4,12
2020년06월_남_100세 이상,1,1,0,0,0,0,0
2020년06월_여_총인구수,"13,672","6,082","1,411","1,166","1,232","1,495","2,286"
2020년06월_여_연령구간인구수,"13,672","6,082","1,411","1,166","1,232","1,495","2,286"
2020년06월_여_0~9세,664,420,35,34,38,39,98
2020년06월_여_10~19세,907,532,80,66,40,67,122
2020년06월_여_20~29세,983,512,86,86,61,65,173
2020년06월_여_30~39세,"1,093",633,69,69,69,103,150
2020년06월_여_40~49세,"1,598",927,141,107,93,113,217
2020년06월_여_50~59세,"2,354",996,237,195,250,229,447
2020년06월_여_60~69세,"2,704",976,330,235,290,351,522
2020년06월_여_70~79세,"1,978",649,257,225,235,278,334
2020년06월_여_80~89세,"1,129",361,142,126,129,191,180
2020년06월_여_90~99세,247,75,34,18,24,55,41
2020년06월_여_100세 이상,15,1,0,5,3,4,2
2020년07월_계_총인구수,"27,859","12,348","2,890","2,351","2,548","3,075","4,647"
2020년07월_계_연령구간인구수,"27,859","12,348","2,890","2,351","2,548","3,075","4,647"
2020년07월_계_0~9세,"1,370",877,70,68,76,87,192
2020년07월_계_10~19세,"1,898","1,138",179,108,91,137,245
2020년07월_계_20~29세,"2,389","1,225",220,196,159,161,428
2020년07월_계_30~39세,"2,382","1,262",174,152,190,240,364
2020년07월_계_40~49세,"3,547","1,909",318,249,233,326,512
2020년07월_계_50~59세,"5,108","2,132",543,464,496,537,936
2020년07월_계_60~69세,"5,390","1,911",643,481,619,713,"1,023"
2020년07월_계_70~79세,"3,663","1,213",468,391,437,526,628
