카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년03월_계_총인구수,"210,326","30,385","12,799","10,529","11,020","16,855","18,055","7,761","17,228","16,426","17,623","14,857","36,788"
2020년03월_계_연령구간인구수,"210,326","30,385","12,799","10,529","11,020","16,855","18,055","7,761","17,228","16,426","17,623","14,857","36,788"
2020년03월_계_0~9세,"15,323","2,833","1,163",541,798,"1,352","1,592",246,806,816,"1,105","1,335","2,736"
2020년03월_계_10~19세,"16,923","3,673","1,604",753,"1,018","1,280","1,147",440,935,692,"1,068","1,178","3,135"
2020년03월_계_20~29세,"26,467","3,300","1,351","1,218","1,286","1,932","2,232",851,"2,493","3,391","2,049","1,734","4,630"
2020년03월_계_30~39세,"28,131","3,474","1,354","1,145","1,293","2,309","3,087",800,"2,162","3,249","2,485","1,971","4,802"
2020년03월_계_40~49세,"32,143","5,642","2,436","1,428","1,671","2,527","2,586","1,051","2,335","2,298","2,375","2,297","5,497"
2020년03월_계_50~59세,"34,722","4,794","1,982","1,739","1,932","2,794","2,820","1,389","2,989","2,327","2,833","2,557","6,566"
2020년03월_계_60~69세,"31,500","3,564","1,604","1,775","1,728","2,683","2,463","1,611","3,094","2,059","3,029","2,240","5,650"
2020년03월_계_70~79세,"17,684","2,178",914,"1,268",894,"1,411","1,495",989,"1,737","1,148","1,900","1,130","2,620"
2020년03월_계_80~89세,"6,533",818,350,571,349,509,548,340,602,405,692,361,988
2020년03월_계_90~99세,821,106,32,84,50,50,77,39,71,34,77,47,154
2020년03월_계_100세 이상,79,3,9,7,1,8,8,5,4,7,10,7,10
2020년03월_남_총인구수,"101,595","14,749","6,137","4,976","5,424","8,231","8,664","3,702","8,301","7,828","8,580","7,293","17,710"
2020년03월_남_연령구간인구수,"101,595","14,749","6,137","4,976","5,424","8,231","8,664","3,702","8,301","7,828","8,580","7,293","17,710"
2020년03월_남_0~9세,"7,808","1,491",540,286,405,680,814,130,391,413,567,692,"1,399"
2020년03월_남_10~19세,"8,756","1,959",766,398,566,681,563,221,475,353,578,598,"1,598"
2020년03월_남_20~29세,"13,484","1,715",722,593,705,"1,042","1,096",453,"1,211","1,428","1,097",935,"2,487"
2020년03월_남_30~39세,"14,120","1,631",638,591,662,"1,163","1,543",421,"1,137","1,635","1,320",951,"2,428"
2020년03월_남_40~49세,"15,755","2,611","1,183",706,800,"1,253","1,310",519,"1,178","1,211","1,236","1,163","2,585"
2020년03월_남_50~59세,"16,368","2,370",960,817,909,"1,285","1,321",646,"1,426","1,102","1,347","1,234","2,951"
2020년03월_남_60~69세,"14,578","1,639",764,799,834,"1,242","1,104",745,"1,419",968,"1,346","1,057","2,661"
2020년03월_남_70~79세,"8,047",950,419,555,405,672,688,436,815,541,805,527,"1,234"
2020년03월_남_80~89세,"2,470",354,136,204,131,197,207,122,230,165,264,125,335
2020년03월_남_90~99세,189,28,7,25,7,14,15,8,18,10,18,8,31
2020년03월_남_100세 이상,20,1,2,2,0,2,3,1,1,2,2,3,1
2020년03월_여_총인구수,"108,731","15,636","6,662","5,553","5,596","8,624","9,391","4,059","8,927","8,598","9,043","7,564","19,078"
