카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2020년03월_계_총인구수,"31,461","9,144",511,"4,080","8,397","5,067","2,732","1,530"
2020년03월_계_연령구간인구수,"31,461","9,144",511,"4,080","8,397","5,067","2,732","1,530"
2020년03월_계_0~9세,"2,540",791,19,365,658,410,247,50
2020년03월_계_10~19세,"2,318",800,27,282,642,326,149,92
2020년03월_계_20~29세,"4,142","1,172",39,539,"1,106",587,578,121
2020년03월_계_30~39세,"3,882","1,159",33,586,924,677,415,88
2020년03월_계_40~49세,"3,958","1,294",59,427,"1,136",629,257,156
2020년03월_계_50~59세,"5,383","1,506",121,631,"1,521",910,353,341
2020년03월_계_60~69세,"4,823","1,267",108,669,"1,265",796,362,356
2020년03월_계_70~79세,"2,753",729,74,329,723,443,240,215
2020년03월_계_80~89세,"1,420",364,28,219,356,247,116,90
2020년03월_계_90~99세,229,55,3,33,63,40,15,20
2020년03월_계_100세 이상,13,7,0,0,3,2,0,1
2020년03월_남_총인구수,"17,013","4,834",274,"2,196","4,554","2,724","1,603",828
2020년03월_남_연령구간인구수,"17,013","4,834",274,"2,196","4,554","2,724","1,603",828
2020년03월_남_0~9세,"1,320",419,8,189,332,212,133,27
2020년03월_남_10~19세,"1,189",421,13,134,337,160,73,51
2020년03월_남_20~29세,"2,742",723,26,360,733,364,453,83
2020년03월_남_30~39세,"2,222",630,23,345,514,401,252,57
2020년03월_남_40~49세,"2,219",700,36,242,647,350,155,89
2020년03월_남_50~59세,"2,851",794,64,329,815,467,199,183
2020년03월_남_60~69세,"2,609",656,55,365,696,456,185,196
2020년03월_남_70~79세,"1,302",347,39,153,334,217,109,103
2020년03월_남_80~89세,487,128,9,68,125,86,40,31
2020년03월_남_90~99세,68,14,1,11,20,10,4,8
2020년03월_남_100세 이상,4,2,0,0,1,1,0,0
2020년03월_여_총인구수,"14,448","4,310",237,"1,884","3,843","2,343","1,129",702
2020년03월_여_연령구간인구수,"14,448","4,310",237,"1,884","3,843","2,343","1,129",702
2020년03월_여_0~9세,"1,220",372,11,176,326,198,114,23
2020년03월_여_10~19세,"1,129",379,14,148,305,166,76,41
2020년03월_여_20~29세,"1,400",449,13,179,373,223,125,38
2020년03월_여_30~39세,"1,660",529,10,241,410,276,163,31
2020년03월_여_40~49세,"1,739",594,23,185,489,279,102,67
2020년03월_여_50~59세,"2,532",712,57,302,706,443,154,158
2020년03월_여_60~69세,"2,214",611,53,304,569,340,177,160
2020년03월_여_70~79세,"1,451",382,35,176,389,226,131,112
2020년03월_여_80~89세,933,236,19,151,231,161,76,59
2020년03월_여_90~99세,161,41,2,22,43,30,11,12
2020년03월_여_100세 이상,9,5,0,0,2,1,0,1
2020년04월_계_총인구수,"31,506","9,209",507,"4,074","8,382","5,073","2,731","1,530"
