카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년03월_계_총인구수,"61,934","17,277","12,315","2,057","1,656","3,877","2,551","1,805","2,585","2,372","5,647","1,867","2,794","1,521","3,610"
2020년03월_계_연령구간인구수,"61,934","17,277","12,315","2,057","1,656","3,877","2,551","1,805","2,585","2,372","5,647","1,867","2,794","1,521","3,610"
2020년03월_계_0~9세,"3,520","1,443","1,024",61,31,115,71,40,150,69,234,42,102,37,101
2020년03월_계_10~19세,"4,251","1,610",927,131,66,172,253,60,182,76,362,54,167,54,137
2020년03월_계_20~29세,"5,130","1,802",971,130,102,275,142,96,209,180,530,95,224,100,274
2020년03월_계_30~39세,"5,424","1,963","1,295",102,102,244,153,104,202,151,444,113,205,82,264
2020년03월_계_40~49세,"7,210","2,410","1,732",147,144,391,183,148,298,198,659,149,298,141,312
2020년03월_계_50~59세,"11,198","2,915","2,179",333,316,728,445,298,437,480,"1,163",352,522,305,725
2020년03월_계_60~69세,"11,640","2,566","2,072",395,391,807,545,420,488,512,"1,120",406,617,386,915
2020년03월_계_70~79세,"8,006","1,565","1,306",407,264,670,425,383,353,397,709,368,382,243,534
2020년03월_계_80~89세,"4,912",897,719,300,215,423,303,220,233,272,377,257,239,148,309
2020년03월_계_90~99세,618,103,84,51,24,51,28,36,29,35,49,31,36,25,36
2020년03월_계_100세 이상,25,3,6,0,1,1,3,0,4,2,0,0,2,0,3
2020년03월_남_총인구수,"30,801","8,582","6,187","1,024",803,"1,991","1,211",878,"1,337","1,174","2,844",908,"1,364",753,"1,745"
2020년03월_남_연령구간인구수,"30,801","8,582","6,187","1,024",803,"1,991","1,211",878,"1,337","1,174","2,844",908,"1,364",753,"1,745"
2020년03월_남_0~9세,"1,825",743,531,26,18,56,36,23,90,35,118,25,54,19,51
2020년03월_남_10~19세,"2,285",838,505,84,49,111,103,25,106,40,205,32,81,31,75
2020년03월_남_20~29세,"2,951",992,544,80,61,180,83,58,131,106,323,61,116,59,157
2020년03월_남_30~39세,"2,983","1,045",670,59,58,141,92,71,112,93,253,68,127,50,144
2020년03월_남_40~49세,"4,075","1,280","1,001",92,79,241,119,92,178,115,370,92,155,87,174
2020년03월_남_50~59세,"5,913","1,487","1,126",174,168,439,230,173,255,277,599,191,279,144,371
2020년03월_남_60~69세,"5,791","1,229","1,026",221,195,409,265,206,242,259,557,213,309,201,459
2020년03월_남_70~79세,"3,408",685,557,171,118,272,184,157,142,166,303,143,163,123,224
2020년03월_남_80~89세,"1,461",263,216,104,49,134,89,68,75,80,110,78,74,36,85
2020년03월_남_90~99세,107,20,10,13,8,8,9,5,6,3,6,5,6,3,5
2020년03월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"31,133","8,695","6,128","1,033",853,"1,886","1,340",927,"1,248","1,198","2,803",959,"1,430",768,"1,865"
2020년03월_여_연령구간인구수,"31,133","8,695","6,128","1,033",853,"1,886","1,340",927,"1,248","1,198","2,803",959,"1,430",768,"1,865"
2020년03월_여_0~9세,"1,695",700,493,35,13,59,35,17,60,34,116,17,48,18,50
2020년03월_여_10~19세,"1,966",772,422,47,17,61,150,35,76,36,157,22,86,23,62
2020년03월_여_20~29세,"2,179",810,427,50,41,95,59,38,78,74,207,34,108,41,117
