카테고리,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년01월_계_총인구수,"81,840","4,782","4,027","6,370","9,954","21,720","27,356","4,427","3,204"
2020년01월_계_연령구간인구수,"81,840","4,782","4,027","6,370","9,954","21,720","27,356","4,427","3,204"
2020년01월_계_0~9세,"5,958",198,269,240,617,"1,462","2,854",235,83
2020년01월_계_10~19세,"7,736",313,279,487,956,"2,426","2,895",242,138
2020년01월_계_20~29세,"8,922",453,359,667,"1,101","2,469","3,220",385,268
2020년01월_계_30~39세,"9,292",451,427,460,"1,030","2,321","3,868",493,242
2020년01월_계_40~49세,"12,649",604,534,853,"1,491","3,635","4,653",514,365
2020년01월_계_50~59세,"15,206",978,812,"1,348","1,860","4,017","4,603",900,688
2020년01월_계_60~69세,"11,771",970,665,"1,153","1,601","2,938","2,922",801,721
2020년01월_계_70~79세,"6,693",534,460,730,845,"1,573","1,588",504,459
2020년01월_계_80~89세,"3,002",236,186,342,372,728,648,288,202
2020년01월_계_90~99세,578,43,33,86,77,144,100,60,35
2020년01월_계_100세 이상,33,2,3,4,4,7,5,5,3
2020년01월_남_총인구수,"40,470","2,496","2,019","3,091","4,868","10,747","13,378","2,221","1,650"
2020년01월_남_연령구간인구수,"40,470","2,496","2,019","3,091","4,868","10,747","13,378","2,221","1,650"
2020년01월_남_0~9세,"3,006",100,142,127,309,728,"1,435",123,42
2020년01월_남_10~19세,"4,011",171,146,247,505,"1,245","1,481",135,81
2020년01월_남_20~29세,"5,021",277,186,395,620,"1,377","1,804",207,155
2020년01월_남_30~39세,"4,923",268,226,260,564,"1,227","1,951",281,146
2020년01월_남_40~49세,"6,280",334,300,431,727,"1,760","2,239",289,200
2020년01월_남_50~59세,"7,474",506,413,636,896,"1,986","2,186",479,372
2020년01월_남_60~69세,"5,712",500,323,559,764,"1,474","1,345",400,347
2020년01월_남_70~79세,"2,909",245,218,305,346,686,687,204,218
2020년01월_남_80~89세,989,86,57,115,116,228,221,87,79
2020년01월_남_90~99세,132,7,7,14,19,36,27,13,9
2020년01월_남_100세 이상,13,2,1,2,2,0,2,3,1
2020년01월_여_총인구수,"41,370","2,286","2,008","3,279","5,086","10,973","13,978","2,206","1,554"
2020년01월_여_연령구간인구수,"41,370","2,286","2,008","3,279","5,086","10,973","13,978","2,206","1,554"
2020년01월_여_0~9세,"2,952",98,127,113,308,734,"1,419",112,41
2020년01월_여_10~19세,"3,725",142,133,240,451,"1,181","1,414",107,57
2020년01월_여_20~29세,"3,901",176,173,272,481,"1,092","1,416",178,113
2020년01월_여_30~39세,"4,369",183,201,200,466,"1,094","1,917",212,96
2020년01월_여_40~49세,"6,369",270,234,422,764,"1,875","2,414",225,165
2020년01월_여_50~59세,"7,732",472,399,712,964,"2,031","2,417",421,316
2020년01월_여_60~69세,"6,059",470,342,594,837,"1,464","1,577",401,374
2020년01월_여_70~79세,"3,784",289,242,425,499,887,901,300,241
2020년01월_여_80~89세,"2,013",150,129,227,256,500,427,201,123
2020년01월_여_90~99세,446,36,26,72,58,108,73,47,26
2020년01월_여_100세 이상,20,0,2,2,2,7,3,2,2
2020년02월_계_총인구수,"81,744","4,764","3,976","6,362","9,920","21,661","27,367","4,466","3,228"
2020년02월_계_연령구간인구수,"81,744","4,764","3,976","6,362","9,920","21,661","27,367","4,466","3,228"
2020년02월_계_0~9세,"5,946",200,265,240,610,"1,452","2,857",237,85
2020년02월_계_10~19세,"7,673",299,278,479,958,"2,405","2,858",253,143
2020년02월_계_20~29세,"8,897",448,355,674,"1,089","2,449","3,220",393,269
2020년02월_계_30~39세,"9,269",454,407,462,"1,018","2,306","3,876",506,240
2020년02월_계_40~49세,"12,612",595,526,839,"1,481","3,628","4,651",516,376
2020년02월_계_50~59세,"15,158",970,812,"1,345","1,855","3,997","4,608",886,685
2020년02월_계_60~69세,"11,848",979,663,"1,158","1,612","2,955","2,936",821,724
2020년02월_계_70~79세,"6,693",529,449,728,847,"1,583","1,595",500,462
2020년02월_계_80~89세,"3,035",243,184,349,370,738,661,284,206
2020년02월_계_90~99세,579,45,34,84,76,141,99,65,35
2020년02월_계_100세 이상,34,2,3,4,4,7,6,5,3
2020년02월_남_총인구수,"40,412","2,482","1,998","3,088","4,850","10,697","13,398","2,242","1,657"
2020년02월_남_연령구간인구수,"40,412","2,482","1,998","3,088","4,850","10,697","13,398","2,242","1,657"
2020년02월_남_0~9세,"3,005",100,141,128,306,720,"1,443",126,41
2020년02월_남_10~19세,"3,989",166,145,244,505,"1,233","1,467",144,85
2020년02월_남_20~29세,"4,999",272,185,396,611,"1,367","1,798",215,155
2020년02월_남_30~39세,"4,921",267,213,263,561,"1,222","1,965",286,144
2020년02월_남_40~49세,"6,262",330,297,422,720,"1,753","2,249",285,206
2020년02월_남_50~59세,"7,447",504,416,639,895,"1,968","2,185",470,370
2020년02월_남_60~69세,"5,742",502,323,557,768,"1,483","1,352",409,348
2020년02월_남_70~79세,"2,901",245,211,304,347,686,685,205,218
2020년02월_남_80~89세,"1,003",87,58,120,117,231,226,84,80
2020년02월_남_90~99세,129,7,8,13,18,34,25,15,9
2020년02월_남_100세 이상,14,2,1,2,2,0,3,3,1
2020년02월_여_총인구수,"41,332","2,282","1,978","3,274","5,070","10,964","13,969","2,224","1,571"
2020년02월_여_연령구간인구수,"41,332","2,282","1,978","3,274","5,070","10,964","13,969","2,224","1,571"
2020년02월_여_0~9세,"2,941",100,124,112,304,732,"1,414",111,44
2020년02월_여_10~19세,"3,684",133,133,235,453,"1,172","1,391",109,58
2020년02월_여_20~29세,"3,898",176,170,278,478,"1,082","1,422",178,114
2020년02월_여_30~39세,"4,348",187,194,199,457,"1,084","1,911",220,96
2020년02월_여_40~49세,"6,350",265,229,417,761,"1,875","2,402",231,170
2020년02월_여_50~59세,"7,711",466,396,706,960,"2,029","2,423",416,315
2020년02월_여_60~69세,"6,106",477,340,601,844,"1,472","1,584",412,376
2020년02월_여_70~79세,"3,792",284,238,424,500,897,910,295,244
2020년02월_여_80~89세,"2,032",156,126,229,253,507,435,200,126
2020년02월_여_90~99세,450,38,26,71,58,107,74,50,26
2020년02월_여_100세 이상,20,0,2,2,2,7,3,2,2
2020년03월_계_총인구수,"81,689","4,703","3,923","6,355","9,895","21,748","27,353","4,502","3,210"
2020년03월_계_연령구간인구수,"81,689","4,703","3,923","6,355","9,895","21,748","27,353","4,502","3,210"
2020년03월_계_0~9세,"5,944",195,268,242,608,"1,463","2,837",248,83
2020년03월_계_10~19세,"7,625",294,268,470,944,"2,403","2,843",262,141
2020년03월_계_20~29세,"8,849",433,347,665,"1,092","2,455","3,197",398,262
2020년03월_계_30~39세,"9,268",451,404,467,"1,017","2,312","3,862",515,240
2020년03월_계_40~49세,"12,553",576,521,838,"1,459","3,630","4,643",520,366
2020년03월_계_50~59세,"15,127",949,797,"1,332","1,860","4,026","4,598",886,679
2020년03월_계_60~69세,"11,959",989,660,"1,169","1,618","2,972","2,994",827,730
2020년03월_계_70~79세,"6,705",531,436,734,851,"1,596","1,598",497,462
2020년03월_계_80~89세,"3,039",237,185,352,363,743,670,281,208
2020년03월_계_90~99세,586,46,34,82,79,141,105,63,36
2020년03월_계_100세 이상,34,2,3,4,4,7,6,5,3
2020년03월_남_총인구수,"40,398","2,440","1,965","3,091","4,848","10,762","13,372","2,271","1,649"
2020년03월_남_연령구간인구수,"40,398","2,440","1,965","3,091","4,848","10,762","13,372","2,271","1,649"
2020년03월_남_0~9세,"3,010",95,142,132,309,728,"1,425",137,42
2020년03월_남_10~19세,"3,957",163,139,238,496,"1,229","1,462",148,82
2020년03월_남_20~29세,"4,979",261,182,390,612,"1,379","1,783",219,153
2020년03월_남_30~39세,"4,921",261,208,270,566,"1,230","1,953",288,145
2020년03월_남_40~49세,"6,249",322,293,423,713,"1,758","2,252",289,199
2020년03월_남_50~59세,"7,427",490,407,630,898,"1,991","2,172",472,367
2020년03월_남_60~69세,"5,791",506,324,564,770,"1,485","1,380",411,351
2020년03월_남_70~79세,"2,911",247,204,310,347,695,685,205,218
