카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년03월_계_총인구수,"94,231","6,950","11,549","5,189","3,136","27,873","25,896","8,615","5,023"
2020년03월_계_연령구간인구수,"94,231","6,950","11,549","5,189","3,136","27,873","25,896","8,615","5,023"
2020년03월_계_0~9세,"6,727",485,798,156,169,"2,133","2,427",388,171
2020년03월_계_10~19세,"8,849",573,"1,221",234,201,"2,800","3,045",500,275
2020년03월_계_20~29세,"11,119",773,"1,277",507,353,"3,517","3,284",908,500
2020년03월_계_30~39세,"10,439",793,"1,148",458,301,"3,156","3,313",794,476
2020년03월_계_40~49세,"14,686",986,"1,891",605,403,"4,348","4,687","1,119",647
2020년03월_계_50~59세,"16,378","1,261","1,953","1,093",589,"4,904","3,947","1,627","1,004"
2020년03월_계_60~69세,"12,559","1,037","1,477","1,052",519,"3,530","2,434","1,566",944
2020년03월_계_70~79세,"8,693",654,"1,153",657,404,"2,290","1,799","1,091",645
2020년03월_계_80~89세,"4,127",344,566,333,173,"1,055",831,526,299
2020년03월_계_90~99세,573,41,57,72,22,127,125,75,54
2020년03월_계_100세 이상,81,3,8,22,2,13,4,21,8
2020년03월_남_총인구수,"47,048","3,440","5,708","2,688","1,477","13,807","12,778","4,487","2,663"
2020년03월_남_연령구간인구수,"47,048","3,440","5,708","2,688","1,477","13,807","12,778","4,487","2,663"
2020년03월_남_0~9세,"3,496",257,436,93,84,"1,080","1,257",195,94
2020년03월_남_10~19세,"4,466",270,620,121,87,"1,404","1,541",276,147
2020년03월_남_20~29세,"6,038",421,712,272,209,"1,907","1,704",520,293
2020년03월_남_30~39세,"5,385",408,572,277,150,"1,596","1,679",428,275
2020년03월_남_40~49세,"7,523",505,972,349,209,"2,152","2,315",644,377
2020년03월_남_50~59세,"8,682",656,"1,019",624,293,"2,551","2,076",893,570
2020년03월_남_60~69세,"6,130",512,679,540,249,"1,745","1,118",793,494
2020년03월_남_70~79세,"3,614",267,450,276,144,944,733,506,294
2020년03월_남_80~89세,"1,532",130,232,102,47,393,321,205,102
2020년03월_남_90~99세,164,14,14,29,5,32,33,23,14
2020년03월_남_100세 이상,18,0,2,5,0,3,1,4,3
2020년03월_여_총인구수,"47,183","3,510","5,841","2,501","1,659","14,066","13,118","4,128","2,360"
2020년03월_여_연령구간인구수,"47,183","3,510","5,841","2,501","1,659","14,066","13,118","4,128","2,360"
2020년03월_여_0~9세,"3,231",228,362,63,85,"1,053","1,170",193,77
2020년03월_여_10~19세,"4,383",303,601,113,114,"1,396","1,504",224,128
2020년03월_여_20~29세,"5,081",352,565,235,144,"1,610","1,580",388,207
2020년03월_여_30~39세,"5,054",385,576,181,151,"1,560","1,634",366,201
2020년03월_여_40~49세,"7,163",481,919,256,194,"2,196","2,372",475,270
2020년03월_여_50~59세,"7,696",605,934,469,296,"2,353","1,871",734,434
2020년03월_여_60~69세,"6,429",525,798,512,270,"1,785","1,316",773,450
2020년03월_여_70~79세,"5,079",387,703,381,260,"1,346","1,066",585,351
2020년03월_여_80~89세,"2,595",214,334,231,126,662,510,321,197
2020년03월_여_90~99세,409,27,43,43,17,95,92,52,40
2020년03월_여_100세 이상,63,3,6,17,2,10,3,17,5
2020년04월_계_총인구수,"94,191","6,933","11,505","5,178","3,136","27,900","25,881","8,619","5,039"
2020년04월_계_연령구간인구수,"94,191","6,933","11,505","5,178","3,136","27,900","25,881","8,619","5,039"
2020년04월_계_0~9세,"6,663",487,784,154,171,"2,112","2,396",386,173
2020년04월_계_10~19세,"8,841",573,"1,211",234,200,"2,804","3,054",496,269
2020년04월_계_20~29세,"11,164",768,"1,285",505,355,"3,525","3,306",914,506
2020년04월_계_30~39세,"10,402",791,"1,138",452,303,"3,175","3,273",795,475
2020년04월_계_40~49세,"14,615",973,"1,880",607,396,"4,327","4,679","1,109",644
2020년04월_계_50~59세,"16,379","1,253","1,946","1,087",596,"4,903","3,955","1,629","1,010"
2020년04월_계_60~69세,"12,617","1,044","1,483","1,054",513,"3,561","2,441","1,576",945
2020년04월_계_70~79세,"8,697",656,"1,146",654,404,"2,284","1,807","1,094",652
2020년04월_계_80~89세,"4,155",343,565,336,176,"1,067",841,523,304
2020년04월_계_90~99세,577,42,59,73,20,129,125,76,53
2020년04월_계_100세 이상,81,3,8,22,2,13,4,21,8
2020년04월_남_총인구수,"47,015","3,429","5,685","2,687","1,475","13,817","12,766","4,489","2,667"
2020년04월_남_연령구간인구수,"47,015","3,429","5,685","2,687","1,475","13,817","12,766","4,489","2,667"
2020년04월_남_0~9세,"3,464",258,435,92,83,"1,064","1,240",196,96
2020년04월_남_10~19세,"4,456",270,613,120,87,"1,408","1,541",276,141
2020년04월_남_20~29세,"6,059",424,717,267,206,"1,915","1,712",520,298
2020년04월_남_30~39세,"5,369",403,564,272,152,"1,614","1,658",431,275
