카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년03월_계_총인구수,"239,635","17,192","14,977","13,753","14,154","4,798","16,072","5,538","6,909","10,019","10,560","13,880","26,822","6,754","13,952","23,057","13,064","28,134"
2020년03월_계_연령구간인구수,"239,635","17,192","14,977","13,753","14,154","4,798","16,072","5,538","6,909","10,019","10,560","13,880","26,822","6,754","13,952","23,057","13,064","28,134"
2020년03월_계_0~9세,"16,309",970,"1,615",820,"1,030",188,788,197,325,575,668,"1,313","2,112",359,926,"2,078",682,"1,663"
2020년03월_계_10~19세,"22,902","1,129","2,467","1,328","1,115",306,"1,205",271,491,795,819,"1,703","3,264",379,"1,035","2,979","1,171","2,445"
2020년03월_계_20~29세,"31,448","2,960","1,658","1,693","2,380",504,"1,881",977,813,"1,813","1,502","1,537","3,158",884,"1,797","2,841","1,636","3,414"
2020년03월_계_30~39세,"27,484","2,540","1,674","1,484","2,018",481,"1,688",600,675,"1,304","1,329","1,703","2,616",905,"1,647","2,609","1,341","2,870"
2020년03월_계_40~49세,"38,000","2,745","3,295","2,189","2,145",628,"2,149",660,969,"1,506","1,534","2,521","4,558",984,"1,954","4,068","1,963","4,132"
2020년03월_계_50~59세,"40,307","2,856","2,069","2,451","2,077",860,"2,967",967,"1,306","1,528","1,710","2,195","4,478","1,236","2,292","3,495","2,452","5,368"
2020년03월_계_60~69세,"32,707","2,231","1,174","1,994","1,788",846,"2,814",857,"1,154","1,177","1,418","1,502","3,399","1,104","2,210","2,472","1,926","4,641"
2020년03월_계_70~79세,"20,223","1,176",686,"1,169","1,057",646,"1,824",654,763,856,952,959,"2,109",626,"1,403","1,678","1,211","2,454"
2020년03월_계_80~89세,"8,927",493,295,542,455,297,665,311,346,403,546,400,992,243,592,734,615,998
2020년03월_계_90~99세,"1,251",87,39,79,84,39,85,38,63,54,81,47,127,32,89,99,64,144
2020년03월_계_100세 이상,77,5,5,4,5,3,6,6,4,8,1,0,9,2,7,4,3,5
2020년03월_남_총인구수,"118,361","8,898","7,191","6,657","6,958","2,495","8,114","2,727","3,453","4,815","4,982","6,747","12,946","3,571","6,866","11,173","6,394","14,374"
2020년03월_남_연령구간인구수,"118,361","8,898","7,191","6,657","6,958","2,495","8,114","2,727","3,453","4,815","4,982","6,747","12,946","3,571","6,866","11,173","6,394","14,374"
2020년03월_남_0~9세,"8,346",471,814,408,549,102,411,113,176,280,331,704,"1,081",192,477,"1,069",344,824
2020년03월_남_10~19세,"11,806",578,"1,210",701,601,170,604,147,259,354,411,838,"1,683",227,546,"1,547",634,"1,296"
2020년03월_남_20~29세,"16,169","1,425",846,907,"1,074",281,"1,029",455,421,841,745,788,"1,671",497,921,"1,426",914,"1,928"
2020년03월_남_30~39세,"14,149","1,365",738,773,"1,019",279,980,340,366,688,663,815,"1,253",503,870,"1,226",726,"1,545"
2020년03월_남_40~49세,"19,277","1,554","1,548","1,087","1,155",367,"1,153",367,528,773,726,"1,204","2,146",568,"1,000","1,922",976,"2,203"
2020년03월_남_50~59세,"20,278","1,587","1,108","1,205","1,046",490,"1,471",483,661,788,818,"1,109","2,178",641,"1,098","1,726","1,176","2,693"
2020년03월_남_60~69세,"15,528","1,155",516,881,856,419,"1,356",400,546,565,653,716,"1,541",551,"1,022","1,166",902,"2,283"
2020년03월_남_70~79세,"9,113",554,282,494,463,277,851,280,343,364,414,416,976,286,663,761,501,"1,188"
2020년03월_남_80~89세,"3,386",183,120,181,173,102,244,129,137,146,207,150,382,99,245,304,208,376
2020년03월_남_90~99세,291,24,8,20,21,7,15,10,14,12,14,7,34,7,22,25,13,38
2020년03월_남_100세 이상,18,2,1,0,1,1,0,3,2,4,0,0,1,0,2,1,0,0
2020년03월_여_총인구수,"121,274","8,294","7,786","7,096","7,196","2,303","7,958","2,811","3,456","5,204","5,578","7,133","13,876","3,183","7,086","11,884","6,670","13,760"
2020년03월_여_연령구간인구수,"121,274","8,294","7,786","7,096","7,196","2,303","7,958","2,811","3,456","5,204","5,578","7,133","13,876","3,183","7,086","11,884","6,670","13,760"
2020년03월_여_0~9세,"7,963",499,801,412,481,86,377,84,149,295,337,609,"1,031",167,449,"1,009",338,839
