카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년01월_계_총인구수,"218,053","37,794","40,116","39,661","16,037","30,239","33,519","10,295","10,392"
2020년01월_계_연령구간인구수,"218,053","37,794","40,116","39,661","16,037","30,239","33,519","10,295","10,392"
2020년01월_계_0~9세,"26,152","4,834","5,684","4,183","2,679","2,818","4,280",810,864
2020년01월_계_10~19세,"23,814","3,980","4,587","6,421","1,187","2,501","3,518",806,814
2020년01월_계_20~29세,"28,321","4,475","4,655","5,003","1,289","4,849","4,847","1,809","1,394"
2020년01월_계_30~39세,"35,446","6,198","6,989","4,420","3,621","5,023","5,931","1,697","1,567"
2020년01월_계_40~49세,"38,084","6,602","7,274","8,749","2,462","4,571","5,405","1,468","1,553"
2020년01월_계_50~59세,"38,233","6,369","6,281","6,790","2,166","6,410","6,088","2,119","2,010"
2020년01월_계_60~69세,"17,679","3,342","2,922","2,338","1,573","2,750","2,245","1,066","1,443"
2020년01월_계_70~79세,"6,984","1,390","1,146","1,205",653,894,776,366,554
2020년01월_계_80~89세,"2,891",521,500,476,347,372,373,132,170
2020년01월_계_90~99세,432,79,77,75,55,50,55,21,20
2020년01월_계_100세 이상,17,4,1,1,5,1,1,1,3
2020년01월_남_총인구수,"112,773","19,298","20,546","20,132","8,237","16,077","17,105","5,843","5,535"
2020년01월_남_연령구간인구수,"112,773","19,298","20,546","20,132","8,237","16,077","17,105","5,843","5,535"
2020년01월_남_0~9세,"13,426","2,484","2,946","2,163","1,347","1,475","2,188",387,436
2020년01월_남_10~19세,"12,465","2,047","2,398","3,391",598,"1,315","1,839",440,437
2020년01월_남_20~29세,"15,853","2,479","2,542","2,722",694,"2,720","2,647","1,202",847
2020년01월_남_30~39세,"18,316","3,117","3,494","2,070","1,860","2,870","2,994","1,028",883
2020년01월_남_40~49세,"19,424","3,417","3,766","4,144","1,395","2,390","2,611",833,868
2020년01월_남_50~59세,"19,968","3,237","3,223","3,761","1,092","3,306","3,154","1,182","1,013"
2020년01월_남_60~69세,"9,260","1,744","1,500","1,210",838,"1,472","1,200",556,740
2020년01월_남_70~79세,"3,166",610,529,515,305,411,367,180,249
2020년01월_남_80~89세,829,148,142,141,98,110,99,33,58
2020년01월_남_90~99세,63,14,6,15,10,7,6,2,3
2020년01월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년01월_여_총인구수,"105,280","18,496","19,570","19,529","7,800","14,162","16,414","4,452","4,857"
2020년01월_여_연령구간인구수,"105,280","18,496","19,570","19,529","7,800","14,162","16,414","4,452","4,857"
2020년01월_여_0~9세,"12,726","2,350","2,738","2,020","1,332","1,343","2,092",423,428
2020년01월_여_10~19세,"11,349","1,933","2,189","3,030",589,"1,186","1,679",366,377
2020년01월_여_20~29세,"12,468","1,996","2,113","2,281",595,"2,129","2,200",607,547
2020년01월_여_30~39세,"17,130","3,081","3,495","2,350","1,761","2,153","2,937",669,684
2020년01월_여_40~49세,"18,660","3,185","3,508","4,605","1,067","2,181","2,794",635,685
2020년01월_여_50~59세,"18,265","3,132","3,058","3,029","1,074","3,104","2,934",937,997
2020년01월_여_60~69세,"8,419","1,598","1,422","1,128",735,"1,278","1,045",510,703
2020년01월_여_70~79세,"3,818",780,617,690,348,483,409,186,305
2020년01월_여_80~89세,"2,062",373,358,335,249,262,274,99,112
2020년01월_여_90~99세,369,65,71,60,45,43,49,19,17
2020년01월_여_100세 이상,14,3,1,1,5,0,1,1,2
2020년02월_계_총인구수,"218,190","37,772","40,068","39,511","16,130","30,143","33,950","10,241","10,375"
2020년02월_계_연령구간인구수,"218,190","37,772","40,068","39,511","16,130","30,143","33,950","10,241","10,375"
2020년02월_계_0~9세,"26,135","4,866","5,643","4,139","2,693","2,797","4,346",792,859
2020년02월_계_10~19세,"23,720","3,968","4,569","6,375","1,200","2,454","3,558",785,811
2020년02월_계_20~29세,"28,170","4,429","4,631","4,976","1,291","4,821","4,867","1,786","1,369"
2020년02월_계_30~39세,"35,371","6,161","6,939","4,379","3,610","4,996","6,041","1,676","1,569"
2020년02월_계_40~49세,"38,250","6,635","7,312","8,724","2,501","4,546","5,498","1,486","1,548"
2020년02월_계_50~59세,"38,312","6,346","6,306","6,798","2,176","6,410","6,147","2,116","2,013"
2020년02월_계_60~69세,"17,851","3,365","2,937","2,359","1,592","2,798","2,274","1,069","1,457"
2020년02월_계_70~79세,"7,031","1,401","1,143","1,210",658,902,789,372,556
2020년02월_계_80~89세,"2,899",517,506,480,344,369,376,137,170
2020년02월_계_90~99세,435,80,81,70,60,49,54,21,20
2020년02월_계_100세 이상,16,4,1,1,5,1,0,1,3
2020년02월_남_총인구수,"112,835","19,299","20,513","20,063","8,277","16,040","17,318","5,807","5,518"
2020년02월_남_연령구간인구수,"112,835","19,299","20,513","20,063","8,277","16,040","17,318","5,807","5,518"
2020년02월_남_0~9세,"13,421","2,505","2,924","2,144","1,356","1,468","2,215",380,429
2020년02월_남_10~19세,"12,431","2,042","2,400","3,368",602,"1,295","1,857",429,438
2020년02월_남_20~29세,"15,752","2,442","2,516","2,719",694,"2,717","2,657","1,183",824
2020년02월_남_30~39세,"18,280","3,100","3,477","2,056","1,850","2,846","3,052","1,011",888
2020년02월_남_40~49세,"19,500","3,440","3,786","4,113","1,412","2,378","2,655",850,866
2020년02월_남_50~59세,"20,020","3,235","3,225","3,778","1,098","3,303","3,190","1,179","1,012"
2020년02월_남_60~69세,"9,332","1,752","1,503","1,214",847,"1,498","1,212",557,749
2020년02월_남_70~79세,"3,196",619,527,518,309,418,375,182,248
2020년02월_남_80~89세,836,149,148,138,99,109,99,34,60
2020년02월_남_90~99세,64,14,7,15,10,7,6,2,3
2020년02월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년02월_여_총인구수,"105,355","18,473","19,555","19,448","7,853","14,103","16,632","4,434","4,857"
2020년02월_여_연령구간인구수,"105,355","18,473","19,555","19,448","7,853","14,103","16,632","4,434","4,857"
2020년02월_여_0~9세,"12,714","2,361","2,719","1,995","1,337","1,329","2,131",412,430
2020년02월_여_10~19세,"11,289","1,926","2,169","3,007",598,"1,159","1,701",356,373
2020년02월_여_20~29세,"12,418","1,987","2,115","2,257",597,"2,104","2,210",603,545
2020년02월_여_30~39세,"17,091","3,061","3,462","2,323","1,760","2,150","2,989",665,681
2020년02월_여_40~49세,"18,750","3,195","3,526","4,611","1,089","2,168","2,843",636,682
2020년02월_여_50~59세,"18,292","3,111","3,081","3,020","1,078","3,107","2,957",937,"1,001"
2020년02월_여_60~69세,"8,519","1,613","1,434","1,145",745,"1,300","1,062",512,708
2020년02월_여_70~79세,"3,835",782,616,692,349,484,414,190,308
2020년02월_여_80~89세,"2,063",368,358,342,245,260,277,103,110
2020년02월_여_90~99세,371,66,74,55,50,42,48,19,17
2020년02월_여_100세 이상,13,3,1,1,5,0,0,1,2
2020년03월_계_총인구수,"218,353","37,705","40,041","39,458","16,238","30,070","34,263","10,207","10,371"
2020년03월_계_연령구간인구수,"218,353","37,705","40,041","39,458","16,238","30,070","34,263","10,207","10,371"
2020년03월_계_0~9세,"26,077","4,862","5,615","4,103","2,717","2,770","4,376",781,853
2020년03월_계_10~19세,"23,675","3,954","4,566","6,350","1,203","2,439","3,574",774,815
2020년03월_계_20~29세,"28,150","4,414","4,619","4,960","1,300","4,813","4,910","1,769","1,365"
2020년03월_계_30~39세,"35,242","6,132","6,887","4,333","3,615","4,948","6,096","1,672","1,559"
2020년03월_계_40~49세,"38,301","6,624","7,321","8,713","2,536","4,530","5,549","1,476","1,552"
2020년03월_계_50~59세,"38,372","6,307","6,320","6,842","2,181","6,409","6,207","2,112","1,994"
2020년03월_계_60~69세,"18,074","3,392","2,972","2,375","1,614","2,832","2,318","1,089","1,482"
2020년03월_계_70~79세,"7,075","1,410","1,149","1,219",659,913,800,373,552
2020년03월_계_80~89세,"2,929",524,512,489,347,364,378,141,174
2020년03월_계_90~99세,442,82,79,73,61,51,55,19,22
2020년03월_계_100세 이상,16,4,1,1,5,1,0,1,3
2020년03월_남_총인구수,"112,967","19,289","20,487","20,053","8,332","16,009","17,491","5,789","5,517"
2020년03월_남_연령구간인구수,"112,967","19,289","20,487","20,053","8,332","16,009","17,491","5,789","5,517"
2020년03월_남_0~9세,"13,410","2,505","2,907","2,133","1,369","1,448","2,242",381,425
2020년03월_남_10~19세,"12,401","2,033","2,405","3,350",604,"1,291","1,856",420,442
2020년03월_남_20~29세,"15,762","2,437","2,507","2,727",701,"2,712","2,689","1,165",824
2020년03월_남_30~39세,"18,221","3,089","3,441","2,032","1,849","2,830","3,084","1,014",882
2020년03월_남_40~49세,"19,548","3,452","3,794","4,110","1,430","2,366","2,679",847,870
2020년03월_남_50~59세,"20,034","3,216","3,230","3,795","1,098","3,307","3,217","1,173",998
2020년03월_남_60~69세,"9,449","1,763","1,516","1,225",859,"1,515","1,239",567,765
2020년03월_남_70~79세,"3,229",629,527,528,312,425,381,186,241
2020년03월_남_80~89세,843,149,153,138,99,107,98,34,65
2020년03월_남_90~99세,67,15,7,15,11,7,6,2,4
2020년03월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년03월_여_총인구수,"105,386","18,416","19,554","19,405","7,906","14,061","16,772","4,418","4,854"
2020년03월_여_연령구간인구수,"105,386","18,416","19,554","19,405","7,906","14,061","16,772","4,418","4,854"
2020년03월_여_0~9세,"12,667","2,357","2,708","1,970","1,348","1,322","2,134",400,428
2020년03월_여_10~19세,"11,274","1,921","2,161","3,000",599,"1,148","1,718",354,373
2020년03월_여_20~29세,"12,388","1,977","2,112","2,233",599,"2,101","2,221",604,541
2020년03월_여_30~39세,"17,021","3,043","3,446","2,301","1,766","2,118","3,012",658,677
2020년03월_여_40~49세,"18,753","3,172","3,527","4,603","1,106","2,164","2,870",629,682
2020년03월_여_50~59세,"18,338","3,091","3,090","3,047","1,083","3,102","2,990",939,996
2020년03월_여_60~69세,"8,625","1,629","1,456","1,150",755,"1,317","1,079",522,717
2020년03월_여_70~79세,"3,846",781,622,691,347,488,419,187,311
2020년03월_여_80~89세,"2,086",375,359,351,248,257,280,107,109
2020년03월_여_90~99세,375,67,72,58,50,44,49,17,18
2020년03월_여_100세 이상,13,3,1,1,5,0,0,1,2
2020년04월_계_총인구수,"218,364","37,633","40,039","39,430","16,297","30,023","34,483","10,161","10,298"
2020년04월_계_연령구간인구수,"218,364","37,633","40,039","39,430","16,297","30,023","34,483","10,161","10,298"
2020년04월_계_0~9세,"26,012","4,850","5,596","4,049","2,718","2,782","4,405",774,838
2020년04월_계_10~19세,"23,659","3,938","4,564","6,374","1,223","2,405","3,574",775,806
2020년04월_계_20~29세,"28,065","4,382","4,594","4,953","1,288","4,793","4,949","1,754","1,352"
2020년04월_계_30~39세,"35,145","6,092","6,870","4,289","3,616","4,951","6,115","1,667","1,545"
2020년04월_계_40~49세,"38,367","6,627","7,345","8,703","2,580","4,496","5,606","1,473","1,537"
2020년04월_계_50~59세,"38,354","6,291","6,307","6,870","2,172","6,418","6,221","2,091","1,984"
2020년04월_계_60~69세,"18,257","3,416","3,016","2,403","1,634","2,851","2,363","1,088","1,486"
2020년04월_계_70~79세,"7,108","1,424","1,149","1,224",654,912,814,380,551
2020년04월_계_80~89세,"2,930",526,513,489,346,363,381,138,174
2020년04월_계_90~99세,450,83,84,75,61,51,55,20,21
2020년04월_계_100세 이상,17,4,1,1,5,1,0,1,4
