카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년01월_계_총인구수,"37,194","10,835","4,715","4,904","1,873","1,716","3,267","2,585","3,567","1,675","2,057"
2020년01월_계_연령구간인구수,"37,194","10,835","4,715","4,904","1,873","1,716","3,267","2,585","3,567","1,675","2,057"
2020년01월_계_0~9세,"1,870",690,255,320,77,50,160,104,116,40,58
2020년01월_계_10~19세,"2,690","1,058",244,414,125,119,191,174,167,97,101
2020년01월_계_20~29세,"2,921","1,023",357,424,132,121,230,173,208,116,137
2020년01월_계_30~39세,"3,365","1,002",739,547,111,109,328,156,192,74,107
2020년01월_계_40~49세,"5,069","1,696",720,766,228,194,422,314,340,173,216
2020년01월_계_50~59세,"7,265","1,969",790,936,398,343,683,531,791,401,423
2020년01월_계_60~69세,"7,001","1,681",848,842,379,343,703,528,801,384,492
2020년01월_계_70~79세,"4,555","1,110",539,472,280,278,375,353,571,243,334
2020년01월_계_80~89세,"2,077",499,186,164,128,123,147,207,332,128,163
2020년01월_계_90~99세,336,94,28,14,15,26,27,43,46,18,25
2020년01월_계_100세 이상,45,13,9,5,0,10,1,2,3,1,1
2020년01월_남_총인구수,"19,320","5,502","2,477","2,593",958,852,"1,747","1,303","1,897",905,"1,086"
2020년01월_남_연령구간인구수,"19,320","5,502","2,477","2,593",958,852,"1,747","1,303","1,897",905,"1,086"
2020년01월_남_0~9세,972,361,118,172,33,23,90,51,58,27,39
2020년01월_남_10~19세,"1,394",553,120,229,59,62,94,83,94,48,52
2020년01월_남_20~29세,"1,661",580,188,236,78,67,140,108,118,73,73
2020년01월_남_30~39세,"1,897",521,423,296,64,64,209,88,119,45,68
2020년01월_남_40~49세,"2,950",899,453,426,145,120,257,177,223,112,138
2020년01월_남_50~59세,"3,933","1,046",438,514,215,192,344,284,436,239,225
2020년01월_남_60~69세,"3,657",868,398,433,207,166,380,279,445,208,273
2020년01월_남_70~79세,"2,057",487,256,219,107,114,181,155,267,112,159
2020년01월_남_80~89세,701,166,69,63,46,30,46,64,126,39,52
2020년01월_남_90~99세,78,17,11,1,4,8,5,12,11,2,7
2020년01월_남_100세 이상,20,4,3,4,0,6,1,2,0,0,0
2020년01월_여_총인구수,"17,874","5,333","2,238","2,311",915,864,"1,520","1,282","1,670",770,971
2020년01월_여_연령구간인구수,"17,874","5,333","2,238","2,311",915,864,"1,520","1,282","1,670",770,971
2020년01월_여_0~9세,898,329,137,148,44,27,70,53,58,13,19
2020년01월_여_10~19세,"1,296",505,124,185,66,57,97,91,73,49,49
2020년01월_여_20~29세,"1,260",443,169,188,54,54,90,65,90,43,64
2020년01월_여_30~39세,"1,468",481,316,251,47,45,119,68,73,29,39
2020년01월_여_40~49세,"2,119",797,267,340,83,74,165,137,117,61,78
2020년01월_여_50~59세,"3,332",923,352,422,183,151,339,247,355,162,198
2020년01월_여_60~69세,"3,344",813,450,409,172,177,323,249,356,176,219
2020년01월_여_70~79세,"2,498",623,283,253,173,164,194,198,304,131,175
2020년01월_여_80~89세,"1,376",333,117,101,82,93,101,143,206,89,111
2020년01월_여_90~99세,258,77,17,13,11,18,22,31,35,16,18
2020년01월_여_100세 이상,25,9,6,1,0,4,0,0,3,1,1
2020년02월_계_총인구수,"37,062","10,790","4,692","4,898","1,871","1,701","3,252","2,586","3,549","1,677","2,046"
2020년02월_계_연령구간인구수,"37,062","10,790","4,692","4,898","1,871","1,701","3,252","2,586","3,549","1,677","2,046"
2020년02월_계_0~9세,"1,837",689,248,318,79,48,153,102,109,37,54
2020년02월_계_10~19세,"2,664","1,039",242,413,124,117,190,181,166,94,98
2020년02월_계_20~29세,"2,868","1,002",349,422,130,117,225,169,202,118,134
2020년02월_계_30~39세,"3,335",994,733,541,111,108,322,154,189,75,108
2020년02월_계_40~49세,"5,043","1,690",711,767,222,193,426,315,337,173,209
2020년02월_계_50~59세,"7,226","1,963",788,932,398,340,668,531,782,400,424
2020년02월_계_60~69세,"7,054","1,693",850,847,385,342,719,527,809,387,495
2020년02월_계_70~79세,"4,546","1,104",543,474,279,275,374,352,570,246,329
2020년02월_계_80~89세,"2,104",509,190,164,129,124,147,209,337,128,167
2020년02월_계_90~99세,340,94,29,15,14,27,27,44,45,18,27
2020년02월_계_100세 이상,45,13,9,5,0,10,1,2,3,1,1
2020년02월_남_총인구수,"19,238","5,469","2,458","2,595",962,846,"1,739","1,304","1,885",900,"1,080"
2020년02월_남_연령구간인구수,"19,238","5,469","2,458","2,595",962,846,"1,739","1,304","1,885",900,"1,080"
2020년02월_남_0~9세,955,360,115,170,36,23,84,52,54,25,36
2020년02월_남_10~19세,"1,376",538,115,228,61,60,96,87,93,47,51
2020년02월_남_20~29세,"1,629",573,185,234,73,66,137,104,112,72,73
2020년02월_남_30~39세,"1,889",519,418,295,66,64,208,85,117,48,69
2020년02월_남_40~49세,"2,917",885,440,431,142,119,258,178,220,110,134
2020년02월_남_50~59세,"3,925","1,048",444,511,215,192,339,286,434,235,221
2020년02월_남_60~69세,"3,686",874,401,438,211,165,388,275,448,209,277
2020년02월_남_70~79세,"2,049",482,254,220,108,111,180,157,268,113,156
2020년02월_남_80~89세,714,170,72,62,46,32,43,66,128,39,56
2020년02월_남_90~99세,78,16,11,2,4,8,5,12,11,2,7
2020년02월_남_100세 이상,20,4,3,4,0,6,1,2,0,0,0
2020년02월_여_총인구수,"17,824","5,321","2,234","2,303",909,855,"1,513","1,282","1,664",777,966
2020년02월_여_연령구간인구수,"17,824","5,321","2,234","2,303",909,855,"1,513","1,282","1,664",777,966
2020년02월_여_0~9세,882,329,133,148,43,25,69,50,55,12,18
2020년02월_여_10~19세,"1,288",501,127,185,63,57,94,94,73,47,47
2020년02월_여_20~29세,"1,239",429,164,188,57,51,88,65,90,46,61
2020년02월_여_30~39세,"1,446",475,315,246,45,44,114,69,72,27,39
2020년02월_여_40~49세,"2,126",805,271,336,80,74,168,137,117,63,75
2020년02월_여_50~59세,"3,301",915,344,421,183,148,329,245,348,165,203
2020년02월_여_60~69세,"3,368",819,449,409,174,177,331,252,361,178,218
2020년02월_여_70~79세,"2,497",622,289,254,171,164,194,195,302,133,173
2020년02월_여_80~89세,"1,390",339,118,102,83,92,104,143,209,89,111
2020년02월_여_90~99세,262,78,18,13,10,19,22,32,34,16,20
2020년02월_여_100세 이상,25,9,6,1,0,4,0,0,3,1,1
2020년03월_계_총인구수,"37,044","10,761","4,708","4,871","1,870","1,689","3,285","2,597","3,541","1,682","2,040"
2020년03월_계_연령구간인구수,"37,044","10,761","4,708","4,871","1,870","1,689","3,285","2,597","3,541","1,682","2,040"
2020년03월_계_0~9세,"1,824",674,251,312,78,48,158,103,110,38,52
2020년03월_계_10~19세,"2,648","1,020",246,400,123,113,195,194,162,95,100
2020년03월_계_20~29세,"2,872","1,016",347,420,127,116,230,168,199,120,129
2020년03월_계_30~39세,"3,319",988,734,533,110,107,324,152,188,73,110
2020년03월_계_40~49세,"5,019","1,668",716,757,219,184,434,322,338,176,205
2020년03월_계_50~59세,"7,196","1,968",788,926,400,340,662,522,775,393,422
2020년03월_계_60~69세,"7,133","1,698",856,865,390,348,732,532,819,395,498
2020년03월_계_70~79세,"4,539","1,111",545,474,280,274,371,348,564,245,327
2020년03월_계_80~89세,"2,110",506,188,164,130,123,150,212,337,128,172
2020년03월_계_90~99세,340,99,28,15,13,26,28,43,46,18,24
2020년03월_계_100세 이상,44,13,9,5,0,10,1,1,3,1,1
2020년03월_남_총인구수,"19,234","5,465","2,472","2,576",967,835,"1,753","1,306","1,876",903,"1,081"
2020년03월_남_연령구간인구수,"19,234","5,465","2,472","2,576",967,835,"1,753","1,306","1,876",903,"1,081"
2020년03월_남_0~9세,944,351,117,165,36,22,85,52,55,25,36
