카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년02월_계_90~99세,813,133,85,31,96,31,83,64,101,91,98
2020년02월_계_100세 이상,18,1,1,0,3,1,4,1,2,3,2
2020년02월_남_총인구수,"20,911","6,525","1,822",793,"1,889","1,235","1,717","1,255","1,639","1,383","2,653"
2020년02월_남_연령구간인구수,"20,911","6,525","1,822",793,"1,889","1,235","1,717","1,255","1,639","1,383","2,653"
2020년02월_남_0~9세,888,477,40,21,76,47,53,27,42,29,76
2020년02월_남_10~19세,"1,702",828,108,57,116,99,117,57,103,63,154
2020년02월_남_20~29세,"1,973",875,156,63,116,130,124,96,121,106,186
2020년02월_남_30~39세,"1,392",589,94,41,122,82,91,68,91,68,146
2020년02월_남_40~49세,"2,599",958,205,80,224,150,205,135,196,131,315
2020년02월_남_50~59세,"3,981","1,125",381,178,360,273,324,248,304,264,524
2020년02월_남_60~69세,"3,877",878,354,148,407,243,336,256,322,328,605
2020년02월_남_70~79세,"2,943",556,307,121,309,154,310,226,287,243,430
2020년02월_남_80~89세,"1,411",220,155,79,144,53,136,133,151,137,203
2020년02월_남_90~99세,144,19,22,5,14,4,21,9,22,14,14
2020년02월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년02월_여_총인구수,"22,568","6,768","1,994",859,"2,036","1,169","1,953","1,404","1,877","1,529","2,979"
2020년02월_여_연령구간인구수,"22,568","6,768","1,994",859,"2,036","1,169","1,953","1,404","1,877","1,529","2,979"
2020년02월_여_0~9세,767,435,42,16,50,49,27,24,39,25,60
2020년02월_여_10~19세,"1,459",709,87,55,79,87,133,33,71,61,144
2020년02월_여_20~29세,"1,329",598,103,35,92,64,87,49,102,61,138
2020년02월_여_30~39세,"1,239",601,83,36,101,60,72,43,75,53,115
2020년02월_여_40~49세,"2,200","1,024",154,67,177,117,149,89,132,95,196
2020년02월_여_50~59세,"3,545","1,110",298,138,300,231,269,183,284,230,502
2020년02월_여_60~69세,"4,087",974,393,160,414,245,377,274,339,311,600
2020년02월_여_70~79세,"3,899",707,407,159,393,163,396,312,385,315,662
2020년02월_여_80~89세,"3,357",495,363,167,346,125,377,341,369,298,476
2020년02월_여_90~99세,669,114,63,26,82,27,62,55,79,77,84
2020년02월_여_100세 이상,17,1,1,0,2,1,4,1,2,3,2
2020년03월_계_총인구수,"43,351","13,251","3,802","1,638","3,941","2,400","3,641","2,651","3,496","2,906","5,625"
2020년03월_계_연령구간인구수,"43,351","13,251","3,802","1,638","3,941","2,400","3,641","2,651","3,496","2,906","5,625"
2020년03월_계_0~9세,"1,656",911,79,37,127,96,81,53,80,55,137
2020년03월_계_10~19세,"3,107","1,505",194,108,194,184,238,91,171,121,301
2020년03월_계_20~29세,"3,281","1,482",252,94,209,190,205,136,224,166,323
2020년03월_계_30~39세,"2,620","1,190",174,75,217,145,165,111,160,121,262
2020년03월_계_40~49세,"4,752","1,968",357,143,405,265,342,221,323,225,503
2020년03월_계_50~59세,"7,485","2,227",670,316,668,505,589,430,581,492,"1,007"
2020년03월_계_60~69세,"7,994","1,859",745,308,823,488,708,536,663,643,"1,221"
2020년03월_계_70~79세,"6,816","1,250",717,280,703,317,705,529,667,554,"1,094"
2020년03월_계_80~89세,"4,800",725,527,247,495,177,520,475,524,434,676
2020년03월_계_90~99세,822,133,86,30,97,32,84,68,101,92,99
2020년03월_계_100세 이상,18,1,1,0,3,1,4,1,2,3,2
2020년03월_남_총인구수,"20,851","6,488","1,813",793,"1,897","1,231","1,702","1,258","1,632","1,377","2,660"
2020년03월_남_연령구간인구수,"20,851","6,488","1,813",793,"1,897","1,231","1,702","1,258","1,632","1,377","2,660"
2020년03월_남_0~9세,893,475,38,23,78,46,54,28,44,29,78
2020년03월_남_10~19세,"1,671",805,110,55,114,100,112,57,102,60,156
2020년03월_남_20~29세,"1,964",876,153,62,117,127,119,94,121,105,190
2020년03월_남_30~39세,"1,381",587,94,41,117,82,89,69,89,67,146
2020년03월_남_40~49세,"2,581",953,201,80,227,148,199,135,194,133,311
2020년03월_남_50~59세,"3,960","1,119",374,178,367,273,321,248,301,262,517
2020년03월_남_60~69세,"3,898",880,354,148,406,244,339,261,322,328,616
2020년03월_남_70~79세,"2,933",549,309,121,310,153,308,223,286,242,432
2020년03월_남_80~89세,"1,423",226,157,80,145,54,140,134,151,136,200
2020년03월_남_90~99세,146,18,23,5,15,4,21,9,22,15,14
2020년03월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년03월_여_총인구수,"22,500","6,763","1,989",845,"2,044","1,169","1,939","1,393","1,864","1,529","2,965"
2020년03월_여_연령구간인구수,"22,500","6,763","1,989",845,"2,044","1,169","1,939","1,393","1,864","1,529","2,965"
2020년03월_여_0~9세,763,436,41,14,49,50,27,25,36,26,59
2020년03월_여_10~19세,"1,436",700,84,53,80,84,126,34,69,61,145
2020년03월_여_20~29세,"1,317",606,99,32,92,63,86,42,103,61,133
2020년03월_여_30~39세,"1,239",603,80,34,100,63,76,42,71,54,116
2020년03월_여_40~49세,"2,171","1,015",156,63,178,117,143,86,129,92,192
2020년03월_여_50~59세,"3,525","1,108",296,138,301,232,268,182,280,230,490
2020년03월_여_60~69세,"4,096",979,391,160,417,244,369,275,341,315,605
2020년03월_여_70~79세,"3,883",701,408,159,393,164,397,306,381,312,662
2020년03월_여_80~89세,"3,377",499,370,167,350,123,380,341,373,298,476
2020년03월_여_90~99세,676,115,63,25,82,28,63,59,79,77,85
2020년03월_여_100세 이상,17,1,1,0,2,1,4,1,2,3,2
2020년04월_계_총인구수,"43,223","13,204","3,796","1,632","3,928","2,391","3,619","2,665","3,474","2,900","5,614"
2020년04월_계_연령구간인구수,"43,223","13,204","3,796","1,632","3,928","2,391","3,619","2,665","3,474","2,900","5,614"
2020년04월_계_0~9세,"1,639",904,79,37,125,95,80,54,78,52,135
2020년04월_계_10~19세,"3,062","1,484",196,105,188,182,226,92,167,125,297
2020년04월_계_20~29세,"3,271","1,480",249,94,213,189,202,134,220,167,323
2020년04월_계_30~39세,"2,580","1,176",172,76,214,144,162,112,157,117,250
2020년04월_계_40~49세,"4,722","1,960",354,139,396,266,338,229,317,222,501
2020년04월_계_50~59세,"7,469","2,228",668,317,669,502,591,428,575,484,"1,007"
2020년04월_계_60~69세,"8,010","1,863",752,306,825,484,705,540,664,651,"1,220"
2020년04월_계_70~79세,"6,799","1,245",709,285,697,320,700,529,665,553,"1,096"
2020년04월_계_80~89세,"4,822",729,532,242,499,175,528,476,527,431,683
2020년04월_계_90~99세,832,134,84,31,99,33,83,70,102,95,101
2020년04월_계_100세 이상,17,1,1,0,3,1,4,1,2,3,1
2020년04월_남_총인구수,"20,795","6,470","1,808",795,"1,892","1,227","1,691","1,267","1,621","1,372","2,652"
2020년04월_남_연령구간인구수,"20,795","6,470","1,808",795,"1,892","1,227","1,691","1,267","1,621","1,372","2,652"
2020년04월_남_0~9세,884,471,38,23,76,45,52,29,43,29,78
2020년04월_남_10~19세,"1,643",791,112,54,108,98,106,58,100,61,155
2020년04월_남_20~29세,"1,967",881,149,62,121,127,118,93,117,106,193
2020년04월_남_30~39세,"1,360",586,93,42,115,81,88,67,87,63,138
2020년04월_남_40~49세,"2,559",944,200,80,223,148,197,140,192,129,306
2020년04월_남_50~59세,"3,953","1,119",372,178,371,272,320,247,297,258,519
2020년04월_남_60~69세,"3,908",887,357,149,408,241,336,263,322,332,613
2020년04월_남_70~79세,"2,938",543,307,123,309,156,310,227,288,242,433
2020년04월_남_80~89세,"1,434",230,159,78,145,54,144,134,152,137,201
2020년04월_남_90~99세,148,18,21,6,15,5,20,9,23,15,16
2020년04월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년04월_여_총인구수,"22,428","6,734","1,988",837,"2,036","1,164","1,928","1,398","1,853","1,528","2,962"
2020년04월_여_연령구간인구수,"22,428","6,734","1,988",837,"2,036","1,164","1,928","1,398","1,853","1,528","2,962"
2020년04월_여_0~9세,755,433,41,14,49,50,28,25,35,23,57
2020년04월_여_10~19세,"1,419",693,84,51,80,84,120,34,67,64,142
2020년04월_여_20~29세,"1,304",599,100,32,92,62,84,41,103,61,130
2020년04월_여_30~39세,"1,220",590,79,34,99,63,74,45,70,54,112
2020년04월_여_40~49세,"2,163","1,016",154,59,173,118,141,89,125,93,195
2020년04월_여_50~59세,"3,516","1,109",296,139,298,230,271,181,278,226,488
2020년04월_여_60~69세,"4,102",976,395,157,417,243,369,277,342,319,607
2020년04월_여_70~79세,"3,861",702,402,162,388,164,390,302,377,311,663
2020년04월_여_80~89세,"3,388",499,373,164,354,121,384,342,375,294,482
2020년04월_여_90~99세,684,116,63,25,84,28,63,61,79,80,85
2020년04월_여_100세 이상,16,1,1,0,2,1,4,1,2,3,1
2020년05월_계_총인구수,"43,149","13,179","3,786","1,628","3,922","2,387","3,614","2,653","3,463","2,907","5,610"
2020년05월_계_연령구간인구수,"43,149","13,179","3,786","1,628","3,922","2,387","3,614","2,653","3,463","2,907","5,610"
2020년05월_계_0~9세,"1,626",891,78,36,127,96,80,53,77,51,137
2020년05월_계_10~19세,"3,016","1,454",197,103,188,180,224,94,163,123,290
2020년05월_계_20~29세,"3,273","1,489",241,94,211,191,205,131,216,170,325
2020년05월_계_30~39세,"2,562","1,171",172,75,214,145,161,109,156,116,243
2020년05월_계_40~49세,"4,687","1,953",351,140,390,262,334,227,312,217,501
2020년05월_계_50~59세,"7,463","2,221",667,314,669,497,587,426,574,497,"1,011"
2020년05월_계_60~69세,"8,022","1,882",751,308,823,486,707,534,666,647,"1,218"
2020년05월_계_70~79세,"6,820","1,251",710,282,698,322,701,534,668,556,"1,098"
2020년05월_계_80~89세,"4,838",732,534,247,501,174,527,474,528,433,688
2020년05월_계_90~99세,824,134,84,29,98,33,83,70,101,94,98
2020년05월_계_100세 이상,18,1,1,0,3,1,5,1,2,3,1
2020년05월_남_총인구수,"20,747","6,449","1,797",791,"1,888","1,224","1,689","1,266","1,615","1,378","2,650"
2020년05월_남_연령구간인구수,"20,747","6,449","1,797",791,"1,888","1,224","1,689","1,266","1,615","1,378","2,650"
2020년05월_남_0~9세,875,464,37,22,77,44,52,29,42,29,79
2020년05월_남_10~19세,"1,614",774,112,54,105,96,105,58,98,60,152
2020년05월_남_20~29세,"1,970",887,143,62,121,130,119,91,117,108,192
2020년05월_남_30~39세,"1,338",576,94,40,115,80,87,63,85,62,136
2020년05월_남_40~49세,"2,542",942,196,79,220,147,195,140,189,128,306
2020년05월_남_50~59세,"3,950","1,118",370,177,371,268,317,249,295,264,521
2020년05월_남_60~69세,"3,910",895,357,149,407,241,337,262,324,329,609
2020년05월_남_70~79세,"2,954",545,307,123,310,159,312,228,288,245,437
2020년05월_남_80~89세,"1,450",232,160,80,147,54,145,137,153,138,204
2020년05월_남_90~99세,143,16,21,5,14,5,20,9,24,15,14
2020년05월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년05월_여_총인구수,"22,402","6,730","1,989",837,"2,034","1,163","1,925","1,387","1,848","1,529","2,960"
2020년05월_여_연령구간인구수,"22,402","6,730","1,989",837,"2,034","1,163","1,925","1,387","1,848","1,529","2,960"
2020년05월_여_0~9세,751,427,41,14,50,52,28,24,35,22,58
2020년05월_여_10~19세,"1,402",680,85,49,83,84,119,36,65,63,138
2020년05월_여_20~29세,"1,303",602,98,32,90,61,86,40,99,62,133
2020년05월_여_30~39세,"1,224",595,78,35,99,65,74,46,71,54,107
2020년05월_여_40~49세,"2,145","1,011",155,61,170,115,139,87,123,89,195
2020년05월_여_50~59세,"3,513","1,103",297,137,298,229,270,177,279,233,490
2020년05월_여_60~69세,"4,112",987,394,159,416,245,370,272,342,318,609
2020년05월_여_70~79세,"3,866",706,403,159,388,163,389,306,380,311,661
2020년05월_여_80~89세,"3,388",500,374,167,354,120,382,337,375,295,484
2020년05월_여_90~99세,681,118,63,24,84,28,63,61,77,79,84
2020년05월_여_100세 이상,17,1,1,0,2,1,5,1,2,3,1
2020년06월_계_총인구수,"43,102","13,182","3,774","1,629","3,919","2,379","3,597","2,660","3,460","2,894","5,608"
2020년06월_계_연령구간인구수,"43,102","13,182","3,774","1,629","3,919","2,379","3,597","2,660","3,460","2,894","5,608"
2020년06월_계_0~9세,"1,614",897,81,35,128,90,77,52,71,49,134
2020년06월_계_10~19세,"2,995","1,442",197,101,184,185,218,93,164,121,290
2020년06월_계_20~29세,"3,278","1,504",236,97,211,185,205,135,218,167,320
2020년06월_계_30~39세,"2,547","1,173",172,74,210,143,158,109,151,113,244
2020년06월_계_40~49세,"4,673","1,949",347,139,390,262,333,227,312,215,499
2020년06월_계_50~59세,"7,465","2,218",663,317,672,494,590,430,575,494,"1,012"
2020년06월_계_60~69세,"8,050","1,886",752,310,826,492,702,538,671,648,"1,225"
2020년06월_계_70~79세,"6,827","1,247",714,282,701,322,704,534,667,558,"1,098"
2020년06월_계_80~89세,"4,816",735,528,245,497,171,521,472,529,433,685
2020년06월_계_90~99세,820,130,84,29,97,34,84,69,100,93,100
2020년06월_계_100세 이상,17,1,0,0,3,1,5,1,2,3,1
2020년06월_남_총인구수,"20,733","6,456","1,790",790,"1,882","1,222","1,685","1,273","1,614","1,375","2,646"
2020년06월_남_연령구간인구수,"20,733","6,456","1,790",790,"1,882","1,222","1,685","1,273","1,614","1,375","2,646"
2020년06월_남_0~9세,865,467,38,21,76,43,50,29,36,28,77
2020년06월_남_10~19세,"1,602",767,111,53,103,97,103,56,101,60,151
2020년06월_남_20~29세,"1,982",897,141,62,121,129,123,93,119,107,190
2020년06월_남_30~39세,"1,329",580,93,38,114,78,86,63,81,60,136
2020년06월_남_40~49세,"2,536",944,192,78,217,149,193,141,188,129,305
2020년06월_남_50~59세,"3,949","1,116",372,179,370,266,319,251,296,260,520
2020년06월_남_60~69세,"3,917",894,354,150,409,243,332,264,328,333,610
2020년06월_남_70~79세,"2,964",540,310,125,312,159,316,229,288,245,440
2020년06월_남_80~89세,"1,443",235,158,79,145,53,143,138,153,138,201
2020년06월_남_90~99세,145,16,21,5,14,5,20,9,24,15,16
2020년06월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년06월_여_총인구수,"22,369","6,726","1,984",839,"2,037","1,157","1,912","1,387","1,846","1,519","2,962"
2020년06월_여_연령구간인구수,"22,369","6,726","1,984",839,"2,037","1,157","1,912","1,387","1,846","1,519","2,962"
2020년06월_여_0~9세,749,430,43,14,52,47,27,23,35,21,57
2020년06월_여_10~19세,"1,393",675,86,48,81,88,115,37,63,61,139
2020년06월_여_20~29세,"1,296",607,95,35,90,56,82,42,99,60,130
2020년06월_여_30~39세,"1,218",593,79,36,96,65,72,46,70,53,108
2020년06월_여_40~49세,"2,137","1,005",155,61,173,113,140,86,124,86,194
2020년06월_여_50~59세,"3,516","1,102",291,138,302,228,271,179,279,234,492
2020년06월_여_60~69세,"4,133",992,398,160,417,249,370,274,343,315,615
2020년06월_여_70~79세,"3,863",707,404,157,389,163,388,305,379,313,658
2020년06월_여_80~89세,"3,373",500,370,166,352,118,378,334,376,295,484
2020년06월_여_90~99세,675,114,63,24,83,29,64,60,76,78,84
2020년06월_여_100세 이상,16,1,0,0,2,1,5,1,2,3,1
2020년07월_계_총인구수,"43,021","13,116","3,802","1,628","3,920","2,374","3,587","2,648","3,458","2,881","5,607"
2020년07월_계_연령구간인구수,"43,021","13,116","3,802","1,628","3,920","2,374","3,587","2,648","3,458","2,881","5,607"
2020년07월_계_0~9세,"1,594",882,85,36,127,89,76,51,68,46,134
2020년07월_계_10~19세,"2,969","1,407",219,100,182,185,216,90,167,116,287
2020년07월_계_20~29세,"3,275","1,504",234,98,213,184,197,138,218,169,320
2020년07월_계_30~39세,"2,515","1,157",171,75,208,140,156,102,150,112,244
2020년07월_계_40~49세,"4,668","1,951",351,140,384,259,332,227,311,217,496
2020년07월_계_50~59세,"7,451","2,211",653,317,674,497,591,436,575,481,"1,016"
2020년07월_계_60~69세,"8,071","1,893",761,309,829,489,700,533,674,654,"1,229"
2020년07월_계_70~79세,"6,818","1,248",710,282,698,323,708,533,662,560,"1,094"
2020년07월_계_80~89세,"4,822",734,534,240,502,172,522,468,530,433,687
2020년07월_계_90~99세,821,128,84,31,100,35,84,69,101,90,99
2020년07월_계_100세 이상,17,1,0,0,3,1,5,1,2,3,1
2020년07월_남_총인구수,"20,711","6,413","1,819",793,"1,886","1,216","1,690","1,267","1,614","1,370","2,643"
2020년07월_남_연령구간인구수,"20,711","6,413","1,819",793,"1,886","1,216","1,690","1,267","1,614","1,370","2,643"
2020년07월_남_0~9세,853,458,43,21,75,42,49,28,34,26,77
2020년07월_남_10~19세,"1,587",739,132,53,103,95,103,53,104,56,149
2020년07월_남_20~29세,"1,991",898,142,63,122,128,121,97,119,111,190
2020년07월_남_30~39세,"1,314",572,93,39,114,76,87,58,81,58,136
2020년07월_남_40~49세,"2,533",942,195,79,218,146,194,139,188,130,302
2020년07월_남_50~59세,"3,953","1,117",366,181,372,270,320,255,296,253,523
2020년07월_남_60~69세,"3,926",894,359,150,409,243,334,262,329,335,611
2020년07월_남_70~79세,"2,963",542,307,123,310,158,320,229,286,247,441
2020년07월_남_80~89세,"1,444",235,161,79,146,53,141,137,153,139,200
2020년07월_남_90~99세,146,16,21,5,16,5,21,9,24,15,14
2020년07월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년07월_여_총인구수,"22,310","6,703","1,983",835,"2,034","1,158","1,897","1,381","1,844","1,511","2,964"
2020년07월_여_연령구간인구수,"22,310","6,703","1,983",835,"2,034","1,158","1,897","1,381","1,844","1,511","2,964"
2020년07월_여_0~9세,741,424,42,15,52,47,27,23,34,20,57
2020년07월_여_10~19세,"1,382",668,87,47,79,90,113,37,63,60,138
2020년07월_여_20~29세,"1,284",606,92,35,91,56,76,41,99,58,130
2020년07월_여_30~39세,"1,201",585,78,36,94,64,69,44,69,54,108
2020년07월_여_40~49세,"2,135","1,009",156,61,166,113,138,88,123,87,194
2020년07월_여_50~59세,"3,498","1,094",287,136,302,227,271,181,279,228,493
2020년07월_여_60~69세,"4,145",999,402,159,420,246,366,271,345,319,618
2020년07월_여_70~79세,"3,855",706,403,159,388,165,388,304,376,313,653
2020년07월_여_80~89세,"3,378",499,373,161,356,119,381,331,377,294,487
2020년07월_여_90~99세,675,112,63,26,84,30,63,60,77,75,85
2020년07월_여_100세 이상,16,1,0,0,2,1,5,1,2,3,1
2020년08월_계_총인구수,"42,980","13,098","3,800","1,630","3,932","2,365","3,571","2,652","3,467","2,872","5,593"
2020년08월_계_연령구간인구수,"42,980","13,098","3,800","1,630","3,932","2,365","3,571","2,652","3,467","2,872","5,593"
2020년08월_계_0~9세,"1,590",882,83,36,129,89,71,53,66,47,134
2020년08월_계_10~19세,"2,942","1,384",219,99,186,180,211,94,169,115,285
2020년08월_계_20~29세,"3,276","1,504",240,100,212,185,196,135,221,166,317
2020년08월_계_30~39세,"2,495","1,150",166,76,208,136,157,102,148,111,241
2020년08월_계_40~49세,"4,640","1,943",346,141,382,257,325,233,306,212,495
2020년08월_계_50~59세,"7,435","2,213",652,314,676,493,588,431,579,478,"1,011"
2020년08월_계_60~69세,"8,137","1,919",763,312,835,492,703,536,680,658,"1,239"
2020년08월_계_70~79세,"6,791","1,237",712,281,702,325,708,529,661,558,"1,078"
2020년08월_계_80~89세,"4,834",737,536,239,500,173,524,468,531,432,694
2020년08월_계_90~99세,823,128,83,32,99,34,83,70,104,92,98
2020년08월_계_100세 이상,17,1,0,0,3,1,5,1,2,3,1
2020년08월_남_총인구수,"20,687","6,398","1,821",794,"1,888","1,215","1,683","1,268","1,618","1,365","2,637"
2020년08월_남_연령구간인구수,"20,687","6,398","1,821",794,"1,888","1,215","1,683","1,268","1,618","1,365","2,637"
2020년08월_남_0~9세,848,452,42,21,76,42,45,30,34,28,78
2020년08월_남_10~19세,"1,561",719,131,53,104,90,103,55,104,54,148
2020년08월_남_20~29세,"2,005",902,147,64,123,130,121,96,119,110,193
2020년08월_남_30~39세,"1,307",570,91,40,113,75,88,59,81,58,132
2020년08월_남_40~49세,"2,510",935,192,80,216,146,191,140,187,125,298
2020년08월_남_50~59세,"3,931","1,117",366,178,368,265,321,249,295,251,521
2020년08월_남_60~69세,"3,981",912,361,152,417,250,334,265,333,340,617
2020년08월_남_70~79세,"2,948",539,307,122,310,158,319,227,286,246,434
2020년08월_남_80~89세,"1,447",236,162,79,144,54,142,137,155,137,201
2020년08월_남_90~99세,148,16,22,5,16,5,19,10,24,16,15
2020년08월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년08월_여_총인구수,"22,293","6,700","1,979",836,"2,044","1,150","1,888","1,384","1,849","1,507","2,956"
2020년08월_여_연령구간인구수,"22,293","6,700","1,979",836,"2,044","1,150","1,888","1,384","1,849","1,507","2,956"
2020년08월_여_0~9세,742,430,41,15,53,47,26,23,32,19,56
2020년08월_여_10~19세,"1,381",665,88,46,82,90,108,39,65,61,137
2020년08월_여_20~29세,"1,271",602,93,36,89,55,75,39,102,56,124
2020년08월_여_30~39세,"1,188",580,75,36,95,61,69,43,67,53,109
2020년08월_여_40~49세,"2,130","1,008",154,61,166,111,134,93,119,87,197
2020년08월_여_50~59세,"3,504","1,096",286,136,308,228,267,182,284,227,490
2020년08월_여_60~69세,"4,156","1,007",402,160,418,242,369,271,347,318,622
2020년08월_여_70~79세,"3,843",698,405,159,392,167,389,302,375,312,644
2020년08월_여_80~89세,"3,387",501,374,160,356,119,382,331,376,295,493
2020년08월_여_90~99세,675,112,61,27,83,29,64,60,80,76,83
2020년08월_여_100세 이상,16,1,0,0,2,1,5,1,2,3,1
2020년09월_계_총인구수,"42,889","13,068","3,773","1,627","3,924","2,363","3,560","2,648","3,465","2,876","5,585"
2020년09월_계_연령구간인구수,"42,889","13,068","3,773","1,627","3,924","2,363","3,560","2,648","3,465","2,876","5,585"
2020년09월_계_0~9세,"1,576",871,80,35,124,90,69,54,71,48,134
2020년09월_계_10~19세,"2,934","1,384",221,99,181,176,211,94,169,115,284
2020년09월_계_20~29세,"3,255","1,490",237,104,207,188,193,133,218,166,319
2020년09월_계_30~39세,"2,486","1,156",162,74,204,131,153,99,155,111,241
2020년09월_계_40~49세,"4,608","1,923",343,145,378,259,324,233,298,211,494
2020년09월_계_50~59세,"7,398","2,209",638,313,673,490,584,430,576,478,"1,007"
2020년09월_계_60~69세,"8,200","1,936",770,313,845,496,711,540,685,663,"1,241"
2020년09월_계_70~79세,"6,750","1,225",707,280,703,322,702,529,656,550,"1,076"
2020년09월_계_80~89세,"4,834",748,528,231,505,175,526,464,529,437,691
2020년09월_계_90~99세,831,125,87,33,101,35,82,71,106,94,97
2020년09월_계_100세 이상,17,1,0,0,3,1,5,1,2,3,1
2020년09월_남_총인구수,"20,641","6,382","1,808",793,"1,887","1,214","1,674","1,268","1,619","1,365","2,631"
2020년09월_남_연령구간인구수,"20,641","6,382","1,808",793,"1,887","1,214","1,674","1,268","1,619","1,365","2,631"
2020년09월_남_0~9세,837,448,38,20,71,42,44,31,38,28,77
