카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 오천면원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동,충청남도 보령시 원산도출장소
2020년01월_여_연령구간인구수,"49,877","3,157",781,"1,056",776,533,"1,767","1,365","1,988","2,588","1,287",873,"1,185","2,575","7,499","3,573","8,450","7,233","3,191",
2020년01월_여_0~9세,"3,227",81,24,32,32,16,69,35,60,62,17,25,34,97,602,293,895,708,145,
2020년01월_여_10~19세,"4,129",173,48,63,44,29,84,40,113,141,53,27,60,181,785,328,973,782,205,
2020년01월_여_20~29세,"4,134",178,52,61,54,27,103,70,126,174,48,44,82,189,748,347,885,730,216,
2020년01월_여_30~39세,"4,563",155,42,52,60,20,88,64,93,134,56,39,81,177,805,367,"1,234",858,238,
2020년01월_여_40~49세,"6,431",272,68,95,78,39,149,97,150,215,84,40,103,285,"1,187",553,"1,475","1,239",302,
2020년01월_여_50~59세,"8,263",541,123,159,152,89,287,183,335,445,175,133,215,463,"1,296",574,"1,316","1,146",631,
2020년01월_여_60~69세,"8,333",735,176,256,166,122,387,293,424,550,271,187,266,516,"1,032",500,883,884,685,
2020년01월_여_70~79세,"6,117",553,138,174,100,97,296,293,360,450,303,198,210,370,662,384,494,542,493,
2020년01월_여_80~89세,"3,966",393,90,136,78,79,262,247,280,340,240,148,111,253,330,199,257,287,236,
2020년01월_여_90~99세,671,75,20,28,11,14,41,43,44,71,39,31,17,42,46,25,35,50,39,
2020년01월_여_100세 이상,43,1,0,0,1,1,1,0,3,6,1,1,6,2,6,3,3,7,1,
2020년02월_계_총인구수,"100,836","6,408","1,654","2,224","1,656","1,158","3,652","2,680","3,980","5,240","2,491","1,803","2,345","5,388","14,951","7,108","16,851","14,599","6,648",
2020년02월_계_연령구간인구수,"100,836","6,408","1,654","2,224","1,656","1,158","3,652","2,680","3,980","5,240","2,491","1,803","2,345","5,388","14,951","7,108","16,851","14,599","6,648",
2020년02월_계_0~9세,"6,452",158,44,48,58,30,130,75,131,152,58,53,80,197,"1,201",544,"1,772","1,434",287,
2020년02월_계_10~19세,"8,552",348,101,128,99,71,192,113,229,279,101,65,127,365,"1,570",661,"2,001","1,684",418,
2020년02월_계_20~29세,"9,743",475,185,136,140,67,244,150,276,407,118,115,185,495,"1,739",785,"2,018","1,660",548,
2020년02월_계_30~39세,"9,919",396,90,144,142,71,232,153,236,324,127,93,177,434,"1,710",793,"2,430","1,762",605,
2020년02월_계_40~49세,"14,225",658,181,268,227,122,381,234,386,497,213,150,256,712,"2,403","1,160","3,019","2,556",802,
2020년02월_계_50~59세,"17,516","1,176",284,422,330,229,647,435,710,"1,010",368,290,479,"1,015","2,557","1,192","2,638","2,406","1,328",
2020년02월_계_60~69세,"16,362","1,470",370,493,348,248,786,575,866,"1,129",545,403,496,"1,012","1,991",938,"1,678","1,658","1,356",
2020년02월_계_70~79세,"10,995","1,023",247,335,177,178,576,523,656,820,534,366,357,709,"1,183",665,858,937,851,
2020년02월_계_80~89세,"6,146",599,127,211,120,124,418,367,434,516,369,228,163,392,528,333,388,431,398,
2020년02월_계_90~99세,871,102,25,39,14,17,45,55,52,98,57,39,20,55,61,33,45,60,54,
2020년02월_계_100세 이상,55,3,0,0,1,1,1,0,4,8,1,1,5,2,8,4,4,11,1,
2020년02월_남_총인구수,"51,024","3,258",865,"1,167",890,622,"1,888","1,322","2,007","2,649","1,214",926,"1,169","2,821","7,525","3,564","8,460","7,221","3,456",
2020년02월_남_연령구간인구수,"51,024","3,258",865,"1,167",890,622,"1,888","1,322","2,007","2,649","1,214",926,"1,169","2,821","7,525","3,564","8,460","7,221","3,456",
2020년02월_남_0~9세,"3,243",79,19,17,29,14,59,43,72,85,41,28,47,102,618,254,882,714,140,
2020년02월_남_10~19세,"4,441",180,50,66,56,43,108,70,119,139,50,38,68,186,793,344,"1,034",882,215,
2020년02월_남_20~29세,"5,650",298,134,76,88,41,147,82,156,238,69,69,104,312,"1,001",443,"1,143",914,335,
2020년02월_남_30~39세,"5,390",244,48,91,82,50,145,93,142,192,73,55,98,262,918,430,"1,213",889,365,
2020년02월_남_40~49세,"7,792",387,112,171,150,82,229,136,236,278,130,109,156,428,"1,235",609,"1,565","1,278",501,
2020년02월_남_50~59세,"9,270",642,160,263,180,140,364,250,379,568,198,155,265,552,"1,268",627,"1,327","1,227",705,
2020년02월_남_60~69세,"7,986",728,192,236,182,125,398,280,445,579,271,214,223,491,956,435,799,772,660,
2020년02월_남_70~79세,"4,887",468,108,161,79,81,283,234,296,368,231,170,152,339,522,281,361,392,361,
2020년02월_남_80~89세,"2,163",206,38,77,41,43,150,121,153,175,135,80,51,138,195,134,127,139,160,
2020년02월_남_90~99세,191,24,4,9,3,3,5,13,9,25,16,8,5,11,17,6,8,11,14,
2020년02월_남_100세 이상,11,2,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,3,0,
2020년02월_여_총인구수,"49,812","3,150",789,"1,057",766,536,"1,764","1,358","1,973","2,591","1,277",877,"1,176","2,567","7,426","3,544","8,391","7,378","3,192",
2020년02월_여_연령구간인구수,"49,812","3,150",789,"1,057",766,536,"1,764","1,358","1,973","2,591","1,277",877,"1,176","2,567","7,426","3,544","8,391","7,378","3,192",
2020년02월_여_0~9세,"3,209",79,25,31,29,16,71,32,59,67,17,25,33,95,583,290,890,720,147,
2020년02월_여_10~19세,"4,111",168,51,62,43,28,84,43,110,140,51,27,59,179,777,317,967,802,203,
2020년02월_여_20~29세,"4,093",177,51,60,52,26,97,68,120,169,49,46,81,183,738,342,875,746,213,
2020년02월_여_30~39세,"4,529",152,42,53,60,21,87,60,94,132,54,38,79,172,792,363,"1,217",873,240,
2020년02월_여_40~49세,"6,433",271,69,97,77,40,152,98,150,219,83,41,100,284,"1,168",551,"1,454","1,278",301,
2020년02월_여_50~59세,"8,246",534,124,159,150,89,283,185,331,442,170,135,214,463,"1,289",565,"1,311","1,179",623,
2020년02월_여_60~69세,"8,376",742,178,257,166,123,388,295,421,550,274,189,273,521,"1,035",503,879,886,696,
2020년02월_여_70~79세,"6,108",555,139,174,98,97,293,289,360,452,303,196,205,370,661,384,497,545,490,
2020년02월_여_80~89세,"3,983",393,89,134,79,81,268,246,281,341,234,148,112,254,333,199,261,292,238,
2020년02월_여_90~99세,680,78,21,30,11,14,40,42,43,73,41,31,15,44,44,27,37,49,40,
2020년02월_여_100세 이상,44,1,0,0,1,1,1,0,4,6,1,1,5,2,6,3,3,8,1,
2020년03월_계_총인구수,"100,787","6,397","1,643","2,216","1,658","1,155","3,638","2,666","3,988","5,204","2,485","1,799","2,333","5,395","14,788","7,065","16,824","14,905","6,628",
2020년03월_계_연령구간인구수,"100,787","6,397","1,643","2,216","1,658","1,155","3,638","2,666","3,988","5,204","2,485","1,799","2,333","5,395","14,788","7,065","16,824","14,905","6,628",
2020년03월_계_0~9세,"6,444",159,45,49,62,30,130,73,133,146,59,53,82,202,"1,163",536,"1,778","1,465",279,
2020년03월_계_10~19세,"8,491",343,97,127,99,70,192,113,230,270,100,62,121,363,"1,555",642,"1,990","1,701",416,
2020년03월_계_20~29세,"9,754",474,184,135,143,69,239,148,273,399,121,111,179,491,"1,723",798,"2,011","1,708",548,
2020년03월_계_30~39세,"9,817",390,89,138,134,67,231,150,236,314,118,93,175,425,"1,648",772,"2,420","1,823",594,
2020년03월_계_40~49세,"14,226",656,179,262,225,120,381,229,391,497,214,150,251,719,"2,384","1,149","3,005","2,611",803,
2020년03월_계_50~59세,"17,469","1,172",280,423,331,228,634,430,703,"1,000",366,284,483,"1,011","2,533","1,190","2,631","2,452","1,318",
2020년03월_계_60~69세,"16,432","1,463",373,492,350,251,791,574,870,"1,127",541,408,500,"1,020","2,003",950,"1,682","1,679","1,358",
2020년03월_계_70~79세,"11,030","1,033",245,340,175,179,573,522,659,827,535,367,355,711,"1,183",658,859,954,855,
2020년03월_계_80~89세,"6,192",602,126,212,124,123,421,373,437,517,372,229,162,395,528,334,399,439,399,
2020년03월_계_90~99세,874,102,25,38,14,17,45,54,52,99,58,41,20,56,59,32,45,62,55,
2020년03월_계_100세 이상,58,3,0,0,1,1,1,0,4,8,1,1,5,2,9,4,4,11,3,
2020년03월_남_총인구수,"51,027","3,256",859,"1,166",890,621,"1,875","1,318","2,016","2,634","1,211",926,"1,162","2,820","7,441","3,546","8,447","7,389","3,450",
2020년03월_남_연령구간인구수,"51,027","3,256",859,"1,166",890,621,"1,875","1,318","2,016","2,634","1,211",926,"1,162","2,820","7,441","3,546","8,447","7,389","3,450",
2020년03월_남_0~9세,"3,243",77,19,18,33,14,61,43,72,80,42,29,47,105,598,254,890,728,133,
2020년03월_남_10~19세,"4,412",181,47,65,56,43,107,70,119,134,48,36,65,185,784,333,"1,029",895,215,
2020년03월_남_20~29세,"5,675",297,135,77,89,42,143,83,158,234,72,66,100,305,997,454,"1,137",946,340,
2020년03월_남_30~39세,"5,330",239,48,87,77,47,144,91,144,184,68,55,96,259,886,420,"1,212",913,360,
2020년03월_남_40~49세,"7,796",386,111,168,147,81,226,134,240,281,130,109,154,433,"1,221",597,"1,559","1,311",508,
2020년03월_남_50~59세,"9,254",641,159,264,185,140,352,248,375,564,197,153,270,548,"1,259",629,"1,319","1,251",700,
2020년03월_남_60~69세,"8,030",731,193,237,180,128,404,280,446,581,267,217,223,496,961,443,801,787,655,
2020년03월_남_70~79세,"4,907",471,107,163,79,81,284,234,297,372,233,170,151,341,523,279,359,399,364,
2020년03월_남_80~89세,"2,174",206,36,78,41,42,148,123,155,177,136,83,51,138,192,130,132,144,162,
2020년03월_남_90~99세,195,25,4,9,3,3,6,12,10,25,18,8,5,10,18,6,8,12,13,
2020년03월_남_100세 이상,11,2,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,3,0,
2020년03월_여_총인구수,"49,760","3,141",784,"1,050",768,534,"1,763","1,348","1,972","2,570","1,274",873,"1,171","2,575","7,347","3,519","8,377","7,516","3,178",
2020년03월_여_연령구간인구수,"49,760","3,141",784,"1,050",768,534,"1,763","1,348","1,972","2,570","1,274",873,"1,171","2,575","7,347","3,519","8,377","7,516","3,178",
2020년03월_여_0~9세,"3,201",82,26,31,29,16,69,30,61,66,17,24,35,97,565,282,888,737,146,
2020년03월_여_10~19세,"4,079",162,50,62,43,27,85,43,111,136,52,26,56,178,771,309,961,806,201,
2020년03월_여_20~29세,"4,079",177,49,58,54,27,96,65,115,165,49,45,79,186,726,344,874,762,208,
2020년03월_여_30~39세,"4,487",151,41,51,57,20,87,59,92,130,50,38,79,166,762,352,"1,208",910,234,
2020년03월_여_40~49세,"6,430",270,68,94,78,39,155,95,151,216,84,41,97,286,"1,163",552,"1,446","1,300",295,
2020년03월_여_50~59세,"8,215",531,121,159,146,88,282,182,328,436,169,131,213,463,"1,274",561,"1,312","1,201",618,
2020년03월_여_60~69세,"8,402",732,180,255,170,123,387,294,424,546,274,191,277,524,"1,042",507,881,892,703,
2020년03월_여_70~79세,"6,123",562,138,177,96,98,289,288,362,455,302,197,204,370,660,379,500,555,491,
2020년03월_여_80~89세,"4,018",396,90,134,83,81,273,250,282,340,236,146,111,257,336,204,267,295,237,
2020년03월_여_90~99세,679,77,21,29,11,14,39,42,42,74,40,33,15,46,41,26,37,50,42,
2020년03월_여_100세 이상,47,1,0,0,1,1,1,0,4,6,1,1,5,2,7,3,3,8,3,
2020년04월_계_총인구수,"100,646","6,382","1,633","2,213","1,653","1,145","3,632","2,672","3,966","5,177","2,483","1,787","2,314","5,381","14,763","7,026","16,797","15,029","6,593",
2020년04월_계_연령구간인구수,"100,646","6,382","1,633","2,213","1,653","1,145","3,632","2,672","3,966","5,177","2,483","1,787","2,314","5,381","14,763","7,026","16,797","15,029","6,593",
2020년04월_계_0~9세,"6,414",157,46,50,61,31,129,74,135,146,59,53,79,197,"1,154",529,"1,754","1,482",278,
2020년04월_계_10~19세,"8,478",349,95,127,99,70,191,114,224,266,98,62,122,363,"1,544",639,"1,998","1,707",410,
2020년04월_계_20~29세,"9,660",464,172,134,141,67,237,151,272,393,118,108,170,486,"1,715",783,"1,990","1,715",544,
2020년04월_계_30~39세,"9,786",384,89,134,134,65,233,153,229,312,118,87,169,419,"1,627",773,"2,424","1,845",591,
2020년04월_계_40~49세,"14,177",647,181,264,223,118,376,228,383,491,213,149,253,718,"2,370","1,143","3,002","2,630",788,
2020년04월_계_50~59세,"17,430","1,167",280,426,330,225,630,420,704,995,368,280,473,"1,010","2,533","1,178","2,620","2,477","1,314",
2020년04월_계_60~69세,"16,461","1,467",372,484,348,250,796,583,862,"1,113",543,410,499,"1,010","2,015",953,"1,694","1,704","1,358",
2020년04월_계_70~79세,"11,081","1,041",247,345,178,178,578,522,662,830,530,370,363,720,"1,199",649,863,954,852,
2020년04월_계_80~89세,"6,226",601,127,210,124,123,415,372,441,523,374,229,160,399,539,343,404,443,399,
2020년04월_계_90~99세,876,102,24,39,14,17,46,55,50,101,60,38,21,57,58,32,44,62,56,
2020년04월_계_100세 이상,57,3,0,0,1,1,1,0,4,7,2,1,5,2,9,4,4,10,3,
2020년04월_남_총인구수,"50,931","3,246",853,"1,162",889,613,"1,875","1,320","2,000","2,614","1,212",922,"1,153","2,812","7,434","3,523","8,418","7,450","3,435",
2020년04월_남_연령구간인구수,"50,931","3,246",853,"1,162",889,613,"1,875","1,320","2,000","2,614","1,212",922,"1,153","2,812","7,434","3,523","8,418","7,450","3,435",
2020년04월_남_0~9세,"3,231",77,20,19,34,14,62,44,72,79,42,29,46,101,596,251,873,740,132,
2020년04월_남_10~19세,"4,385",182,45,64,54,43,106,69,115,131,48,36,66,186,774,329,"1,030",895,212,
2020년04월_남_20~29세,"5,619",293,127,75,89,39,142,86,156,231,73,65,94,304,995,441,"1,125",945,339,
2020년04월_남_30~39세,"5,299",235,48,84,76,45,145,92,138,179,67,51,93,254,874,419,"1,216",927,356,
2020년04월_남_40~49세,"7,774",381,114,170,145,81,220,134,234,278,129,109,155,432,"1,214",596,"1,557","1,323",502,
2020년04월_남_50~59세,"9,258",639,158,267,187,138,355,239,376,561,199,150,265,551,"1,272",625,"1,312","1,267",697,
2020년04월_남_60~69세,"8,038",734,193,234,178,127,404,288,439,577,268,218,226,488,959,447,804,798,656,
2020년04월_남_70~79세,"4,935",475,108,164,82,81,288,233,304,371,232,173,152,345,533,273,361,394,366,
2020년04월_남_80~89세,"2,189",203,36,76,41,42,147,123,157,181,135,83,51,141,199,135,131,146,162,
2020년04월_남_90~99세,192,25,4,9,3,3,6,12,9,25,18,8,5,10,16,6,8,12,13,
2020년04월_남_100세 이상,11,2,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,3,0,
2020년04월_여_총인구수,"49,715","3,136",780,"1,051",764,532,"1,757","1,352","1,966","2,563","1,271",865,"1,161","2,569","7,329","3,503","8,379","7,579","3,158",
2020년04월_여_연령구간인구수,"49,715","3,136",780,"1,051",764,532,"1,757","1,352","1,966","2,563","1,271",865,"1,161","2,569","7,329","3,503","8,379","7,579","3,158",
2020년04월_여_0~9세,"3,183",80,26,31,27,17,67,30,63,67,17,24,33,96,558,278,881,742,146,
2020년04월_여_10~19세,"4,093",167,50,63,45,27,85,45,109,135,50,26,56,177,770,310,968,812,198,
2020년04월_여_20~29세,"4,041",171,45,59,52,28,95,65,116,162,45,43,76,182,720,342,865,770,205,
2020년04월_여_30~39세,"4,487",149,41,50,58,20,88,61,91,133,51,36,76,165,753,354,"1,208",918,235,
2020년04월_여_40~49세,"6,403",266,67,94,78,37,156,94,149,213,84,40,98,286,"1,156",547,"1,445","1,307",286,
2020년04월_여_50~59세,"8,172",528,122,159,143,87,275,181,328,434,169,130,208,459,"1,261",553,"1,308","1,210",617,
2020년04월_여_60~69세,"8,423",733,179,250,170,123,392,295,423,536,275,192,273,522,"1,056",506,890,906,702,
2020년04월_여_70~79세,"6,146",566,139,181,96,97,290,289,358,459,298,197,211,375,666,376,502,560,486,
2020년04월_여_80~89세,"4,037",398,91,134,83,81,268,249,284,342,239,146,109,258,340,208,273,297,237,
2020년04월_여_90~99세,684,77,20,30,11,14,40,43,41,76,42,30,16,47,42,26,36,50,43,
2020년04월_여_100세 이상,46,1,0,0,1,1,1,0,4,6,1,1,5,2,7,3,3,7,3,
2020년05월_계_총인구수,"100,602","6,361","1,643","2,195","1,659","1,138","3,606","2,673","3,962","5,192","2,451","1,774","2,321","5,359","14,736","7,013","16,783","15,161","6,575",
2020년05월_계_연령구간인구수,"100,602","6,361","1,643","2,195","1,659","1,138","3,606","2,673","3,962","5,192","2,451","1,774","2,321","5,359","14,736","7,013","16,783","15,161","6,575",
2020년05월_계_0~9세,"6,378",154,44,49,61,30,124,75,131,142,53,54,79,196,"1,142",529,"1,743","1,505",267,
2020년05월_계_10~19세,"8,486",343,113,125,99,69,190,111,225,270,93,60,123,357,"1,530",636,"2,001","1,732",409,
2020년05월_계_20~29세,"9,618",456,178,129,139,68,230,150,272,389,113,104,169,481,"1,703",777,"1,982","1,735",543,
2020년05월_계_30~39세,"9,719",374,86,131,132,64,231,154,225,305,112,87,165,417,"1,619",768,"2,414","1,855",580,
2020년05월_계_40~49세,"14,166",649,174,262,220,115,367,228,377,495,206,147,259,713,"2,377","1,139","2,997","2,651",790,
2020년05월_계_50~59세,"17,338","1,166",274,415,329,226,628,416,703,"1,002",368,276,470,978,"2,525","1,172","2,617","2,468","1,305",
2020년05월_계_60~69세,"16,565","1,464",376,483,360,247,797,583,868,"1,122",539,411,508,"1,028","2,019",954,"1,701","1,733","1,372",
2020년05월_계_70~79세,"11,138","1,046",247,351,180,180,575,521,664,833,529,368,362,721,"1,211",657,872,967,854,
2020년05월_계_80~89세,"6,249",601,127,211,124,121,416,380,441,528,373,227,160,409,542,344,407,441,397,
2020년05월_계_90~99세,886,105,24,39,14,17,47,54,52,98,63,40,21,57,59,33,45,63,55,
2020년05월_계_100세 이상,59,3,0,0,1,1,1,1,4,8,2,0,5,2,9,4,4,11,3,
2020년05월_남_총인구수,"50,917","3,239",864,"1,156",884,607,"1,861","1,323","1,993","2,620","1,198",914,"1,155","2,799","7,429","3,519","8,413","7,520","3,423",
2020년05월_남_연령구간인구수,"50,917","3,239",864,"1,156",884,607,"1,861","1,323","1,993","2,620","1,198",914,"1,155","2,799","7,429","3,519","8,413","7,520","3,423",
2020년05월_남_0~9세,"3,215",76,19,17,33,13,60,44,69,80,39,30,45,100,589,254,871,749,127,
2020년05월_남_10~19세,"4,403",180,62,62,53,42,103,68,116,133,43,35,67,187,767,328,"1,030",917,210,
2020년05월_남_20~29세,"5,605",291,132,76,88,40,139,87,155,228,71,63,94,299,988,436,"1,127",953,338,
2020년05월_남_30~39세,"5,243",230,45,83,73,43,143,90,136,174,64,50,91,253,869,418,"1,206",926,349,
2020년05월_남_40~49세,"7,762",379,109,169,142,77,215,133,230,281,125,108,157,429,"1,219",595,"1,553","1,337",504,
2020년05월_남_50~59세,"9,227",640,153,260,187,140,355,236,375,564,202,147,264,536,"1,275",621,"1,312","1,262",698,
2020년05월_남_60~69세,"8,090",730,197,236,181,124,406,291,442,580,266,219,230,494,966,449,807,816,656,
2020년05월_남_70~79세,"4,963",480,107,167,83,84,286,236,303,372,233,172,151,349,536,275,364,398,367,
2020년05월_남_80~89세,"2,205",205,36,77,41,41,148,126,156,184,134,82,51,142,202,136,134,147,163,
2020년05월_남_90~99세,192,26,4,9,3,3,6,12,11,23,20,8,5,10,16,6,8,11,11,
2020년05월_남_100세 이상,12,2,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,4,0,
2020년05월_여_총인구수,"49,685","3,122",779,"1,039",775,531,"1,745","1,350","1,969","2,572","1,253",860,"1,166","2,560","7,307","3,494","8,370","7,641","3,152",
2020년05월_여_연령구간인구수,"49,685","3,122",779,"1,039",775,531,"1,745","1,350","1,969","2,572","1,253",860,"1,166","2,560","7,307","3,494","8,370","7,641","3,152",
2020년05월_여_0~9세,"3,163",78,25,32,28,17,64,31,62,62,14,24,34,96,553,275,872,756,140,
2020년05월_여_10~19세,"4,083",163,51,63,46,27,87,43,109,137,50,25,56,170,763,308,971,815,199,
2020년05월_여_20~29세,"4,013",165,46,53,51,28,91,63,117,161,42,41,75,182,715,341,855,782,205,
2020년05월_여_30~39세,"4,476",144,41,48,59,21,88,64,89,131,48,37,74,164,750,350,"1,208",929,231,
2020년05월_여_40~49세,"6,404",270,65,93,78,38,152,95,147,214,81,39,102,284,"1,158",544,"1,444","1,314",286,
2020년05월_여_50~59세,"8,111",526,121,155,142,86,273,180,328,438,166,129,206,442,"1,250",551,"1,305","1,206",607,
2020년05월_여_60~69세,"8,475",734,179,247,179,123,391,292,426,542,273,192,278,534,"1,053",505,894,917,716,
2020년05월_여_70~79세,"6,175",566,140,184,97,96,289,285,361,461,296,196,211,372,675,382,508,569,487,
2020년05월_여_80~89세,"4,044",396,91,134,83,80,268,254,285,344,239,145,109,267,340,208,273,294,234,
2020년05월_여_90~99세,694,79,20,30,11,14,41,42,41,75,43,32,16,47,43,27,37,52,44,
2020년05월_여_100세 이상,47,1,0,0,1,1,1,1,4,7,1,0,5,2,7,3,3,7,3,
2020년06월_계_총인구수,"100,647","6,328","1,659","2,196","1,646","1,147","3,602","2,666","3,966","5,211","2,456","1,773","2,324","5,352","14,630","6,983","16,773","15,363","6,572",0.0
2020년06월_계_연령구간인구수,"100,647","6,328","1,659","2,196","1,646","1,147","3,602","2,666","3,966","5,211","2,456","1,773","2,324","5,352","14,630","6,983","16,773","15,363","6,572",0.0
2020년06월_계_0~9세,"6,364",151,42,47,61,31,124,72,132,144,51,54,77,194,"1,132",522,"1,739","1,527",264,0.0
2020년06월_계_10~19세,"8,489",342,119,126,99,69,193,112,221,275,95,59,126,357,"1,503",632,"1,993","1,761",407,0.0
2020년06월_계_20~29세,"9,616",455,188,127,136,65,234,149,273,390,116,100,171,473,"1,696",762,"1,995","1,741",545,0.0
2020년06월_계_30~39세,"9,667",361,84,130,130,66,233,151,217,300,109,86,163,411,"1,599",772,"2,384","1,899",572,0.0
2020년06월_계_40~49세,"14,185",643,171,267,221,114,358,222,381,501,207,148,262,709,"2,356","1,139","3,006","2,693",787,0.0
2020년06월_계_50~59세,"17,332","1,161",278,409,323,230,630,419,709,994,372,279,469,979,"2,498","1,165","2,613","2,500","1,304",0.0
2020년06월_계_60~69세,"16,623","1,460",376,489,359,253,795,585,869,"1,131",541,412,509,"1,036","2,016",958,"1,704","1,749","1,381",0.0
2020년06월_계_70~79세,"11,187","1,045",250,352,176,181,576,521,668,845,525,366,363,725,"1,220",655,888,978,853,0.0
2020년06월_계_80~89세,"6,234",601,127,210,124,120,413,381,439,522,375,227,160,409,542,342,404,440,398,0.0
2020년06월_계_90~99세,890,106,24,39,16,18,45,53,52,101,63,42,19,57,59,32,43,63,58,0.0
2020년06월_계_100세 이상,60,3,0,0,1,0,1,1,5,8,2,0,5,2,9,4,4,12,3,0.0
2020년06월_남_총인구수,"50,987","3,227",873,"1,158",884,613,"1,861","1,322","2,001","2,626","1,201",917,"1,159","2,792","7,388","3,504","8,429","7,604","3,428",0.0
2020년06월_남_연령구간인구수,"50,987","3,227",873,"1,158",884,613,"1,861","1,322","2,001","2,626","1,201",917,"1,159","2,792","7,388","3,504","8,429","7,604","3,428",0.0
