카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020년01월_계_총인구수,"20,486","1,165","1,001","5,244","1,253",238,"1,920","6,254",933,377,"2,101"
2020년01월_계_연령구간인구수,"20,486","1,165","1,001","5,244","1,253",238,"1,920","6,254",933,377,"2,101"
2020년01월_계_0~9세,994,36,33,354,59,3,48,319,23,15,104
2020년01월_계_10~19세,"1,181",55,31,322,67,8,94,404,44,15,141
2020년01월_계_20~29세,"2,727",87,59,"1,053",200,46,133,581,81,26,461
2020년01월_계_30~39세,"2,007",89,68,641,120,20,96,641,50,22,260
2020년01월_계_40~49세,"2,488",110,132,672,127,16,205,811,100,36,279
2020년01월_계_50~59세,"3,716",233,202,745,237,33,363,"1,283",188,87,345
2020년01월_계_60~69세,"3,736",295,254,721,208,47,449,"1,207",205,75,275
2020년01월_계_70~79세,"2,287",158,144,417,167,49,324,693,147,59,129
2020년01월_계_80~89세,"1,110",86,59,250,61,14,168,266,82,36,88
2020년01월_계_90~99세,230,15,18,66,7,2,39,45,13,6,19
2020년01월_계_100세 이상,10,1,1,3,0,0,1,4,0,0,0
2020년01월_남_총인구수,"11,633",613,535,"3,100",723,151,"1,041","3,470",482,192,"1,326"
2020년01월_남_연령구간인구수,"11,633",613,535,"3,100",723,151,"1,041","3,470",482,192,"1,326"
2020년01월_남_0~9세,507,17,16,179,36,0,21,176,11,7,44
2020년01월_남_10~19세,642,29,19,156,37,7,49,229,25,8,83
2020년01월_남_20~29세,"1,987",49,34,842,143,40,80,373,43,12,371
2020년01월_남_30~39세,"1,249",48,41,390,80,17,59,392,27,15,180
2020년01월_남_40~49세,"1,590",62,82,442,82,12,136,492,68,20,194
2020년01월_남_50~59세,"2,137",139,120,424,129,23,228,699,106,51,218
2020년01월_남_60~69세,"1,976",154,129,378,119,25,251,646,103,36,135
2020년01월_남_70~79세,"1,109",80,76,192,69,21,149,360,65,34,63
2020년01월_남_80~89세,384,31,17,80,26,6,59,92,32,8,33
2020년01월_남_90~99세,48,3,1,16,2,0,9,9,2,1,5
2020년01월_남_100세 이상,4,1,0,1,0,0,0,2,0,0,0
2020년01월_여_총인구수,"8,853",552,466,"2,144",530,87,879,"2,784",451,185,775
2020년01월_여_연령구간인구수,"8,853",552,466,"2,144",530,87,879,"2,784",451,185,775
2020년01월_여_0~9세,487,19,17,175,23,3,27,143,12,8,60
2020년01월_여_10~19세,539,26,12,166,30,1,45,175,19,7,58
2020년01월_여_20~29세,740,38,25,211,57,6,53,208,38,14,90
2020년01월_여_30~39세,758,41,27,251,40,3,37,249,23,7,80
2020년01월_여_40~49세,898,48,50,230,45,4,69,319,32,16,85
2020년01월_여_50~59세,"1,579",94,82,321,108,10,135,584,82,36,127
2020년01월_여_60~69세,"1,760",141,125,343,89,22,198,561,102,39,140
2020년01월_여_70~79세,"1,178",78,68,225,98,28,175,333,82,25,66
2020년01월_여_80~89세,726,55,42,170,35,8,109,174,50,28,55
2020년01월_여_90~99세,182,12,17,50,5,2,30,36,11,5,14
2020년01월_여_100세 이상,6,0,1,2,0,0,1,2,0,0,0
2020년02월_계_총인구수,"20,456","1,172","1,002","5,241","1,258",238,"1,918","6,232",927,379,"2,089"
2020년02월_계_연령구간인구수,"20,456","1,172","1,002","5,241","1,258",238,"1,918","6,232",927,379,"2,089"
2020년02월_계_0~9세,990,38,35,359,62,3,46,310,23,14,100
2020년02월_계_10~19세,"1,164",55,30,314,66,9,91,405,38,16,140
2020년02월_계_20~29세,"2,709",87,59,"1,060",201,44,132,562,80,27,457
2020년02월_계_30~39세,"1,990",88,67,630,124,21,99,633,50,21,257
2020년02월_계_40~49세,"2,481",114,129,668,122,15,202,814,100,36,281
2020년02월_계_50~59세,"3,708",229,205,744,239,33,361,"1,280",190,86,341
2020년02월_계_60~69세,"3,771",303,257,727,207,48,454,"1,216",206,77,276
2020년02월_계_70~79세,"2,285",158,144,421,163,49,323,696,143,59,129
2020년02월_계_80~89세,"1,115",85,57,249,66,14,168,267,84,36,89
2020년02월_계_90~99세,233,14,17,66,8,2,41,46,13,7,19
2020년02월_계_100세 이상,10,1,2,3,0,0,1,3,0,0,0
2020년02월_남_총인구수,"11,617",619,537,"3,097",720,151,"1,043","3,456",479,192,"1,323"
2020년02월_남_연령구간인구수,"11,617",619,537,"3,097",720,151,"1,043","3,456",479,192,"1,323"
2020년02월_남_0~9세,500,18,17,181,33,0,21,170,11,7,42
2020년02월_남_10~19세,635,29,19,155,37,8,46,230,23,8,80
2020년02월_남_20~29세,"1,967",48,34,841,142,38,81,361,40,12,370
2020년02월_남_30~39세,"1,246",49,40,382,81,18,62,391,28,14,181
2020년02월_남_40~49세,"1,584",64,79,442,80,11,134,491,67,20,196
2020년02월_남_50~59세,"2,132",138,122,423,130,23,226,697,107,50,216
2020년02월_남_60~69세,"1,997",158,131,380,118,26,255,649,105,38,137
2020년02월_남_70~79세,"1,114",80,78,197,66,21,149,364,63,34,62
2020년02월_남_80~89세,390,31,16,80,30,6,59,93,33,8,34
2020년02월_남_90~99세,48,3,0,15,3,0,10,9,2,1,5
2020년02월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2020년02월_여_총인구수,"8,839",553,465,"2,144",538,87,875,"2,776",448,187,766
2020년02월_여_연령구간인구수,"8,839",553,465,"2,144",538,87,875,"2,776",448,187,766
2020년02월_여_0~9세,490,20,18,178,29,3,25,140,12,7,58
2020년02월_여_10~19세,529,26,11,159,29,1,45,175,15,8,60
2020년02월_여_20~29세,742,39,25,219,59,6,51,201,40,15,87
2020년02월_여_30~39세,744,39,27,248,43,3,37,242,22,7,76
2020년02월_여_40~49세,897,50,50,226,42,4,68,323,33,16,85
2020년02월_여_50~59세,"1,576",91,83,321,109,10,135,583,83,36,125
