카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년03월_계_총인구수,"43,411","6,567","4,568","6,102","13,808","3,963","3,550","2,685","2,168"
2020년03월_계_연령구간인구수,"43,411","6,567","4,568","6,102","13,808","3,963","3,550","2,685","2,168"
2020년03월_계_0~9세,"2,775",516,209,427,"1,197",166,135,85,40
2020년03월_계_10~19세,"3,936",607,326,516,"1,663",283,234,198,109
2020년03월_계_20~29세,"3,732",617,351,405,"1,455",286,310,168,140
2020년03월_계_30~39세,"4,083",647,320,607,"1,640",300,276,161,132
2020년03월_계_40~49세,"6,609",971,628,949,"2,625",540,394,296,206
2020년03월_계_50~59세,"7,569","1,130",855,"1,000","2,196",763,785,447,393
2020년03월_계_60~69세,"7,496","1,087",980,"1,051","1,679",903,693,607,496
2020년03월_계_70~79세,"4,866",659,635,772,935,501,462,491,411
2020년03월_계_80~89세,"2,034",282,220,325,370,194,227,208,208
2020년03월_계_90~99세,250,37,36,42,41,22,27,20,25
2020년03월_계_100세 이상,61,14,8,8,7,5,7,4,8
2020년03월_남_총인구수,"21,949","3,277","2,347","3,072","6,986","1,985","1,757","1,398","1,127"
2020년03월_남_연령구간인구수,"21,949","3,277","2,347","3,072","6,986","1,985","1,757","1,398","1,127"
2020년03월_남_0~9세,"1,429",272,104,222,607,85,69,49,21
2020년03월_남_10~19세,"2,066",329,185,257,868,129,112,125,61
2020년03월_남_20~29세,"2,110",360,205,242,805,144,175,100,79
2020년03월_남_30~39세,"2,144",332,179,296,833,173,158,89,84
2020년03월_남_40~49세,"3,522",498,352,535,"1,340",293,205,183,116
2020년03월_남_50~59세,"4,023",567,461,567,"1,155",391,414,247,221
2020년03월_남_60~69세,"3,677",508,494,481,823,450,352,308,261
2020년03월_남_70~79세,"2,165",292,273,345,418,235,195,217,190
2020년03월_남_80~89세,735,103,84,116,126,80,73,73,80
2020년03월_남_90~99세,52,9,7,8,6,3,2,5,12
2020년03월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년03월_여_총인구수,"21,462","3,290","2,221","3,030","6,822","1,978","1,793","1,287","1,041"
2020년03월_여_연령구간인구수,"21,462","3,290","2,221","3,030","6,822","1,978","1,793","1,287","1,041"
2020년03월_여_0~9세,"1,346",244,105,205,590,81,66,36,19
2020년03월_여_10~19세,"1,870",278,141,259,795,154,122,73,48
2020년03월_여_20~29세,"1,622",257,146,163,650,142,135,68,61
2020년03월_여_30~39세,"1,939",315,141,311,807,127,118,72,48
2020년03월_여_40~49세,"3,087",473,276,414,"1,285",247,189,113,90
2020년03월_여_50~59세,"3,546",563,394,433,"1,041",372,371,200,172
2020년03월_여_60~69세,"3,819",579,486,570,856,453,341,299,235
2020년03월_여_70~79세,"2,701",367,362,427,517,266,267,274,221
2020년03월_여_80~89세,"1,299",179,136,209,244,114,154,135,128
2020년03월_여_90~99세,198,28,29,34,35,19,25,15,13
2020년03월_여_100세 이상,35,7,5,5,2,3,5,2,6
2020년04월_계_총인구수,"43,251","6,534","4,540","6,104","13,752","3,969","3,534","2,657","2,161"
2020년04월_계_연령구간인구수,"43,251","6,534","4,540","6,104","13,752","3,969","3,534","2,657","2,161"
2020년04월_계_0~9세,"2,757",516,201,428,"1,191",166,134,78,43
2020년04월_계_10~19세,"3,924",588,333,513,"1,669",280,234,195,112
2020년04월_계_20~29세,"3,671",617,347,403,"1,415",285,302,164,138
2020년04월_계_30~39세,"4,044",645,314,597,"1,628",297,276,157,130
2020년04월_계_40~49세,"6,570",959,623,939,"2,618",536,397,292,206
2020년04월_계_50~59세,"7,537","1,131",849,"1,003","2,183",772,769,439,391
2020년04월_계_60~69세,"7,528","1,088",974,"1,072","1,694",900,695,610,495
2020년04월_계_70~79세,"4,867",658,636,768,936,508,465,487,409
2020년04월_계_80~89세,"2,041",279,218,331,369,198,230,211,205
2020년04월_계_90~99세,251,39,37,42,42,22,25,20,24
2020년04월_계_100세 이상,61,14,8,8,7,5,7,4,8
2020년04월_남_총인구수,"21,856","3,249","2,327","3,075","6,961","1,995","1,746","1,384","1,119"
2020년04월_남_연령구간인구수,"21,856","3,249","2,327","3,075","6,961","1,995","1,746","1,384","1,119"
2020년04월_남_0~9세,"1,418",270,101,223,603,84,68,46,23
2020년04월_남_10~19세,"2,051",316,184,255,873,128,113,121,61
2020년04월_남_20~29세,"2,081",362,205,238,782,149,166,100,79
2020년04월_남_30~39세,"2,116",328,175,293,822,172,160,85,81
2020년04월_남_40~49세,"3,495",488,346,529,"1,338",289,206,181,118
2020년04월_남_50~59세,"4,009",563,461,568,"1,154",397,404,245,217
2020년04월_남_60~69세,"3,698",512,488,494,832,451,352,309,260
2020년04월_남_70~79세,"2,171",292,274,346,420,236,199,216,188
2020년04월_남_80~89세,739,102,83,118,125,84,74,74,79
2020년04월_남_90~99세,52,9,7,8,7,3,2,5,11
2020년04월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년04월_여_총인구수,"21,395","3,285","2,213","3,029","6,791","1,974","1,788","1,273","1,042"
2020년04월_여_연령구간인구수,"21,395","3,285","2,213","3,029","6,791","1,974","1,788","1,273","1,042"
2020년04월_여_0~9세,"1,339",246,100,205,588,82,66,32,20
2020년04월_여_10~19세,"1,873",272,149,258,796,152,121,74,51
2020년04월_여_20~29세,"1,590",255,142,165,633,136,136,64,59
2020년04월_여_30~39세,"1,928",317,139,304,806,125,116,72,49
2020년04월_여_40~49세,"3,075",471,277,410,"1,280",247,191,111,88
2020년04월_여_50~59세,"3,528",568,388,435,"1,029",375,365,194,174
2020년04월_여_60~69세,"3,830",576,486,578,862,449,343,301,235
2020년04월_여_70~79세,"2,696",366,362,422,516,272,266,271,221
2020년04월_여_80~89세,"1,302",177,135,213,244,114,156,137,126
2020년04월_여_90~99세,199,30,30,34,35,19,23,15,13
2020년04월_여_100세 이상,35,7,5,5,2,3,5,2,6
2020년05월_계_총인구수,"43,254","6,539","4,537","6,074","13,785","3,976","3,538","2,651","2,154"
2020년05월_계_연령구간인구수,"43,254","6,539","4,537","6,074","13,785","3,976","3,538","2,651","2,154"
2020년05월_계_0~9세,"2,733",513,201,411,"1,184",168,133,79,44
2020년05월_계_10~19세,"3,939",587,329,519,"1,694",277,234,189,110
2020년05월_계_20~29세,"3,677",616,348,394,"1,429",285,305,162,138
2020년05월_계_30~39세,"4,014",643,314,590,"1,615",294,273,159,126
2020년05월_계_40~49세,"6,558",957,616,933,"2,623",542,399,287,201
2020년05월_계_50~59세,"7,540","1,141",842,"1,001","2,182",778,764,444,388
2020년05월_계_60~69세,"7,535","1,091",982,"1,069","1,697",893,699,605,499
2020년05월_계_70~79세,"4,894",661,640,773,944,513,464,488,411
2020년05월_계_80~89세,"2,047",277,219,332,367,199,235,213,205
2020년05월_계_90~99세,255,39,38,44,42,22,25,21,24
2020년05월_계_100세 이상,62,14,8,8,8,5,7,4,8
2020년05월_남_총인구수,"21,847","3,244","2,326","3,054","6,977","1,999","1,750","1,381","1,116"
2020년05월_남_연령구간인구수,"21,847","3,244","2,326","3,054","6,977","1,999","1,750","1,381","1,116"
2020년05월_남_0~9세,"1,407",268,101,214,600,86,68,47,23
2020년05월_남_10~19세,"2,058",317,180,259,888,126,111,118,59
2020년05월_남_20~29세,"2,088",359,205,233,793,149,167,99,83
2020년05월_남_30~39세,"2,097",329,176,288,811,170,160,85,78
2020년05월_남_40~49세,"3,485",483,341,528,"1,342",293,208,176,114
2020년05월_남_50~59세,"4,015",565,458,565,"1,155",401,402,251,218
2020년05월_남_60~69세,"3,694",515,497,490,823,447,357,306,259
2020년05월_남_70~79세,"2,184",291,275,347,428,237,199,217,190
