카테고리,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년03월_계_총인구수,"31,951","10,169","3,190","2,161","2,045","4,442","2,263","1,570","2,278","1,773","2,060"
2020년03월_계_연령구간인구수,"31,951","10,169","3,190","2,161","2,045","4,442","2,263","1,570","2,278","1,773","2,060"
2020년03월_계_0~9세,"1,491",656,107,52,80,190,62,36,61,37,210
2020년03월_계_10~19세,"1,912",895,143,102,82,244,101,77,109,40,119
2020년03월_계_20~29세,"2,136",936,160,139,112,257,108,75,120,104,125
2020년03월_계_30~39세,"2,083",829,169,133,103,255,102,67,111,71,243
2020년03월_계_40~49세,"3,361","1,341",249,181,167,416,221,138,204,140,304
2020년03월_계_50~59세,"5,963","1,815",631,398,365,868,450,343,465,286,342
2020년03월_계_60~69세,"6,567","1,625",751,503,451,946,562,400,524,439,366
2020년03월_계_70~79세,"4,801","1,178",556,357,363,712,382,243,405,384,221
2020년03월_계_80~89세,"3,134",747,374,257,281,463,240,168,244,245,115
2020년03월_계_90~99세,476,141,48,38,40,84,30,22,34,24,15
2020년03월_계_100세 이상,27,6,2,1,1,7,5,1,1,3,0
2020년03월_남_총인구수,"16,077","5,017","1,599","1,054","1,028","2,211","1,132",796,"1,201",909,"1,130"
2020년03월_남_연령구간인구수,"16,077","5,017","1,599","1,054","1,028","2,211","1,132",796,"1,201",909,"1,130"
2020년03월_남_0~9세,783,349,56,30,41,102,35,20,31,18,101
2020년03월_남_10~19세,"1,038",442,89,48,42,146,56,49,71,25,70
2020년03월_남_20~29세,"1,224",524,95,86,66,140,63,40,77,67,66
2020년03월_남_30~39세,"1,133",407,97,74,63,128,53,38,74,41,158
2020년03월_남_40~49세,"1,977",717,142,116,107,249,136,79,131,95,205
2020년03월_남_50~59세,"3,170",954,328,199,199,448,237,178,262,164,201
2020년03월_남_60~69세,"3,417",829,398,257,244,482,297,224,271,219,196
2020년03월_남_70~79세,"2,129",509,254,152,152,317,177,106,189,180,93
2020년03월_남_80~89세,"1,089",266,127,82,102,172,69,55,90,92,34
2020년03월_남_90~99세,112,19,13,9,12,24,9,7,5,8,6
2020년03월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년03월_여_총인구수,"15,874","5,152","1,591","1,107","1,017","2,231","1,131",774,"1,077",864,930
2020년03월_여_연령구간인구수,"15,874","5,152","1,591","1,107","1,017","2,231","1,131",774,"1,077",864,930
2020년03월_여_0~9세,708,307,51,22,39,88,27,16,30,19,109
2020년03월_여_10~19세,874,453,54,54,40,98,45,28,38,15,49
2020년03월_여_20~29세,912,412,65,53,46,117,45,35,43,37,59
2020년03월_여_30~39세,950,422,72,59,40,127,49,29,37,30,85
2020년03월_여_40~49세,"1,384",624,107,65,60,167,85,59,73,45,99
2020년03월_여_50~59세,"2,793",861,303,199,166,420,213,165,203,122,141
2020년03월_여_60~69세,"3,150",796,353,246,207,464,265,176,253,220,170
2020년03월_여_70~79세,"2,672",669,302,205,211,395,205,137,216,204,128
2020년03월_여_80~89세,"2,045",481,247,175,179,291,171,113,154,153,81
2020년03월_여_90~99세,364,122,35,29,28,60,21,15,29,16,9
2020년03월_여_100세 이상,22,5,2,0,1,4,5,1,1,3,0
2020년04월_계_총인구수,"31,889","10,139","3,178","2,162","2,046","4,456","2,251","1,565","2,268","1,770","2,054"
2020년04월_계_연령구간인구수,"31,889","10,139","3,178","2,162","2,046","4,456","2,251","1,565","2,268","1,770","2,054"
2020년04월_계_0~9세,"1,479",641,105,56,78,194,64,36,60,38,207
2020년04월_계_10~19세,"1,916",898,144,98,85,251,99,76,105,39,121
2020년04월_계_20~29세,"2,120",923,161,139,112,260,109,76,119,98,123
