카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년03월_계_총인구수,"101,630","10,997","4,234","3,888","3,244","2,175","3,100","1,164","4,250","6,140","4,440","3,030","29,609","9,317","4,855","6,909","4,278"
2020년03월_계_연령구간인구수,"101,630","10,997","4,234","3,888","3,244","2,175","3,100","1,164","4,250","6,140","4,440","3,030","29,609","9,317","4,855","6,909","4,278"
2020년03월_계_0~9세,"5,826",401,104,110,81,66,66,14,144,279,75,80,"2,735",678,168,561,264
2020년03월_계_10~19세,"6,834",516,153,176,92,83,89,35,166,233,147,89,"3,044",924,289,577,221
2020년03월_계_20~29세,"10,390",997,340,250,190,104,205,67,271,"1,117",262,204,"3,576","1,185",512,697,413
2020년03월_계_30~39세,"9,572",826,312,229,193,101,162,53,245,484,258,206,"3,771","1,001",393,863,475
2020년03월_계_40~49세,"12,942","1,335",370,344,297,168,252,65,408,516,425,262,"4,911","1,435",577,"1,072",505
2020년03월_계_50~59세,"18,310","2,265",835,688,585,412,580,264,721,904,813,575,"5,207","1,632",909,"1,122",798
2020년03월_계_60~69세,"17,911","2,224",983,924,759,536,795,273,934,"1,104","1,063",806,"3,589","1,245",952,975,749
2020년03월_계_70~79세,"12,270","1,570",701,696,621,388,572,213,839,924,826,486,"1,744",781,679,697,533
2020년03월_계_80~89세,"6,790",782,382,425,388,282,335,160,462,521,510,290,938,388,339,316,272
2020년03월_계_90~99세,744,78,52,45,38,34,38,19,59,55,58,31,89,43,36,22,47
2020년03월_계_100세 이상,41,3,2,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020년03월_남_총인구수,"51,685","5,767","2,198","1,909","1,684","1,080","1,568",587,"2,162","3,468","2,291","1,594","14,604","4,634","2,401","3,439","2,299"
2020년03월_남_연령구간인구수,"51,685","5,767","2,198","1,909","1,684","1,080","1,568",587,"2,162","3,468","2,291","1,594","14,604","4,634","2,401","3,439","2,299"
