카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2020년01월_계_총인구수,"351,168","118,704","35,364","3,431","13,268","8,592","11,211","34,254","22,469","9,249","29,107","20,207","31,166","14,146"
2020년01월_계_연령구간인구수,"351,168","118,704","35,364","3,431","13,268","8,592","11,211","34,254","22,469","9,249","29,107","20,207","31,166","14,146"
2020년01월_계_0~9세,"36,210","16,551","5,086",93,603,215,423,"2,889","1,510",801,"2,686","1,544","2,680","1,129"
2020년01월_계_10~19세,"34,264","12,053","2,682",114,931,542,620,"4,476","1,921","1,073","3,365","1,798","3,376","1,313"
2020년01월_계_20~29세,"41,435","14,488","3,532",194,"1,421",948,"1,439","4,704","3,276","1,053","3,326","2,234","3,216","1,604"
2020년01월_계_30~39세,"51,997","22,207","7,047",207,"1,185",638,"1,223","3,712","3,175","1,184","3,695","2,500","3,530","1,694"
2020년01월_계_40~49세,"60,311","21,030","6,024",297,"1,776","1,025","1,458","6,500","3,652","1,713","5,553","3,397","5,622","2,264"
2020년01월_계_50~59세,"58,044","16,473","4,853",657,"2,905","2,004","2,448","6,066","4,649","1,569","4,842","3,839","5,084","2,655"
2020년01월_계_60~69세,"39,731","9,918","3,738",912,"2,427","1,827","2,187","3,187","2,691","1,079","3,350","2,643","3,867","1,905"
2020년01월_계_70~79세,"20,043","4,173","1,738",614,"1,365",858,972,"1,895","1,103",524,"1,619","1,517","2,595","1,070"
2020년01월_계_80~89세,"8,083","1,587",583,295,572,445,382,758,422,228,581,675,"1,095",460
2020년01월_계_90~99세,995,217,79,46,75,83,50,66,67,24,81,58,97,52
2020년01월_계_100세 이상,55,7,2,2,8,7,9,1,3,1,9,2,4,0
2020년01월_남_총인구수,"176,291","58,768","17,928","1,771","6,745","4,544","5,958","16,600","11,766","4,652","15,060","10,083","15,284","7,132"
2020년01월_남_연령구간인구수,"176,291","58,768","17,928","1,771","6,745","4,544","5,958","16,600","11,766","4,652","15,060","10,083","15,284","7,132"
2020년01월_남_0~9세,"18,522","8,463","2,630",53,294,108,220,"1,473",769,411,"1,379",768,"1,363",591
2020년01월_남_10~19세,"17,618","6,193","1,346",55,468,297,347,"2,346","1,022",488,"1,734",920,"1,718",684
2020년01월_남_20~29세,"22,169","7,196","1,918",117,827,575,863,"2,468","1,887",569,"1,886","1,231","1,744",888
2020년01월_남_30~39세,"26,642","10,995","3,567",133,671,386,727,"1,777","1,822",638,"1,948","1,303","1,780",895
2020년01월_남_40~49세,"30,606","10,525","3,231",178,960,545,833,"2,980","1,903",874,"2,910","1,706","2,828","1,133"
2020년01월_남_50~59세,"29,378","8,098","2,384",359,"1,483","1,070","1,261","3,027","2,342",827,"2,604","1,992","2,572","1,359"
2020년01월_남_60~69세,"19,508","4,874","1,794",465,"1,247",987,"1,113","1,439","1,420",545,"1,653","1,300","1,737",934
2020년01월_남_70~79세,"8,890","1,885",854,303,590,413,457,800,462,234,728,621,"1,082",461
2020년01월_남_80~89세,"2,739",500,188,98,187,146,121,275,118,65,205,227,431,178
2020년01월_남_90~99세,211,38,16,10,15,17,15,15,19,1,13,15,28,9
2020년01월_남_100세 이상,8,1,0,0,3,0,1,0,2,0,0,0,1,0
2020년01월_여_총인구수,"174,877","59,936","17,436","1,660","6,523","4,048","5,253","17,654","10,703","4,597","14,047","10,124","15,882","7,014"
2020년01월_여_연령구간인구수,"174,877","59,936","17,436","1,660","6,523","4,048","5,253","17,654","10,703","4,597","14,047","10,124","15,882","7,014"
2020년01월_여_0~9세,"17,688","8,088","2,456",40,309,107,203,"1,416",741,390,"1,307",776,"1,317",538
2020년01월_여_10~19세,"16,646","5,860","1,336",59,463,245,273,"2,130",899,585,"1,631",878,"1,658",629
2020년01월_여_20~29세,"19,266","7,292","1,614",77,594,373,576,"2,236","1,389",484,"1,440","1,003","1,472",716
2020년01월_여_30~39세,"25,355","11,212","3,480",74,514,252,496,"1,935","1,353",546,"1,747","1,197","1,750",799
2020년01월_여_40~49세,"29,705","10,505","2,793",119,816,480,625,"3,520","1,749",839,"2,643","1,691","2,794","1,131"
2020년01월_여_50~59세,"28,666","8,375","2,469",298,"1,422",934,"1,187","3,039","2,307",742,"2,238","1,847","2,512","1,296"
2020년01월_여_60~69세,"20,223","5,044","1,944",447,"1,180",840,"1,074","1,748","1,271",534,"1,697","1,343","2,130",971
2020년01월_여_70~79세,"11,153","2,288",884,311,775,445,515,"1,095",641,290,891,896,"1,513",609
2020년01월_여_80~89세,"5,344","1,087",395,197,385,299,261,483,304,163,376,448,664,282
2020년01월_여_90~99세,784,179,63,36,60,66,35,51,48,23,68,43,69,43
2020년01월_여_100세 이상,47,6,2,2,5,7,8,1,1,1,9,2,3,0
2020년02월_계_총인구수,"351,457","118,756","35,358","3,426","13,221","8,549","11,363","34,247","22,436","9,228","28,952","20,231","31,158","14,532"
2020년02월_계_연령구간인구수,"351,457","118,756","35,358","3,426","13,221","8,549","11,363","34,247","22,436","9,228","28,952","20,231","31,158","14,532"
2020년02월_계_0~9세,"36,047","16,499","5,059",92,589,209,439,"2,871","1,496",787,"2,639","1,530","2,670","1,167"
2020년02월_계_10~19세,"34,264","12,083","2,684",109,921,539,648,"4,453","1,906","1,082","3,340","1,793","3,366","1,340"
2020년02월_계_20~29세,"41,342","14,456","3,510",193,"1,409",923,"1,439","4,700","3,258","1,049","3,294","2,230","3,233","1,648"
2020년02월_계_30~39세,"51,670","22,010","6,998",211,"1,172",635,"1,246","3,693","3,171","1,162","3,639","2,484","3,483","1,766"
2020년02월_계_40~49세,"60,481","21,131","6,068",296,"1,754","1,020","1,474","6,492","3,636","1,710","5,531","3,414","5,618","2,337"
2020년02월_계_50~59세,"58,216","16,524","4,853",654,"2,908","2,001","2,476","6,089","4,645","1,574","4,844","3,840","5,094","2,714"
2020년02월_계_60~69세,"40,060","10,025","3,767",913,"2,430","1,820","2,214","3,208","2,727","1,087","3,358","2,689","3,875","1,947"
2020년02월_계_70~79세,"20,118","4,197","1,749",613,"1,368",863,978,"1,902","1,106",526,"1,620","1,503","2,608","1,085"
2020년02월_계_80~89세,"8,202","1,607",586,295,585,448,392,769,422,229,600,686,"1,110",473
2020년02월_계_90~99세,"1,002",216,82,48,77,84,48,69,66,22,78,60,97,55
2020년02월_계_100세 이상,55,8,2,2,8,7,9,1,3,0,9,2,4,0
2020년02월_남_총인구수,"176,425","58,769","17,913","1,772","6,719","4,514","6,046","16,594","11,752","4,630","15,009","10,101","15,281","7,325"
2020년02월_남_연령구간인구수,"176,425","58,769","17,913","1,772","6,719","4,514","6,046","16,594","11,752","4,630","15,009","10,101","15,281","7,325"
2020년02월_남_0~9세,"18,446","8,441","2,610",52,289,102,234,"1,463",762,401,"1,360",764,"1,362",606
2020년02월_남_10~19세,"17,624","6,201","1,348",50,461,291,368,"2,335","1,014",499,"1,730",913,"1,720",694
2020년02월_남_20~29세,"22,116","7,192","1,905",117,825,564,857,"2,466","1,875",560,"1,860","1,221","1,754",920
2020년02월_남_30~39세,"26,484","10,870","3,537",135,666,380,740,"1,778","1,820",628,"1,935","1,305","1,757",933
2020년02월_남_40~49세,"30,703","10,586","3,264",179,941,543,841,"2,970","1,898",867,"2,896","1,727","2,823","1,168"
2020년02월_남_50~59세,"29,427","8,103","2,381",358,"1,488","1,068","1,275","3,032","2,342",830,"2,614","1,982","2,576","1,378"
2020년02월_남_60~69세,"19,673","4,930","1,805",465,"1,244",985,"1,127","1,455","1,439",543,"1,658","1,325","1,733",964
2020년02월_남_70~79세,"8,943","1,906",854,308,595,414,464,793,464,234,731,618,"1,089",473
2020년02월_남_80~89세,"2,785",502,192,97,191,149,125,287,116,67,212,230,438,179
2020년02월_남_90~99세,216,37,17,11,16,18,14,15,20,1,13,16,28,10
2020년02월_남_100세 이상,8,1,0,0,3,0,1,0,2,0,0,0,1,0
