카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년03월_계_총인구수,"221,702","10,308","17,617","8,983","4,992","11,491","13,847","20,460","34,284","23,703","22,911","20,735","11,049","21,322"
2020년03월_계_연령구간인구수,"221,702","10,308","17,617","8,983","4,992","11,491","13,847","20,460","34,284","23,703","22,911","20,735","11,049","21,322"
2020년03월_계_0~9세,"17,657",475,"1,457",436,246,957,515,"1,455","3,699","1,200","1,529","2,139","1,348","2,201"
2020년03월_계_10~19세,"20,782",666,"1,354",658,338,"1,151",720,"1,674","3,637","2,283","2,411","1,930","1,334","2,626"
2020년03월_계_20~29세,"27,991","1,095","2,287","1,356",633,"1,552","1,696","2,596","4,038","3,341","3,140","2,405","1,383","2,469"
2020년03월_계_30~39세,"27,795","1,075","2,611","1,053",542,"1,679","1,396","2,585","4,674","2,210","2,396","2,959","1,733","2,882"
2020년03월_계_40~49세,"35,235","1,422","2,677","1,213",617,"1,809","1,758","3,017","6,038","3,731","3,454","3,368","1,851","4,280"
2020년03월_계_50~59세,"42,247","1,938","3,563","1,808","1,040","2,087","2,749","3,831","5,964","5,109","4,934","3,788","1,979","3,457"
2020년03월_계_60~69세,"30,557","1,976","2,352","1,456",939,"1,364","2,808","3,167","4,056","3,444","3,247","2,666",944,"2,138"
2020년03월_계_70~79세,"13,802","1,182",956,734,466,616,"1,531","1,474","1,577","1,668","1,312","1,057",342,887
2020년03월_계_80~89세,"4,966",426,312,236,144,236,587,599,528,649,427,379,123,320
2020년03월_계_90~99세,616,49,46,31,21,37,65,59,72,66,57,42,11,60
2020년03월_계_100세 이상,54,4,2,2,6,3,22,3,1,2,4,2,1,2
2020년03월_남_총인구수,"112,512","5,269","9,153","4,592","2,490","5,762","7,139","10,317","17,168","12,045","11,645","10,528","5,577","10,827"
2020년03월_남_연령구간인구수,"112,512","5,269","9,153","4,592","2,490","5,762","7,139","10,317","17,168","12,045","11,645","10,528","5,577","10,827"
2020년03월_남_0~9세,"9,129",245,751,234,138,471,267,784,"1,966",589,774,"1,080",699,"1,131"
2020년03월_남_10~19세,"11,143",341,714,348,170,642,381,892,"1,927","1,272","1,331","1,054",693,"1,378"
2020년03월_남_20~29세,"15,593",609,"1,256",744,345,830,974,"1,455","2,299","1,883","1,772","1,343",740,"1,343"
2020년03월_남_30~39세,"14,560",618,"1,422",589,303,901,834,"1,330","2,275","1,210","1,265","1,506",858,"1,449"
2020년03월_남_40~49세,"17,882",814,"1,443",619,313,887,968,"1,531","2,977","1,850","1,678","1,759",874,"2,169"
2020년03월_남_50~59세,"21,099","1,030","1,809",912,501,"1,014","1,398","1,910","2,831","2,556","2,459","1,857","1,020","1,802"
2020년03월_남_60~69세,"14,961",936,"1,179",709,452,640,"1,412","1,535","1,968","1,701","1,579","1,317",490,"1,043"
2020년03월_남_70~79세,"6,320",515,468,348,204,296,673,645,745,763,621,478,157,407
2020년03월_남_80~89세,"1,712",155,104,83,53,75,213,220,171,207,161,126,44,100
2020년03월_남_90~99세,103,5,7,6,8,6,15,15,9,13,5,7,2,5
2020년03월_남_100세 이상,10,1,0,0,3,0,4,0,0,1,0,1,0,0
2020년03월_여_총인구수,"109,190","5,039","8,464","4,391","2,502","5,729","6,708","10,143","17,116","11,658","11,266","10,207","5,472","10,495"
2020년03월_여_연령구간인구수,"109,190","5,039","8,464","4,391","2,502","5,729","6,708","10,143","17,116","11,658","11,266","10,207","5,472","10,495"
2020년03월_여_0~9세,"8,528",230,706,202,108,486,248,671,"1,733",611,755,"1,059",649,"1,070"
2020년03월_여_10~19세,"9,639",325,640,310,168,509,339,782,"1,710","1,011","1,080",876,641,"1,248"
2020년03월_여_20~29세,"12,398",486,"1,031",612,288,722,722,"1,141","1,739","1,458","1,368","1,062",643,"1,126"
2020년03월_여_30~39세,"13,235",457,"1,189",464,239,778,562,"1,255","2,399","1,000","1,131","1,453",875,"1,433"
2020년03월_여_40~49세,"17,353",608,"1,234",594,304,922,790,"1,486","3,061","1,881","1,776","1,609",977,"2,111"
2020년03월_여_50~59세,"21,148",908,"1,754",896,539,"1,073","1,351","1,921","3,133","2,553","2,475","1,931",959,"1,655"
2020년03월_여_60~69세,"15,596","1,040","1,173",747,487,724,"1,396","1,632","2,088","1,743","1,668","1,349",454,"1,095"
2020년03월_여_70~79세,"7,482",667,488,386,262,320,858,829,832,905,691,579,185,480
2020년03월_여_80~89세,"3,254",271,208,153,91,161,374,379,357,442,266,253,79,220
2020년03월_여_90~99세,513,44,39,25,13,31,50,44,63,53,52,35,9,55
2020년03월_여_100세 이상,44,3,2,2,3,3,18,3,1,1,4,1,1,2
2020년04월_계_총인구수,"221,125","10,293","17,570","8,973","4,949","11,460","13,806","20,301","34,241","23,598","22,879","20,701","11,079","21,275"
2020년04월_계_연령구간인구수,"221,125","10,293","17,570","8,973","4,949","11,460","13,806","20,301","34,241","23,598","22,879","20,701","11,079","21,275"
2020년04월_계_0~9세,"17,519",468,"1,439",438,244,955,507,"1,436","3,682","1,186","1,527","2,117","1,346","2,174"
2020년04월_계_10~19세,"20,655",653,"1,350",655,330,"1,149",715,"1,662","3,631","2,240","2,394","1,927","1,334","2,615"
2020년04월_계_20~29세,"27,868","1,095","2,273","1,362",626,"1,538","1,685","2,564","4,023","3,326","3,115","2,408","1,394","2,459"
2020년04월_계_30~39세,"27,621","1,062","2,586","1,045",529,"1,672","1,402","2,555","4,647","2,208","2,386","2,940","1,734","2,855"
2020년04월_계_40~49세,"35,113","1,420","2,677","1,199",613,"1,804","1,754","2,996","6,030","3,688","3,437","3,369","1,851","4,275"
2020년04월_계_50~59세,"42,150","1,940","3,558","1,803","1,026","2,090","2,720","3,800","5,961","5,096","4,933","3,777","1,982","3,464"
2020년04월_계_60~69세,"30,641","1,982","2,357","1,460",946,"1,356","2,816","3,156","4,066","3,445","3,271","2,677",957,"2,152"
2020년04월_계_70~79세,"13,877","1,194",959,742,460,623,"1,533","1,469","1,594","1,683","1,327","1,058",344,891
2020년04월_계_80~89세,"5,004",425,324,235,146,234,586,604,531,658,428,382,125,326
2020년04월_계_90~99세,621,50,45,32,23,36,64,56,75,66,57,44,11,62
2020년04월_계_100세 이상,56,4,2,2,6,3,24,3,1,2,4,2,1,2
2020년04월_남_총인구수,"112,157","5,262","9,136","4,583","2,469","5,743","7,113","10,228","17,129","11,968","11,609","10,519","5,584","10,814"
2020년04월_남_연령구간인구수,"112,157","5,262","9,136","4,583","2,469","5,743","7,113","10,228","17,129","11,968","11,609","10,519","5,584","10,814"
2020년04월_남_0~9세,"9,052",240,741,233,137,468,266,772,"1,954",581,770,"1,067",701,"1,122"
2020년04월_남_10~19세,"11,066",335,713,344,165,637,375,889,"1,928","1,249","1,319","1,051",690,"1,371"
2020년04월_남_20~29세,"15,505",615,"1,253",742,345,824,956,"1,429","2,279","1,871","1,752","1,349",745,"1,345"
2020년04월_남_30~39세,"14,482",609,"1,414",585,297,902,847,"1,312","2,261","1,206","1,256","1,502",852,"1,439"
2020년04월_남_40~49세,"17,828",818,"1,439",617,313,886,967,"1,521","2,972","1,825","1,668","1,760",876,"2,166"
2020년04월_남_50~59세,"21,033","1,024","1,814",910,493,"1,016","1,377","1,894","2,822","2,550","2,455","1,854","1,023","1,801"
2020년04월_남_60~69세,"14,976",938,"1,177",707,455,635,"1,418","1,532","1,971","1,691","1,590","1,319",494,"1,049"
2020년04월_남_70~79세,"6,365",522,466,356,198,296,674,642,760,770,631,481,156,413
2020년04월_남_80~89세,"1,737",155,112,82,55,73,214,223,172,211,162,129,45,104
2020년04월_남_90~99세,103,5,7,7,8,6,15,14,10,13,6,6,2,4
2020년04월_남_100세 이상,10,1,0,0,3,0,4,0,0,1,0,1,0,0
2020년04월_여_총인구수,"108,968","5,031","8,434","4,390","2,480","5,717","6,693","10,073","17,112","11,630","11,270","10,182","5,495","10,461"
2020년04월_여_연령구간인구수,"108,968","5,031","8,434","4,390","2,480","5,717","6,693","10,073","17,112","11,630","11,270","10,182","5,495","10,461"
2020년04월_여_0~9세,"8,467",228,698,205,107,487,241,664,"1,728",605,757,"1,050",645,"1,052"
2020년04월_여_10~19세,"9,589",318,637,311,165,512,340,773,"1,703",991,"1,075",876,644,"1,244"
2020년04월_여_20~29세,"12,363",480,"1,020",620,281,714,729,"1,135","1,744","1,455","1,363","1,059",649,"1,114"
2020년04월_여_30~39세,"13,139",453,"1,172",460,232,770,555,"1,243","2,386","1,002","1,130","1,438",882,"1,416"
2020년04월_여_40~49세,"17,285",602,"1,238",582,300,918,787,"1,475","3,058","1,863","1,769","1,609",975,"2,109"
2020년04월_여_50~59세,"21,117",916,"1,744",893,533,"1,074","1,343","1,906","3,139","2,546","2,478","1,923",959,"1,663"
2020년04월_여_60~69세,"15,665","1,044","1,180",753,491,721,"1,398","1,624","2,095","1,754","1,681","1,358",463,"1,103"
2020년04월_여_70~79세,"7,512",672,493,386,262,327,859,827,834,913,696,577,188,478
2020년04월_여_80~89세,"3,267",270,212,153,91,161,372,381,359,447,266,253,80,222
2020년04월_여_90~99세,518,45,38,25,15,30,49,42,65,53,51,38,9,58
2020년04월_여_100세 이상,46,3,2,2,3,3,20,3,1,1,4,1,1,2
2020년05월_계_총인구수,"220,604","10,327","17,536","8,948","4,916","11,437","13,774","20,190","34,188","23,532","22,811","20,662","11,046","21,237"
2020년05월_계_연령구간인구수,"220,604","10,327","17,536","8,948","4,916","11,437","13,774","20,190","34,188","23,532","22,811","20,662","11,046","21,237"
2020년05월_계_0~9세,"17,393",475,"1,432",430,237,957,502,"1,421","3,640","1,181","1,519","2,102","1,340","2,157"
2020년05월_계_10~19세,"20,533",651,"1,340",637,325,"1,142",714,"1,649","3,642","2,232","2,377","1,915","1,320","2,589"
2020년05월_계_20~29세,"27,763","1,095","2,266","1,360",618,"1,551","1,686","2,530","4,028","3,285","3,099","2,389","1,385","2,471"
2020년05월_계_30~39세,"27,466","1,068","2,557","1,045",526,"1,650","1,393","2,549","4,610","2,206","2,365","2,928","1,725","2,844"
2020년05월_계_40~49세,"35,032","1,410","2,678","1,191",613,"1,792","1,754","2,992","6,021","3,676","3,436","3,361","1,845","4,263"
2020년05월_계_50~59세,"42,061","1,950","3,557","1,808","1,015","2,087","2,719","3,755","5,946","5,081","4,902","3,786","1,984","3,471"
2020년05월_계_60~69세,"30,727","1,994","2,372","1,458",942,"1,363","2,799","3,167","4,098","3,446","3,290","2,691",963,"2,144"
2020년05월_계_70~79세,"13,933","1,203",961,748,461,618,"1,534","1,462","1,597","1,694","1,335","1,063",345,912
2020년05월_계_80~89세,"5,027",427,324,237,149,239,586,605,529,667,428,384,126,326
