카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년01월_계_총인구수,"77,282","9,181","6,597","4,916","4,604","5,309","8,325","5,224","3,433","7,191","12,231","7,727","2,544"
2020년01월_계_연령구간인구수,"77,282","9,181","6,597","4,916","4,604","5,309","8,325","5,224","3,433","7,191","12,231","7,727","2,544"
2020년01월_계_0~9세,"5,474",381,532,184,140,563,923,302,119,654,"1,013",583,80
2020년01월_계_10~19세,"5,184",521,376,244,214,262,566,329,211,526,"1,111",651,173
2020년01월_계_20~29세,"11,600","1,540","1,676","1,280",792,669,883,840,535,733,"1,397",996,259
2020년01월_계_30~39세,"11,099","1,229","1,245",745,543,"1,057","1,483",692,384,"1,031","1,485",983,222
2020년01월_계_40~49세,"10,985","1,216",917,565,528,708,"1,175",689,484,"1,149","1,967","1,194",393
2020년01월_계_50~59세,"11,546","1,421",688,644,773,770,"1,286",844,573,"1,114","1,828","1,185",420
2020년01월_계_60~69세,"10,160","1,323",580,570,783,678,"1,021",708,491,965,"1,682",935,424
2020년01월_계_70~79세,"7,403","1,042",365,444,558,401,671,557,406,667,"1,146",747,399
2020년01월_계_80~89세,"3,256",424,182,188,220,164,271,242,185,312,533,387,148
2020년01월_계_90~99세,483,75,29,46,39,32,36,19,31,36,61,59,20
2020년01월_계_100세 이상,92,9,7,6,14,5,10,2,14,4,8,7,6
2020년01월_남_총인구수,"37,289","4,552","3,140","2,340","2,349","2,648","4,055","2,521","1,657","3,334","5,805","3,643","1,245"
2020년01월_남_연령구간인구수,"37,289","4,552","3,140","2,340","2,349","2,648","4,055","2,521","1,657","3,334","5,805","3,643","1,245"
2020년01월_남_0~9세,"2,820",179,267,94,74,276,442,167,60,355,548,318,40
2020년01월_남_10~19세,"2,636",261,179,110,108,135,313,158,112,268,585,313,94
2020년01월_남_20~29세,"5,642",762,761,544,401,333,465,402,265,337,727,510,135
2020년01월_남_30~39세,"5,743",689,651,421,316,545,735,342,196,516,740,470,122
2020년01월_남_40~49세,"5,629",667,473,288,298,376,611,366,247,569,957,570,207
2020년01월_남_50~59세,"5,664",726,332,343,399,390,607,427,296,512,852,566,214
2020년01월_남_60~69세,"4,693",653,245,285,398,332,491,333,228,396,711,421,200
2020년01월_남_70~79세,"3,145",445,155,175,257,195,280,245,174,267,491,292,169
2020년01월_남_80~89세,"1,182",152,71,64,85,56,103,74,73,107,179,159,59
2020년01월_남_90~99세,118,17,5,13,10,9,7,6,3,7,13,23,5
2020년01월_남_100세 이상,17,1,1,3,3,1,1,1,3,0,2,1,0
2020년01월_여_총인구수,"39,993","4,629","3,457","2,576","2,255","2,661","4,270","2,703","1,776","3,857","6,426","4,084","1,299"
2020년01월_여_연령구간인구수,"39,993","4,629","3,457","2,576","2,255","2,661","4,270","2,703","1,776","3,857","6,426","4,084","1,299"
2020년01월_여_0~9세,"2,654",202,265,90,66,287,481,135,59,299,465,265,40
2020년01월_여_10~19세,"2,548",260,197,134,106,127,253,171,99,258,526,338,79
2020년01월_여_20~29세,"5,958",778,915,736,391,336,418,438,270,396,670,486,124
2020년01월_여_30~39세,"5,356",540,594,324,227,512,748,350,188,515,745,513,100
2020년01월_여_40~49세,"5,356",549,444,277,230,332,564,323,237,580,"1,010",624,186
2020년01월_여_50~59세,"5,882",695,356,301,374,380,679,417,277,602,976,619,206
2020년01월_여_60~69세,"5,467",670,335,285,385,346,530,375,263,569,971,514,224
2020년01월_여_70~79세,"4,258",597,210,269,301,206,391,312,232,400,655,455,230
2020년01월_여_80~89세,"2,074",272,111,124,135,108,168,168,112,205,354,228,89
2020년01월_여_90~99세,365,58,24,33,29,23,29,13,28,29,48,36,15
2020년01월_여_100세 이상,75,8,6,3,11,4,9,1,11,4,6,6,6
2020년02월_계_총인구수,"77,151","9,081","6,601","4,953","4,604","5,287","8,286","5,228","3,439","7,179","12,216","7,730","2,547"
2020년02월_계_연령구간인구수,"77,151","9,081","6,601","4,953","4,604","5,287","8,286","5,228","3,439","7,179","12,216","7,730","2,547"
2020년02월_계_0~9세,"5,443",372,519,187,140,564,928,294,119,655,"1,008",576,81
2020년02월_계_10~19세,"5,194",506,381,249,206,265,570,331,222,526,"1,115",649,174
2020년02월_계_20~29세,"11,564","1,520","1,689","1,290",804,661,852,840,534,740,"1,384",991,259
2020년02월_계_30~39세,"11,031","1,213","1,244",756,533,"1,060","1,467",684,383,"1,023","1,470",975,223
2020년02월_계_40~49세,"10,995","1,212",912,578,525,705,"1,178",693,491,"1,145","1,977","1,196",383
2020년02월_계_50~59세,"11,530","1,411",692,638,767,760,"1,279",849,570,"1,107","1,829","1,196",432
2020년02월_계_60~69세,"10,144","1,312",582,576,787,664,"1,022",705,490,961,"1,688",933,424
2020년02월_계_70~79세,"7,404","1,027",359,435,564,408,671,566,404,673,"1,141",757,399
2020년02월_계_80~89세,"3,270",425,187,192,222,162,272,244,184,312,533,390,147
2020년02월_계_90~99세,482,72,29,46,42,33,37,20,28,33,63,60,19
2020년02월_계_100세 이상,94,11,7,6,14,5,10,2,14,4,8,7,6
2020년02월_남_총인구수,"37,184","4,505","3,129","2,356","2,341","2,643","4,027","2,516","1,652","3,331","5,800","3,636","1,248"
2020년02월_남_연령구간인구수,"37,184","4,505","3,129","2,356","2,341","2,643","4,027","2,516","1,652","3,331","5,800","3,636","1,248"
2020년02월_남_0~9세,"2,804",175,262,98,76,277,446,158,59,354,542,316,41
2020년02월_남_10~19세,"2,657",250,179,114,103,142,318,157,118,267,595,318,96
2020년02월_남_20~29세,"5,590",754,756,537,400,327,446,407,263,340,722,502,136
2020년02월_남_30~39세,"5,688",681,651,427,310,547,718,336,195,510,730,461,122
2020년02월_남_40~49세,"5,636",664,474,295,293,378,612,371,245,572,962,569,201
2020년02월_남_50~59세,"5,652",720,327,342,399,386,600,427,293,510,852,574,222
2020년02월_남_60~69세,"4,696",650,247,290,402,326,492,334,226,399,713,420,197
2020년02월_남_70~79세,"3,135",440,153,172,259,194,281,246,174,268,488,292,168
2020년02월_남_80~89세,"1,191",153,74,65,86,56,105,73,73,105,180,161,60
2020년02월_남_90~99세,117,16,5,13,10,9,8,6,3,6,14,22,5
2020년02월_남_100세 이상,18,2,1,3,3,1,1,1,3,0,2,1,0
2020년02월_여_총인구수,"39,967","4,576","3,472","2,597","2,263","2,644","4,259","2,712","1,787","3,848","6,416","4,094","1,299"
2020년02월_여_연령구간인구수,"39,967","4,576","3,472","2,597","2,263","2,644","4,259","2,712","1,787","3,848","6,416","4,094","1,299"
2020년02월_여_0~9세,"2,639",197,257,89,64,287,482,136,60,301,466,260,40
2020년02월_여_10~19세,"2,537",256,202,135,103,123,252,174,104,259,520,331,78
2020년02월_여_20~29세,"5,974",766,933,753,404,334,406,433,271,400,662,489,123
2020년02월_여_30~39세,"5,343",532,593,329,223,513,749,348,188,513,740,514,101
2020년02월_여_40~49세,"5,359",548,438,283,232,327,566,322,246,573,"1,015",627,182
2020년02월_여_50~59세,"5,878",691,365,296,368,374,679,422,277,597,977,622,210
2020년02월_여_60~69세,"5,448",662,335,286,385,338,530,371,264,562,975,513,227
2020년02월_여_70~79세,"4,269",587,206,263,305,214,390,320,230,405,653,465,231
2020년02월_여_80~89세,"2,079",272,113,127,136,106,167,171,111,207,353,229,87
2020년02월_여_90~99세,365,56,24,33,32,24,29,14,25,27,49,38,14
2020년02월_여_100세 이상,76,9,6,3,11,4,9,1,11,4,6,6,6
2020년03월_계_총인구수,"77,136","9,029","6,666","5,001","4,638","5,276","8,275","5,224","3,445","7,161","12,185","7,695","2,541"
2020년03월_계_연령구간인구수,"77,136","9,029","6,666","5,001","4,638","5,276","8,275","5,224","3,445","7,161","12,185","7,695","2,541"
2020년03월_계_0~9세,"5,382",357,511,180,141,573,927,284,121,635,"1,003",570,80
2020년03월_계_10~19세,"5,170",497,385,246,207,254,571,326,219,539,"1,110",643,173
2020년03월_계_20~29세,"11,719","1,538","1,748","1,353",822,658,845,878,534,729,"1,368",984,262
2020년03월_계_30~39세,"10,991","1,205","1,239",756,536,"1,066","1,472",676,383,"1,019","1,462",957,220
2020년03월_계_40~49세,"10,962","1,203",914,575,528,705,"1,177",681,490,"1,146","1,977","1,180",386
2020년03월_계_50~59세,"11,479","1,394",701,632,760,755,"1,266",852,568,"1,098","1,827","1,201",425
2020년03월_계_60~69세,"10,168","1,305",581,575,800,662,"1,038",705,491,965,"1,680",949,417
2020년03월_계_70~79세,"7,395","1,020",363,441,564,408,662,554,407,676,"1,145",754,401
2020년03월_계_80~89세,"3,286",424,187,191,222,160,272,247,189,314,539,391,150
2020년03월_계_90~99세,489,74,30,47,43,30,35,19,29,36,66,59,21
2020년03월_계_100세 이상,95,12,7,5,15,5,10,2,14,4,8,7,6
2020년03월_남_총인구수,"37,161","4,475","3,183","2,358","2,352","2,641","4,018","2,515","1,654","3,321","5,780","3,617","1,247"
2020년03월_남_연령구간인구수,"37,161","4,475","3,183","2,358","2,352","2,641","4,018","2,515","1,654","3,321","5,780","3,617","1,247"
2020년03월_남_0~9세,"2,771",172,255,96,75,283,442,153,59,346,539,310,41
2020년03월_남_10~19세,"2,637",241,183,115,104,134,318,155,115,273,589,313,97
2020년03월_남_20~29세,"5,665",752,801,552,405,328,444,429,264,337,719,495,139
2020년03월_남_30~39세,"5,662",673,645,424,310,552,721,333,195,508,724,456,121
2020년03월_남_40~49세,"5,634",666,482,292,294,380,615,361,245,567,969,563,200
2020년03월_남_50~59세,"5,634",717,333,336,403,382,595,426,294,509,842,578,219
2020년03월_남_60~69세,"4,701",645,248,289,405,325,495,334,226,397,715,427,195
2020년03월_남_70~79세,"3,128",439,156,173,256,193,275,241,177,272,485,291,170
2020년03월_남_80~89세,"1,192",152,74,64,87,55,104,76,73,106,181,161,59
2020년03월_남_90~99세,118,16,5,14,9,8,8,6,3,6,15,22,6
2020년03월_남_100세 이상,19,2,1,3,4,1,1,1,3,0,2,1,0
2020년03월_여_총인구수,"39,975","4,554","3,483","2,643","2,286","2,635","4,257","2,709","1,791","3,840","6,405","4,078","1,294"
2020년03월_여_연령구간인구수,"39,975","4,554","3,483","2,643","2,286","2,635","4,257","2,709","1,791","3,840","6,405","4,078","1,294"
2020년03월_여_0~9세,"2,611",185,256,84,66,290,485,131,62,289,464,260,39
2020년03월_여_10~19세,"2,533",256,202,131,103,120,253,171,104,266,521,330,76
2020년03월_여_20~29세,"6,054",786,947,801,417,330,401,449,270,392,649,489,123
2020년03월_여_30~39세,"5,329",532,594,332,226,514,751,343,188,511,738,501,99
2020년03월_여_40~49세,"5,328",537,432,283,234,325,562,320,245,579,"1,008",617,186
2020년03월_여_50~59세,"5,845",677,368,296,357,373,671,426,274,589,985,623,206
2020년03월_여_60~69세,"5,467",660,333,286,395,337,543,371,265,568,965,522,222
2020년03월_여_70~79세,"4,267",581,207,268,308,215,387,313,230,404,660,463,231
2020년03월_여_80~89세,"2,094",272,113,127,135,105,168,171,116,208,358,230,91
2020년03월_여_90~99세,371,58,25,33,34,22,27,13,26,30,51,37,15
2020년03월_여_100세 이상,76,10,6,2,11,4,9,1,11,4,6,6,6
2020년04월_계_총인구수,"76,955","8,957","6,719","5,038","4,643","5,246","8,247","5,220","3,434","7,126","12,115","7,689","2,521"
2020년04월_계_연령구간인구수,"76,955","8,957","6,719","5,038","4,643","5,246","8,247","5,220","3,434","7,126","12,115","7,689","2,521"
2020년04월_계_0~9세,"5,325",349,515,178,139,568,926,282,118,629,980,562,79
2020년04월_계_10~19세,"5,129",493,387,246,207,242,566,322,223,529,"1,104",641,169
2020년04월_계_20~29세,"11,805","1,533","1,788","1,384",835,653,849,891,530,725,"1,357",998,262
2020년04월_계_30~39세,"10,952","1,198","1,245",765,529,"1,064","1,451",673,379,"1,020","1,458",954,216
2020년04월_계_40~49세,"10,907","1,183",911,574,525,700,"1,184",682,486,"1,131","1,966","1,180",385
2020년04월_계_50~59세,"11,431","1,391",700,640,754,749,"1,258",844,565,"1,095","1,820","1,201",414
2020년04월_계_60~69세,"10,152","1,297",587,572,805,659,"1,034",708,490,964,"1,671",946,419
2020년04월_계_70~79세,"7,371","1,004",365,439,566,412,659,547,407,683,"1,140",748,401
2020년04월_계_80~89세,"3,302",424,185,189,224,165,275,249,192,309,544,397,149
2020년04월_계_90~99세,484,72,29,46,44,29,34,20,30,37,67,55,21
2020년04월_계_100세 이상,97,13,7,5,15,5,11,2,14,4,8,7,6
2020년04월_남_총인구수,"37,064","4,445","3,196","2,377","2,363","2,624","4,007","2,505","1,649","3,299","5,735","3,621","1,243"
2020년04월_남_연령구간인구수,"37,064","4,445","3,196","2,377","2,363","2,624","4,007","2,505","1,649","3,299","5,735","3,621","1,243"
2020년04월_남_0~9세,"2,758",169,261,94,74,282,444,150,58,346,529,309,42
2020년04월_남_10~19세,"2,614",242,182,113,105,128,316,153,116,264,586,313,96
2020년04월_남_20~29세,"5,682",751,813,559,412,326,443,430,261,339,705,502,141
2020년04월_남_30~39세,"5,638",670,642,437,311,549,704,331,194,503,724,453,120
2020년04월_남_40~49세,"5,599",653,481,289,292,374,617,360,242,556,966,571,198
2020년04월_남_50~59세,"5,623",722,331,347,396,382,598,423,292,509,836,572,215
2020년04월_남_60~69세,"4,699",638,252,285,416,324,498,334,228,396,706,426,196
2020년04월_남_70~79세,"3,113",427,155,174,255,193,273,238,179,274,486,289,170
2020년04월_남_80~89세,"1,204",155,73,63,88,57,106,79,73,105,180,165,60
2020년04월_남_90~99세,115,16,5,13,10,8,7,6,3,7,15,20,5
2020년04월_남_100세 이상,19,2,1,3,4,1,1,1,3,0,2,1,0
2020년04월_여_총인구수,"39,891","4,512","3,523","2,661","2,280","2,622","4,240","2,715","1,785","3,827","6,380","4,068","1,278"
2020년04월_여_연령구간인구수,"39,891","4,512","3,523","2,661","2,280","2,622","4,240","2,715","1,785","3,827","6,380","4,068","1,278"
2020년04월_여_0~9세,"2,567",180,254,84,65,286,482,132,60,283,451,253,37
2020년04월_여_10~19세,"2,515",251,205,133,102,114,250,169,107,265,518,328,73
2020년04월_여_20~29세,"6,123",782,975,825,423,327,406,461,269,386,652,496,121
2020년04월_여_30~39세,"5,314",528,603,328,218,515,747,342,185,517,734,501,96
2020년04월_여_40~49세,"5,308",530,430,285,233,326,567,322,244,575,"1,000",609,187
2020년04월_여_50~59세,"5,808",669,369,293,358,367,660,421,273,586,984,629,199
2020년04월_여_60~69세,"5,453",659,335,287,389,335,536,374,262,568,965,520,223
2020년04월_여_70~79세,"4,258",577,210,265,311,219,386,309,228,409,654,459,231
2020년04월_여_80~89세,"2,098",269,112,126,136,108,169,170,119,204,364,232,89
2020년04월_여_90~99세,369,56,24,33,34,21,27,14,27,30,52,35,16
2020년04월_여_100세 이상,78,11,6,2,11,4,10,1,11,4,6,6,6
2020년05월_계_총인구수,"76,880","8,838","6,748","5,041","4,640","5,249","8,245","5,160","3,611","7,102","12,067","7,662","2,517"
2020년05월_계_연령구간인구수,"76,880","8,838","6,748","5,041","4,640","5,249","8,245","5,160","3,611","7,102","12,067","7,662","2,517"
2020년05월_계_0~9세,"5,318",341,511,175,142,571,923,279,150,620,974,556,76
2020년05월_계_10~19세,"5,110",498,389,246,203,243,561,315,232,529,"1,095",631,168
2020년05월_계_20~29세,"11,841","1,516","1,823","1,394",835,652,850,876,565,722,"1,349","1,001",258
2020년05월_계_30~39세,"10,964","1,190","1,253",762,543,"1,067","1,448",671,420,"1,009","1,445",940,216
2020년05월_계_40~49세,"10,825","1,167",892,565,519,696,"1,175",676,503,"1,134","1,937","1,177",384
2020년05월_계_50~59세,"11,447","1,369",708,647,756,748,"1,265",834,584,"1,092","1,825","1,202",417
2020년05월_계_60~69세,"10,125","1,271",585,568,796,661,"1,048",698,502,959,"1,674",950,413
2020년05월_계_70~79세,"7,365",983,368,444,564,410,656,542,411,688,"1,142",748,409
2020년05월_계_80~89세,"3,316",422,183,190,226,168,275,248,199,309,553,394,149
2020년05월_계_90~99세,470,68,29,44,41,28,33,19,31,36,65,55,21
2020년05월_계_100세 이상,99,13,7,6,15,5,11,2,14,4,8,8,6
2020년05월_남_총인구수,"37,013","4,390","3,203","2,385","2,357","2,623","3,999","2,479","1,730","3,288","5,715","3,606","1,238"
2020년05월_남_연령구간인구수,"37,013","4,390","3,203","2,385","2,357","2,623","3,999","2,479","1,730","3,288","5,715","3,606","1,238"
2020년05월_남_0~9세,"2,740",165,253,93,77,280,439,151,71,339,528,304,40
2020년05월_남_10~19세,"2,610",245,185,111,104,131,313,150,119,266,584,306,96
2020년05월_남_20~29세,"5,697",739,825,575,403,324,445,426,276,342,703,503,136
2020년05월_남_30~39세,"5,640",666,645,431,324,550,701,326,216,497,715,449,120
2020년05월_남_40~49세,"5,550",642,476,287,284,369,612,354,251,556,949,569,201
2020년05월_남_50~59세,"5,632",713,336,350,398,381,602,420,301,508,838,570,215
2020년05월_남_60~69세,"4,688",629,249,282,410,329,503,329,233,394,708,430,192
2020년05월_남_70~79세,"3,109",417,155,178,255,192,270,235,181,274,489,290,173
2020년05월_남_80~89세,"1,213",156,72,62,89,58,106,81,76,105,184,164,60
2020년05월_남_90~99세,113,16,6,12,9,8,7,6,3,7,15,19,5
2020년05월_남_100세 이상,21,2,1,4,4,1,1,1,3,0,2,2,0
2020년05월_여_총인구수,"39,867","4,448","3,545","2,656","2,283","2,626","4,246","2,681","1,881","3,814","6,352","4,056","1,279"
2020년05월_여_연령구간인구수,"39,867","4,448","3,545","2,656","2,283","2,626","4,246","2,681","1,881","3,814","6,352","4,056","1,279"
2020년05월_여_0~9세,"2,578",176,258,82,65,291,484,128,79,281,446,252,36
2020년05월_여_10~19세,"2,500",253,204,135,99,112,248,165,113,263,511,325,72
2020년05월_여_20~29세,"6,144",777,998,819,432,328,405,450,289,380,646,498,122
2020년05월_여_30~39세,"5,324",524,608,331,219,517,747,345,204,512,730,491,96
2020년05월_여_40~49세,"5,275",525,416,278,235,327,563,322,252,578,988,608,183
2020년05월_여_50~59세,"5,815",656,372,297,358,367,663,414,283,584,987,632,202
2020년05월_여_60~69세,"5,437",642,336,286,386,332,545,369,269,565,966,520,221
2020년05월_여_70~79세,"4,256",566,213,266,309,218,386,307,230,414,653,458,236
2020년05월_여_80~89세,"2,103",266,111,128,137,110,169,167,123,204,369,230,89
2020년05월_여_90~99세,357,52,23,32,32,20,26,13,28,29,50,36,16
2020년05월_여_100세 이상,78,11,6,2,11,4,10,1,11,4,6,6,6
2020년06월_계_총인구수,"76,984","8,755","6,733","5,033","4,604","5,218","8,212","5,124","4,039","7,070","12,049","7,643","2,504"
2020년06월_계_연령구간인구수,"76,984","8,755","6,733","5,033","4,604","5,218","8,212","5,124","4,039","7,070","12,049","7,643","2,504"
2020년06월_계_0~9세,"5,342",346,503,169,134,570,914,279,210,613,970,556,78
2020년06월_계_10~19세,"5,097",495,380,240,197,235,564,313,265,531,"1,090",623,164
2020년06월_계_20~29세,"11,866","1,508","1,845","1,400",838,654,829,860,614,721,"1,344",996,257
2020년06월_계_30~39세,"11,041","1,180","1,243",769,535,"1,058","1,450",680,554,993,"1,422",941,216
2020년06월_계_40~49세,"10,813","1,151",884,565,498,697,"1,176",657,553,"1,136","1,941","1,175",380
2020년06월_계_50~59세,"11,432","1,351",711,635,758,736,"1,246",826,640,"1,085","1,823","1,206",415
