카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년03월_계_총인구수,"64,039","7,258","6,436","8,100","10,913","3,869","1,736","3,088","8,354","4,215","6,899","3,171"
2020년03월_계_연령구간인구수,"64,039","7,258","6,436","8,100","10,913","3,869","1,736","3,088","8,354","4,215","6,899","3,171"
2020년03월_계_0~9세,"4,200",527,297,418,900,145,108,105,569,364,641,126
2020년03월_계_10~19세,"5,326",636,522,665,974,239,120,180,747,437,574,232
2020년03월_계_20~29세,"6,803",763,756,850,"1,248",441,174,275,866,476,638,316
2020년03월_계_30~39세,"7,433",872,616,835,"1,529",372,191,252,998,538,952,278
2020년03월_계_40~49세,"10,358","1,279",962,"1,294","1,854",559,266,385,"1,408",744,"1,170",437
2020년03월_계_50~59세,"10,354","1,216","1,089","1,326","1,637",712,262,538,"1,310",733,"1,065",466
2020년03월_계_60~69세,"9,804",989,"1,080","1,320","1,496",697,295,620,"1,223",534,954,596
2020년03월_계_70~79세,"6,529",621,753,946,908,447,210,460,847,265,580,492
2020년03월_계_80~89세,"2,748",299,300,393,313,235,95,232,321,98,268,194
2020년03월_계_90~99세,410,46,50,48,43,21,14,34,56,21,52,25
2020년03월_계_100세 이상,74,10,11,5,11,1,1,7,9,5,5,9
2020년03월_남_총인구수,"32,314","3,717","3,231","4,021","5,410","1,972",847,"1,578","4,293","2,181","3,441","1,623"
2020년03월_남_연령구간인구수,"32,314","3,717","3,231","4,021","5,410","1,972",847,"1,578","4,293","2,181","3,441","1,623"
2020년03월_남_0~9세,"2,221",284,160,218,460,75,55,57,320,189,333,70
2020년03월_남_10~19세,"2,741",325,268,326,515,115,52,87,387,218,315,133
2020년03월_남_20~29세,"3,688",428,404,453,651,245,98,165,497,250,328,169
2020년03월_남_30~39세,"3,927",447,324,471,759,201,104,145,537,294,483,162
2020년03월_남_40~49세,"5,602",690,494,706,991,321,139,229,763,394,626,249
2020년03월_남_50~59세,"5,455",668,594,682,787,393,130,298,692,398,554,259
2020년03월_남_60~69세,"4,732",509,522,622,686,353,147,297,588,270,446,292
2020년03월_남_70~79세,"2,875",260,338,401,433,187,86,204,372,124,260,210
2020년03월_남_80~89세,948,91,113,131,114,75,31,83,117,36,89,68
2020년03월_남_90~99세,102,12,12,10,9,7,5,11,18,5,7,6
2020년03월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년03월_여_총인구수,"31,725","3,541","3,205","4,079","5,503","1,897",889,"1,510","4,061","2,034","3,458","1,548"
2020년03월_여_연령구간인구수,"31,725","3,541","3,205","4,079","5,503","1,897",889,"1,510","4,061","2,034","3,458","1,548"
2020년03월_여_0~9세,"1,979",243,137,200,440,70,53,48,249,175,308,56
2020년03월_여_10~19세,"2,585",311,254,339,459,124,68,93,360,219,259,99
2020년03월_여_20~29세,"3,115",335,352,397,597,196,76,110,369,226,310,147
2020년03월_여_30~39세,"3,506",425,292,364,770,171,87,107,461,244,469,116
2020년03월_여_40~49세,"4,756",589,468,588,863,238,127,156,645,350,544,188
2020년03월_여_50~59세,"4,899",548,495,644,850,319,132,240,618,335,511,207
2020년03월_여_60~69세,"5,072",480,558,698,810,344,148,323,635,264,508,304
2020년03월_여_70~79세,"3,654",361,415,545,475,260,124,256,475,141,320,282
2020년03월_여_80~89세,"1,800",208,187,262,199,160,64,149,204,62,179,126
2020년03월_여_90~99세,308,34,38,38,34,14,9,23,38,16,45,19
2020년03월_여_100세 이상,51,7,9,4,6,1,1,5,7,2,5,4
2020년04월_계_총인구수,"63,866","7,252","6,392","8,044","10,923","3,842","1,747","3,085","8,317","4,216","6,887","3,161"
2020년04월_계_연령구간인구수,"63,866","7,252","6,392","8,044","10,923","3,842","1,747","3,085","8,317","4,216","6,887","3,161"
2020년04월_계_0~9세,"4,162",528,294,405,904,143,109,102,554,359,639,125
2020년04월_계_10~19세,"5,285",629,519,652,964,232,119,178,745,440,573,234
2020년04월_계_20~29세,"6,789",769,748,847,"1,258",439,179,275,857,477,626,314
2020년04월_계_30~39세,"7,395",869,603,812,"1,543",370,192,251,999,539,946,271
2020년04월_계_40~49세,"10,326","1,278",951,"1,286","1,845",554,267,381,"1,412",747,"1,167",438
2020년04월_계_50~59세,"10,325","1,214","1,087","1,321","1,632",710,263,536,"1,307",727,"1,062",466
2020년04월_계_60~69세,"9,795",987,"1,074","1,327","1,497",690,295,624,"1,212",534,962,593
2020년04월_계_70~79세,"6,537",625,753,943,911,451,211,460,842,266,586,489
2020년04월_계_80~89세,"2,766",295,303,397,315,231,97,235,323,101,271,198
2020년04월_계_90~99세,411,48,49,48,43,21,14,36,57,21,50,24
2020년04월_계_100세 이상,75,10,11,6,11,1,1,7,9,5,5,9
2020년04월_남_총인구수,"32,239","3,720","3,210","3,985","5,413","1,965",852,"1,576","4,287","2,175","3,437","1,619"
2020년04월_남_연령구간인구수,"32,239","3,720","3,210","3,985","5,413","1,965",852,"1,576","4,287","2,175","3,437","1,619"
2020년04월_남_0~9세,"2,193",280,157,213,462,74,56,54,311,184,333,69
2020년04월_남_10~19세,"2,735",328,268,318,509,112,52,87,388,221,316,136
2020년04월_남_20~29세,"3,676",431,401,449,655,244,100,166,494,247,321,168
2020년04월_남_30~39세,"3,913",448,313,453,770,200,105,145,545,296,481,157
2020년04월_남_40~49세,"5,578",688,492,704,982,320,140,227,758,392,624,251
2020년04월_남_50~59세,"5,454",672,595,679,784,395,129,298,694,395,554,259
